OID,FID_,X,Y,BCE_Patter
0,0,1217936.442907858,4794478.818235714,-9999.0
1,1,1217113.725834317,4792539.127703127,-9999.0
2,2,1213320.17993588,4785380.574616515,-9999.0
3,3,1213003.761711134,4785356.035721546,-9999.0
4,4,1213296.948627577,4786137.666437555,-9999.0
5,5,1216743.367591529,4793735.309753899,-9999.0
6,6,1216491.967325654,4793759.834248254,-9999.0
7,7,1218709.944930042,4797289.354325029,-9999.0
8,8,1218689.968217591,4797274.325685387,-9999.0
9,9,1218945.425333408,4797343.364140431,-9999.0
10,10,1218676.628927618,4797263.690925072,-9999.0
11,11,1218623.289964946,4797230.638598271,-9999.0
12,12,1218812.219620425,4797301.70451639,-9999.0
13,13,1218889.005654266,4797264.25667216,-9999.0
14,14,1219037.035880655,4797202.267416737,-9999.0
15,15,1218558.475929446,4797156.442596512,-9999.0
16,16,1218699.597391944,4797155.889206183,-9999.0
17,17,1218877.280986251,4797157.430793423,-9999.0
18,18,1218581.258629278,4797136.873425521,-9999.0
19,19,1218767.954408646,4797132.556513648,-9999.0
20,20,1219016.995608854,4797145.198837044,-9999.0
21,21,1219483.588145623,4797179.529873149,-9999.0
22,22,1219543.37134874,4797205.078639071,-9999.0
23,23,1218666.758035696,4797127.96390697,-9999.0
24,24,1219206.727532839,4797152.012544621,-9999.0
25,25,1218789.776628716,4797115.226921332,-9999.0
26,26,1218835.404273425,4797171.438561173,-9999.0
27,27,1218636.254489546,4797104.823330848,-9999.0
28,28,1218978.488751623,4797101.590068832,-9999.0
29,29,1218435.828416343,4797048.108478489,-9999.0
30,30,1218420.303499513,4797036.960344156,-9999.0
31,31,1218660.332154785,4797060.42502049,-9999.0
32,32,1218781.261137886,4797060.90020391,-9999.0
33,33,1218403.028627363,4797025.845033528,-9999.0
34,34,1218740.833245662,4797048.296650072,-9999.0
35,35,1218386.021704676,4797014.72908662,-9999.0
36,36,1219657.414500514,4797132.733221438,-9999.0
37,37,1218833.752275981,4797023.968572785,-9999.0
38,38,1219701.087079959,4797079.308306859,-9999.0
39,39,1218321.268906348,4796946.38963358,-9999.0
40,40,1218334.348812797,4796922.417201755,-9999.0
41,41,1218535.685089092,4796967.816760977,-9999.0
42,42,1219757.864387853,4797044.877705423,-9999.0
43,43,1218798.565799251,4796838.354619667,-9999.0
44,44,1218963.529790892,4796791.77035739,-9999.0
45,45,1219033.385726121,4796775.661835259,-9999.0
46,46,1219153.615796562,4796774.188529031,-9999.0
47,47,1219174.147504863,4796775.499010845,-9999.0
48,48,1219191.279654593,4796776.240170962,-9999.0
49,49,1219734.467916202,4796740.430042389,-9999.0
50,50,1219715.395896308,4796706.988181573,-9999.0
51,51,1219054.987062004,4796352.543515475,-9999.0
52,52,1219909.244583507,4796379.652822804,-9999.0
53,53,1219894.678072081,4796369.751293056,-9999.0
54,54,1220074.979434402,4796329.240295766,-9999.0
55,55,1220103.070451887,4796331.319845506,-9999.0
56,56,1220135.833058796,4796295.34736548,-9999.0
57,57,1220159.364112996,4796321.977639693,-9999.0
58,58,1220263.331510394,4796173.03911525,-9999.0
59,59,1220332.394101165,4796179.58002419,-9999.0
60,60,1220330.645159839,4796147.572395782,-9999.0
61,61,1220320.260360203,4796112.304804181,-9999.0
62,62,1220348.231912755,4796060.863621227,-9999.0
63,63,1218958.775406875,4795904.825490793,-9999.0
64,64,1220375.541854627,4795989.038686162,-9999.0
65,65,1220387.539384485,4795913.924357197,-9999.0
66,66,1220348.86724898,4795863.00189141,-9999.0
67,67,1220373.353498423,4795809.672218733,-9999.0
68,68,1220457.975444182,4795837.274046214,-9999.0
69,69,1218966.130620482,4795678.368751908,-9999.0
70,70,1220174.111021459,4795586.335556921,-9999.0
71,71,1220203.18946442,4795588.23654914,-9999.0
72,72,1220191.441146191,4795537.91770498,-9999.0
73,73,1220109.022242717,4795402.246066341,-9999.0
74,74,1220093.852569053,4795376.335864054,-9999.0
75,75,1220290.755857113,4795306.566324442,-9999.0
76,76,1220348.787171199,4795216.681952846,-9999.0
77,77,1218890.995975848,4795095.390002917,-9999.0
78,78,1220361.296593663,4795102.911791794,-9999.0
79,79,1220406.06174137,4795142.546590488,-9999.0
80,80,1220377.46909692,4795090.207346771,-9999.0
81,81,1220327.201711858,4795083.962427337,-9999.0
82,82,1220310.271277584,4795064.141422113,-9999.0
83,83,1220303.805791753,4795054.123544951,-9999.0
84,84,1220545.99562604,4795026.668118362,-9999.0
85,85,1220531.023376807,4794997.812050897,-9999.0
86,86,1220555.874781776,4795000.799995878,-9999.0
87,87,1219024.32648352,4794871.681311268,-9999.0
88,88,1218224.296868531,4794809.546425146,-9999.0
89,89,1218245.460467919,4794800.685679439,-9999.0
90,90,1219126.582829543,4794873.483707801,-9999.0
91,91,1219166.675879814,4794874.767453722,-9999.0
92,92,1218266.622489553,4794791.824999063,-9999.0
93,93,1218283.881035028,4794783.539987998,-9999.0
94,94,1219208.375260047,4794845.250568781,-9999.0
95,95,1218491.173032022,4794786.318950216,-9999.0
96,96,1218330.22100233,4794775.066424784,-9999.0
97,97,1218366.796581594,4794769.108979288,-9999.0
98,98,1218471.243257315,4794775.937921814,-9999.0
99,99,1218398.836662633,4794760.976086261,-9999.0
100,100,1218591.768665244,4794798.034271743,-9999.0
101,101,1218413.181710661,4794752.438205992,-9999.0
102,102,1218641.717001216,4794758.925067596,-9999.0
103,103,1219296.989559028,4794799.101532047,-9999.0
104,104,1217389.676112257,4794657.675807639,-9999.0
105,105,1219319.044274219,4794781.380348834,-9999.0
106,106,1218737.638646376,4794733.311764152,-9999.0
107,107,1218771.879585574,4794734.787791209,-9999.0
108,108,1220742.330817443,4794861.013178835,-9999.0
109,109,1217755.081715329,4794743.189833432,-9999.0
110,110,1218762.373223167,4794724.670262329,-9999.0
111,111,1219354.394917401,4794762.595128671,-9999.0
112,112,1218891.894896823,4794721.925052633,-9999.0
113,113,1218889.841473413,4794606.693523162,-9999.0
