OID,FID_,X,Y,BCE_Patter
0,0,1219099.022647183,4797189.749103616,-9999.0
1,1,1219264.019693593,4797141.824599578,-9999.0
2,2,1219428.394970042,4797154.837017301,-9999.0
3,3,1218879.180958032,4797107.410876165,-9999.0
4,4,1219595.160184237,4797141.786610196,-9999.0
5,5,1219115.541904885,4797103.997280512,-9999.0
6,6,1219182.761704328,4797076.900997343,-9999.0
7,7,1219620.470081717,4797104.231396398,-9999.0
8,8,1219651.118244771,4797106.387199935,-9999.0
9,9,1219034.190724116,4797045.929399497,-9999.0
10,10,1219017.939963634,4797015.689937871,-9999.0
11,11,1219703.596762672,4797066.394671189,-9999.0
12,12,1218962.313505193,4796972.055624661,-9999.0
13,13,1219417.533302087,4796951.591613383,-9999.0
14,14,1219728.587733325,4796970.84468959,-9999.0
15,15,1218858.053779452,4796895.252496311,-9999.0
16,16,1218993.324248641,4796863.078355041,-9999.0
17,17,1219078.591586993,4796819.150065947,-9999.0
18,18,1219137.402268762,4796812.883690363,-9999.0
19,19,1219107.178336257,4796802.882418211,-9999.0
20,20,1219148.456184676,4796803.366436452,-9999.0
21,21,1219131.832400727,4796792.486975391,-9999.0
22,22,1219163.313501385,4796783.745149218,-9999.0
23,23,1219689.93055778,4796823.075149686,-9999.0
24,24,1219627.289070461,4796822.887986258,-9999.0
25,25,1219665.371761765,4796816.79308187,-9999.0
26,26,1219605.418775225,4796793.088255722,-9999.0
27,27,1219364.136242535,4796757.410410457,-9999.0
28,28,1219566.505023425,4796770.701791028,-9999.0
29,29,1219582.887421855,4796760.394954785,-9999.0
30,30,1219628.954500571,4796767.020372661,-9999.0
31,31,1219616.485530603,4796723.198710208,-9999.0
32,32,1219556.35968714,4796715.021995236,-9999.0
33,33,1219631.911681065,4796709.151417014,-9999.0
34,34,1219328.639501635,4796957.936876175,-9999.0
35,35,1219602.194289481,4796692.428333681,-9999.0
36,36,1219575.179246675,4796680.685405999,-9999.0
37,37,1219295.221594928,4796652.808046788,-9999.0
38,38,1219596.497806507,4796671.821919621,-9999.0
39,39,1219587.934676416,4796650.569505878,-9999.0
40,40,1219697.004534817,4796658.188091423,-9999.0
41,41,1219706.969436919,4796638.509919559,-9999.0
42,42,1219507.535272134,4796556.125755629,-9999.0
43,43,1219532.72132233,4796540.962107056,-9999.0
44,44,1219472.915979001,4796514.220614977,-9999.0
45,45,1219571.673381388,4796520.133716885,-9999.0
46,46,1219592.89117458,4796505.686046769,-9999.0
47,47,1219203.719877253,4796473.663610317,-9999.0
48,48,1219725.462309879,4796469.69403393,-9999.0
49,49,1219631.990082569,4796542.528479304,-9999.0
50,50,1219386.656252275,4796358.410009068,-9999.0
51,51,1219048.858527421,4796316.221083305,-9999.0
52,52,1219730.389260862,4796350.033335044,-9999.0
53,53,1219830.131877853,4796355.367280616,-9999.0
54,54,1219029.602998012,4796294.950225731,-9999.0
55,55,1219517.794579734,4796306.808364723,-9999.0
56,56,1219083.163421696,4796268.895608916,-9999.0
57,57,1219060.01701264,4796261.588258147,-9999.0
58,58,1219908.875241145,4796303.403267281,-9999.0
59,59,1219449.224171041,4796236.988054879,-9999.0
60,60,1219447.678911062,4796214.841068228,-9999.0
61,61,1219455.809756735,4796182.066827348,-9999.0
62,62,1219435.916804974,4796170.777268128,-9999.0
63,63,1220163.098791421,4796219.148511079,-9999.0
64,64,1219556.783660279,4796168.850974206,-9999.0
65,65,1219493.126253576,4796154.926995021,-9999.0
66,66,1219555.351247003,4796148.875139289,-9999.0
67,67,1218999.916208174,4796107.105052345,-9999.0
68,68,1219005.361509516,4796032.275621197,-9999.0
69,69,1219563.251112769,4796053.034761112,-9999.0
70,70,1220183.711005797,4796082.957174278,-9999.0
71,71,1219573.173631712,4796019.588345299,-9999.0
72,72,1220185.759215751,4796051.069262289,-9999.0
73,73,1219598.15765871,4795951.037969609,-9999.0
74,74,1219038.303893227,4795961.768106107,-9999.0
75,75,1219690.698958765,4795946.53330634,-9999.0
76,76,1219041.896801244,4795885.091710287,-9999.0
77,77,1219370.355533132,4795906.059791894,-9999.0
78,78,1219401.623048444,4795908.439795066,-9999.0
79,79,1220383.867671053,4795950.790998495,-9999.0
80,80,1220374.896196352,4795939.81128076,-9999.0
81,81,1219496.71067572,4795864.018459507,-9999.0
82,82,1219460.822946229,4795842.072874249,-9999.0
83,83,1220079.037907585,4795885.335997723,-9999.0
84,84,1220018.673587615,4795867.23010373,-9999.0
85,85,1219452.631039759,4795801.083132307,-9999.0
86,86,1220026.383984218,4795807.983522137,-9999.0
87,87,1219960.500066798,4795763.704373393,-9999.0
88,88,1219990.817651286,4795765.251061319,-9999.0
89,89,1219924.29854136,4795730.951420219,-9999.0
90,90,1219971.61175752,4795738.206502657,-9999.0
91,91,1219418.179336441,4795648.961491981,-9999.0
92,92,1219958.744416073,4795683.428853027,-9999.0
93,93,1219439.343875452,4795640.291342721,-9999.0
94,94,1219928.114148277,4795671.071767747,-9999.0
95,95,1219909.413066942,4795660.401071034,-9999.0
96,96,1219742.32631268,4795629.553562754,-9999.0
97,97,1218928.716885718,4795580.411650037,-9999.0
98,98,1219882.785797922,4795627.696830883,-9999.0
99,99,1219592.267706613,4795570.038807531,-9999.0
100,100,1219816.986101377,4795575.240959947,-9999.0
101,101,1219723.62960011,4795537.792079224,-9999.0
102,102,1219771.802917797,4795540.863338006,-9999.0
103,103,1219892.592650431,4795565.053611143,-9999.0
104,104,1219754.565133379,4795529.444533743,-9999.0
105,105,1219813.853719253,4795523.502956511,-9999.0
106,106,1219912.901810791,4795534.62381518,-9999.0
107,107,1219346.259228481,4795484.042686368,-9999.0
108,108,1219497.740285259,4795495.685587057,-9999.0
109,109,1219793.962639892,4795512.21449781,-9999.0
110,110,1219581.758898717,4795470.983513384,-9999.0
111,111,1219727.447447793,4795477.912439905,-9999.0
112,112,1219757.752823572,4795489.662879377,-9999.0
113,113,1219706.971094054,4795470.826790539,-9999.0
114,114,1219790.638240588,4795480.342138036,-9999.0
115,115,1219733.888342348,4795438.625961708,-9999.0
116,116,1219573.25567785,4795417.976615814,-9999.0
117,117,1219864.528744961,4795436.933499536,-9999.0
118,118,1219895.480743467,4795428.500825441,-9999.0
119,119,1220126.906167595,4795449.820682174,-9999.0
120,120,1219695.379868695,4795396.088512383,-9999.0
121,121,1219937.806547174,4795411.157236038,-9999.0
122,122,1219547.496248401,4795389.651723626,-9999.0
123,123,1219778.123539356,4795391.34366389,-9999.0
