OID,FID_,X,Y,BCE_Peloro
0,0,1663586.152828756,5431234.272936834,-0.023733334
1,1,1663685.571851614,5431579.073949531,0.232840207
2,2,1669746.294478591,5428460.723816077,1.700181831
3,3,1663664.303621462,5431348.08250792,-0.743653857
4,4,1663596.786830806,5431150.255446245,0.02312085
5,5,1664856.578083158,5429615.905735344,0.416716689
6,6,1664978.210135904,5429504.913315023,0.435685217
7,7,1664614.775472212,5429377.181721386,0.654751887
8,8,1669745.070363011,5428459.810807013,1.883999944
9,9,1681857.829698381,5467901.471780984,-0.353844121
10,10,1681042.636102803,5467776.363273893,-9999.0
11,11,1681841.263905264,5467772.004848869,-0.430750001
12,12,1681868.032198585,5467751.902949637,-0.132464783
13,13,1685055.465091678,5467715.617637123,-9999.0
14,14,1681912.659620904,5467731.317976786,-0.16615602
15,15,1685031.846858075,5467696.148497661,-9999.0
16,16,1681939.015693837,5467721.051450071,-0.518426646
17,17,1681961.754410531,5467710.86799531,-0.211991585
18,18,1682006.712019828,5467710.875150801,-0.160283305
19,19,1682090.623189678,5467701.034414979,0.43125536
20,20,1685016.469901199,5467661.2151205,-9999.0
21,21,1682074.673559654,5467623.39618228,-0.354868818
22,22,1682066.65006804,5467609.565870793,0.468230809
23,23,1682066.248179985,5467589.995316774,-0.598181791
24,24,1680765.448031287,5467599.439568906,-9999.0
25,25,1680082.703480878,5467351.551894115,0.097777776
26,26,1680059.081124461,5467322.869111309,-0.285774989
27,27,1680047.521831599,5467303.048626873,-0.514689631
28,28,1680036.071048504,5467293.200057887,-0.436
29,29,1680010.786959582,5467246.362433539,-0.31386008
30,30,1684134.607395188,5467197.144286047,-9999.0
31,31,1679997.61292957,5467233.779546609,-0.007428558
32,32,1679989.83466757,5467213.917874873,-0.291449952
33,33,1679985.552472811,5467163.780533478,-0.408396757
34,34,1681751.471331485,5467084.329546415,-0.513530597
35,35,1681750.226712444,5467045.833282987,-0.55920798
36,36,1679937.264417776,5466932.711529994,-9999.0
37,37,1679920.941940258,5466833.320820529,-0.878666619
38,38,1679925.010516061,5466815.697735093,-0.481555505
39,39,1679924.468938453,5466765.838042927,-0.673374982
40,40,1679924.043588508,5466726.679029271,-9999.0
41,41,1679936.941019381,5466648.89546684,-0.530550782
42,42,1679979.767331866,5466635.586638776,-0.610185604
43,43,1680028.023062791,5466587.219981523,-0.870190449
44,44,1680036.953390243,5466515.176527202,-0.825685753
45,45,1680049.127158968,5466491.854095866,-0.725979772
46,46,1680057.738118387,5466471.178701653,-0.376398292
47,47,1680072.096995745,5466430.252340993,-0.41835569
48,48,1680094.47251782,5466390.566903387,-0.108651848
49,49,1680107.194405261,5466372.209578269,-0.427163724
