OID,FID_,X,Y,BCE_Peloro
0,0,1682969.473153638,5467889.02545177,-9999.0
1,1,1683045.103401894,5467888.901413479,-9999.0
2,2,1683385.394336228,5467884.325505278,-9999.0
3,3,1683434.548663727,5467883.768500009,-9999.0
4,4,1685344.529443714,5467861.826488704,-9999.0
5,5,1685979.240612214,5467855.213200659,-9999.0
6,6,1686001.927257708,5467854.948167065,-9999.0
7,7,1686414.063573058,5467849.741420536,-9999.0
8,8,1686455.651665633,5467848.904056053,-9999.0
9,9,1686663.612624951,5467846.458504814,-9999.0
10,10,1682767.350705413,5467887.42251384,-9999.0
11,11,1682874.412515214,5467880.788680294,-9999.0
12,12,1683234.1690333,5467878.54947906,-9999.0
13,13,1683612.302145516,5467871.982813957,-9999.0
14,14,1686279.033982735,5467848.156808219,-9999.0
15,15,1686342.186287564,5467847.495835103,-9999.0
16,16,1682386.507673538,5467880.043937109,-9999.0
17,17,1682599.910999219,5467873.970768693,-9999.0
18,18,1682772.781948475,5467871.08898217,-9999.0
19,19,1682841.900817391,5467871.251252459,-9999.0
20,20,1682863.222879051,5467870.071400497,-9999.0
21,21,1682893.476210794,5467870.139818964,-9999.0
22,22,1683143.983517722,5467873.783063471,-9999.0
23,23,1683312.70392765,5467866.206944843,-9999.0
24,24,1683373.640414442,5467869.068657583,-9999.0
25,25,1683421.43342515,5467870.835207419,-9999.0
26,26,1683523.248693738,5467871.275438474,-9999.0
27,27,1683597.282575265,5467866.644104431,-9999.0
28,28,1683684.938729523,5467866.320895873,-9999.0
29,29,1683755.56514238,5467860.380829912,-9999.0
30,30,1683809.860390054,5467860.293613236,-9999.0
31,31,1684164.348946374,5467866.866637764,-0.670774607
32,32,1685358.890891186,5467841.028983442,-9999.0
33,33,1685763.882182698,5467837.631283305,-9999.0
34,34,1685993.9732928,5467834.570155902,-9999.0
35,35,1686538.818733633,5467833.051151629,-9999.0
36,36,1686191.428934096,5467828.614798971,-9999.0
37,37,1686258.969731978,5467824.713434367,-9999.0
38,38,1686402.214766169,5467819.816060439,-9999.0
39,39,1686678.502201758,5467826.336513973,-9999.0
40,40,1686738.233716782,5467826.953075193,-9999.0
41,41,1686792.223211336,5467815.604242313,-9999.0
42,42,1683918.722573156,5467844.21192679,-9999.0
43,43,1683944.392334869,5467838.283314954,-9999.0
44,44,1683985.734341123,5467863.725373302,-9999.0
45,45,1684152.559185475,5467840.688434279,-0.812705838
46,46,1686550.130854417,5467807.234867918,-9999.0
47,47,1686593.291882768,5467824.024860552,-9999.0
48,48,1686659.211688726,5467806.821499705,-9999.0
49,49,1685774.687939466,5467812.075385184,-9999.0
50,50,1686228.050868018,5467801.911761588,-9999.0
51,51,1686259.65964855,5467802.072202343,-9999.0
52,52,1686330.695913658,5467801.085172109,-9999.0
53,53,1682426.878580878,5467841.76561027,-9999.0
54,54,1685366.323114728,5467817.618306302,-9999.0
55,55,1685889.845600937,5467800.709682906,-9999.0
56,56,1681244.259646917,5467836.130631756,-9999.0
57,57,1681857.963972655,5467867.882274485,-0.50200697
