FID,X,Y,BCE_Porirua_Harbour_Saltmarsh
0,1759082.616945879999548,5449744.127242218703032,-0.094299212000000
1,1759670.971218871884048,5449002.836583610624075,-0.116041671000000
2,1760300.233486212091520,5448804.579294123686850,0.636063829000000
3,1758165.058119561290368,5448406.517633724026382,-0.230000004000000
4,1758144.054653758648783,5448384.423300109803677,-0.230000004000000
5,1757679.254464815137908,5448349.396895100362599,0.262342104000000
6,1757136.029305526055396,5448346.117544868029654,-0.229490570000000
7,1757626.016740663442761,5448330.588669262826443,-0.137175004000000
8,1760708.820209078723565,5448487.374076997861266,0.955142856000000
9,1757972.632147251861170,5448270.930408185347915,-0.237804868000000
10,1757964.519143364392221,5448263.612694769166410,-0.223048773000000
11,1756398.805255796061829,5448287.210410274565220,-0.500000000000000
12,1757111.312971923733130,5448261.838248942047358,-0.228136991000000
13,1757910.386133424239233,5448215.366250171326101,-0.229999999000000
14,1756397.216836413368583,5448241.867553841322660,-0.500000000000000
15,1757847.760211745277047,5448148.751942191272974,-0.231000006000000
16,1757235.414033393608406,5448064.019806030206382,-0.230000004000000
17,1756385.945085624698550,5448052.956543175503612,
18,1756780.303832523059100,5447950.515813458710909,-0.237676475000000
19,1756812.527974830009043,5447949.574519845657051,-0.055247867000000
20,1760462.670894011855125,5448039.773522944189608,0.143056178000000
21,1758281.455824988195673,5447820.955349200405180,-0.236266669000000
22,1757989.836313310079277,5447797.493247029371560,-0.025605267000000
23,1755666.068613260285929,5447704.018850657157600,0.031983335000000
24,1755504.571556285489351,5447074.330657949671149,-0.500000000000000
25,1754963.740697663510218,5446979.556708863005042,-0.199607855000000
26,1754892.479169249534607,5446939.324754914268851,-0.500000000000000
27,1754835.898316419217736,5446919.490246330387890,-0.500000000000000
28,1754299.492770579643548,5446102.037123108282685,
29,1754271.927845490863547,5446007.203193226829171,-0.231133330000000
30,1754862.994187169009820,5445457.393988745287061,-0.364254238000000
31,1754503.971302639227360,5445342.566509484313428,-0.103000008000000
32,1754713.183298384537920,5445155.420090285129845,0.258127816000000
33,1754584.969198729377240,5445123.546880295500159,0.262816666000000
34,1754666.158386626979336,5445102.100551035255194,0.078120477000000
35,1760696.965523375896737,5448489.080143139697611,
36,1760421.575958295725286,5447970.027669547125697,
37,1760707.341425640741363,5448485.900106807239354,0.997999975000000
