OID,FID_,X,Y,BCE_Poriru
0,0,1758707.320003733,5449830.980718567,-0.230837841
1,1,1758670.816318366,5449811.557938767,-0.230705888
2,2,1759029.958345967,5449756.032711231,-0.06123558
3,3,1759114.271130453,5449706.943591127,-0.096000001
4,4,1759154.597539393,5449654.695555721,-0.230000004
5,5,1758439.269523096,5449658.483242508,-0.230000004
6,6,1758417.723760543,5449639.576412688,-0.230000004
7,7,1758718.118168906,5449624.2501544,-0.230000004
8,8,1758846.555055015,5449621.983589143,-0.230000004
9,9,1758785.809921811,5449612.804217663,-0.230000004
10,10,1758865.59307193,5449611.449728164,-0.230000004
11,11,1758583.235636661,5449607.73799028,-0.230000004
12,12,1758620.962257904,5449606.920493982,-0.230000004
13,13,1759252.322236279,5449509.924226435,-0.230000004
14,14,1759285.410295333,5449486.752097634,-0.230000004
15,15,1758088.408123701,5449478.234858271,-0.230000004
16,16,1758438.776781446,5449461.148590339,-0.230000004
17,17,1758857.24997496,5449676.146004316,-0.231201266
18,18,1758197.939132521,5449456.28953896,-0.230000004
19,19,1758257.282720911,5449455.422319232,-0.230000004
20,20,1758427.659580263,5449450.735943696,-0.230000004
21,21,1758378.807094201,5449442.400154947,-0.230000004
22,22,1758413.582660112,5449440.153478622,-0.230000004
23,23,1758567.435801329,5449438.315875273,-0.230000004
24,24,1758138.304438595,5449406.691206235,-0.230000004
25,25,1757937.51011982,5449379.088120981,-0.230000004
26,26,1758105.673708768,5449378.461601229,-0.230000004
27,27,1757926.347038502,5449364.741485707,-0.230000004
28,28,1758079.119938382,5449342.991438171,-0.230000004
29,29,1758123.117439851,5449337.797153032,-0.230000004
30,30,1757903.667486495,5449327.42113982,-0.230000004
31,31,1757878.407331647,5449310.47922009,-0.230000004
32,32,1758001.84516241,5449300.505476218,-0.230000004
33,33,1758020.955234121,5449300.469642,-0.230000004
34,34,1757957.200984597,5449282.033433566,-0.230000004
35,35,1757987.046914113,5449283.896621745,-0.230000004
36,36,1757818.670785194,5449272.708809059,-0.230000004
37,37,1757899.374704348,5449263.182979807,-0.230000004
38,38,1759399.802197724,5449327.815301429,-0.176265489
39,39,1757795.880765877,5449236.134251565,-0.230000004
40,40,1757892.196682103,5449225.407293065,-0.230000004
41,41,1757781.557789456,5449213.618936087,-0.230000004
42,42,1759369.000437714,5449175.973201187,0.006451826
43,43,1756814.194849862,5449196.340230486,0.005283018
44,44,1757817.743696753,5449181.633896596,-0.230000004
45,45,1757654.534975714,5449148.82016659,-0.230000004
46,46,1757707.68265435,5449123.783152573,-0.230000004
47,47,1756772.598572092,5449126.781204194,0.458163643
48,48,1757770.527966223,5449114.061854383,-0.230000004
49,49,1757509.003653624,5449134.425263328,-0.230000004
50,50,1757649.035616614,5449119.657299172,-0.230000004
51,51,1756312.803367741,5449140.302768628,-0.475556791
52,52,1757639.194939525,5449094.832012628,-0.230000004
53,53,1759211.506489503,5449054.77867015,-0.230000004
54,54,1757491.085131858,5449082.028094593,-0.230000004
55,55,1757770.240917344,5449076.015110282,-0.230000004
56,56,1759920.866104801,5449021.699578024,0.088
57,57,1760048.438890446,5449025.190580349,-0.060802472
58,58,1756751.636545819,5449087.718751327,0.548169013
59,59,1757468.021686995,5449062.569063308,-0.230000004
60,60,1757731.484059248,5449079.009163182,-0.230000004
61,61,1757769.81089893,5449056.069001179,-0.230000004
62,62,1760031.005665693,5449007.607811272,0.041429488
63,63,1756339.6058926,5449077.253118324,0.043596153
64,64,1759686.003892605,5449002.440627703,-0.224802821
65,65,1759229.840519749,5449004.867585186,-0.230000004
66,66,1757894.210465599,5449023.829669361,-0.230000004
67,67,1759647.652310775,5448988.3198532,-0.230000004
68,68,1757697.833323771,5449018.086431922,-0.230000004
69,69,1757722.149525665,5449023.662095309,-0.230000004
70,70,1757758.134120342,5449021.619675908,-0.230000004
71,71,1757838.629739994,5449015.518681678,-0.230000004
72,72,1759184.138309444,5448985.906294304,-0.230000004
73,73,1759240.166464668,5448984.310551981,-0.230000004
74,74,1756357.495730228,5449048.380198341,-0.15405189
75,75,1757878.69073997,5449004.209114198,-0.230000004
76,76,1757746.037071534,5448996.507511362,-0.230000004
77,77,1757790.162930166,5448991.938417368,-0.230000004
78,78,1758024.566381779,5448984.9376666,-0.230000004
79,79,1756357.377116218,5449005.627178766,-0.015230775
80,80,1757819.319386282,5448991.581530981,-0.230000004
81,81,1756364.874477954,5448996.009052695,-0.326346153
82,82,1756613.53779784,5448990.691498724,-0.5
83,83,1757930.024713166,5448967.906654803,-0.230000004
84,84,1757525.974527079,5448965.754405088,-0.230000004
85,85,1756681.171580339,5448969.496350382,0.241285716
86,86,1757933.427382438,5448942.785030649,-0.230000004
87,87,1759163.201046722,5448916.140436798,-0.230000004
88,88,1759216.013444617,5448914.991558362,-0.230000004
89,89,1759253.736587587,5448914.170697354,-0.230000004
90,90,1759190.104049596,5448912.086393895,-0.230000004
91,91,1756404.091315498,5448967.003158177,-0.070496429
92,92,1759362.822044671,5448872.261444636,-0.230000004
93,93,1756655.992459355,5448910.937970872,-0.014543481
94,94,1757380.37486973,5448917.248787023,-0.230000004
95,95,1757502.087293447,5448891.799784828,-0.230000004
96,96,1757860.58936699,5448864.911839303,-0.230000004
97,97,1757440.881504543,5448853.621950242,-0.230000004
98,98,1757980.87134145,5448842.360620425,-0.230000004
99,99,1757369.551146798,5448845.55540238,-0.230000004
100,100,1757508.343842509,5448831.799064429,-0.230000004
101,101,1758557.347253641,5448809.55990532,-0.230000004
102,102,1757380.191363687,5448824.994474994,-0.230000004
103,103,1759499.883381775,5448779.098178811,-0.230000004
104,104,1756388.577923234,5448841.703714367,-0.17125568
105,105,1757308.616894966,5448810.69213054,-0.230000004
106,106,1757326.208548995,5448846.868290655,-0.230000004
107,107,1757368.151208946,5448809.650318212,-0.230000004
108,108,1757252.341084048,5448800.625760181,-0.230000004
109,109,1757507.588878824,5448782.342668451,-0.230000004
110,110,1756371.021775352,5448792.37298342,-0.284333338
111,111,1756361.326964643,5448783.365216517,-0.5
112,112,1757393.993229457,5448764.831604933,-0.230000004
113,113,1759655.544538,5448716.499165195,-0.230000004
114,114,1759736.785896038,5448714.440297795,-0.230000004
115,115,1756345.10920187,5448773.534444055,-0.5
116,116,1757205.159557136,5448758.497530109,-0.230000004
117,117,1759785.049847904,5448703.031934251,-0.230000004
118,118,1757385.539433195,5448750.358736959,-0.230000004
119,119,1759724.786177274,5448694.369819673,-0.230000004
120,120,1756411.395818575,5448829.02715533,-0.401778767
121,121,1756615.406070911,5448751.679377186,1.357888873
122,122,1759716.705564345,5448684.152631522,-0.230000004
123,123,1756697.287521853,5449168.890950218,-0.485233483
124,124,1759753.783443751,5448653.825464895,-0.230000004
125,125,1757342.2517489,5448701.951688653,-0.230000004
