OID,FID_,X,Y,BCE_Port_F
0,0,1808633.993416263,5997979.870084777,-0.243999973
1,1,1808620.16363781,5997951.937473837,-0.43261508
2,2,1808626.567458673,5997880.652462989,-0.412812945
3,3,1808647.458287975,5997844.309975349,-9999.0
4,4,1808658.869871055,5997814.121268108,-0.748999986
5,5,1809240.307096389,5997775.283666311,-9999.0
6,6,1808646.574758474,5997740.293923577,-0.392162669
7,7,1808643.851819415,5997675.455445113,-0.591542537
8,8,1808654.391648005,5997649.124425784,-0.458238521
9,9,1808773.255628176,5997641.503293077,-0.493112875
10,10,1808731.571304256,5997631.848216265,0.254312821
11,11,1808791.61005316,5997621.681607198,0.120594647
12,12,1808709.396558626,5997627.254518125,-0.366333318
13,13,1808810.750690351,5997591.31933323,-0.107643478
14,14,1808814.589825038,5997561.098542078,-0.398995573
15,15,1808772.147364177,5997477.350379662,-9999.0
16,16,1808763.587470934,5997457.610363815,-0.805976703
17,17,1810492.613391962,5997381.212603699,0.011414639
18,18,1810470.343667423,5997371.777037033,0.376084209
19,19,1810475.087342824,5997331.975166435,-0.924965486
20,20,1808679.419341045,5997320.013277164,-9999.0
21,21,1808662.657267406,5997295.483371221,-0.732128135
22,22,1810472.604097148,5997222.13924758,0.277686757
23,23,1808645.657352878,5997260.987190434,-0.852666626
24,24,1811070.413669002,5997192.742233461,-0.924230745
25,25,1810971.362890768,5997110.383744217,-0.890928545
26,26,1810970.640725314,5997080.484350799,-0.880999953
27,27,1810261.604760865,5996688.722806578,-9999.0
28,28,1810273.489012615,5996678.46449495,-9999.0
29,29,1810055.013588759,5996673.750284676,-9999.0
30,30,1811136.987896351,5996607.969234964,-0.483568181
31,31,1811262.86971619,5996605.307721464,-0.75185995
32,32,1811120.752316234,5996604.553364888,-0.336999983
33,33,1811294.26970792,5996583.668533169,-0.434614549
34,34,1811484.223314284,5996579.420777492,-0.634642893
35,35,1811565.051228549,5996577.462610545,-9999.0
36,36,1811306.319431008,5996573.553998237,-0.495259282
37,37,1811580.975103082,5996567.104680227,-9999.0
38,38,1811652.995278805,5996535.442348693,-0.848535707
39,39,1810689.990506064,5996176.576818701,-9999.0
40,40,1810969.379101074,5995689.384099541,-0.620846153
41,41,1810952.492619284,5995659.875494896,-0.846888862
42,42,1812403.963235055,5995490.052513786,-0.790725007
43,43,1812209.980291616,5995360.395729951,-0.493999988
44,44,1812223.104081417,5995362.006754573,-0.634166661
45,45,1812190.202692784,5995345.665375238,-0.926554035
46,46,1812469.193299117,5995343.762820926,-9999.0
47,47,1810387.257783003,5995358.663688956,-9999.0
48,48,1810395.27492446,5995349.024094078,-9999.0
49,49,1812154.710311138,5995279.049624538,-0.763796392
50,50,1812154.847673527,5995221.870297441,-9999.0
51,51,1811186.880967473,5995146.159570742,-9999.0
52,52,1812002.79721368,5995120.854905689,-9999.0
53,53,1811990.432978447,5995111.182856294,-9999.0
54,54,1812002.313048014,5995100.921933288,-9999.0
55,55,1812014.193089357,5995090.660996458,-9999.0
56,56,1812013.345975552,5995055.778250199,-9999.0
57,57,1807494.336440021,5995099.562120046,-9999.0
58,58,1807530.668090362,5995079.338573227,-0.194621606
59,59,1807546.793058328,5995073.294992925,-9999.0
60,60,1810588.259129036,5994975.598155647,-9999.0
61,61,1810579.576973761,5994950.876831766,-9999.0
62,62,1810571.134936701,5994936.122240121,-9999.0
63,63,1810562.452553984,5994911.401300647,-9999.0
64,64,1807895.295031767,5994959.656849718,-0.913499959
65,65,1810561.261972247,5994886.499264773,-9999.0
66,66,1808742.383579059,5994879.604947897,-9999.0
67,67,1809526.027654181,5994851.581182197,-9999.0
68,68,1809541.950469422,5994841.226634481,-9999.0
69,69,1809557.873577867,5994830.872055138,-9999.0
70,70,1807957.586395771,5994859.179527136,-0.641703672
71,71,1808741.04402551,5994835.48960923,-9999.0
72,72,1808005.716354861,5994843.07444564,-9999.0
73,73,1808037.209083755,5994807.421555729,-9999.0
74,74,1809046.856157735,5994763.35070725,-9999.0
75,75,1809628.688040502,5994749.394033323,-9999.0
76,76,1808032.10302717,5994788.826127827,-0.576023206
77,77,1808731.697793439,5994770.894479858,-0.86242852
78,78,1809643.78167213,5994729.087215928,-9999.0
79,79,1810589.84714894,5994706.308913236,-9999.0
80,80,1808730.982522569,5994740.995179027,-0.620199952
81,81,1808059.436916447,5994747.059307635,-9999.0
82,82,1809094.148088991,5994712.357120413,-9999.0
83,83,1809716.381258831,5994697.426111325,-9999.0
84,84,1808067.473548177,5994727.124835495,-0.578049966
85,85,1809675.737005869,5994688.430749686,-0.534199949
86,86,1809724.222829885,5994687.26562911,-9999.0
87,87,1810580.924280613,5994671.621112955,-0.894749954
88,88,1809732.064107535,5994677.10502283,-9999.0
89,89,1808091.399291244,5994706.408972653,-0.811076912
90,90,1808107.323417003,5994696.057179537,-9999.0
91,91,1809003.586899223,5994644.72147094,-9999.0
92,92,1809019.590338055,5994644.53948576,-9999.0
93,93,1809730.746711367,5994622.289616468,-9999.0
94,94,1808712.317932743,5994636.734347099,-9999.0
95,95,1810772.340098333,5994562.291188802,-9999.0
96,96,1808218.315661364,5994603.660957894,-9999.0
97,97,1811983.746690267,5994503.030604845,-9999.0
98,98,1809752.603462244,5994546.972705188,-9999.0
99,99,1811959.25503361,5994493.665944361,-9999.0
100,100,1808298.410122957,5994571.83321264,-9999.0
101,101,1808734.692322671,5994551.234971558,-0.920999956
102,102,1812411.706689685,5994313.120539623,-0.343387499
103,103,1812430.535998752,5994314.620646847,-0.277861115
104,104,1811533.500401707,5994274.620431017,-9999.0
105,105,1811492.855718288,5994265.632978159,-0.980499983
106,106,1811460.511302975,5994260.660081682,-9999.0
107,107,1811624.252272446,5994182.668543006,-9999.0
108,108,1810569.259708695,5994188.247730128,-9999.0
109,109,1812069.916152014,5994139.438032455,-0.776071398
