OID,FID_,X,Y,BCE_Port_F
0,0,1809295.541316825,5998164.49991603,-0.097631785
1,1,1808935.415702889,5998051.890758128,-9999.0
2,2,1808656.602670276,5998001.264281594,-0.283250006
3,3,1808671.476968394,5998003.288794249,-0.891772766
4,4,1808647.85368177,5997992.303510658,-0.32515217
5,5,1808637.837727698,5997974.176448825,-0.6595
6,6,1808626.990714887,5997964.058896164,-0.495723877
7,7,1809711.918223191,5997878.654314077,-0.926333275
8,8,1808643.477908854,5997829.262438562,0.120233343
9,9,1808650.548030032,5997804.347957136,-0.089541633
10,10,1808639.105397988,5997880.808868278,0.050472766
11,11,1808658.155826542,5997784.222027491,-0.686285703
12,12,1808652.063996162,5997743.5558097,-0.928884586
13,13,1808755.630256496,5997632.312338538,0.886349685
14,14,1808806.74444786,5997571.258227894,2.426676943
15,15,1808806.267959163,5997551.325383476,0.083349977
16,16,1808720.531804597,5997643.689277854,0.335736232
17,17,1808814.113458831,5997541.165795526,-0.896533418
18,18,1808771.789911807,5997462.400919081,-9999.0
19,19,1808765.935065391,5997443.000172574,-9999.0
20,20,1810460.263574395,5997371.672327229,2.967095867
21,21,1810495.0777946,5997329.78941909,-0.145730534
22,22,1811072.274193716,5997204.96461503,-0.769727265
23,23,1808648.004973311,5997246.376856274,-0.996999979
24,24,1811078.208232645,5997192.566354435,-9999.0
25,25,1808410.171791798,5997221.735440513,-9999.0
26,26,1810963.400016006,5997115.56220967,-0.308284804
27,27,1810979.170572814,5997108.556482871,-0.704820199
28,28,1811702.106852049,5996893.255297574,-0.201200021
29,29,1811722.584844354,5996882.57381576,-0.501440936
30,30,1811745.637884002,5996871.010745373,-0.253978499
31,31,1811762.905423946,5996849.261954095,-0.351749991
32,32,1811779.480131987,5996811.817635661,-0.198912285
33,33,1811792.559732303,5996786.428357278,-9999.0
34,34,1811795.947303448,5996770.109010519,-0.537049994
35,35,1809991.549145448,5996725.13740663,-9999.0
36,36,1809975.024101253,5996710.576382686,-0.639526293
37,37,1809999.135501811,5996704.283339054,0.092547185
38,38,1810247.199990179,5996704.560343531,-9999.0
39,39,1810015.078774521,5996694.654864454,-0.650455716
40,40,1810273.728996656,5996688.430919202,-9999.0
41,41,1810043.934289869,5996700.640346879,-0.918781783
42,42,1810277.72099339,5996665.48639226,-9999.0
43,43,1811508.454025644,5996578.106475854,0.016470573
44,44,1811577.175190563,5996577.16886256,-9999.0
45,45,1810045.252457267,5996604.179796292,-9999.0
46,46,1811484.189515421,5996572.712458394,0.964076947
47,47,1811544.767528292,5996577.027521206,0.520352534
48,48,1811580.492149032,5996547.171823921,-0.460295778
49,49,1811588.333400941,5996537.009518561,-0.236849999
50,50,1811731.680181797,5996576.468383135,-0.651576236
51,51,1811631.20111943,5996547.985429041,-0.437572377
52,52,1811255.570343229,5996596.869093833,0.130202108
53,53,1810877.114053466,5996470.264763074,-9999.0
54,54,1810682.949627538,5996177.033344312,-9999.0
55,55,1810978.063221171,5995714.104996844,-0.570324996
56,56,1810976.751252437,5995684.219808968,-9999.0
57,57,1810969.017933003,5995674.434366126,-9999.0
58,58,1810959.519529626,5995630.301824652,-0.349452803
59,59,1810748.399987416,5995580.040825658,-9999.0
60,60,1812459.827435737,5995465.389891105,-0.426376055
61,61,1812263.906851958,5995383.762952658,-0.8609655
62,62,1810339.728845569,5995399.69771991,-9999.0
63,63,1812197.695030203,5995345.483241651,-0.943999968
64,64,1812459.168085485,5995344.570029297,-0.759181966
65,65,1810395.438852065,5995353.527459148,0.798365652
66,66,1810450.726724529,5995307.999507405,-9999.0
67,67,1811274.987659612,5995301.728630275,-9999.0
68,68,1810458.5678592,5995297.838326693,-0.877999984
69,69,1810474.490622136,5995287.48214929,0.083905701
70,70,1810483.280345357,5995306.444019439,-9999.0
71,71,1811249.273651273,5995282.161657825,-9999.0
72,72,1810488.116150188,5995274.428423352,-0.765305054
73,73,1810522.303446809,5995270.76404732,-9999.0
74,74,1810506.095879233,5995256.803014265,-0.689105236
75,75,1812156.211578757,5995247.335115865,-0.795228534
76,76,1812154.484427571,5995206.920402157,-9999.0
77,77,1810529.859570267,5995236.285490704,-9999.0
78,78,1810541.758341662,5995245.655579938,-9999.0
79,79,1810537.46035713,5995216.157570913,-0.754999961
80,80,1812322.984491638,5995152.961107926,-9999.0
81,81,1811999.090852871,5995130.79784171,-0.7404545
82,82,1811187.249697837,5995144.926824791,-9999.0
83,83,1811990.704490454,5995121.110789248,-0.96307694
84,84,1811986.614044934,5995101.618369197,-0.792133794
85,85,1812005.990628254,5995085.874059386,-0.235923037
86,86,1810239.225669428,5995149.656815686,-9999.0
87,87,1812015.95759689,5995097.719310558,-9999.0
88,88,1809265.803656557,5995127.073038234,-9999.0
89,89,1807325.461898981,5995163.406952451,-9999.0
90,90,1809281.138088174,5995116.73321025,-9999.0
91,91,1807269.671400558,5995155.351314984,-0.204599973
92,92,1807281.983299974,5995167.704767353,0.513437543
93,93,1812012.982859834,5995040.828344661,-9999.0
94,94,1809281.249501575,5995096.786176573,-9999.0
95,95,1807333.555938208,5995132.329883894,-0.573130032
96,96,1809272.451184188,5995067.080746809,-9999.0
97,97,1807395.661632276,5995122.132835529,-9999.0
98,98,1807421.904851583,5995104.654326038,-9999.0
99,99,1807477.937048983,5995089.979966632,-0.705799949
100,100,1809287.228439286,5995061.676065419,-9999.0
101,101,1807493.862570949,5995079.629164488,-0.436727246
102,102,1807655.469662636,5995075.058733384,-9999.0
103,103,1807663.331041665,5995065.626791573,-0.98299998
104,104,1809287.657913708,5995026.827501805,-9999.0
105,105,1809309.970155478,5995029.708047324,-9999.0
106,106,1807528.89502647,5995092.181035573,-0.671625351
107,107,1807646.931557086,5995056.044884343,-9999.0
108,108,1809295.500032352,5995016.667294504,-0.512599947
109,109,1809327.825114339,5995015.891730697,-9999.0
110,110,1807654.775600373,5995045.886115133,2.213123105
111,111,1807686.903349423,5995049.501215663,-0.754333278
112,112,1809303.34225176,5995006.506840154,-9999.0
113,113,1807670.698634764,5995036.216181556,-9999.0
114,114,1809319.265792214,5994996.152917891,-0.879285663
115,115,1810573.038541608,5995087.510310743,0.081173149
116,116,1807727.11121912,5995024.322843627,-9999.0
117,117,1809335.189173162,5994985.798691551,-0.715285669
118,118,1809353.605516582,5994995.416404841,-9999.0
119,119,1810587.778410301,5994955.665033087,-9999.0
120,120,1807705.980103075,5995032.322641683,-9999.0
121,121,1811897.610166948,5994912.725375864,-9999.0
122,122,1807763.870069995,5995019.718965512,1.044438183
123,123,1809350.873489742,5994965.478498513,-9999.0
124,124,1807809.47687565,5995002.487996818,3.221803286
125,125,1810579.095843524,5994930.944051218,-9999.0
126,126,1811756.037542718,5994892.550631863,-9999.0
127,127,1807847.300313463,5994981.471063931,-0.29827268
128,128,1809369.981376067,5994962.481323033,-0.745888847
129,129,1809455.450574039,5994943.024890378,-9999.0
130,130,1807855.14396169,5994971.312456595,-0.207914289
131,131,1809162.746465947,5994942.610788901,-9999.0
132,132,1809390.681572563,5994939.592608425,0.497518563
133,133,1809410.764892323,5994934.124831908,-9999.0
134,134,1810554.251184043,5994906.612684,-0.785666658
135,135,1811713.404393162,5994873.768191937,-9999.0
136,136,1807871.068924397,5994960.960905284,-0.214023778
137,137,1808703.425794558,5994941.096229253,-9999.0
138,138,1809446.891245846,5994923.28579003,1.036719342
139,139,1809467.213396193,5994927.784242216,-9999.0
140,140,1810553.770057442,5994886.680016301,-0.71086667
141,141,1808711.030154677,5994920.970103149,0.264666716
142,142,1809454.613366307,5994908.142272795,-9999.0
143,143,1808674.537555982,5994933.319616735,-9999.0
144,144,1809470.416750015,5994892.804921413,-9999.0
145,145,1809486.339775964,5994882.450558874,-0.330999961
146,146,1809494.181650494,5994872.289915721,-9999.0
147,147,1808007.00543149,5994897.162896554,-9999.0
148,148,1808014.747501191,5994882.74741755,-9999.0
149,149,1809520.719029791,5994875.048024489,-0.427866643
150,150,1808026.512975355,5994867.508609184,-9999.0
151,151,1809525.549146743,5994831.648418129,-0.363634099
152,152,1808010.113252231,5994857.927700213,-9999.0
153,153,1808046.47793473,5994857.060518915,-9999.0
154,154,1809541.471980528,5994821.294023708,-0.643243854
155,155,1810583.930710051,5994796.201856428,-0.759272712
156,156,1808053.731932324,5994846.915790753,-9999.0
157,157,1809557.394821433,5994810.939276148,-0.191759992
158,158,1807997.516498945,5994838.283848062,-0.708576898
159,159,1810599.371309647,5994765.912472212,0.099053586
160,160,1808045.527705066,5994817.19504561,-9999.0
161,161,1810589.466842645,5994829.933013835,-0.282315766
162,162,1807919.136483057,5994928.554879488,-0.46918916
163,163,1808029.127851607,5994807.614212919,-0.653823481
164,164,1808020.809302201,5994797.840441303,-0.600648679
165,165,1809588.522103532,5994760.331069114,-0.495666624
166,166,1809594.986682816,5994791.608956712,-0.37687426
167,167,1809596.363748518,5994750.170557766,-0.529185138
168,168,1808020.334177728,5994777.90764977,-0.610545507
