OID,FID_,X,Y,BCE_Port_F
0,0,1809316.504289197,5998156.940723063,-9999.0
1,1,1809294.631852719,5998129.653192711,1.398125023
2,2,1809276.280874582,5998095.190338948,-0.529506004
3,3,1809252.019123808,5998065.977046603,-0.821571399
4,4,1808773.122878829,5998059.34474228,-0.663531281
5,5,1808963.491907003,5998062.226397187,-9999.0
6,6,1809234.833551667,5998032.030802289,-0.353822173
7,7,1808712.294169195,5998012.084019558,-0.909999952
8,8,1808672.857712568,5997996.408113927,-0.569376273
9,9,1808646.035803837,5997954.035636031,-9999.0
10,10,1808608.987753839,5997906.722269278,0.993615387
11,11,1808652.20154749,5997911.359320682,-9999.0
12,12,1809687.030861178,5997859.507773299,-9999.0
13,13,1809193.227347947,5997819.527945491,-9999.0
14,14,1808676.643911633,5997820.904791482,-9999.0
15,15,1808682.646209565,5997793.60825803,-9999.0
16,16,1809233.862590315,5997816.11927514,-0.753399956
17,17,1809991.790076178,5997766.657907324,-9999.0
18,18,1808669.806061106,5997763.998888096,-9999.0
19,19,1810029.200557369,5997739.041890722,-0.870928524
20,20,1810054.22620393,5997671.181024057,-9999.0
21,21,1810042.369014221,5997661.29899571,-9999.0
22,22,1808671.394472398,5997700.430096331,-9999.0
23,23,1808768.863823507,5997665.610510099,-9999.0
24,24,1808829.413660392,5997617.25172445,-9999.0
25,25,1810029.11068919,5997645.505601045,-0.07423333
26,26,1808843.836505161,5997600.28678258,-9999.0
27,27,1808846.267190038,5997554.75000545,-9999.0
28,28,1808821.721411798,5997521.038901056,-9999.0
29,29,1808781.217550226,5997478.076131061,-0.358363145
30,30,1810585.534250459,5997359.61177741,-0.427171166
31,31,1808740.417585017,5997400.465989537,-0.524631097
32,32,1810481.531160985,5997386.705280977,0.6264
33,33,1808712.825162132,5997364.088468892,-9999.0
34,34,1808704.503637908,5997354.315241735,-9999.0
35,35,1808688.098766822,5997344.735143759,-0.738951187
36,36,1808676.065796392,5997329.493591561,-0.703218692
37,37,1810555.128829599,5997319.674261461,-9999.0
38,38,1808678.824827979,5997295.096382275,-9999.0
39,39,1811111.027080896,5997224.64302422,-0.883347786
40,40,1811119.395857168,5997217.059079668,-9999.0
41,41,1810501.838976559,5997245.175143131,-9999.0
42,42,1810480.327802811,5997206.994344206,-9999.0
43,43,1811073.124546503,5997189.482898545,-0.624376328
44,44,1810459.227023843,5997200.434749957,0.6739313
45,45,1808644.725003961,5997246.382756229,-0.550107631
46,46,1811058.866603122,5997158.805887487,-0.189347214
47,47,1811157.843242093,5997135.994310811,-9999.0
48,48,1810790.359593921,5997073.331863186,-9999.0
49,49,1810978.658001752,5997097.219025904,-0.090834031
50,50,1810784.26431376,5997065.766258339,-9999.0
51,51,1810953.75314316,5997050.974666758,-0.740574451
52,52,1811685.941823615,5996893.646210063,0.330200017
53,53,1811652.884905949,5996864.530488744,-0.922733359
54,54,1811764.986964699,5996841.336761047,-0.379909087
55,55,1811575.28605262,5996738.633584927,-9999.0
56,56,1811593.896264269,5996758.188316333,-9999.0
57,57,1809951.358278872,5996735.348039503,-9999.0
58,58,1810201.704402951,5996720.080578385,-9999.0
59,59,1810228.260031791,5996727.658351468,-9999.0
60,60,1811534.622286406,5996681.726666381,-9999.0
61,61,1811784.94488158,5996692.970546792,-0.868600011
62,62,1809955.781566831,5996714.297930485,-0.343244401
63,63,1810189.22030017,5996705.42277726,-0.430862964
64,64,1810257.253207029,5996708.331234656,-9999.0
65,65,1811169.11559041,5996647.725757975,-9999.0
66,66,1810276.899032448,5996666.021962413,-0.440461491
67,67,1810272.530182639,5996638.597831506,-0.751428522
68,68,1811292.690885298,5996623.565961186,-9999.0
69,69,1810039.491430867,5996705.456733753,-0.856838343
70,70,1810053.815780119,5996623.917254565,-9999.0
71,71,1811023.747359717,5996600.532236198,-9999.0
72,72,1811091.004355719,5996625.11923374,-0.808428526
73,73,1811316.070304661,5996606.042000952,-9999.0
74,74,1811325.441346335,5996597.032091217,-9999.0
75,75,1811427.645021367,5996580.789910796,-9999.0
76,76,1811589.299908421,5996576.874480207,-9999.0
77,77,1811493.068650448,5996592.747241889,-0.766987133
78,78,1811720.985536364,5996698.243008862,-0.549983908
79,79,1811387.002694343,5996564.639308811,-9999.0
80,80,1811644.977858276,5996535.392193661,-0.738155553
81,81,1810029.565469527,5996593.357288693,-0.746999956
82,82,1811009.847969293,5996592.276036844,-9999.0
83,83,1810858.711656874,5996469.146379555,-9999.0
84,84,1810747.792436435,5996203.400893438,-9999.0
85,85,1810692.849435118,5996191.165146924,-9999.0
86,86,1810650.756459951,5996173.650713917,-9999.0
87,87,1810615.43070702,5996155.452051275,-9999.0
88,88,1810982.353847691,5995696.821545825,-0.382093619
89,89,1810950.927940339,5995595.0930792,-0.368987179
90,90,1810430.651363705,5995593.428692043,-9999.0
91,91,1810950.205727242,5995565.193212026,-9999.0
92,92,1810424.665580155,5995568.632269758,-9999.0
93,93,1810933.680863524,5995550.634121038,-0.821444392
94,94,1812425.150488143,5995520.483536038,-0.234000002
95,95,1812417.786966051,5995400.164920826,-9999.0
96,96,1812244.866926912,5995374.596634284,-0.576407191
97,97,1812263.423081866,5995363.82919073,-9999.0
98,98,1812200.702566401,5995354.161997986,-0.703327474
99,99,1810312.456168258,5995398.264482875,-0.692142804
100,100,1812235.554154589,5995339.870732957,-9999.0
101,101,1810364.570009024,5995372.860290777,-9999.0
102,102,1812461.749618969,5995332.243856413,-0.317714259
103,103,1811291.603644516,5995319.033705847,-9999.0
104,104,1812390.007731564,5995388.118138703,-0.874591849
105,105,1810443.271198131,5995328.61381893,-9999.0
106,106,1811305.746274698,5995328.531470515,-9999.0
107,107,1812178.947365278,5995310.322541608,-0.627549229
108,108,1812172.343905547,5995276.292267961,-9999.0
109,109,1812398.228261453,5995261.027340786,-9999.0
110,110,1810490.654264301,5995287.09217777,-9999.0
111,111,1810510.864406311,5995277.680168709,-9999.0
112,112,1810529.238505117,5995246.272097026,-9999.0
113,113,1811254.709559993,5995290.874967413,-9999.0
114,114,1812150.445003994,5995207.017669355,-9999.0
115,115,1812387.168109547,5995191.502935144,-9999.0
116,116,1811143.330890634,5995191.549222762,-9999.0
117,117,1812157.997454375,5995167.529037761,-9999.0
118,118,1812365.552682515,5995170.257766929,-9999.0
119,119,1812328.21103193,5995146.185434665,-0.850333293
120,120,1810283.143010931,5995206.223738805,-9999.0
121,121,1812306.095037539,5995123.454091904,-9999.0
122,122,1811993.334365407,5995127.982287379,-0.960399961
123,123,1812127.902525722,5995118.015574392,-9999.0
124,124,1811177.49826909,5995169.89473973,-0.476696163
125,125,1812283.515608757,5995101.325163187,-9999.0
126,126,1807262.331157038,5995204.06650874,-9999.0
127,127,1810234.757546502,5995147.028441003,-9999.0
128,128,1811173.727710371,5995111.035450585,0.002333373
129,129,1812272.235332618,5995085.202327021,-9999.0
130,130,1810549.679328746,5995190.11102553,-0.713058773
131,131,1812260.467782987,5995058.441158304,-9999.0
132,132,1810567.380297891,5995092.782535495,-9999.0
133,133,1812005.022861538,5995046.007129098,-9999.0
134,134,1807305.986875215,5995162.759085957,-0.436714239
135,135,1807359.037000752,5995141.12323766,-9999.0
136,136,1807381.910562584,5995132.149406342,-9999.0
137,137,1810162.465824979,5995086.86141288,-9999.0
138,138,1810593.327476309,5995067.104201201,-9999.0
139,139,1810600.750888632,5995046.576864646,-9999.0
140,140,1807456.060550468,5995120.143479376,-9999.0
141,141,1807478.631533597,5995113.991562704,-9999.0
142,142,1810610.703736365,5995035.10433771,-9999.0
143,143,1807619.588385579,5995096.232008176,-9999.0
144,144,1809267.212290825,5995102.511510734,-0.487678524
145,145,1811968.960566705,5994984.815467562,-9999.0
146,146,1807679.714423315,5995074.480923544,-9999.0
147,147,1809295.978645163,5995036.599557881,-9999.0
148,148,1811946.463593152,5994962.578131028,-0.958999932
149,149,1807634.368949611,5995068.925677893,0.528836205
150,150,1807697.900195345,5995046.52140692,-9999.0
151,151,1810610.163973285,5994987.557898299,-9999.0
152,152,1807776.452914249,5995041.614359073,-9999.0
153,153,1809340.170986974,5995000.588647382,-9999.0
154,154,1811921.426694808,5994933.355099559,-9999.0
155,155,1810579.937976651,5994965.82624575,-0.96633329
156,156,1807733.202946547,5995029.557019811,0.641508524
157,157,1807798.435398085,5995020.645349792,-9999.0
158,158,1807823.932471286,5995012.427725269,-9999.0
159,159,1807842.829480178,5994996.264652423,0.273290913
160,160,1809399.122261252,5994954.348058066,-9999.0
161,161,1809423.109275208,5994943.073149905,-9999.0
162,162,1807899.523577423,5994988.040257708,-9999.0
163,163,1809170.253333466,5994952.264714344,-9999.0
164,164,1809455.959564838,5994930.520381822,-9999.0
165,165,1809490.004926797,5994925.327383293,-9999.0
166,166,1810563.627386298,5994932.147800213,-0.877459434
167,167,1808695.106837754,5994931.322484937,-9999.0
168,168,1810715.236291254,5994882.983374795,-9999.0
169,169,1808687.183736357,5994966.109613001,-9999.0
170,170,1810577.912033513,5994877.344471588,-9999.0
171,171,1810739.517711727,5994877.209685462,-9999.0
172,172,1808746.125479386,5994911.774607613,-9999.0
173,173,1809579.713926285,5994880.792125278,-9999.0
174,174,1809533.23538111,5994881.834681066,-9999.0
175,175,1808759.278760852,5994878.947071006,-9999.0
176,176,1809579.266078428,5994833.395825824,-9999.0
177,177,1810592.077360746,5994798.876810137,-9999.0
178,178,1808002.975481728,5994880.783797027,-0.589826639
179,179,1808959.239864737,5994825.482229793,-9999.0
180,180,1809599.642996264,5994812.130621687,-9999.0
181,181,1808053.965873709,5994831.951483745,-0.869499967
182,182,1810618.115543075,5994765.649489078,-9999.0
183,183,1808036.79040297,5994815.935851742,-9999.0
184,184,1808555.892914438,5994797.521928838,-9999.0
185,185,1808758.424504142,5994809.43754233,-9999.0
186,186,1810614.812638819,5994735.622251435,-9999.0
187,187,1808085.220601165,5994786.331875083,-9999.0
188,188,1808109.060585227,5994780.77737378,-9999.0
189,189,1808518.75543384,5994768.563342611,-9999.0
190,190,1809638.549516212,5994756.455362062,-9999.0
191,191,1809660.799193238,5994740.148779214,-9999.0
192,192,1808830.638390594,5994765.077693753,-9999.0
193,193,1809674.709861436,5994730.475138511,-9999.0
194,194,1808083.269325191,5994761.736668445,-0.151325163
195,195,1809728.216873894,5994707.91382255,-9999.0
196,196,1808740.725325228,5994732.979846917,-0.064274754
197,197,1808126.40804959,5994707.464001919,-9999.0
198,198,1808753.557484063,5994670.649633021,-9999.0
199,199,1812207.184062397,5994597.137832704,-0.486955579
200,200,1808145.937179505,5994675.642004056,-9999.0
201,201,1810590.333464926,5994663.63918594,-0.700727226
202,202,1812183.78902522,5994582.933258208,-0.777827538
203,203,1808202.754834111,5994653.891666556,-9999.0
204,204,1808980.950703748,5994747.190620954,-0.427606017
205,205,1809751.540697809,5994649.428502116,-9999.0
206,206,1810624.746625056,5994586.742615004,-9999.0
207,207,1810743.988961257,5994578.802353645,-0.92566661
208,208,1808271.11432661,5994638.014621601,-0.683666622
209,209,1808730.312072644,5994649.487223312,-0.621438567
210,210,1808188.028386112,5994620.108848251,-0.938879969
211,211,1808386.522277017,5994608.078895992,-9999.0
212,212,1808303.200027049,5994613.543041567,-9999.0
213,213,1809757.075706999,5994565.93007918,-9999.0
214,214,1810779.715104762,5994539.913900899,-9999.0
215,215,1812009.651097917,5994512.094401789,-0.735199951
216,216,1808316.802482513,5994581.402185082,-9999.0
217,217,1809801.925885165,5994546.132300299,-9999.0
218,218,1812056.174563102,5994515.744536293,-0.637108059
219,219,1809888.906083176,5994548.531114757,-9999.0
220,220,1812035.789114764,5994481.820591593,-0.531266633
221,221,1808306.041720683,5994561.621397771,-0.988999963
222,222,1808379.813052935,5994602.140505834,-9999.0
223,223,1812302.825469266,5994472.075191744,-9999.0
224,224,1809822.633275495,5994533.665113401,-9999.0
225,225,1811942.532972415,5994489.444727105,-0.784999937
226,226,1808781.713163742,5994551.421482895,-0.703916664
227,227,1810809.738394769,5994445.710822073,-9999.0
228,228,1810785.252575666,5994427.352525197,-0.668767434
229,229,1810776.329420708,5994392.665273524,-9999.0
230,230,1812335.418138943,5994416.841548197,-9999.0
231,231,1810767.887605485,5994377.91076315,-9999.0
232,232,1812339.923067188,5994309.531467997,-0.827958695
233,233,1812294.156627771,5994276.09077208,-9999.0
234,234,1811534.915594461,5994292.882007826,-9999.0
235,235,1812300.550165933,5994269.175862662,-9999.0
236,236,1811494.405057885,5994266.161111771,-0.822250044
237,237,1811570.678031053,5994263.559455226,-9999.0
238,238,1810690.172071021,5994293.951708525,-0.781413285
239,239,1810659.830779679,5994255.866695147,-0.711285666
240,240,1811591.546365566,5994238.50760647,-9999.0
241,241,1811637.820258216,5994184.329930436,-9999.0
242,242,1812030.059784089,5994172.373483272,-9999.0
243,243,1812104.948543514,5994166.945152901,-9999.0
244,244,1811455.632995552,5994260.637169605,-9999.0
245,245,1811968.906774463,5994154.819774534,-9999.0
246,246,1812112.642959663,5994150.864409626,-9999.0
247,247,1812142.794462923,5994155.82978771,-9999.0
248,248,1812211.868279231,5994153.155953281,-9999.0
249,249,1811647.136100766,5994154.907720791,-9999.0
250,250,1810565.039671022,5994180.869908641,-0.528458332
251,251,1811916.962954939,5994120.271292017,-9999.0
252,252,1811870.161042025,5994098.603318372,-9999.0
253,253,1811844.047223351,5994077.612923529,-9999.0
254,254,1810587.780190212,5994123.504820528,-0.893434781
255,255,1811705.745973372,5994072.033785003,-0.95572723
256,256,1811771.180830765,5994073.357460623,-9999.0
257,257,1810616.50154058,5994068.722641187,-9999.0
258,258,1810625.152843861,5994033.271554625,-9999.0
259,259,1810641.574090997,5994002.014403769,-9999.0
260,260,1810663.230664942,5993978.996084826,-0.884333286
261,261,1810677.093323891,5993966.253967379,-9999.0
262,262,1810743.88075791,5993974.914312574,-9999.0
263,263,1810885.877490233,5993904.007522299,-9999.0
264,264,1810678.779363799,5993909.746998679,0.085224258
265,265,1810691.904724619,5993826.284370654,-0.837124955
266,266,1810240.479306035,5993812.651478847,-0.846999943
267,267,1810681.082448591,5993796.628711586,-9999.0
268,268,1810655.067814289,5993779.912852371,-0.844448942
269,269,1810642.470156388,5993734.498313882,-0.733608428
270,270,1810611.093085073,5993698.174090787,-0.667491795
271,271,1810257.05427851,5993743.811650361,-9999.0
272,272,1810228.090493663,5993583.32117753,-0.374784638
273,273,1810206.94732701,5993553.69017027,-0.873954514
274,274,1810231.306262981,5993530.518207082,-9999.0
275,275,1810602.44427432,5993500.099093387,-9999.0
276,276,1809881.29169228,5993491.250380641,-9999.0
277,277,1810220.989739046,5993477.34612253,-0.891666611
278,278,1810482.597836071,5993470.740584005,-9999.0
279,279,1810209.379943634,5993443.40255468,-0.824733289
280,280,1809906.331727963,5993471.92565029,-9999.0
281,281,1810605.595702064,5993437.702553618,-9999.0
282,282,1810615.703682842,5993360.921415987,-9999.0
283,283,1809935.078337572,5993326.853959974,-9999.0
284,284,1810736.490691992,5993312.512604519,-9999.0
285,285,1812717.482998874,5993219.168162432,-0.938695604
286,286,1810724.660232775,5993257.799627801,-9999.0
287,287,1812675.643134148,5993199.749499633,-0.933571422
288,288,1809936.311142276,5993254.351820998,-0.860066621
289,289,1812638.966558634,5993180.900055291,-0.92737499
290,290,1809996.681709019,5993234.9409881,-9999.0
291,291,1812616.628462836,5993174.040983121,-0.964816675
292,292,1812929.644270035,5993181.819484431,0.197349399
293,293,1809959.038448793,5993231.137666968,-9999.0
294,294,1809986.509272899,5993216.10244862,-9999.0
295,295,1810011.713182557,5993194.488867791,-9999.0
296,296,1810019.522262328,5993169.693235961,-0.937000021
297,297,1812580.13506512,5993107.339443911,-9999.0
298,298,1812607.972378421,5993058.532195983,-0.993571435
299,299,1810046.797652574,5993124.826678977,-9999.0
300,300,1811590.047375419,5993067.25104965,-9999.0
301,301,1811633.125958001,5993048.552158901,-9999.0
302,302,1811188.059228487,5993066.167222663,-9999.0
303,303,1811120.194607465,5993047.754713056,-9999.0
304,304,1812598.507665682,5993002.765259279,-0.988977245
305,305,1810112.785014064,5993059.670332921,-0.844333361
306,306,1811560.296887564,5993042.494876537,-0.181929837
307,307,1811668.700113365,5993022.417070469,-9999.0
308,308,1811104.09167319,5993022.243735923,-0.703600019
