OID,FID_,X,Y,BCE_Port_U
0,0,1695869.857381668,5429102.911723885,-0.388705087
1,1,1695857.373988414,5429086.088733968,1.613019564
2,2,1695666.628784651,5429073.692805628,2.678162134
3,3,1695629.023701167,5429053.823683771,-0.661599956
4,4,1695600.822631746,5429022.987774031,-0.2941091
5,5,1695198.890572716,5429009.427096129,0.720230763
6,6,1695059.726525981,5429003.880184642,0.703220003
7,7,1695108.62153973,5429003.240741742,0.597529729
8,8,1694993.633291582,5428987.103894826,0.70714849
9,9,1695581.366386226,5428984.16159521,-0.646861081
10,10,1694867.673310875,5428925.130222118,-0.160782571
11,11,1694857.074280116,5428903.829808309,0.083259947
12,12,1695536.394592458,5428877.230907716,-0.537046855
13,13,1694866.097588163,5428866.842828396,-0.208859497
14,14,1695522.097389299,5428850.42916556,-0.430151426
15,15,1694872.892344915,5428811.821957813,-0.091293453
16,16,1698694.649029687,5428735.094211146,0.535732138
17,17,1694867.327715894,5428766.806251627,0.931849601
18,18,1697194.915318288,5428665.10144647,1.778104911
19,19,1698487.600129643,5428631.660884739,0.041333378
20,20,1694747.951051309,5428619.409743824,-0.498219152
21,21,1697067.372069597,5428578.817530007,-9999.0
22,22,1697074.607716646,5428558.869916392,-0.720333298
23,23,1697081.956251379,5428538.931183225,-9999.0
24,24,1694757.123227022,5428564.888520748,-0.612962915
25,25,1694764.260906511,5428549.067062777,-0.62807688
26,26,1697093.905041833,5428524.300662343,-0.477882302
27,27,1698142.154957711,5428502.969951618,1.283387739
28,28,1698134.292175458,5428493.473849242,0.771539679
29,29,1694772.14262602,5428529.554483659,-0.242925878
30,30,1694778.93468283,5428518.975477328,-0.447548339
31,31,1697107.156499641,5428498.852232114,0.00845365
32,32,1694790.120843921,5428494.394474193,0.251595548
33,33,1698113.290739861,5428411.318239191,0.803928061
34,34,1697172.152967427,5428425.561016837,0.349774712
35,35,1694748.028475443,5428400.185887188,-0.075315071
36,36,1697229.522158713,5428362.369681085,-0.187067262
37,37,1698092.724496411,5428351.070165921,2.274755464
38,38,1694754.917106917,5428386.117006693,-0.096756713
39,39,1697244.076923754,5428346.606778803,-0.33357138
40,40,1694762.514606498,5428370.200978192,-0.096930997
