OID,FID_,X,Y,BCE_Port_U
0,0,1695998.5065183,5429178.550961819,-0.035342853
1,1,1696028.347518093,5429168.169996792,0.154303056
2,2,1695948.677672762,5429153.091977543,-0.649832062
3,3,1696088.367167106,5429129.999388807,-0.243199952
4,4,1695890.526835645,5429121.750366317,-0.701262256
5,5,1696113.879992749,5429119.211591801,0.11830771
6,6,1695757.194421626,5429101.651108972,-0.678079951
7,7,1695886.932975597,5429102.735605083,-9999.0
8,8,1696177.514256512,5429087.702900402,-9999.0
9,9,1695700.787559912,5429084.84415636,-0.732999951
10,10,1695874.527306305,5429085.831523024,-0.669142803
11,11,1696208.425492185,5429068.477275573,-0.612999959
12,12,1695842.967099176,5429063.4179751,-0.354430571
13,13,1695667.70300788,5429064.379730659,-0.041891132
14,14,1696252.413123849,5429047.286914205,-0.120523049
15,15,1695138.739378361,5429007.445977296,0.616368311
16,16,1695191.366951014,5429002.157897376,0.028357155
17,17,1695292.331331856,5428998.625268696,0.659724995
18,18,1695608.089271996,5429018.390268508,-0.664884917
19,19,1695210.042136504,5428991.939058077,-0.485999955
20,20,1695255.175937235,5428991.347892733,-0.342395217
21,21,1695321.450857657,5428989.901914457,0.344309161
22,22,1695083.367157829,5428990.195689117,-0.222533211
23,23,1695582.133821938,5428967.108395436,-0.916666607
24,24,1694937.248261046,5428961.51460167,-0.773999949
25,25,1695000.599617134,5428974.586653453,-0.101409059
26,26,1695574.481039542,5428957.233897711,-0.654508466
27,27,1694899.264480342,5428945.713955869,-0.20630964
28,28,1694926.756388608,5428945.771728516,-9999.0
29,29,1695567.491263142,5428937.041149083,-0.668254521
30,30,1694880.131117584,5428935.688025097,-0.051962592
31,31,1694881.501682945,5428906.669847571,-9999.0
32,32,1695566.237226458,5428902.484318249,-9999.0
33,33,1694866.541356239,5428901.67337711,-0.759999931
34,34,1695550.996205427,5428887.723160068,-0.676222179
35,35,1696318.260584802,5428877.599062582,-9999.0
36,36,1696303.084087309,5428867.825756564,-9999.0
37,37,1696324.149499752,5428868.15997754,-0.273224958
38,38,1695430.70914304,5428874.341544502,0.284376231
39,39,1696310.372819076,5428857.909458934,-0.238424221
40,40,1696287.775556355,5428848.079822971,-0.700999945
41,41,1696276.360241622,5428838.256648541,-0.672538412
