OID,FID_,X,Y,BCE_Queen_
0,0,1676269.358817598,5429849.58280844,0.505875795
1,1,1705041.067060948,5451834.757535264,0.452861357
2,2,1705088.434799502,5451684.939242284,1.351578542
3,3,1705094.940573665,5451638.859487725,-0.071628005
4,4,1705110.917520844,5451603.593394038,1.297825278
5,5,1705117.898475967,5451500.736939888,2.396248187
6,6,1705093.231179516,5451467.182287022,-0.56371424
7,7,1705094.485699917,5451416.055056134,-0.760666619
8,8,1705152.928815244,5451398.322386973,1.560852364
9,9,1705179.388489188,5451373.201417043,0.46198653
10,10,1705159.881609737,5451307.544347624,-0.221575736
11,11,1705165.235748334,5451292.574851181,-0.647599957
12,12,1705188.11105703,5451258.11725493,-0.734799945
13,13,1705195.218815086,5451247.744419272,-0.243608647
14,14,1705207.58861814,5451233.35599135,-0.374952335
15,15,1705209.660037862,5451177.346313614,-0.865999937
16,16,1698838.461843227,5450843.823857061,0.438017043
17,17,1698958.644338815,5450800.879778996,0.284379442
18,18,1699088.552823217,5450819.807787687,0.66726169
19,19,1698780.977506589,5450649.169006687,-9999.0
20,20,1698787.027421495,5450638.516360781,0.495133376
21,21,1698787.917860332,5450578.559392039,-9999.0
22,22,1698797.164047763,5450568.309419276,-9999.0
23,23,1698809.50333685,5450548.525013449,-9999.0
24,24,1698807.670905786,5450488.684059097,-0.12964701
25,25,1698815.281120579,5450479.187222378,-0.463599959
26,26,1703727.219450713,5450457.036129901,0.271329777
27,27,1698829.882346066,5450468.280367082,0.606069001
28,28,1703709.344184877,5450380.762448747,1.137246541
29,29,1703684.703091104,5450341.251830678,0.047240635
30,30,1698851.900728647,5450376.374484278,0.255647093
31,31,1699612.467633118,5450357.776723704,0.203660387
32,32,1699600.035712822,5450341.109510138,0.304972239
33,33,1698872.600314265,5450341.119043387,0.552094021
34,34,1699600.289736481,5450277.427587674,0.245129771
35,35,1699610.723561955,5450267.347260904,0.647057699
36,36,1698902.818140939,5450263.971548908,-9999.0
37,37,1698917.233102869,5450240.353916148,-0.538322537
38,38,1703607.911741586,5450182.283514931,0.035180485
39,39,1698932.561385876,5450228.248547442,-9999.0
40,40,1703633.549854578,5450148.92515444,-0.086667129
41,41,1703665.78428938,5450131.933160448,-0.11501334
42,42,1703677.103422456,5450098.060019835,0.86739167
43,43,1703687.569559419,5450071.778676303,0.058879997
44,44,1698904.599987253,5450119.187739324,1.276967014
45,45,1703698.680012971,5450013.260448677,-9999.0
46,46,1703713.285562125,5450002.130693654,-0.727666616
47,47,1703750.709416503,5449991.680855821,-0.069925911
48,48,1703773.090612352,5449991.708782331,-0.477359953
49,49,1703862.504552414,5449988.922176382,0.559258082
50,50,1703916.608060787,5449969.424718809,-9999.0
51,51,1698893.504736321,5450041.26826648,1.267712358
52,52,1698774.941173929,5449959.27556379,0.371417753
53,53,1698760.232773046,5449943.190808255,0.302237849
54,54,1698747.683090536,5449930.074035724,0.3947541
55,55,1698736.359560392,5449920.228331657,0.469982462
56,56,1703937.840552013,5449864.195624046,0.345279307
57,57,1703956.457268843,5449839.010758294,0.851030335
58,58,1698724.02004814,5449901.029654729,-0.665999964
59,59,1703979.35164371,5449829.256763693,1.103194227
60,60,1698702.410245893,5449880.022663358,-0.013481435
61,61,1703958.69748578,5449742.451051685,-0.734965464
62,62,1699718.050680518,5449789.354701068,-0.288299952
63,63,1699672.395327069,5449769.898199954,-0.00564441
64,64,1698639.424578213,5449758.501310029,-9999.0
65,65,1703964.287760411,5449702.082233145,0.606994151
66,66,1703995.915520207,5449649.015992573,-0.791999951
67,67,1699556.303921873,5449530.960304887,-0.380666617
68,68,1699518.193450874,5449523.207910004,-0.359090871
69,69,1699545.085250347,5449522.999724844,-0.378279954
70,70,1703905.11624365,5449415.745087587,-0.491569804
71,71,1698530.395845301,5449453.083386072,-0.17397219
72,72,1703928.759631997,5449370.459336899,0.995825857
73,73,1703930.886040849,5449309.947587041,-0.796799958
74,74,1698458.876695364,5449256.193486636,-9999.0
75,75,1703834.709306358,5449154.807463961,-0.203183891
76,76,1703823.398472493,5449142.04707107,1.531685727
77,77,1703859.90059141,5449092.626751444,-0.295034701
78,78,1703888.519702546,5449061.899342342,-0.766181767
79,79,1703896.357681222,5449053.311713632,-0.951999962
80,80,1704008.71223979,5449039.901354415,0.403269267
81,81,1704139.844871941,5449051.945383324,0.121067777
82,82,1704276.758991431,5449038.390236082,1.876137933
83,83,1704326.310602014,5449036.818907831,-0.145403845
84,84,1704072.91163089,5449030.946449039,0.490879125
85,85,1704426.139331506,5449027.761607297,1.198547292
86,86,1704491.577172456,5449014.142977089,-9999.0
87,87,1698413.089302172,5449087.294832006,-9999.0
88,88,1704657.173811981,5449000.895825626,1.726420701
89,89,1704718.737718206,5448990.520142157,-0.179999976
90,90,1704521.720429007,5448984.416166216,-9999.0
91,91,1704599.144226002,5448982.342362382,-0.150991444
92,92,1698418.803372427,5449062.638608184,-0.322542813
93,93,1698425.822865458,5449047.284238372,-0.313999955
94,94,1699413.468427763,5449024.497836495,-0.051085684
95,95,1698425.070053621,5448982.118645775,-0.700749941
96,96,1704783.00758145,5448935.56456646,0.744798766
97,97,1704837.538223739,5448855.813862995,0.463117955
98,98,1704856.087093572,5448825.529956853,0.281720004
99,99,1704888.865953551,5448783.294853403,0.680971842
100,100,1696180.778083603,5448597.942997752,-0.056977789
101,101,1696237.88918817,5448583.265275114,0.391495857
102,102,1704740.140663456,5448381.702502624,-0.823684159
103,103,1704751.433710198,5448367.094688174,-0.102697629
104,104,1696208.447882928,5448449.936861588,-0.864999955
105,105,1696229.943931011,5448428.365616639,-0.552735293
106,106,1696237.582942596,5448409.810125545,-0.281883836
107,107,1698138.02026489,5448372.534139668,-0.670499953
108,108,1696251.671897574,5448358.145821485,-0.296688362
109,109,1698099.394683573,5448293.185838403,-0.893999934
110,110,1696273.554620621,5448308.001662229,-9999.0
111,111,1696281.213838683,5448299.018752799,-9999.0
112,112,1698091.267231538,5448273.519881148,-0.47894114
113,113,1696296.464514564,5448289.687592377,-9999.0
114,114,1698084.291588935,5448263.098284787,-0.700999945
115,115,1696311.910959139,5448268.633322114,-9999.0
116,116,1696318.75843926,5448258.175044638,-9999.0
117,117,1697988.947102831,5448233.689296808,4.460595205
118,118,1696332.973030815,5448237.401902379,-9999.0
119,119,1696694.444140224,5448231.950360878,3.333661542
120,120,1696340.308443324,5448227.236799906,-9999.0
121,121,1697954.718640536,5448177.586875708,1.77730112
122,122,1704699.50789573,5448169.226322626,0.320351452
123,123,1704703.872496195,5448052.601664441,-0.723459415
124,124,1704727.000332277,5448021.899162493,0.245083362
125,125,1704755.624235435,5447981.992680654,-9999.0
126,126,1704763.246007527,5447972.236645364,-0.585999966
127,127,1696383.853401155,5448097.000760064,-0.2943196
128,128,1704778.135660716,5447948.18468382,-0.655714244
129,129,1704785.305252509,5447927.275859344,0.674590942
130,130,1704795.964626616,5447906.512945745,0.79259654
131,131,1697905.989147028,5447961.287204525,-0.310603407
132,132,1704804.09130296,5447867.257801736,0.510989621
133,133,1696397.773328778,5447958.114585064,-9999.0
134,134,1697898.201655403,5447941.730640159,0.247164205
135,135,1697883.488108155,5447915.641704314,1.501513548
136,136,1696427.141843655,5447898.750893289,-9999.0
137,137,1704769.962307749,5447782.098177783,-0.824761853
138,138,1697821.473188803,5447858.462943165,0.151250038
139,139,1704782.93512022,5447754.604777948,0.991828032
140,140,1697814.64139914,5447812.989438802,-0.663371383
141,141,1697813.099830248,5447788.687385288,-9999.0
142,142,1697790.794587398,5447757.910204998,-0.416699951
143,143,1702148.986381082,5447705.286857354,-0.610619004
144,144,1704816.429137522,5447644.167028859,0.83891859
145,145,1697729.811029891,5447698.239659894,0.927200028
146,146,1696468.457070639,5447765.905567002,-0.541178255
147,147,1696454.450900039,5447686.644489431,-0.731599955
148,148,1696446.503398493,5447641.514658791,-0.908666611
149,149,1696438.060811545,5447607.210599324,-9999.0
150,150,1704753.920045234,5447449.890068048,-0.741636322
151,151,1696392.022921171,5447547.866882484,-0.605636316
152,152,1701510.011523611,5447435.077246179,-0.221578434
153,153,1696373.980216035,5447499.661182847,-0.070909813
154,154,1701497.178161593,5447418.879804576,0.644807014
155,155,1696375.462360094,5447439.153430601,-9999.0
156,156,1696390.678919329,5447409.507580825,-0.561085688
157,157,1696397.605565628,5447399.012917788,-0.565111064
158,158,1703101.704587355,5447323.517960189,3.639231477
159,159,1701422.867465253,5447339.876258329,-0.003683124
160,160,1701427.262331886,5447291.174129849,-0.849199939
161,161,1701439.968560747,5447267.898965681,-0.829999924
162,162,1696412.325467508,5447351.664908291,-0.545139616
163,163,1701449.216799109,5447250.973443115,-0.113592551
164,164,1701456.724389227,5447241.042333586,-0.688249946
165,165,1704658.700947562,5447231.016550214,-0.26594525
166,166,1701464.242039219,5447231.129358777,-9999.0
167,167,1704683.90518013,5447185.153906609,-0.607108085
168,168,1704699.075520621,5447176.510046183,0.035519256
169,169,1704714.211690982,5447165.59103535,0.151052642
170,170,1701478.588075065,5447186.150461839,-0.853999972
171,171,1696422.474634049,5447258.947317006,-0.447853735
172,172,1701493.55046955,5447170.28127552,-0.055333294
173,173,1696433.739772595,5447220.109718996,-0.529538431
174,174,1701514.805356795,5447146.048214354,0.266754327
175,175,1696463.474777281,5447179.952577744,-9999.0
176,176,1696477.403698979,5447154.239132408,-0.683285679
177,177,1704696.893013538,5447035.360677143,-0.842999965
178,178,1701545.13949874,5447075.866681403,-0.517916628
179,179,1704704.15689357,5447025.117309385,0.206698448
180,180,1701556.789009854,5447060.052904027,-0.798249952
181,181,1696483.540970201,5447118.229607739,-0.412923026
182,182,1701566.799937406,5447049.44066688,-0.529999954
183,183,1701574.335648663,5447039.545531291,-0.644399959
184,184,1696478.090896764,5447083.383085539,-9999.0
185,185,1704703.814052706,5446954.929245626,0.051161318
186,186,1701590.786823197,5447000.680582664,-0.274394701
187,187,1701608.920612591,5446976.234773673,0.518678608
188,188,1696490.52950293,5447035.381638205,-0.139754698
189,189,1701648.190981346,5446938.545180927,-9999.0
190,190,1696499.111422468,5446988.226476712,0.21029998
191,191,1701636.628318425,5446930.327973286,0.484802683
192,192,1696487.383243147,5446901.618355899,-0.420856183
193,193,1704474.110972782,5446728.512008746,-0.018785672
194,194,1704466.489153791,5446718.603741724,0.727242451
195,195,1696480.143425546,5446819.052632375,-9999.0
196,196,1696480.919474565,5446788.72610449,-0.341399977
197,197,1704355.92018883,5446640.695984417,1.804587896
198,198,1696456.404737785,5446729.505454603,-9999.0
199,199,1696434.059862716,5446708.960980728,3.918130403
200,200,1696418.267418925,5446689.979046913,1.824529415
201,201,1701538.622729447,5446611.119279834,-9999.0
202,202,1701547.870848091,5446594.164041075,-9999.0
203,203,1701568.097337609,5446575.998551903,0.966493338
204,204,1696379.870086616,5446617.958158426,-0.361705227
205,205,1701591.981927359,5446550.146499414,0.721732761
206,206,1700329.480257163,5446510.191980435,-0.725999951
207,207,1696379.641943385,5446550.728294131,0.762500046
208,208,1696363.037243469,5446511.296599614,-0.059657096
209,209,1696347.945361557,5446491.232037627,0.678415132
210,210,1701619.136387475,5446406.1723258,0.894851496
211,211,1701661.628150281,5446375.960122745,0.516841209
212,212,1696320.381210885,5446444.147751536,-0.005276768
213,213,1701675.864329075,5446357.815185409,-0.04301386
214,214,1696686.073067685,5446409.436543137,-0.594608649
215,215,1696482.519684196,5446402.148018049,-9999.0
216,216,1701701.005602382,5446320.406850048,-0.727333287
217,217,1696539.097253271,5446380.9260902,-0.575999954
218,218,1701720.149589455,5446296.44797137,-9999.0
219,219,1696761.517087401,5446347.448867626,-9999.0
220,220,1701730.293765268,5446280.685485136,-9999.0
221,221,1701779.35069975,5446270.111733802,2.585833345
222,222,1701791.031817348,5446259.534773498,0.244739108
223,223,1696774.895874606,5446306.702449248,-9999.0
224,224,1701817.991842831,5446236.923272147,0.902689435
225,225,1696776.100377076,5446282.104175368,-0.70567738
226,226,1701842.259400835,5446204.307313991,-9999.0
227,227,1701894.02061568,5446177.077119966,0.990777098
228,228,1701863.186188447,5446177.0662125,0.578003558
229,229,1696781.904920097,5446247.330733272,-9999.0
230,230,1701977.257065407,5446157.237407635,1.3845096
231,231,1696789.040180685,5446207.467085475,-9999.0
232,232,1702062.821537523,5446131.500572246,1.304426268
233,233,1702091.794559326,5446112.411051382,0.088978759
234,234,1697233.753014851,5446162.6638587,-0.543166655
235,235,1696795.746970624,5446161.579154118,-0.430275815
236,236,1699984.887691543,5446114.477880033,-0.467380948
237,237,1702134.545102843,5446091.725201179,-0.207314542
238,238,1696796.347111586,5446128.29715162,-0.637930227
239,239,1702248.470250471,5446056.472766703,0.795625019
240,240,1697375.854278466,5446099.792233015,-9999.0
241,241,1702323.316372421,5446028.503497886,-0.369479409
242,242,1702336.842460404,5446011.56145724,0.13935717
243,243,1702348.40810922,5446001.484700507,0.336066141
244,244,1702389.297806213,5446000.593589052,-9999.0
245,245,1696922.925993449,5446073.376824183,-0.283925678
246,246,1702370.360742744,5445990.901414922,0.357877028
247,247,1697469.18688487,5446047.903007324,-9999.0
248,248,1702411.920086608,5445980.761697211,-9999.0
249,249,1702424.970011449,5445974.313278458,-0.770399952
250,250,1697593.357099382,5446026.333207365,-0.641230725
251,251,1702509.098799929,5445939.068600965,-9999.0
252,252,1702474.358990242,5445942.832272083,1.056994985
253,253,1697623.077687371,5445966.75465588,-0.446999951
254,254,1702521.96920724,5445892.406049296,1.982589781
255,255,1702531.257951603,5445859.508483546,-9999.0
256,256,1702528.379892439,5445776.052963675,0.349883125
257,257,1697620.00020832,5445751.021812257,-9999.0
258,258,1697634.537232522,5445706.831539053,-0.633199954
259,259,1697650.413493886,5445667.445559124,-0.693285682
260,260,1701197.710485974,5445626.962879892,1.376020493
261,261,1701207.260662889,5445583.703359321,-0.286790658
262,262,1701218.421253032,5445558.246445623,1.463790935
263,263,1697767.752526111,5445535.235227753,-0.584368397
264,264,1697760.618748933,5445526.878521807,0.016420002
265,265,1697878.726026122,5445530.996677526,-0.244064856
266,266,1697798.050955954,5445516.919388619,-0.385125909
267,267,1702299.035793862,5445441.540792427,-0.436983009
268,268,1697887.348753913,5445429.674399753,-0.513807689
269,269,1702297.944165651,5445350.467725744,-0.674395308
270,270,1702305.311745946,5445334.326257414,-9999.0
271,271,1702312.384566539,5445323.930517828,-0.684857096
272,272,1702319.545620695,5445313.587642558,-0.675333281
