OID,FID_,X,Y,BCE_Queen_
0,0,1706305.794925417,5452934.794697107,-9999.0
1,1,1706263.760854921,5452934.914667443,-0.44457399
2,2,1706208.736450093,5452897.497766328,-9999.0
3,3,1706568.067926497,5452821.836234457,-0.470878772
4,4,1706213.336045552,5452717.113860411,-9999.0
5,5,1706219.337498071,5452683.682667117,-9999.0
6,6,1706219.794963713,5452643.930516312,-9999.0
7,7,1706212.75457767,5452556.529366118,-9999.0
8,8,1706232.184090997,5452533.140440093,-9999.0
9,9,1706238.796567742,5452463.963836805,-9999.0
10,10,1706225.384726899,5452422.974602044,-9999.0
11,11,1706222.910736092,5452384.533653131,-9999.0
12,12,1706255.812563014,5452289.958389916,-9999.0
13,13,1706236.775182455,5452227.823874341,-9999.0
14,14,1706143.422304633,5452171.101825914,-9999.0
15,15,1706131.678868092,5452101.894109124,0.150329495
16,16,1706105.116510395,5452045.176402593,-9999.0
17,17,1706088.836363951,5452012.302345365,-9999.0
18,18,1706082.585048005,5452002.22076989,-9999.0
19,19,1705115.235471257,5451984.322858913,-0.629647011
20,20,1705137.43363923,5451986.124127896,-0.738399947
21,21,1705104.07294232,5451976.078387523,-0.469212088
22,22,1706050.852135255,5451962.59389072,-9999.0
23,23,1705091.870090118,5451966.829363791,-0.40243074
24,24,1705597.321609521,5451957.192015265,-0.428499957
25,25,1705076.714253648,5451957.038602232,-0.510602904
26,26,1705042.706237869,5451937.405774225,-0.596765399
27,27,1705793.176771188,5451914.817375657,-9999.0
28,28,1705756.561459196,5451906.183992294,0.15458828
29,29,1706018.493022185,5451883.653801563,-9999.0
30,30,1706011.839005554,5451867.281253481,-0.433818137
31,31,1706003.61598806,5451853.816556353,-0.485733285
32,32,1705039.477930419,5451881.983272402,-0.542782988
33,33,1705071.001605428,5451827.487845689,-0.689999998
34,34,1705085.592908594,5451792.368256003,-0.557043447
35,35,1705073.966846875,5451752.637649933,-9999.0
36,36,1705089.104025734,5451720.375426332,-0.975999951
37,37,1705094.979968682,5451657.579749758,-0.366937485
38,38,1705108.471523082,5451677.334874764,-9999.0
39,39,1705117.318743068,5451514.794741845,0.573045607
40,40,1705098.949373969,5451408.165951509,-0.799999952
41,41,1705183.692090885,5451387.053076086,0.352927388
42,42,1705180.875360813,5451332.179758667,-9999.0
43,43,1705165.587733508,5451312.192335498,-0.344734652
44,44,1706599.337103859,5451266.782466956,-9999.0
45,45,1705172.871710943,5451277.937198367,-9999.0
46,46,1705194.891984255,5451257.17064999,-9999.0
47,47,1705217.761416448,5451245.001558897,-0.492499948
48,48,1705210.24088419,5451201.39955083,-9999.0
49,49,1705224.110112059,5451189.670597741,-9999.0
50,50,1705231.472826119,5451176.850062546,-9999.0
51,51,1705216.429121486,5451172.426622104,-9999.0
52,52,1705216.837722912,5451146.282188001,-0.579999924
53,53,1705206.996232489,5451118.047475738,-0.867999971
54,54,1705154.44265498,5451026.815908445,-9999.0
55,55,1705176.356980773,5451028.230969328,-0.631999969
56,56,1705139.373559636,5451008.436827594,-9999.0
57,57,1699117.542034552,5450822.954782295,0.037559367
58,58,1699106.292147371,5450808.494946336,0.191082585
59,59,1699113.224420434,5450782.736928593,0.103020033
60,60,1704356.934313021,5450669.517755412,-0.8515555
61,61,1704228.249118466,5450661.741587759,-0.768249944
62,62,1704077.116221652,5450653.80357671,-9999.0
63,63,1704680.651955042,5450646.288414357,-9999.0
64,64,1698803.502551388,5450717.83360226,-9999.0
65,65,1698885.945215155,5450716.720498836,-9999.0
66,66,1704363.489905641,5450641.413425292,-9999.0
67,67,1698866.948541621,5450707.002963436,-9999.0
68,68,1704061.961062836,5450637.944107764,-9999.0
69,69,1704639.488334534,5450626.309822916,-9999.0
70,70,1699151.891437317,5450697.054077645,-9999.0
71,71,1698782.279931398,5450705.070743222,-9999.0
72,72,1699099.702570407,5450683.907775555,-9999.0
73,73,1698977.161393123,5450763.488131874,0.085092253
74,74,1704051.253055819,5450614.915353503,-9999.0
75,75,1698798.245696846,5450605.435080274,-9999.0
76,76,1703752.989243889,5450518.007607497,-0.600195099
77,77,1698812.313009303,5450563.264792512,-9999.0
78,78,1703787.810750511,5450489.279465407,-9999.0
79,79,1703797.988038163,5450497.446184557,-9999.0
80,80,1706586.493357152,5450404.180530725,-9999.0
81,81,1703734.644859604,5450465.09732329,-0.450799962
82,82,1698810.158292126,5450508.840577425,1.112930274
83,83,1704254.152088705,5450393.08847348,-9999.0
84,84,1698840.644594602,5450465.831159247,-0.231351822
85,85,1698867.480312758,5450461.554618289,-9999.0
86,86,1703724.628274701,5450381.285857935,-0.36986181
87,87,1703695.297174758,5450350.950105738,-9999.0
88,88,1704494.866528977,5450339.784553694,-9999.0
89,89,1698871.441022791,5450407.45231421,-9999.0
90,90,1704240.502116074,5450309.793217724,-9999.0
91,91,1706584.818014702,5450269.549899769,-9999.0
92,92,1699605.497127433,5450357.871307609,-0.087551688
93,93,1704380.064579211,5450292.531821785,-9999.0
