OID,FID_,X,Y,BCE_Raglan
0,0,1771969.023451196,5822886.722165079,0.1144
1,1,1771991.109257429,5822882.272780679,-0.072883544
2,2,1771885.47446388,5822868.51857115,-0.512125838
3,3,1771873.390668725,5822858.798306762,1.259461537
4,4,1771921.01967579,5822856.615212885,0.505936656
5,5,1772059.043128195,5822645.508901314,0.424898737
6,6,1772105.048033017,5822445.487159812,0.863695388
7,7,1772106.975928811,5822285.504568534,0.434542375
8,8,1772161.769782922,5822254.444011198,0.408518982
9,9,1772153.536373417,5822239.669053679,0.46771795
10,10,1772098.452413476,5822231.405961839,0.338699999
11,11,1772143.136778697,5822224.915896011,0.404244443
12,12,1772083.652830701,5822126.123276282,0.576791945
13,13,1771969.63866254,5822047.713608726,1.016192385
14,14,1771998.234967232,5822008.547594945,0.610696201
15,15,1771982.193819037,5821998.909799274,0.355999995
16,16,1771943.881646125,5821997.381817932,0.246035532
17,17,1771926.361821611,5821980.129287501,0.235249995
18,18,1771950.111637604,5821979.63411786,0.469075004
19,19,1770402.83212952,5822017.503297637,1.117634092
20,20,1770425.755061251,5821991.332789792,0.820237502
21,21,1771910.893958913,5821966.324267002,0.330074434
22,22,1771925.9461954,5821960.193274749,0.292099998
23,23,1771869.906854579,5821931.4443889,1.566544314
24,24,1771888.96838541,5821943.512518237,0.382331251
25,25,1772071.766445662,5822022.721327799,0.8457001
26,26,1772122.15733408,5821794.664531976,0.715774083
27,27,1770727.199107924,5821795.624690689,1.117207522
28,28,1772173.116845575,5822002.505715922,0.897256469
29,29,1770578.730544549,5821817.945007204,1.043528767
30,30,1770599.341009691,5821768.354118071,1.073595431
31,31,1770747.093205415,5821730.509317766,1.094160716
32,32,1772210.79805986,5821694.569468004,0.510863628
33,33,1772229.274586751,5821670.177277667,1.06048067
34,34,1770625.775130302,5821678.085145731,0.953087717
35,35,1772251.199212473,5821614.137835909,1.073017864
36,36,1770612.365254571,5821624.113022129,1.007816002
37,37,1772194.64482925,5821575.762839848,1.013960765
38,38,1772213.196120167,5821569.56255909,0.579433164
39,39,1772226.520737622,5821554.819135025,0.067037045
40,40,1770581.153874432,5821580.402285497,0.94026959
41,41,1770816.662650142,5821554.437489698,0.866533892
42,42,1772233.656872354,5821524.960736439,0.824374998
43,43,1772294.559949683,5821550.49413448,0.9463534
44,44,1770482.875557917,5821552.274886171,0.97832877
45,45,1770418.233165159,5821494.569488548,1.032849641
46,46,1770413.925647044,5821466.843218978,1.105987368
47,47,1770376.057744929,5821448.496709632,1.573670966
48,48,1770497.5120406,5821426.417549678,1.022777786
49,49,1770481.195587679,5821416.782686576,0.981518755
50,50,1770634.49303781,5821184.249232766,0.554924525
51,51,1770863.657283057,5821154.78043792,1.138962913
52,52,1772210.014399103,5821273.213855519,0.978571863
53,53,1770618.445460102,5821135.291643001,0.622272721
54,54,1772058.26415508,5821089.838444173,0.382575017
55,55,1772016.977678955,5821001.156797345,-0.82099998
56,56,1770843.90739918,5821020.230281651,1.514878358
57,57,1772008.586045722,5820986.165594807,-0.756269214
58,58,1772071.706959622,5820986.21151028,0.777591242
59,59,1771422.966388838,5820983.271203593,1.013086965
60,60,1772056.15001676,5820975.20068254,0.611403508
61,61,1770598.958204346,5820976.19343332,0.19826613
62,62,1772183.962548724,5820975.778726643,0.781669448
63,63,1770582.378492564,5820940.79973229,0.356339279
64,64,1772252.200789735,5820896.313837837,0.263350001
65,65,1769289.597358089,5820950.620525457,0.973144204
66,66,1771626.663151507,5820899.388240656,0.667724999
67,67,1769189.276763992,5820947.629010381,0.991630279
68,68,1770565.928649012,5820911.223300855,0.445581823
69,69,1772316.276335293,5821011.256916876,0.916857973
70,70,1769091.991032366,5820932.732092031,0.969260882
71,71,1770929.525714093,5820894.135583618,1.229851857
72,72,1771657.910256848,5820878.79297187,0.365375
73,73,1768554.667981401,5820933.062526796,0.885928553
74,74,1768582.629841607,5820937.268723694,0.816490384
75,75,1769073.722642358,5820921.550499555,0.898953274
76,76,1770556.868023768,5820891.673987377,0.479230761
77,77,1772267.183551834,5820855.384088741,-0.776843134
78,78,1772457.171663904,5820852.138889476,0.940474986
79,79,1768942.642233627,5820915.148615093,0.931388888
80,80,1768958.153695061,5820914.830717759,0.711925929
81,81,1769028.258233244,5820914.09476762,0.931585364
82,82,1770921.929461373,5820874.14074832,1.982744666
