OID,FID_,X,Y,BCE_Raglan
0,0,1771781.199699637,5822940.739284128,-0.484111131
1,1,1771796.102462589,5822911.360937207,-0.083196073
2,2,1771819.067507516,5822890.698653065,0.407861536
3,3,1772008.033521658,5822885.908828174,-0.148770828
4,4,1771834.420475305,5822879.845860685,0.834666668
5,5,1772000.48551887,5822876.093886466,-0.116118426
6,6,1771913.185642066,5822867.941381386,-0.449737502
7,7,1771856.004269778,5822864.878053464,0.821545753
8,8,1771962.238417435,5822872.374058759,-0.217548802
9,9,1771887.808332236,5822856.989396635,0.950897955
10,10,1771968.71446265,5822847.54175036,1.40186154
11,11,1771975.877220957,5822767.428798865,0.804043474
12,12,1771982.980715282,5822758.319537736,0.840596147
13,13,1771997.960909205,5822746.744519199,0.536947363
14,14,1772139.932265136,5822733.780123749,0.171472728
15,15,1772013.411500418,5822724.133044488,0.228218182
16,16,1772028.915135141,5822717.536740289,0.367428572
17,17,1772069.135565325,5822645.298375436,0.430439564
18,18,1772051.896486263,5822635.97607122,0.609655731
19,19,1772059.097804243,5822626.406630562,0.61442425
20,20,1772087.639113352,5822525.244380404,0.312800009
21,21,1772111.328637878,5822494.105916124,0.324269236
22,22,1772103.357005652,5822463.485245178,0.726968748
23,23,1772117.596895329,5822414.923453892,0.237666668
24,24,1772099.373414689,5822402.632308125,0.588532335
25,25,1772125.284724633,5822396.03974887,0.401805821
26,26,1772165.433440842,5822264.548603099,0.365806452
27,27,1772136.770847353,5822195.13172458,0.256649993
28,28,1772087.605964335,5822116.378975276,0.42991026
29,29,1771969.480383429,5822067.938285403,0.8945349
30,30,1771995.873426998,5822061.458045177,0.305172002
31,31,1772030.525313438,5822037.791103463,0.358688314
32,32,1771975.004733885,5822033.962919457,0.425287501
33,33,1771998.867698414,5822019.609200452,0.345028618
34,34,1772038.216577514,5822008.239541195,0.887507051
35,35,1770377.758782104,5822033.102060892,1.798477419
36,36,1770406.787541544,5822031.613700507,0.867849997
37,37,1771974.8544479,5821999.062854283,0.319439998
38,38,1772046.125643672,5821998.395094207,1.261754097
39,39,1771955.393896966,5821993.094275953,0.354080215
40,40,1772054.058222614,5821988.620702955,1.123919971
41,41,1772062.007920552,5821978.947276479,1.171511603
42,42,1770421.159161828,5822008.724511657,0.952878237
43,43,1771929.019847853,5821970.10153231,0.266184618
44,44,1772076.610855514,5821967.074919516,1.105315814
45,45,1770395.59435622,5822007.176101568,2.820047496
46,46,1770437.052660386,5821991.099307114,0.769387749
47,47,1772083.700685841,5821956.902889403,1.315716961
48,48,1772096.053510379,5822042.063160256,0.546459145
49,49,1770413.99057126,5821988.488996297,0.936575759
50,50,1771901.988652835,5821950.720370559,0.292750002
51,51,1770429.567437141,5821971.661911105,1.454436625
52,52,1771854.291891402,5821941.728649663,0.38389873
53,53,1772108.188883338,5821936.447150036,0.845462967
54,54,1771861.990298102,5821931.609377655,0.453699999
55,55,1771838.44108267,5821923.625750761,0.36877778
56,56,1771882.391288153,5821928.90013687,2.172450876
57,57,1772084.355435679,5821922.456478885,2.869338715
58,58,1772114.534865039,5821916.370000543,-0.022943395
59,59,1770437.724352721,5821941.667524644,1.027385953
60,60,1772091.288352189,5821907.04861274,1.727870136
61,61,1770444.829286727,5821931.774172937,0.96647617
62,62,1770460.495487169,5821911.846708748,0.935836044
63,63,1770545.832667822,5821869.39104142,0.930703696
64,64,1770530.263963492,5821859.968285264,1.08919446
65,65,1770538.250195952,5821850.240077644,1.136951613
66,66,1770561.018634148,5821829.006916828,1.179174995
67,67,1770703.057396145,5821830.456063826,0.719724779
68,68,1772129.025652596,5821796.399294899,0.497734682
69,69,1770568.889572013,5821809.263412902,1.162313452
70,70,1772105.023340438,5821783.708936084,0.474423422
71,71,1772120.336488482,5821767.359547536,0.615710142
72,72,1770576.611374191,5821795.181952611,1.179107715
73,73,1770593.608757201,5821795.000257557,1.00058586
74,74,1772135.617077188,5821756.48273726,1.908041089
75,75,1772142.663599301,5821746.252824541,2.651576914
76,76,1770583.945751177,5821774.336483761,1.161395835
77,77,1770607.360465858,5821773.174081411,0.99575001
78,78,1772150.164244195,5821726.152172443,2.046285725
79,79,1770591.22229967,5821753.838216619,1.210077948
80,80,1770606.844901507,5821748.254340805,1.04028748
81,81,1770599.119753991,5821734.985756234,1.125214294
82,82,1772213.239262281,5821684.945028068,0.437575017
83,83,1770476.506687102,5821569.982937218,1.261740724
84,84,1770824.770260249,5821563.51465799,0.849127262
85,85,1772233.849904686,5821534.201918755,0.383923071
86,86,1772225.827134875,5821505.374483624,0.962353848
87,87,1770769.23529233,5821542.83059775,0.829400126
88,88,1772249.072944571,5821504.693804181,-0.035275004
89,89,1772232.824009254,5821485.088664592,1.001824989
90,90,1770788.35330235,5821505.746871121,0.787528307
91,91,1770413.588506303,5821502.430836692,1.457069744
92,92,1772264.072221842,5821464.490806144,-0.150113928
93,93,1770427.390139683,5821485.169066028,0.982940556
94,94,1770748.298808407,5821483.917870588,0.672243332
95,95,1770411.099561998,5821473.806229427,1.076769253
96,96,1770719.376953409,5821471.116735786,0.502168227
97,97,1772271.571794875,5821444.389877501,-0.504225538
98,98,1770387.130350552,5821463.60219673,1.371600008
99,99,1770371.31274121,5821453.624511519,2.323534214
100,100,1770521.341728676,5821451.063143503,0.864851842
101,101,1772238.70534188,5821415.159229273,0.996218165
102,102,1772278.862922597,5821414.320254869,-0.664712497
103,103,1770356.773225564,5821444.024905778,1.884857161
104,104,1770537.108095136,5821439.829907354,0.890714282
105,105,1770362.98506502,5821437.19955565,2.004285766
106,106,1770504.977404776,5821434.634964092,0.961133351
107,107,1770553.111376239,5821431.153916546,0.949515605
108,108,1770568.690590291,5821420.396260413,0.993333321
109,109,1770857.532734834,5821404.590891823,0.982261677
110,110,1770698.665052934,5821395.0837422,0.336682928
111,111,1770868.202028092,5821374.076404704,1.008452844
112,112,1772293.028686704,5821334.245268078,-0.79108749
113,113,1770606.853348923,5821359.513943498,0.990688316
114,114,1770614.863712142,5821349.828480188,0.976387092
115,115,1770630.707097627,5821339.982342665,0.932372901
116,116,1770841.658133952,5821343.656596888,0.974428089
117,117,1772291.674729649,5821269.453141408,-0.667836016
118,118,1772183.664705907,5821216.861452684,1.110459121
119,119,1772262.823166508,5821215.207634122,0.6658
120,120,1772108.49248784,5821198.123903874,1.052041086
121,121,1772076.176258917,5821189.188366588,1.173650016
122,122,1772226.577319453,5821186.048057082,0.576532467
123,123,1772076.582653113,5821162.836800131,1.236864336
124,124,1772163.689920868,5821158.745154502,0.832558422
125,125,1772122.630794048,5821138.357022457,0.890202534
126,126,1772106.591019426,5821128.719478509,0.849461533
127,127,1772082.81720676,5821112.602037343,0.955828821
128,128,1772074.318933944,5821100.203197284,0.299360019
129,129,1772159.645155884,5821005.999657691,0.354904864
130,130,1771510.003581783,5821001.539423116,0.943371776
131,131,1772064.099446813,5820989.993318733,0.189475006
132,132,1772015.8204292,5820981.028463611,-0.82099998
133,133,1772081.981722933,5820991.754623602,0.65077384
134,134,1772198.748443004,5820977.636613317,4.489411782
135,135,1771430.432511821,5820983.249800209,0.931259745
136,136,1771523.385191992,5820988.535913169,0.934621366
137,137,1772206.897314539,5820968.669044536,4.642095305
138,138,1771533.128321696,5820971.14131427,0.905725002
139,139,1772215.052450223,5820957.668424111,2.350962939
140,140,1771432.762329271,5820965.944968328,1.53955655
141,141,1771548.767267699,5820961.570716114,0.963307703
142,142,1772221.736063893,5820946.981140264,1.745413349
143,143,1771454.050294714,5820953.945892713,1.784366665
144,144,1771568.333728302,5820950.464049721,0.98169621
145,145,1771485.221115825,5820944.183821095,1.958956521
146,146,1772229.416726519,5820932.284125023,3.306577206
147,147,1771501.372220808,5820934.231348627,1.017906978
148,148,1772236.786225438,5820916.580742669,3.664493676
149,149,1771508.46666396,5820921.825497824,1.064688873
150,150,1771595.431021889,5820920.710218789,1.146235294
151,151,1771611.039541357,5820909.685828391,1.002162515
152,152,1772432.07396954,5820892.573418234,0.634806733
153,153,1772246.861477874,5820900.373220499,1.934551099
154,154,1772442.334783148,5820872.394045698,0.567773588
155,155,1771632.773826182,5820886.676151017,0.421393638
156,156,1768596.642294727,5820934.749191376,0.893261892
157,157,1771661.660458525,5820868.742539738,0.445566036
158,158,1772449.833298944,5820852.292403065,0.96066665
159,159,1768613.992935393,5820922.020032847,0.973008698
160,160,1772266.990439441,5820846.142897185,-0.731812482
161,161,1768562.175989783,5820912.964747307,1.016185187
162,162,1771609.217337309,5820849.889744767,1.059140018
163,163,1771689.4355763,5820851.760148617,0.47311724
164,164,1771981.246385332,5820842.136755335,-0.815919981
165,165,1772400.615964824,5820835.207586574,0.011593164
166,166,1768625.295868777,5820901.701710094,0.685236359
167,167,1772259.401992091,5820832.821667564,0.676007761
168,168,1768862.710926473,5820886.661791403,1.017299996
169,169,1771522.153680505,5820831.964799034,0.754814812
170,170,1770866.01456034,5820835.402971587,1.174872451
171,171,1768284.701907048,5820878.803217188,0.877104473
172,172,1770833.093400926,5820826.328500992,1.091055554
173,173,1771532.675232835,5820818.293610843,0.852572969
174,174,1772458.628902759,5820816.438204533,-0.063144396
175,175,1768292.28370492,5820868.525306579,0.550233773
176,176,1771428.134835894,5820805.345378083,0.969499993
177,177,1771503.502185756,5820805.14355805,0.789605754
178,178,1771950.140821095,5820791.932648038,1.437760031
179,179,1772348.845739535,5820784.247051537,-0.550504575
180,180,1771545.555895307,5820792.229638831,3.404885216
181,181,1771624.60299963,5820804.257317199,1.071117221
182,182,1772406.743382163,5820783.638829091,0.340652353
183,183,1771561.155573937,5820788.090155086,1.598750005
184,184,1768308.604270365,5820839.36574519,0.84697674
185,185,1771442.653772217,5820786.841985309,1.159421052
186,186,1771587.521720984,5820778.148809858,1.144507109
187,187,1771672.654934289,5820777.362297248,1.206212316
188,188,1771711.844970766,5820784.731179035,1.088844763
189,189,1771773.588220801,5820802.663840111,0.321331503
190,190,1771916.836393423,5820763.701385399,0.944012482
191,191,1772341.358756222,5820760.519601878,0.777142176
192,192,1770808.31451931,5820776.980350605,1.105462953
193,193,1771695.36238264,5820764.888101391,1.154114497
194,194,1772360.494764965,5820745.971894431,0.697846147
195,195,1772421.401283973,5820743.583667598,0.491
196,196,1768595.130950955,5820822.454498966,1.304203415
197,197,1768623.638860689,5820811.809798328,1.087544299
198,198,1771710.926778525,5820753.867924922,1.272554809
199,199,1772317.060333159,5820746.674838974,0.292573769
200,200,1772375.911305522,5820734.629997197,1.121121206
201,201,1768583.547104545,5820802.916725366,5.291868765
202,202,1771453.802832586,5820754.719121759,2.640039594
203,203,1771877.534505807,5820741.135231562,0.059206085
204,204,1768639.643570754,5820798.673506713,1.078283333
205,205,1772388.6698676,5820721.759276629,0.75425757
206,206,1768569.428425514,5820790.799993449,2.143153474
207,207,1768648.028628649,5820782.819942852,1.0645814
208,208,1768551.407008242,5820773.575070004,0.421642854
209,209,1768655.626379299,5820772.574731084,1.072804925
210,210,1768832.549765969,5820767.263434419,0.152152381
211,211,1771758.04429674,5820725.660721268,1.523513536
212,212,1768788.818484971,5820758.537409345,0.276627616
213,213,1771796.286611202,5820729.299291072,1.185251237
214,214,1768768.826086645,5820748.974599117,0.454349998
215,215,1768859.92131547,5820749.504810149,0.920349999
216,216,1771875.722406643,5820684.955242168,1.2083421
217,217,1768330.780428217,5820756.393533745,0.500237706
218,218,1768550.9510669,5820743.46023667,3.913935851
219,219,1768931.540132821,5820737.51094331,1.060160004
220,220,1771883.304023362,5820674.649424548,1.113825011
221,221,1768360.86975401,5820739.650600422,1.377099995
222,222,1768377.094252574,5820737.899911841,2.738636362
223,223,1768526.845860458,5820734.188700178,0.527214284
224,224,1768730.718656833,5820735.946596234,0.7255102
225,225,1770759.282957021,5820688.24582597,1.1769074
226,226,1771661.650086916,5820668.914796988,1.221916682
227,227,1771681.255027664,5820668.887640512,1.19984998
228,228,1770751.574360647,5820678.225275904,1.192905685
229,229,1771875.262507874,5820654.551112128,1.247861119
230,230,1768510.607732421,5820714.576394364,0.445500001
231,231,1768694.480196514,5820723.983483487,1.061265119
232,232,1771867.876211072,5820644.217400227,2.079446418
233,233,1768414.045431233,5820717.83132977,0.910598276
234,234,1768692.625501506,5820701.4007494,0.950129619
235,235,1771652.928530357,5820639.5602274,1.218278459
236,236,1771660.791779519,5820629.21667787,1.21027776
237,237,1768464.09278498,5820704.36730366,0.925068077
238,238,1768684.684437762,5820680.824062241,0.727971828
239,239,1770454.353638106,5820634.870367856,0.505371794
240,240,1771761.876780366,5820611.030554343,0.980694996
241,241,1768691.845262687,5820665.929246061,1.165987266
242,242,1768675.762587584,5820651.154975912,0.82760001
243,243,1768675.523595833,5820633.759014381,1.376312483
244,244,1770399.021749852,5820602.140400849,0.838013154
245,245,1771944.339618742,5820563.680520906,1.127750002
246,246,1772118.947132776,5820559.46250565,1.197835803
247,247,1771937.809224579,5820537.200468423,0.92220784
248,248,1771717.915694849,5820586.962372689,1.128047897
249,249,1771911.205827535,5820518.924654216,-0.850000024
250,250,1772078.1029491,5820510.674090142,1.202405354
251,251,1771678.51106296,5820516.100418281,1.200778368
252,252,1771752.693881237,5820512.256705398,1.233146756
253,253,1772354.718817392,5820493.189217308,1.112749994
254,254,1771768.5947776,5820497.745926735,1.210611105
255,255,1772096.897230472,5820506.521587447,1.187376056
256,256,1772314.689215693,5820476.167688319,1.174412513
257,257,1771650.275888373,5820486.786087789,1.297771683
258,258,1771784.009646517,5820477.479975794,1.150490923
259,259,1771657.906849669,5820470.512820307,1.698765647
260,260,1772073.358009829,5820470.817250094,1.218043439
261,261,1772306.201887139,5820456.608091606,1.181035697
262,262,1772394.338885397,5820463.013244086,1.004787798
263,263,1771914.349334848,5820454.610033078,0.668132649
264,264,1771670.695440172,5820456.935531134,1.255424661
265,265,1769644.685588526,5820490.468825804,1.000586663
266,266,1771680.932825823,5820441.202741863,1.242391309
267,267,1771771.890983469,5820438.219673031,1.081509438
268,268,1771799.342033651,5820460.874667587,1.128348095
269,269,1772099.938928298,5820430.792414734,1.112974954
270,270,1771696.40370646,5820436.566773928,1.222159663
271,271,1771724.498263657,5820425.593116964,1.212561812
272,272,1771747.500810675,5820418.357340856,1.18440789
273,273,1771790.791844177,5820417.530417892,1.195430517
274,274,1772107.437776425,5820410.691085352,1.109421018
275,275,1769585.170441837,5820462.608380803,1.047821704
276,276,1771807.157020684,5820408.915541626,1.796341498
277,277,1772115.300140982,5820400.346774546,1.074111092
278,278,1771822.617852173,5820397.208261446,1.196641794
279,279,1769562.122394758,5820433.528410011,1.157301892
280,280,1771536.772795954,5820392.877852381,1.250607139
281,281,1771877.698620203,5820585.018743811,0.529511489
282,282,1772169.978559631,5820379.675574594,1.193571429
283,283,1771560.310623471,5820382.415427689,1.227944425
284,284,1769556.52620487,5820415.357739088,2.224809496
285,285,1771512.783298548,5820373.951791739,1.224451018
286,286,1771830.01909253,5820378.814869831,1.157808304
287,287,1771496.15353745,5820363.598331337,1.155100033
288,288,1771837.894693818,5820357.284348105,0.997203377
289,289,1772113.670528431,5820355.141525708,0.833745458
290,290,1771473.499960859,5820354.849617878,1.533222238
291,291,1771852.699908612,5820346.199543439,0.448487503
292,292,1771481.369725521,5820345.619554021,1.600088898
293,293,1771496.277187378,5820333.902165795,1.648987019
294,294,1772073.919621843,5820322.366666396,0.921854552
295,295,1771938.98602142,5820314.690575738,0.524035713
296,296,1768907.497521825,5820367.191828337,1.361263206
297,297,1768931.445449052,5820368.172862061,1.313413764
298,298,1768947.292378151,5820357.084092673,1.298661557
299,299,1771582.188117265,5820292.209138351,1.061055564
300,300,1771605.725846848,5820281.746226049,1.036551723
301,301,1771574.303187403,5820272.880619935,1.298500007
302,302,1771613.743818081,5820271.191795488,1.044666698
303,303,1771590.303891059,5820263.197940053,1.280799997
304,304,1772052.127703699,5820287.081104954,0.553733747
305,305,1771560.945238942,5820273.141688411,1.210467508
306,306,1771636.546384211,5820240.80009374,1.251884596
307,307,1771763.334190291,5820237.639332126,0.900314811
308,308,1771652.199091352,5820220.82383355,1.888518991
309,309,1771662.038835796,5820241.923725632,1.867101638
310,310,1771976.998873582,5820214.752780609,-0.850000024
311,311,1771782.365779927,5820212.418719156,0.752273973
312,312,1772008.396373418,5820195.147449727,-0.746383002
313,313,1771845.260479826,5820189.844111986,0.571582086
314,314,1772177.121324205,5820193.089307902,0.474979269
315,315,1772355.093002342,5820136.261493051,0.341699994
316,316,1772228.247133539,5820128.940782895,-0.153100004
317,317,1772212.578012272,5820109.323427859,0.43492308
318,318,1772190.572720304,5820096.330718376,0.203397728
319,319,1772219.629923502,5820090.738204813,0.836882362
320,320,1771997.52135676,5820084.104935116,0.228363638
321,321,1772235.699044249,5820080.013577272,1.092310315
322,322,1772250.741647512,5820068.636330583,1.04252501
323,323,1772066.204786784,5820066.106182348,0.188338369
324,324,1772257.662620971,5820048.546890165,1.067076958
325,325,1772064.549584564,5820043.192860325,0.145228571
326,326,1772077.542245457,5820012.420127052,-0.850000024
327,327,1772264.495670207,5820017.133050199,1.094512361
328,328,1772304.686291161,5819997.701921447,1.07148748
329,329,1771936.444236971,5819995.419596577,-0.850000024
330,330,1772313.024528552,5819978.75199993,1.104964307
331,331,1772399.081745467,5819975.575262697,0.889581815
332,332,1771892.333522807,5819976.18789936,-0.018851863
333,333,1772320.931594688,5819968.9599127,1.058891309
334,334,1771852.353068328,5819957.492471557,0.521800009
335,335,1771868.32263612,5819956.224538632,0.755692327
336,336,1772335.424888918,5819947.236894476,1.014199982
337,337,1771860.215263807,5819947.148395269,0.876575012
338,338,1772358.819008772,5819927.096404015,1.042079991
339,339,1770237.302342026,5819960.887713398,0.348149997
340,340,1770218.933425243,5819944.075377196,0.408438676
341,341,1772381.17130412,5819896.378440264,0.93877549
342,342,1772452.24771675,5819855.131991846,3.992200031
343,343,1769088.708636891,5819915.326532298,1.14561192
344,344,1772460.152912249,5819845.265964368,2.010540527
345,345,1772491.509892029,5819844.207665392,0.803434232
346,346,1772388.801546915,5819839.715644505,0.911054066
347,347,1772467.686997414,5819834.865721758,0.933973313
348,348,1772380.184615768,5819821.606048863,0.96336249
349,349,1772498.932556238,5819824.460859237,0.917353433
350,350,1768572.993797938,5819885.405152005,1.246749988
351,351,1768604.651727771,5819884.757492005,1.203749369
352,352,1768639.832429036,5819884.712862717,1.174743133
353,353,1768659.693619622,5819873.866809834,1.155178534
354,354,1768570.836420116,5819866.115058737,1.449530075
355,355,1768628.032359843,5819865.229125128,1.314610247
356,356,1772478.390942502,5819801.745805513,3.366703502
357,357,1768652.092489911,5819854.8113888,1.205593238
358,358,1769783.294676162,5819830.642050896,0.872500002
359,359,1768667.230787211,5819843.691651406,1.213632893
360,360,1769774.969495687,5819810.869362498,0.784849995
361,361,1768698.671491735,5819824.803685367,1.232833321
362,362,1768714.228054371,5819821.969084746,1.223160036
363,363,1768729.748337704,5819818.119017598,1.261378019
364,364,1769820.741643882,5819809.515858925,0.99253329
365,365,1769821.634601536,5819770.018397131,0.961849987
366,366,1768776.539883304,5819771.563919863,1.191135147
