OID,FID_,X,Y,BCE_Raglan
0,0,1772243.239752421,5821604.537758762,0.030115391
1,1,1772285.944916177,5821520.126436408,-0.151153143
2,2,1772260.739600585,5821494.476483347,-0.730446538
3,3,1770735.231499529,5821446.42737198,0.63173417
4,4,1770740.353449396,5821416.40449886,0.644163039
5,5,1772082.220137556,5821099.310279697,-0.432349985
6,6,1772289.385594069,5821097.833082365,-0.369200001
7,7,1772279.062497705,5821075.700985786,0.294573774
8,8,1771996.199662653,5820772.016500993,-0.171949997
9,9,1772148.459900317,5820564.050473724,1.204479164
10,10,1771952.248021299,5820581.382369041,0.738540004
11,11,1771866.829389332,5820514.940848307,0.169247665
12,12,1772118.823298936,5820492.618739829,1.172827998
13,13,1771922.800165959,5820477.948240566,0.910888291
14,14,1772175.216653355,5820437.336763895,1.162046635
15,15,1771934.814329193,5820328.809402566,0.805268119
16,16,1771954.972319265,5820314.148075153,0.552862499
17,17,1772082.447953359,5820161.901665492,-0.81383009
18,18,1771927.652717008,5820153.564799616,0.460290906
19,19,1769284.102808668,5818664.392425193,0.348868417
20,20,1772641.639559538,5818257.809857286,1.277500022
21,21,1772913.54802813,5817710.387987894,3.244574066
22,22,1772935.730370825,5817699.685796876,1.110739393
23,23,1772963.874517073,5817689.87200068,0.886357381
24,24,1773030.861665837,5817642.985170453,0.755104158
25,25,1764313.999722629,5817539.007010167,-0.088125003
26,26,1767675.355257495,5817300.994535601,-9999.0
27,27,1767616.603785791,5817220.048078149,0.396853684
28,28,1767592.670076621,5817201.856179516,0.914379337
29,29,1767567.688347839,5817173.549072235,1.408121212
30,30,1764488.765989562,5817175.768822085,0.923291134
31,31,1764494.779244898,5817165.075103208,2.075846157
32,32,1764657.608074235,5816913.078327375,-0.448607597
33,33,1768311.969915653,5816799.359448029,0.390849999
34,34,1764901.828356147,5816853.422287923,-0.04951046
35,35,1764989.836730128,5816835.904647779,-0.169186816
36,36,1765501.796286125,5816776.565149508,0.773461531
37,37,1764931.82092063,5816778.239506326,-0.548196425
38,38,1765479.51678978,5816737.557001042,0.674129886
39,39,1772429.660755232,5816532.219874937,1.830837817
40,40,1772437.832543702,5816524.507839051,1.61865823
41,41,1765401.717505494,5816551.409614987,0.443560978
42,42,1768362.023215881,5816484.06170729,1.377780011
43,43,1765361.908415369,5816520.354575917,0.024148148
44,44,1772748.397251966,5816307.32017605,0.832024994
45,45,1765064.749924194,5816321.071300828,-0.501181809
46,46,1768419.026057733,5816228.764693677,1.75347998
47,47,1768410.747238179,5816218.754126268,0.16409259
48,48,1765555.100764341,5816266.612917024,-0.482067572
49,49,1765014.494148836,5816295.584492364,-0.376212445
50,50,1769239.496299543,5816181.063908289,0.732295451
51,51,1765008.255937943,5816248.193209552,-0.480642863
52,52,1769303.892600348,5816150.687892986,1.599897425
53,53,1769295.724326335,5816141.700349589,2.889090901
54,54,1768453.804635209,5816152.342616864,0.538566176
55,55,1768469.186643028,5816134.857346035,0.664946742
56,56,1764667.884235045,5816206.410363548,0.70086842
57,57,1773162.858141661,5816009.107336778,0.290384614
58,58,1768528.303561889,5816014.493047395,0.375230773
59,59,1765385.905474452,5816050.174013056,-0.90899996
60,60,1765369.091665321,5816010.689019701,-9999.0
61,61,1766705.334919854,5815973.450612078,0.10071104
62,62,1764752.279467325,5815939.557720284,-0.966999948
63,63,1766764.689907779,5815863.099246973,0.698750003
64,64,1766777.110394902,5815848.205584822,0.52325926
