OID,FID_,X,Y,BCE_Rangau
0,0,1626543.25822285,6140283.371323116,0.304875
1,1,1626502.039044828,6140254.721705258,-0.349933354
2,2,1626489.697301516,6140245.144115253,-0.364666688
3,3,1625038.770006406,6139521.659807147,2.496699989
4,4,1625104.079961053,6139451.951899172,2.404122802
5,5,1625227.156500437,6139371.71398578,2.569487438
6,6,1625497.315114638,6139111.955740954,2.155637537
7,7,1625611.0417927,6138683.264552441,-9999.0
8,8,1628186.964195667,6138266.056019641,0.951079359
9,9,1628180.085661771,6138248.096017801,1.109579271
10,10,1628345.496491202,6138224.743356504,1.172075345
11,11,1628016.020681078,6138166.179388216,1.641722247
12,12,1625609.21919607,6138095.731625409,1.152818159
13,13,1627603.774960508,6138090.455123672,1.387964947
14,14,1628022.325235885,6138078.375210128,1.41071234
15,15,1628112.567207835,6138068.253910407,1.236077796
16,16,1627736.981153995,6138088.096539471,1.447239475
17,17,1628048.435443391,6138063.842045872,1.423863113
18,18,1628132.554158119,6138058.087027399,1.184451139
19,19,1628066.935301114,6138047.889798938,1.394541271
20,20,1628097.018218859,6138048.37684173,1.244354354
21,21,1625605.18568928,6138060.67187635,1.020406245
22,22,1625595.562560771,6138010.294555973,1.158660386
23,23,1625588.506374617,6137966.080199792,1.257870605
24,24,1625576.042365149,6137911.32443183,1.833975008
25,25,1625567.709901368,6137866.519023564,1.798552606
26,26,1625559.474929627,6137856.580102,3.018622209
27,27,1625559.391435449,6137826.694545629,1.498165362
28,28,1627925.460188813,6137812.233718069,-0.451781673
29,29,1625313.040486075,6137777.56982557,1.15229999
30,30,1625544.992118029,6137751.988192393,0.904590158
31,31,1628058.348142624,6137746.280522161,-0.421361519
32,32,1628106.856463725,6137692.964962201,-0.450219792
33,33,1625389.811498123,6137674.970555522,1.015209651
34,34,1625332.858102654,6137649.604838826,0.939345527
35,35,1625356.066732838,6137612.37509249,1.048112252
36,36,1625312.376589218,6137598.461178652,0.821228075
37,37,1625384.484580593,6137614.651095846,0.947802685
38,38,1625296.32430757,6137611.313034807,2.625771758
39,39,1625271.399756246,6137558.522440011,3.937726143
40,40,1625295.85260436,6137558.659151029,0.92522033
41,41,1625279.746829541,6137548.333144424,1.23701786
42,42,1625259.624216332,6137531.996677287,1.854439897
43,43,1625317.916576705,6137550.846612121,0.834072593
44,44,1625366.118063876,6137558.110177051,1.028174468
45,45,1625352.271343632,6137503.185898307,1.187412048
46,46,1625164.604239461,6137458.993213346,1.874259267
47,47,1625131.540983913,6137434.383576025,1.116040752
48,48,1625307.854541939,6137428.986108871,0.939924062
49,49,1625111.413450543,6137420.076408946,1.577948256
50,50,1625284.959953654,6137412.055438687,0.891417625
51,51,1625213.34763127,6137339.520061865,0.963740244
52,52,1628602.379145188,6137279.945044468,-9999.0
53,53,1628897.985527394,6137278.811611639,0.763999995
54,54,1624763.939061984,6137231.16651555,1.574205567
55,55,1626222.634881318,6137216.047556326,0.085694445
56,56,1628955.211200792,6137208.896815923,0.78924998
57,57,1626107.381427962,6137207.323579273,0.205903364
58,58,1628971.592785586,6137198.882967564,0.77663636
59,59,1624734.848909418,6137207.481261449,1.038107901
60,60,1626394.563655056,6137147.638833665,-0.318111109
61,61,1625056.389044362,6136901.830371542,-9999.0
62,62,1624990.007230926,6136896.257612025,-9999.0
63,63,1625045.73210567,6136891.693271397,-9999.0
64,64,1625061.009636721,6136869.835349277,-9999.0
65,65,1625186.938615491,6136890.748781599,-9999.0
66,66,1625096.575669154,6136851.289851949,-9999.0
67,67,1626787.466977371,6136802.080953242,-9999.0
68,68,1625088.07449882,6136804.846700779,-9999.0
69,69,1626614.844494344,6136787.208909609,0.436901398
70,70,1626631.379152912,6136777.591836874,0.371306111
71,71,1626582.210779477,6136767.813093694,0.704839992
72,72,1626656.066220651,6136767.598126464,0.36179167
73,73,1626688.890862433,6136767.502398722,1.021222218
74,74,1626752.271992321,6136771.191309898,-0.144066693
75,75,1628863.356540562,6136761.102439189,-9999.0
76,76,1626680.48675306,6136757.360662752,0.428245621
77,77,1626729.892548197,6136757.420684836,0.570516655
78,78,1626357.628089862,6136721.469664568,-0.279000044
79,79,1628863.167896814,6136701.331146387,-0.509000063
80,80,1626336.608495301,6136685.839439366,-9999.0
81,81,1628066.945224848,6136574.099488031,-9999.0
82,82,1628965.900780129,6136561.91472384,-9999.0
83,83,1628978.281244834,6136546.921175092,-9999.0
84,84,1626622.502194443,6136513.665881636,-9999.0
85,85,1628985.262110817,6136505.912873575,-9999.0
86,86,1626367.540202556,6136503.873553512,-9999.0
87,87,1626557.128039687,6136550.062291302,-9999.0
88,88,1626622.429583073,6136488.761192157,-9999.0
89,89,1628132.149704622,6136484.445637448,-9999.0
90,90,1626376.055831491,6136479.717509559,-9999.0
91,91,1626523.733148722,6136469.328399135,-9999.0
92,92,1628056.142300184,6136470.638711712,-9999.0
93,93,1628050.766279127,6136454.605364246,-9999.0
94,94,1626375.974156974,6136453.975455157,-9999.0
95,95,1624866.829573821,6136443.894051146,-9999.0
96,96,1624849.623432874,6136434.183110129,-9999.0
97,97,1628988.26483014,6136446.10165189,-9999.0
98,98,1625937.201949408,6136454.202947649,-9999.0
99,99,1626433.434455594,6136399.651840819,-9999.0
100,100,1626449.817298521,6136389.642505743,-9999.0
101,101,1628968.837508739,6136382.213501388,-9999.0
102,102,1626411.699140215,6136390.720187821,-9999.0
103,103,1626474.319390942,6136349.723749094,-9999.0
104,104,1626482.488397673,6136337.001184704,-9999.0
105,105,1626507.684494097,6136329.703109671,-9999.0
106,106,1626552.979546459,6136345.423701211,-9999.0
107,107,1626628.271819668,6136344.039222866,-9999.0
108,108,1626630.625946797,6136279.536043986,-9999.0
109,109,1626447.945878647,6136314.260126198,-9999.0
110,110,1626623.706917669,6136202.713775964,-9999.0
111,111,1628024.617735214,6136150.845241791,-9999.0
112,112,1628024.495561532,6136110.997684041,-9999.0
113,113,1628010.763659666,6136092.77600748,-9999.0
114,114,1628016.183225454,6136076.156152559,-9999.0
115,115,1628008.485709665,6136046.293806702,-9999.0
116,116,1628048.103783442,6135782.179729529,-9999.0
117,117,1628031.654992939,6135769.777757891,-9999.0
118,118,1628015.177993558,6135748.141811436,-9999.0
119,119,1628015.114708725,6135727.490014946,-9999.0
