OID,FID_,X,Y,BCE_Rangau
0,0,1626377.525439946,6140315.236945353,-0.07307828
1,1,1626448.638491313,6140240.964087725,0.114123539
2,2,1625030.506903775,6139501.758600629,2.308177753
3,3,1625214.816325213,6139361.786078567,3.10088129
4,4,1625231.205824915,6139351.779009506,2.790956264
5,5,1625243.49105786,6139341.783231549,3.021022246
6,6,1625251.672037447,6139331.798758537,2.30277499
7,7,1625268.075193546,6139326.772540063,2.956987474
8,8,1625276.242378208,6139311.807126058,2.595625056
9,9,1625292.631721581,6139301.799944462,3.209799939
10,10,1625142.747236459,6139441.107454394,2.570324622
11,11,1625300.812611711,6139291.815426428,2.673375009
12,12,1625333.814053139,6139291.519846943,2.221839304
13,13,1625317.201892551,6139281.808200181,3.004962483
14,14,1625325.382737952,6139271.82365964,2.892975017
15,15,1625333.563565444,6139261.839111537,2.631177791
16,16,1625349.95275693,6139251.831825695,2.316450033
17,17,1625358.133539693,6139241.847255081,2.217525077
18,18,1625366.314304548,6139231.862676905,2.428625023
19,19,1625379.024729631,6139253.91222783,2.289372024
20,20,1625374.495051492,6139221.878091169,2.837422242
21,21,1625407.328472379,6139221.787008193,2.137575042
22,22,1625390.884126806,6139211.870730779,2.124812461
23,23,1625415.426179724,6139181.916883351,2.630011156
24,24,1625480.876891713,6139102.046987605,2.552675042
25,25,1625565.07371755,6139023.754437476,2.344693008
26,26,1625636.603761959,6138838.773583177,3.010303725
27,27,1627392.528630576,6138807.621799735,2.853559254
28,28,1625585.59994712,6138454.427043208,0.663122796
29,29,1625570.756062236,6138449.750422255,2.544873701
30,30,1625577.901720835,6138420.428824594,2.860496664
31,31,1625594.167342077,6138380.44472426,2.136404401
32,32,1625601.332374741,6138364.521424999,1.993764711
33,33,1627426.499626383,6138347.748779727,-9999.0
34,34,1625614.771141588,6138323.180235652,2.616875666
35,35,1628145.968609936,6138247.441470956,1.607956357
36,36,1628219.952714149,6138237.072404542,1.072736861
37,37,1628121.916563273,6138226.699645452,1.220991968
38,38,1628142.18321129,6138218.172787468,1.283568167
39,39,1628162.103602926,6138217.735331463,1.119936356
40,40,1628185.15048967,6138241.919138141,1.183958231
41,41,1628088.6300658,6138197.397336987,0.831502798
42,42,1628064.016019096,6138186.488250606,1.136596482
43,43,1628080.107114825,6138188.625202351,1.251305332
44,44,1628023.676906827,6138176.666461835,1.333505701
45,45,1628043.11032517,6138168.08675056,1.673463152
46,46,1628071.836310886,6138167.998657491,1.596141675
47,47,1628152.149875076,6138178.810641182,1.020553944
48,48,1628017.718595735,6138159.242475843,1.556942315
49,49,1628342.348896788,6138207.707945202,0.990324622
50,50,1627988.725111718,6138159.34386924,1.457302691
51,51,1628136.351239104,6138151.870087792,1.540716509
52,52,1628193.530656985,6138116.309851979,1.293874661
53,53,1627694.083729099,6138099.416156885,1.965453657
54,54,1627792.572069763,6138099.117560659,1.468355531
55,55,1627735.05793956,6138078.640172913,0.97757141
56,56,1627775.622725183,6138079.604584305,1.334043468
57,57,1627858.17029584,6138078.994160865,1.356824967
58,58,1627874.417290507,6138079.148974192,1.337357149
59,59,1628221.548314278,6138077.880520971,1.692597577
60,60,1627632.438273113,6138069.716726196,0.767563633
61,61,1627665.268662802,6138069.966129166,0.864533328
62,62,1627693.99548138,6138070.258633601,0.617894738
63,63,1627890.801610335,6138069.137091769,1.128210537
64,64,1628120.506456395,6138067.451920735,1.21967163
65,65,1628023.111833829,6138064.051928842,1.352205844
66,66,1627830.704721434,6138057.37218228,1.173071118
67,67,1628079.988437437,6138058.576834979,1.28983298
68,68,1628157.353654158,6138040.455628079,0.840503402
69,69,1628184.214978825,6138021.069324647,0.600731983
70,70,1628203.060939344,6138010.369955415,0.617906957
71,71,1628227.449464559,6138003.702445522,0.59183891
72,72,1628235.935315047,6137988.822327942,0.60994592
73,73,1625592.665722154,6137985.992421621,1.121312512
74,74,1628251.83057772,6137983.148491724,0.606862496
75,75,1628276.421568532,6137973.110566375,0.760202259
76,76,1628087.441245112,6137958.954046348,0.163963637
77,77,1628302.461127973,6137965.804884478,0.671578476
78,78,1628325.587968595,6137948.053582166,0.674777768
79,79,1628193.981833062,6137908.816563667,0.235678576
80,80,1628259.547062522,6137878.728403143,0.276456139
81,81,1628571.419391895,6137877.75974727,0.88271428
82,82,1625559.502760892,6137866.541956194,2.585755526
83,83,1625572.66759812,6137878.459490404,1.613010294
84,84,1627826.898915067,6137849.964413592,-0.425306132
85,85,1625565.602440242,6137846.601053462,1.660860601
86,86,1627824.583529885,6137830.047522983,-0.501088869
87,87,1625551.184330748,6137826.717463913,3.040899956
88,88,1625559.335772359,6137806.770828826,1.107150014
89,89,1625297.071790406,6137637.830505772,2.483064471
90,90,1625289.672020345,6137617.483203813,5.763833268
91,91,1625281.392022606,6137597.588711549,5.364362454
92,92,1625272.130105433,6137571.772317347,4.343015097
93,93,1625369.346686241,6137562.663181704,1.015946903
94,94,1628750.942607795,6137548.04387634,1.054073663
95,95,1625256.133473735,6137537.647290004,2.21429424
96,96,1625247.505092125,6137527.495165998,4.022856937
97,97,1625239.007555446,6137518.010186554,5.42121695
98,98,1625358.973587896,6137517.865614641,1.108974269
99,99,1625221.995339322,6137498.885248163,5.128244495
100,100,1628816.347822121,6137468.550918787,0.715379314
101,101,1625171.104380661,6137452.621423313,1.672177785
102,102,1625065.824090743,6137410.383498036,2.858539606
103,103,1625109.322001709,6137421.521733366,2.20362778
104,104,1625325.120413693,6137605.245537507,1.05169264
105,105,1625008.346394768,6137400.582453243,2.571415078
106,106,1625090.242732976,6137399.425874729,0.874551743
107,107,1625036.777244967,6137399.650805843,2.619272872
108,108,1625057.725171538,6137389.553075654,2.51223201
109,109,1624934.634018161,6137379.870086744,1.328535747
110,110,1624926.467267441,6137369.883060367,1.233410933
111,111,1624973.391601844,6137384.971342939,1.273869826
112,112,1628857.034845246,6137358.432377285,0.8073684
113,113,1624918.506591632,6137359.66253674,0.834509824
114,114,1624910.64205242,6137349.395489683,0.74698361
115,115,1624902.947983465,6137339.129338886,0.739080024
116,116,1625224.194310406,6137372.479837625,0.898845751
117,117,1626074.87994985,6137337.309031505,-0.124315778
118,118,1628874.122600254,6137328.696834472,0.869781825
119,119,1624925.919448522,6137330.55018437,0.055157884
120,120,1625176.820579406,6137330.23919784,0.544572723
121,121,1626042.190561205,6137326.507903217,-0.045929823
122,122,1624893.926896362,6137319.907369206,0.381650789
123,123,1625152.173214718,6137320.345069018,0.495154546
124,124,1625131.031124933,6137310.065079885,0.609087725
125,125,1628881.938080435,6137303.767227932,0.825766653
126,126,1624877.672652585,6137289.572549754,0.359785711
127,127,1624909.39762191,6137290.747455046,-0.160321424
128,128,1624963.338746381,6137290.976565245,0.441339285
129,129,1625098.149900767,6137290.231488527,0.715386049
130,130,1628889.794627665,6137283.818474961,0.768875003
131,131,1628897.954054708,6137268.849737399,0.745074984
132,132,1624860.697544951,6137270.186049746,0.595323074
133,133,1625009.002790278,6137278.615200248,0.609897728
134,134,1628906.113454774,6137253.880997368,0.730349999
135,135,1628914.275129244,6137239.640251736,0.694777777
136,136,1628930.654511007,6137228.898470277,0.678249996
137,137,1624749.405009401,6137231.187838329,1.474787769
138,138,1624827.169180796,6137231.199408809,0.707754365
139,139,1624737.037752816,6137221.27737908,1.298674978
140,140,1628949.972004494,6137208.371041881,0.730812949
141,141,1624777.913432437,6137223.313992589,1.161778691
142,142,1628979.408763909,6137184.291144878,0.736329514
143,143,1625311.21881982,6137180.063042369,0.361250003
144,144,1624712.29696398,6137176.515555701,0.683180762
145,145,1625271.777631457,6137166.371163034,1.161125019
146,146,1628996.088451996,6137159.685456624,0.703049392
147,147,1624728.669598879,6137161.52840082,0.991767938
148,148,1624736.849160706,6137151.54434796,0.717920835
149,149,1625302.534365949,6137144.446868229,0.35311505
150,150,1625339.999953871,6137140.279894335,0.115176802
151,151,1625361.114932187,6137139.872769784,0.024688861
152,152,1624991.001114135,6137121.171944818,0.636947364
153,153,1625006.247578804,6137110.229533295,0.798084321
154,154,1625073.111810982,6137111.352835051,0.789056605
155,155,1625093.005813554,6137108.796417204,1.005780198
156,156,1625114.433993767,6137108.312652084,1.520926879
157,157,1625130.801481533,6137110.274491649,1.300999962
158,158,1625147.066373569,6137111.305969006,0.992824565
159,159,1625048.39183322,6137101.09107801,1.141928588
160,160,1624737.417931802,6137051.530179922,0.896597006
161,161,1624721.782508366,6137011.273193283,0.902285702
162,162,1624704.370741237,6136981.307993227,0.819846157
163,163,1624687.072413776,6136952.440114199,0.69507775
164,164,1624670.606038558,6136932.560671231,0.713547621
165,165,1624662.372877704,6136922.62093856,0.738499979
166,166,1624637.512483507,6136833.030499393,0.677911109
167,167,1626541.185744484,6136827.908292937,0.613035682
168,168,1624629.279447274,6136823.090736155,0.671175002
169,169,1626556.078343711,6136811.721630218,0.573804752
170,170,1626615.064411199,6136777.679506613,0.46349999
171,171,1626584.998626463,6136783.007492085,0.604374438
172,172,1626450.600458968,6136718.589209514,-0.110447391
173,173,1626467.178280777,6136717.608934824,-0.123394765
174,174,1624580.103103169,6136703.251104463,0.79602777
175,175,1626352.237367685,6136698.74496532,-9999.0
176,176,1626426.207361816,6136698.673199462,-9999.0
177,177,1626346.591795784,6136725.652373974,-0.287925484
178,178,1626704.902771727,6136687.964277079,-0.218461581
179,179,1624563.228501059,6136673.839284868,0.79654998
180,180,1626319.341305305,6136673.934809311,-9999.0
181,181,1624554.968939225,6136653.937584811,0.81642502
182,182,1624538.449922166,6136614.134161145,0.772711091
183,183,1626573.541468659,6136608.446886102,-9999.0
184,184,1629207.610508282,6136580.489425866,0.636131573
185,185,1629218.498800073,6136563.851331248,0.65948673
186,186,1626359.787674014,6136529.574149947,-9999.0
187,187,1629248.449369169,6136520.586970502,0.593555543
188,188,1629324.241505197,6136520.93409458,1.177308935
189,189,1629379.543677356,6136510.000444372,0.682678561
190,190,1628132.210998029,6136504.369403507,-9999.0
191,191,1629396.092485721,6136500.18957089,0.659224977
192,192,1624505.278836657,6136484.717865191,1.038625012
193,193,1624490.319763499,6136454.130701835,0.710285716
