OID,FID_,X,Y,BCE_Rangau
0,0,1626346.04960929,6140312.522956053,-9999.0
1,1,1626692.529654152,6140266.122347381,-0.343035132
2,2,1626434.47652166,6140188.724616922,0.328280361
3,3,1626415.554412933,6140155.35227566,-9999.0
4,4,1627017.249174485,6139769.49371367,-9999.0
5,5,1627067.176547724,6139755.176763576,-9999.0
6,6,1627093.033064046,6139764.323989604,-9999.0
7,7,1627124.242721599,6139735.084019902,-9999.0
8,8,1627049.806050807,6139729.419954823,-9999.0
9,9,1627111.58181071,6139680.434734952,-9999.0
10,10,1627206.153334032,6139675.069433287,-9999.0
11,11,1627136.947582505,6139665.689092168,-9999.0
12,12,1627197.885367977,6139655.170159801,-9999.0
13,13,1627226.783741347,6139654.879955752,-9999.0
14,14,1626975.236073835,6139130.669394137,-9999.0
15,15,1626984.856691051,6139119.670036694,-9999.0
16,16,1626946.65509993,6139119.046396167,-9999.0
17,17,1626925.52319739,6139097.903360339,-9999.0
18,18,1626909.677257981,6139087.988035539,-9999.0
19,19,1626941.910377496,6139087.893209682,-9999.0
20,20,1626925.46458427,6139077.979671782,-9999.0
21,21,1627030.700444729,6139105.501542353,-9999.0
22,22,1627033.254605646,6139048.471449965,-9999.0
23,23,1627245.793437509,6139041.067746461,-9999.0
24,24,1627301.472927229,6139029.940202288,-9999.0
25,25,1625734.486823553,6138862.448034809,-9999.0
26,26,1625766.813056419,6138787.0715625,-9999.0
27,27,1625852.489513114,6138625.915084087,-9999.0
28,28,1627353.212908985,6138576.947713313,-9999.0
29,29,1627333.863782099,6138459.333391751,-9999.0
30,30,1627309.21100637,6138449.445059633,-9999.0
31,31,1627352.110672,6138457.539502157,-9999.0
32,32,1625716.670949284,6138364.401999975,-9999.0
33,33,1627374.793490836,6138366.612329552,-9999.0
34,34,1627395.542453938,6138300.134034774,-9999.0
35,35,1627415.466586348,6138244.703210369,-9999.0
36,36,1625742.520911326,6138240.666351584,-9999.0
37,37,1627363.328947908,6138223.224798499,-9999.0
38,38,1627402.840583565,6138224.387464025,-9999.0
39,39,1625686.021555155,6138209.170231496,-9999.0
40,40,1627436.317781162,6138199.147175454,-9999.0
41,41,1625688.039164593,6138185.543901472,-9999.0
42,42,1627439.727161676,6138180.082139484,-9999.0
43,43,1627456.419508803,6138146.742071377,-9999.0
44,44,1627480.632817964,6138080.135610915,-9999.0
45,45,1625650.967888983,6138075.486225959,-9999.0
46,46,1625920.985770068,6138055.00565738,-9999.0
47,47,1627431.131459897,6138050.602612779,-9999.0
48,48,1625650.298281384,6138050.583282585,-9999.0
49,49,1625706.994441869,6138091.350624276,-9999.0
50,50,1627496.760046989,6138040.443663714,-9999.0
51,51,1627496.700169019,6138020.519947381,-9999.0
52,52,1625691.013219993,6137995.88272065,-9999.0
53,53,1625879.611068034,6137935.579587061,-9999.0
54,54,1626175.041929183,6137924.777193817,-9999.0
55,55,1625633.01259387,6137936.531433488,-9999.0
56,56,1625879.708353489,6137910.470182824,-9999.0
57,57,1627570.373228366,6137900.550540191,-9999.0
58,58,1627580.805216021,6137890.557141632,-9999.0
59,59,1625633.255398971,6137886.463477761,-9999.0
60,60,1626186.016996377,6137891.169646426,-9999.0
61,61,1625863.027691144,6137875.854876465,-9999.0
62,62,1626093.719276864,6137904.358256537,-9999.0
63,63,1627750.721921132,6137830.999615528,-9999.0
64,64,1625769.923104575,6137840.607034765,-9999.0
65,65,1625865.378784494,6137844.467426197,-9999.0
66,66,1627808.124114888,6137815.154369685,-0.509712911
67,67,1625846.591846996,6137808.700420925,-9999.0
68,68,1626028.007641027,6137813.518388525,-9999.0
69,69,1626035.122708727,6137785.709321972,-9999.0
70,70,1627951.581097415,6137759.926429714,-9999.0
71,71,1626067.498460432,6137759.938870796,-9999.0
