OID,FID_,X,Y,BCE_Ruatan
0,0,1572179.504943416,5501099.406586742,1.968383535
1,1,1572594.757469529,5500577.755860195,1.963150874
2,2,1571651.742238564,5498283.983642391,1.735541886
3,3,1570158.550799366,5499239.395653894,1.236639033
4,4,1572932.22901093,5500257.393273572,1.318833346
5,5,1570914.020881739,5499480.62924027,1.654445308
6,6,1570869.893761334,5499970.699527545,2.3024107
7,7,1571683.541290538,5497951.938293298,1.416064208
8,8,1570786.170494716,5499597.727177323,1.417558135
9,9,1570778.664930932,5499487.12788059,1.572352033
10,10,1571058.389237748,5500297.859005976,2.833681789
11,11,1572426.024637862,5497503.018916827,0.723731185
12,12,1571927.991028046,5501210.535148549,1.636914442
13,13,1572515.349833872,5500422.282504304,1.934465935
14,14,1570106.40534567,5499282.075773844,1.259657289
15,15,1571829.584605585,5496905.79804226,0.990291427
16,16,1571730.69436792,5496894.44564923,0.812360648
17,17,1572388.68300793,5497222.290498786,0.904100778
18,18,1572527.129830647,5496916.653760145,1.289210538
19,19,1571279.515634129,5497520.826610286,1.161090034
20,20,1570661.101541609,5499735.768408488,2.265102818
21,21,1570729.560835422,5499561.018450947,1.452340643
22,22,1571248.215581225,5500529.274865084,1.775582725
23,23,1572184.584535815,5497471.286916958,0.776663636
24,24,1572900.916791224,5500176.712912675,2.11318184
25,25,1571529.714784795,5500821.453512933,0.317584347
26,26,1571688.517461333,5497285.65953235,1.20508818
27,27,1572042.157600592,5497890.481303968,1.103659082
28,28,1571802.423538154,5497814.754815008,0.93637802
29,29,1572706.028787289,5500700.695113502,2.197130795
30,30,1572364.721269951,5501408.99632088,2.147574462
31,31,1572762.06635735,5500171.478265479,2.195170095
32,32,1572391.764677728,5501232.43432775,1.995910332
33,33,1572074.264562852,5500184.297587302,2.30100511
34,34,1571330.297452025,5498725.331095763,1.219766142
35,35,1571908.135728516,5501179.699004218,0.931973726
36,36,1571849.732384695,5501124.299464336,0.913633333
37,37,1571685.867675087,5500979.228552589,0.399173331
38,38,1571659.416296765,5500944.227969517,0.3859
