OID,FID_,X,Y,BCE_Ruatan
0,0,1572295.676491198,5501419.536640099,2.044254925
1,1,1571909.314461119,5501144.603561601,0.822371737
2,2,1571814.538271039,5501099.373829682,0.584306669
3,3,1571732.979901168,5501022.045797006,0.543562496
4,4,1571714.949580781,5501001.341958619,0.613892733
5,5,1571689.62780414,5500989.213836595,0.445771428
6,6,1571697.260968979,5500979.271914908,0.604200003
7,7,1571676.602603901,5500962.962240128,0.393270195
8,8,1571720.161290017,5500949.44486315,1.005299991
9,9,1571651.839804563,5500939.213401187,0.294775001
10,10,1571769.569876137,5500939.66116585,1.666973353
11,11,1571673.41666805,5500931.00718084,0.86694286
12,12,1572237.32066717,5500921.479014582,0.940139992
13,13,1571741.923689276,5500906.668646201,0.956726646
14,14,1571800.10304776,5500899.891451268,0.997294112
15,15,1571929.659161421,5500890.991554202,0.966403821
16,16,1572107.599527815,5500891.284039315,0.950999991
17,17,1571755.128849539,5500882.753702438,0.918912082
18,18,1571781.033547545,5500880.080849794,0.917226416
19,19,1571963.480341004,5500880.566309534,1.209130432
20,20,1571630.255097083,5500892.332131991,0.682175452
21,21,1571912.673925264,5500854.74221566,0.878911115
22,22,1572208.909843601,5500845.524661077,0.726551545
23,23,1571554.846168237,5500817.307104952,0.757236598
24,24,1571515.789278283,5500764.194320555,0.815569564
25,25,1571778.060739104,5500765.623402538,0.720544115
26,26,1572157.302794883,5500756.960473042,0.611375608
27,27,1571523.32348659,5500739.499189325,0.808867922
28,28,1571758.914934285,5500745.178684065,0.718067564
29,29,1572191.708552353,5500742.028252635,0.794811317
30,30,1571877.329494555,5500742.433982482,0.666535213
31,31,1572245.10648881,5500722.080456344,0.962050024
32,32,1571808.81245769,5500711.049547499,0.678564345
33,33,1571842.131834071,5500716.101820427,0.683773575
34,34,1571719.497605314,5500724.721371881,0.668615049
35,35,1571614.657187711,5500689.991374739,0.650500001
36,36,1572162.914130134,5500682.622932538,0.727759999
37,37,1571409.819067169,5500669.059495554,0.882886966
38,38,1571473.943164046,5500669.971130725,0.696124993
39,39,1572226.951277373,5500741.360731716,0.879209724
40,40,1571463.577641684,5500659.294567459,0.497499999
41,41,1571664.69256025,5500660.644926012,0.615851477
42,42,1571759.236761664,5500660.423109586,0.648573503
43,43,1571482.455288327,5500646.239323225,0.669984846
44,44,1571452.112697265,5500625.066344281,0.738052266
45,45,1571941.728537616,5500606.271196835,0.638395654
46,46,1571546.352514468,5500584.257015325,0.630171414
47,47,1572017.617270111,5500581.83312737,0.66007693
48,48,1572066.781826637,5500562.536087458,0.563075476
49,49,1571943.434984579,5500559.778122724,0.566300668
50,50,1572055.706813429,5500551.653198092,0.623057692
51,51,1571363.553979367,5500579.070927709,0.845073228
52,52,1571718.314006912,5500541.192336549,0.493223296
53,53,1571745.980000969,5500545.119936216,0.454182755
54,54,1571308.218045079,5500529.650120611,0.880392148
55,55,1572158.903386993,5500522.91198547,0.582068616
56,56,1571322.231798372,5500519.055140502,0.844933816
57,57,1571399.473949703,5500500.087434614,0.731401954
58,58,1571717.72336344,5500506.017157835,0.50295098
59,59,1571304.159363755,5500494.153150027,0.842517383
60,60,1571850.864261442,5500491.461338945,0.570596159
61,61,1571322.808822709,5500478.686569919,0.806682705
62,62,1571744.709313031,5500485.868590282,0.456000003
63,63,1571288.601719444,5500474.672090013,0.846495148
64,64,1571767.394635094,5500471.202151324,0.412698108
65,65,1571809.834497004,5500450.550458029,0.490715685
66,66,1572208.136245357,5500452.715007209,0.927475005
67,67,1571251.438173003,5500419.368542652,0.83242305
68,68,1571230.635894997,5500411.882027578,0.847645163
69,69,1571765.914196177,5500426.261857912,0.410279521
70,70,1571457.330661381,5500431.515139495,0.563794692
71,71,1571790.153031859,5500385.757937904,0.451981131
72,72,1572060.692050263,5500382.944232029,0.418730778
73,73,1571772.122994169,5500371.883099847,0.427663461
74,74,1572177.430553003,5500495.055213042,0.773203547
75,75,1571552.449957156,5500378.701931199,0.486555048
76,76,1571133.057285635,5500352.894230941,0.900173682
77,77,1571166.437376483,5500363.700109673,0.86389224
78,78,1571228.749079585,5500354.262204531,0.782443481
79,79,1572109.091767032,5500350.979785038,0.617278485
80,80,1572132.634739224,5500332.775805049,1.263571438
81,81,1571187.546800643,5500309.812801646,0.769607822
82,82,1572041.452279198,5500302.723871449,0.35811539
83,83,1571247.640092647,5500294.81522428,0.706416663
84,84,1572064.430767942,5500292.634345235,1.137142868
85,85,1572023.092586047,5500283.088966505,0.330640778
86,86,1572653.066426735,5500284.850903763,0.849175003
87,87,1571134.083844658,5500284.095559642,0.768751205
88,88,1572622.722593853,5500275.115992435,0.819427282
89,89,1572023.1676124,5500263.146464669,0.716696077
90,90,1571109.342257937,5500295.723209671,0.857843776
91,91,1572637.39305426,5500254.140923949,0.866381583
92,92,1571149.139379318,5500234.605313719,0.749268288
93,93,1571069.760605997,5500224.017171889,0.879197822
94,94,1571108.79029328,5500217.111089311,0.800765281
95,95,1572634.354594737,5500209.996685692,0.619228579
96,96,1572017.150429962,5500192.742652925,1.245124971
97,97,1571593.852070668,5500171.399416844,0.148037735
98,98,1572026.352963662,5500172.834493071,1.360440035
99,99,1571138.208467372,5500159.673502093,0.722851854
100,100,1571077.489687946,5500149.466182924,0.791711533
101,101,1571041.937133114,5500157.99351997,0.844652169
102,102,1571605.168334292,5500146.618004691,0.147460785
103,103,1571666.668087522,5500142.139949041,0.233607841
104,104,1572630.777423239,5500150.155199615,0.804553332
105,105,1571061.311381482,5500120.192159614,0.632656059
106,106,1572711.819236816,5500126.259758879,0.600940388
107,107,1571047.267834128,5500109.053967455,0.765094349
108,108,1571092.97127128,5500114.421967459,0.601440907
109,109,1571677.292573425,5500106.129860095,0.160375
110,110,1571685.605327054,5500091.569177173,0.151653846
111,111,1572047.108264447,5500111.073371356,0.957280553
112,112,1572661.753647645,5500096.007933673,0.740834943
113,113,1572695.377056922,5500095.75454615,0.510423081
114,114,1571014.112241545,5500088.259680896,0.854575167
115,115,1570967.87367552,5500059.091868787,1.058599997
116,116,1570986.860159021,5500059.165976393,0.876625003
117,117,1572674.065828063,5500066.29279639,0.952324491
118,118,1571003.740586587,5500048.388062507,0.846834158
119,119,1572751.382178541,5500067.051039719,1.00509302
120,120,1572049.654685885,5500047.710436033,0.315952379
121,121,1572596.830705405,5500045.535094187,1.756094343
122,122,1572636.166256627,5500046.210648336,1.012635771
123,123,1571639.952710546,5500031.975787335,-0.139452826
124,124,1572730.324651833,5500036.431394286,0.585892151
125,125,1572537.510479459,5500025.904164834,1.614318155
126,126,1571670.444926657,5500002.177819875,-0.029431371
127,127,1571055.463789288,5499994.619180251,0.715091296
128,128,1571678.390489137,5499991.827703623,-0.265415095
129,129,1570911.229134928,5499978.370517142,0.973686272
130,130,1570967.008432348,5499980.557851187,0.820039873
131,131,1571591.4070558,5499962.36759469,0.261843135
132,132,1571351.666680142,5499951.099453633,0.434230772
133,133,1571738.985199202,5499952.581634397,-0.182363633
134,134,1572351.881531111,5499959.974558541,0.952744874
135,135,1570903.784993075,5499939.913159736,0.909395815
136,136,1572335.344195536,5499944.996554467,0.750651803
137,137,1571602.360711483,5499932.118301932,0.23598113
138,138,1571012.820132985,5499927.796252304,0.934570007
139,139,1571579.248298127,5499926.270553938,0.247419048
140,140,1571169.186403824,5499914.720482176,0.606235853
141,141,1572411.413972812,5499899.575324914,0.448443975
142,142,1572080.998890562,5499884.073891818,0.059226416
143,143,1572749.782168542,5499876.333355855,0.680481491
144,144,1570969.048048553,5499860.249681225,0.92847524
145,145,1572768.151067875,5499862.075572775,0.753999988
146,146,1571604.86289817,5499891.139701042,0.180999999
147,147,1571625.119438726,5499846.674520331,0.1312
148,148,1572594.357586198,5499836.503705228,0.459088238
149,149,1570866.440867317,5499819.176792096,0.733269254
150,150,1572758.357518693,5499846.090026691,0.698686176
151,151,1570831.389505017,5499830.066419959,0.845804026
152,152,1571042.199186628,5499810.831648501,1.041359471
153,153,1572594.431091064,5499816.56119149,0.435097089
154,154,1571503.762331052,5499806.324789413,-0.057657145
155,155,1571629.248957587,5499802.20581862,0.099395833
156,156,1572574.636646606,5499790.409055951,0.369342863
157,157,1572594.541348872,5499786.64741972,0.388823533
158,158,1570775.348094286,5499769.166730477,0.871400004
159,159,1571625.754477556,5499772.256171514,0.044326923
160,160,1572294.693627215,5499780.538307623,0.147304763
161,161,1570782.98157504,5499759.225315319,0.883524989
162,162,1570885.900195119,5499760.210444213,0.824413457
163,163,1571527.065235004,5499762.316478561,-0.031961542
164,164,1571835.186183469,5499763.866958577,0.061384617
165,165,1572465.511987723,5499766.227926155,0.251000005
166,166,1572491.677690331,5499770.729056778,0.303609754
167,167,1572666.208208421,5499766.59151715,0.386672728
168,168,1572578.721351063,5499761.387547727,0.329280792
169,169,1571296.068751831,5499741.862407845,0.482105773
170,170,1571872.361792797,5499757.887668183,0.0401843
171,171,1572704.252848765,5499746.788497095,0.400320754
172,172,1571639.67549495,5499745.123110611,0.029524691
173,173,1571917.788047842,5499748.344060415,-0.265642405
174,174,1572096.787969608,5499724.181800758,0.023307693
175,175,1572582.956252017,5499731.180623448,0.300859093
176,176,1571827.780804625,5499713.981889514,-0.417262138
177,177,1571656.396186998,5499702.982192303,-0.062250002
178,178,1571782.253229501,5499703.837838969,0.106601943
179,179,1571929.605034564,5499718.319723152,-0.281823626
180,180,1572687.545099185,5499712.691411711,0.346840843
181,181,1571242.359162537,5499696.510457713,0.410270941
182,182,1572100.417203623,5499695.151118281,0.008194175
183,183,1570858.683358861,5499679.751083055,0.898690914
184,184,1572095.76389692,5499677.419763881,-0.052132779
185,185,1572507.060045459,5499676.262190574,0.126188683
186,186,1572066.793469159,5499663.716558579,-0.153679251
187,187,1571284.570419155,5499666.451025755,0.361328916
188,188,1572822.844359725,5499657.857321452,0.616892156
189,189,1571683.399500267,5499653.514548085,-0.08157804
190,190,1571846.516135621,5499633.90469991,-0.216215689
191,191,1572055.891995537,5499646.492624381,-0.249045379
192,192,1572139.443401306,5499635.385070074,-0.163712869
193,193,1572818.567816875,5499637.521976103,0.609038462
194,194,1571246.616464558,5499621.637474864,0.428980752
195,195,1571649.106139355,5499623.183149578,-0.131339617
196,196,1571990.971899695,5499631.505864157,-0.408155561
197,197,1571385.771082348,5499614.384972849,0.283906979
198,198,1571846.591651145,5499613.962177246,-0.185803933
199,199,1572109.141594848,5499615.328657499,-0.203809995
200,200,1572797.422313182,5499617.049048251,0.48898706
201,201,1571218.658695867,5499610.887923551,0.498992013
202,202,1571990.588427606,5499598.775204658,-0.365952384
203,203,1572780.743071526,5499597.498022316,0.376352951
204,204,1571205.59003443,5499578.137376384,0.497914774
205,205,1571668.83378669,5499573.778242519,-0.063326732
206,206,1571679.867126659,5499563.267452961,-0.084299998
207,207,1572679.618666047,5499611.7047537,0.211878358
