OID,FID_,X,Y,BCE_Tairua
0,0,1854322.374986452,5901858.652207162,0.693000019
1,1,1854284.837575025,5901844.840508181,0.469729371
2,2,1854180.235288544,5901828.011986657,0.024289474
3,3,1854371.960664929,5901822.034804902,0.322149993
4,4,1854387.952776113,5901821.554348348,0.288493671
5,5,1854395.64939513,5901811.345309198,0.2788
6,6,1854411.641695673,5901810.864491764,0.221500002
7,7,1854226.51398432,5901809.111013541,0.715016719
8,8,1854459.318841444,5901799.453951246,0.192164551
9,9,1854271.584170399,5901708.042801649,-0.022145833
10,10,1854325.69108058,5901613.89235039,0.333900004
11,11,1854333.548036334,5901603.477190454,0.255818186
12,12,1854324.632100854,5901584.192307912,0.143666667
13,13,1853249.557443842,5901593.493194389,0.551263829
14,14,1853274.804923481,5901577.801870354,0.416477611
15,15,1853291.834168965,5901565.067015533,0.298975009
16,16,1853275.544299129,5901555.576751586,0.164125524
17,17,1853098.552020139,5901566.996462281,0.444522638
18,18,1853136.956077247,5901487.894439279,0.646861113
19,19,1853352.929844857,5901453.327595368,0.152361701
20,20,1854168.081983498,5901429.048790482,0.143575001
21,21,1853100.251361454,5901441.873651021,0.712614964
22,22,1853087.295808183,5901421.318665392,0.370685189
23,23,1854102.941079358,5901391.821160082,0.292901955
24,24,1854181.978134188,5901358.787530928,0.110099998
25,25,1854196.257378436,5901341.701690335,0.085091146
26,26,1853356.627729611,5901410.349599426,0.212666668
27,27,1853051.591979278,5901395.499325125,0.340553267
28,28,1853029.316929463,5901346.400079559,0.387518528
29,29,1853061.097281079,5901342.482278593,-0.195202531
30,30,1853340.782451011,5901334.317742733,0.118963636
31,31,1853343.698939198,5901314.136193302,0.076666671
32,32,1853108.016033514,5901311.347978308,0.50723636
33,33,1853331.891837107,5901304.65086551,0.12358182
34,34,1853067.900755476,5901302.368380342,0.586000003
35,35,1853085.329340305,5901309.684039637,0.681378459
36,36,1853063.740824434,5901283.122117648,0.465130851
37,37,1853322.156064996,5901259.276285716,-0.103833334
38,38,1853025.130646216,5901252.603286033,0.386128014
39,39,1853336.702990213,5901281.152287288,0.091203704
40,40,1853895.221402544,5901210.504192539,0.009723809
41,41,1854088.773476255,5901375.018090493,0.187691373
42,42,1853008.952315792,5901204.354275149,0.456650001
43,43,1853858.460353154,5901181.358663294,0.083692025
44,44,1853015.768724101,5901184.195317971,0.418750004
45,45,1853340.075754868,5901164.363777707,0.268666662
46,46,1853019.753372313,5901164.120705117,0.3679125
47,47,1853013.669872098,5901094.459449559,0.30518565
48,48,1853738.513572408,5901108.981444141,0.256029412
49,49,1853360.162017488,5901035.395206686,0.209797103
50,50,1852995.891589137,5901035.125067021,0.318333333
51,51,1852992.148546021,5900995.857536297,0.305565512
52,52,1853394.54260478,5900968.341608452,0.093949092
53,53,1853564.080456377,5901005.886233631,0.313054565
54,54,1853457.230603432,5900941.501448737,-0.112620253
55,55,1853470.75501104,5900947.74821774,0.020908337
56,56,1853222.764880383,5900933.007971099,-0.268166666
57,57,1852888.503576346,5900928.379193928,0.236072724
58,58,1852931.192122821,5900944.399035206,0.433576703
59,59,1853199.19205005,5900922.369481714,-0.260150001
60,60,1852866.060393692,5900898.271092718,0.328550003
61,61,1853171.842587802,5900899.563037811,-0.062763888
62,62,1853494.818189294,5900860.554281481,0.156468353
63,63,1853510.211288994,5900840.137957404,0.1404
64,64,1852943.357347484,5900848.178039212,-0.014144737
65,65,1852974.254616779,5900849.334273088,0.002172409
66,66,1853525.903165369,5900829.690105466,0.107275001
67,67,1853136.913302389,5900851.79445152,0.127913994
68,68,1854681.298430454,5900665.289854848,1.168674989
69,69,1853623.864734784,5900627.201403995,0.049075
70,70,1853630.97795186,5900617.010532269,0.00986
71,71,1853663.960134624,5900619.35077041,-0.045538462
72,72,1853625.717914134,5900580.870182839,0.0235
73,73,1853638.369451996,5900576.907355893,-0.031004149
74,74,1853645.918647729,5900556.495124672,-0.040888887
75,75,1853705.378654991,5900546.560716937,-0.046378378
76,76,1853662.636671724,5900507.413668718,-0.046439998
77,77,1853697.089776427,5900507.269729492,-0.047326634
78,78,1853670.821292298,5900490.845741453,-0.021981251
