OID,FID_,X,Y,BCE_Tairua
0,0,1854149.393506996,5901868.783049797,0.007545454
1,1,1854317.524430434,5901841.622158333,0.624002036
2,2,1854219.73520866,5901816.629414063,0.933049985
3,3,1854403.64565025,5901811.104960474,0.244599994
4,4,1854450.846086457,5901792.837339482,0.261652459
5,5,1854499.220684135,5901770.532684071,0.153286096
6,6,1854544.910892225,5901726.868613438,-0.101461539
7,7,1854336.421115263,5901783.982652434,0.964097248
8,8,1854560.682295537,5901716.67325171,-0.223553571
9,9,1854572.564025869,5901706.249871512,-0.270754715
10,10,1854584.258265482,5901695.920339263,-0.144900001
11,11,1854235.925717839,5901765.814274786,0.326891661
12,12,1854592.115008329,5901685.505041532,-0.029836361
13,13,1854615.182283847,5901665.258525097,0.335759255
14,14,1854622.5786041,5901645.080531486,0.174999999
15,15,1854333.403442865,5901623.638394908,0.336659996
16,16,1854332.649562547,5901573.57095142,0.102054546
17,17,1853186.742957423,5901606.800211068,0.418097664
18,18,1853049.021581613,5901591.795814376,0.578662073
19,19,1853003.687158603,5901563.705957636,0.560974996
20,20,1853258.327939927,5901569.546771893,0.136586591
21,21,1852995.393443719,5901553.976208226,0.631308652
22,22,1853185.487864061,5901567.801406113,0.490821947
23,23,1853291.650390205,5901547.710358089,0.04675148
24,24,1854286.715085824,5901515.285771853,0.088318749
25,25,1852970.810302835,5901534.755627275,0.627499998
26,26,1853304.930603116,5901525.641503545,0.129074074
27,27,1854268.905814434,5901497.92653932,0.145722223
28,28,1852990.93570394,5901524.761207602,0.585081074
29,29,1854617.481463758,5901475.611707499,-0.151607147
30,30,1853321.807191652,5901502.261286613,0.230885416
31,31,1854511.057356432,5901462.003108296,0.165300918
32,32,1852955.155694575,5901518.481490022,0.510882353
33,33,1854200.962972628,5901457.994779538,0.1305875
34,34,1853336.963535339,5901474.119142479,-0.009490908
35,35,1854174.684311585,5901439.066319247,0.14944221
36,36,1854615.682681158,5901415.799053548,0.757785708
37,37,1854573.735929011,5901437.792704583,0.203901093
38,38,1853138.346838174,5901503.281355275,0.5597621
39,39,1854578.306186658,5901400.372713023,-0.161142858
40,40,1853099.759952844,5901431.125004224,0.480787503
41,41,1854103.196679658,5901400.336127682,0.373230769
42,42,1854502.171403447,5901389.071737909,0.515799992
43,43,1854591.205230849,5901394.852756466,-0.156189998
44,44,1853066.58518165,5901392.206335977,0.349725
45,45,1854069.878366676,5901362.354229271,0.173618187
46,46,1854196.871621785,5901374.727443469,0.109636876
47,47,1854121.192387091,5901385.450956441,0.155231753
48,48,1854052.7413068,5901337.157746417,0.130845454
49,49,1853042.520928093,5901364.043767691,0.285718013
50,50,1853091.936580569,5901316.042923735,0.494562581
51,51,1854562.472294353,5901237.59729785,-0.293037498
52,52,1853026.731309261,5901263.688325693,0.428337492
53,53,1853010.442071906,5901254.197894493,0.435125004
54,54,1854577.736815741,5901207.406970625,-0.29874074
55,55,1853002.148610991,5901244.468162923,0.441887497
56,56,1853021.410260037,5901233.918934651,0.372925618
57,57,1853896.747920129,5901187.748724286,0.0563875
58,58,1853904.125768319,5901172.476400519,0.123550782
59,59,1853020.193873875,5901192.434750489,0.37156931
60,60,1853791.611053395,5901150.990903679,0.323575002
61,61,1853839.192759864,5901153.516779721,0.100384106
62,62,1853811.001823587,5901130.454074616,0.127044025
63,63,1853774.672670533,5901110.959649187,0.142809121
64,64,1853363.101721652,5901080.505669002,0.299254052
65,65,1853676.678374993,5901056.598747719,0.192386242
66,66,1853733.12853924,5901077.012199225,0.147467818
67,67,1853366.582172789,5901051.955488982,0.238602131
68,68,1853648.021817529,5901038.891983603,0.298071839
69,69,1853339.827040694,5901035.016695224,0.040072728
70,70,1853003.754846765,5901039.878882431,0.284839286
71,71,1853563.5577566,5901018.138148467,0.682037497
72,72,1853562.938696668,5900997.473795178,0.191452834
73,73,1853621.38829904,5901008.268975546,0.119363789
74,74,1853533.160865554,5900981.199299695,0.1492
75,75,1853401.86091239,5900963.114697865,0.005550003
76,76,1853244.918819954,5900948.519245045,-0.191490902
77,77,1853421.391827752,5900931.934350532,-0.638119271
78,78,1853461.93132757,5900918.326802587,-0.668128894
79,79,1853193.043210588,5900925.529380998,-0.271524537
80,80,1853444.051072441,5900906.888308157,-9999.0
81,81,1853458.98349761,5900895.39793322,-0.279428574
82,82,1853155.395968164,5900886.669619669,-0.050220446
83,83,1853130.740637493,5900861.473452495,0.017194969
84,84,1853487.52824871,5900858.061373636,0.153955754
85,85,1853050.151193784,5900857.160146478,-0.03911413
86,86,1852966.261288166,5900849.355171563,-0.053882352
87,87,1853495.176165876,5900838.72857273,0.260063153
88,88,1853038.527169988,5900836.423940925,0.025463415
89,89,1853070.055599717,5900833.556535363,-0.067781819
90,90,1853103.166130182,5900833.105674501,-0.020453417
91,91,1853509.763394372,5900825.184859825,0.293056245
92,92,1852922.827069638,5900889.052019911,0.192671971
93,93,1853048.404281147,5900828.261841419,0.0212
94,94,1853061.391792529,5900823.887369667,-0.031020834
95,95,1854713.718101792,5900684.471150514,0.883574067
96,96,1853578.786317019,5900714.727924712,0.131368422
97,97,1854681.576547612,5900674.531731782,1.003944435
98,98,1853586.32224427,5900698.93792207,0.111666666
99,99,1853571.947131174,5900791.086018655,-0.006244329
100,100,1854659.831647069,5900662.441002245,1.133446923
101,101,1853592.970251438,5900678.186515412,0.083367347
102,102,1854640.263018451,5900636.792465466,1.655767864
103,103,1854613.57385073,5900630.742531997,-0.144410042
104,104,1853608.472451521,5900647.617898733,0.05992405
105,105,1854623.833587055,5900617.13001247,1.189474992
106,106,1853644.278811067,5900629.558716014,-0.029208
107,107,1853663.756947672,5900500.449203198,-0.0425
108,108,1853674.169516451,5900509.543716799,-0.05034963
109,109,1853721.218001527,5900519.950216132,-0.073240317
110,110,1853711.450423192,5900365.155830763,-0.403884623
111,111,1854470.170826177,5900302.66433456,0.178035711
112,112,1854434.507986807,5900267.634317098,0.062607844
113,113,1853645.386731227,5900277.336732316,-0.476474982
114,114,1854372.709908299,5900206.907934027,-0.019399998
115,115,1854337.620460644,5900166.980971626,-0.057842109
116,116,1854318.714803362,5900147.089419215,-0.024129309
117,117,1854304.148389963,5900108.190980553,0.00406579
118,118,1854292.713898542,5900088.078698622,0.071183487
119,119,1854223.44203294,5900080.591872543,-0.049109092
120,120,1854206.905630837,5900075.333290361,-0.021486488
121,121,1854263.978727425,5900049.979716931,0.10083125
122,122,1854283.114188813,5900052.864902758,0.401666661
123,123,1854269.977950355,5900029.613738371,0.416536584
124,124,1854253.383299063,5900009.774337477,0.375240505
125,125,1854043.074468151,5899936.342905208,0.231563633
126,126,1853315.45523007,5899947.979145326,0.089641977
127,127,1853282.881166331,5899928.999124519,0.049325
128,128,1853312.360982487,5899920.989671683,-0.108973214
129,129,1853289.98014724,5899898.853592733,0.165349997
130,130,1854140.858393548,5899977.132475772,0.101287628
131,131,1853297.37750577,5899878.676790779,0.058199999
132,132,1853948.833977298,5899876.709310967,-0.092000015
133,133,1853315.86776987,5899817.530820483,-0.234455125
134,134,1853965.440267147,5899749.096460408,0.108054545
135,135,1853301.790568156,5899758.812541901,-0.076674998
136,136,1853987.047812628,5899689.102516649,0.338733329
