OID,FID_,X,Y,BCE_Tairua
0,0,1854261.804743861,5901763.144686571,0.515499996
1,1,1854477.251927789,5901450.276939011,-0.145076194
2,2,1854513.819657543,5901448.910692668,-0.193179996
3,3,1854553.121608068,5901432.253089151,-0.176663932
4,4,1854472.719391886,5901385.764635677,-0.161210887
5,5,1854481.682505728,5901359.174623208,-0.179379629
6,6,1853091.182273968,5901351.559084262,-0.13551111
7,7,1854472.498802158,5901325.253809814,-0.208171805
8,8,1854495.34591281,5901276.408571325,-0.261825674
9,9,1854562.474290625,5901237.597009297,-0.293112494
10,10,1853978.039077199,5901235.398557542,0.015127274
11,11,1854546.465939339,5901218.122656851,-0.30375471
12,12,1854569.54765559,5901206.723431722,-0.318867921
13,13,1854122.345414465,5901280.172738584,0.050637007
14,14,1854577.616107731,5901153.928423109,-0.315390568
15,15,1853867.867989309,5901158.680643154,0.0824875
16,16,1853892.951009528,5901171.985855298,0.097514285
17,17,1854591.157670623,5901126.978587284,-0.301724991
18,18,1853828.023677288,5901135.511791157,0.143145987
19,19,1853358.35285733,5901094.125389877,0.289735849
20,20,1854689.440335153,5901024.647347055,-0.228339298
21,21,1853713.953286306,5901053.816976701,0.089977557
22,22,1853659.740306276,5901018.242320255,0.0936
23,23,1853629.921150835,5900995.449211808,-0.018058355
24,24,1853582.363151034,5900978.013443264,-0.014132744
25,25,1852985.409895598,5900985.350139858,0.321833325
26,26,1853030.675914905,5901072.178961964,0.234693854
27,27,1853433.603667821,5900915.487048329,-0.653315795
28,28,1854842.906074993,5900850.00201918,-0.268437512
29,29,1852902.060627967,5900904.38313891,0.13756667
30,30,1853151.503033166,5900887.796508939,-0.072999999
31,31,1853838.450762586,5900850.455171785,-0.793454581
32,32,1853069.585812157,5900823.390682956,-0.044074999
33,33,1853083.074500062,5900828.713138307,-0.055696971
34,34,1853110.086551939,5900824.747408493,0.053513762
35,35,1854676.304488423,5900765.216703553,-0.300000012
36,36,1854659.714324203,5900745.760330229,-0.300000012
37,37,1854640.345269877,5900724.32621586,-0.300013851
38,38,1854618.378639203,5900707.294237506,-0.304946422
39,39,1854506.147941341,5900700.692214742,-0.308124997
40,40,1854599.550035701,5900607.881439754,-0.356362497
41,41,1854589.172738794,5900548.326900088,-0.403714296
42,42,1854588.560348885,5900528.335049465,-0.378210523
43,43,1854155.098088157,5900528.140202086,-0.372140494
44,44,1854536.589415865,5900509.997491376,-0.340393751
45,45,1854124.39365987,5900512.608942304,-0.38871428
46,46,1853912.227125958,5900489.427504944,-0.567388883
47,47,1854474.829242661,5900451.988201078,-0.305612507
48,48,1853667.04468845,5900627.037552616,-0.099500162
49,49,1853809.903461068,5900432.247481357,-0.620818168
50,50,1853961.50488136,5900417.721469881,-0.457157887
51,51,1853889.004775334,5900414.141555361,-0.537638891
52,52,1853920.385544703,5900393.244556678,-0.49373394
53,53,1853768.135971691,5900373.6338314,-0.599789484
54,54,1853792.120098537,5900372.914555222,-0.585148159
55,55,1853701.936994164,5900349.828642732,-0.290235545
56,56,1853765.77332429,5900298.67047302,-0.581826103
57,57,1853681.363400532,5900276.2573656,-0.590106924
58,58,1853709.344714183,5900275.41823292,-0.593405886
59,59,1854379.598094855,5900256.205359209,-0.285445111
60,60,1853736.51756177,5900284.958381921,-0.597831441
61,61,1853644.79019433,5900257.398083556,-0.594262511
62,62,1853801.133276202,5900267.676865327,-0.579642085
63,63,1853596.733020525,5900253.641134668,0.350333339
64,64,1854359.12611364,5900238.438582017,-0.306060102
65,65,1853584.233197048,5900239.257828445,-0.138213836
66,66,1853571.942152676,5900229.648860828,-0.088124998
67,67,1854282.999381281,5900198.534084787,-0.321781819
