OID,FID_,X,Y,BCE_Tamaki
0,0,1767218.249292682,5920392.368882612,-0.639134612
1,1,1767210.057890984,5920383.286368557,-0.190749996
2,2,1767217.28476345,5920343.262734219,-0.563025004
3,3,1767225.113279199,5920333.865681416,-0.591346154
4,4,1767445.25704781,5920089.522092192,-0.944916636
5,5,1767468.655170475,5920055.84102656,-0.042899413
6,6,1767507.182581503,5920008.540948486,-0.2872152
7,7,1767692.598339361,5919821.434925264,-0.7193474
8,8,1767695.133885417,5919795.663109518,-0.884809532
9,9,1767686.87420849,5919770.861506031,-0.85375639
10,10,1767705.251046056,5919758.704102439,-0.980000019
11,11,1767725.954906331,5919725.061310894,-9999.0
12,12,1767814.673483644,5919596.466952745,-0.692278556
13,13,1767821.783199605,5919573.212724939,-0.351266036
14,14,1767834.156601654,5919523.519855432,0.196495563
15,15,1767826.037258056,5919503.937632599,-0.257157889
16,16,1767837.571586008,5919493.541336097,-0.687343744
17,17,1767841.559909039,5919426.750635303,0.462070696
18,18,1767843.689865481,5919194.306694876,-0.294425015
19,19,1767702.547349707,5918763.941994498,0.304087818
20,20,1767626.233115848,5918729.980819009,0.743725004
21,21,1767609.353809167,5918669.188665127,0.522926314
22,22,1767616.256599534,5918600.561392688,0.445849052
23,23,1767596.672564661,5918551.094721982,0.585843748
24,24,1767625.482729397,5918445.393791828,0.551043953
25,25,1767674.049486,5918340.190866776,0.63479167
26,26,1767907.019831881,5917986.833398351,0.832121202
27,27,1767887.67793696,5917972.056204621,0.890031054
28,28,1767899.408880752,5917957.596010415,0.904615376
29,29,1767838.529948153,5917986.520904285,0.887997269
30,30,1767863.09689816,5917952.846378421,1.053155744
31,31,1767967.999004431,5917915.229737181,0.89217391
32,32,1767978.291207052,5917895.489086685,0.962911393
33,33,1768206.352592839,5917861.65615686,0.261073395
34,34,1768265.384795457,5917829.993158587,0.278787505
35,35,1768281.202905943,5917819.709797638,0.356725
36,36,1767918.463877766,5917816.906109659,0.815473679
37,37,1768305.028579555,5917809.268005847,0.327449998
38,38,1768320.846605879,5917798.98456788,0.496075002
39,39,1767866.223071144,5917817.840488143,0.814167836
40,40,1768128.467492404,5917792.817838085,0.843185186
41,41,1767887.634699991,5917782.011411012,0.809712217
42,42,1768136.081151064,5917772.726371393,0.865125
43,43,1768400.173087281,5917767.70449663,0.390017861
44,44,1767907.669025807,5917767.266704176,0.771812481
45,45,1768423.572227877,5917757.069570555,0.544799998
46,46,1767950.923622509,5917726.530858078,0.698481025
47,47,1767975.13641932,5917706.111980179,0.613773554
48,48,1768101.293975622,5917633.826582901,0.187646744
49,49,1768117.308870822,5917633.510167893,0.606410252
50,50,1768045.696061535,5917731.944879327,0.70345609
51,51,1768084.88526487,5917614.209906515,0.839950011
52,52,1768109.491368281,5917613.723725026,1.396796295
53,53,1768092.695785843,5917604.085034665,1.015762508
54,54,1768084.491441886,5917594.276678542,1.312604942
55,55,1767590.977940917,5917494.213034645,0.37460878
56,56,1767553.059609675,5917455.202476647,0.447499993
57,57,1767544.75781998,5917440.410183081,0.234716979
58,58,1767456.967861269,5917427.183216339,0.12521739
59,59,1767396.743276819,5917420.025172452,0.518942935
60,60,1767351.426704304,5917350.911048811,0.276520273
61,61,1767236.911330752,5917237.652939999,0.588648646
62,62,1767287.44759737,5917267.862283085,0.22997163
63,63,1767267.514792221,5917191.619462239,0.219275003
64,64,1767247.105453704,5917172.079836578,0.465725
65,65,1769660.614446785,5917094.372195242,-0.149625
66,66,1767289.098336725,5917075.896873056,-0.050725627
67,67,1767060.054572392,5917025.035666616,1.033905305
68,68,1767341.65394116,5916875.102784554,-0.053432344
69,69,1767324.708672054,5916841.527884182,-0.087487175
70,70,1767275.884638415,5916802.606327382,-0.029124993
71,71,1767141.964940674,5916693.58578148,0.071892525
72,72,1767132.594069249,5916663.83840668,0.002555556
73,73,1766999.549692411,5916598.657610576,0.393375004
74,74,1766991.347578848,5916588.848212891,0.237249999
75,75,1766960.655916537,5916538.477562536,0.493233303
76,76,1768878.290332107,5916421.970608023,0.727215187
77,77,1766942.586754232,5916416.984249515,0.018083334
78,78,1768851.496924774,5916394.199646989,0.326730206
79,79,1768829.06541737,5916363.124681269,0.457375002
80,80,1766754.290317304,5916344.965628385,0.371387765
81,81,1766770.288407307,5916343.924898027,0.187124998
82,82,1768786.362417399,5916251.538737635,-0.045785121
83,83,1768758.440976687,5916234.90904729,0.368193546
84,84,1766645.72114,5916282.636769583,0.161865181
85,85,1768722.215842373,5916225.657008675,-0.660874993
86,86,1766617.897638523,5916251.195556079,0.603679585
87,87,1766591.419474995,5916207.844578689,-0.126262503
88,88,1766579.019839037,5916188.146762089,-0.096978867
89,89,1766574.430958413,5916158.325383885,-0.045812501
90,90,1768623.866749442,5916125.746892494,1.12211215
91,91,1768575.734406385,5916108.915707076,-0.179749998
92,92,1768502.29761712,5916040.57706652,0.323037977
93,93,1768482.085299585,5916031.007199509,0.387062494
94,94,1768450.737860224,5916014.88175834,1.713753419
95,95,1768405.23943737,5915992.647428077,0.375750004
96,96,1768421.212247105,5915998.562133026,1.379090903
97,97,1768381.024646647,5915983.156226801,0.363875009
98,98,1768360.81243034,5915973.586017095,0.387848105
99,99,1768332.52874416,5915958.422254954,0.449251975
100,100,1768296.173407207,5915944.953887247,0.441249996
101,101,1768275.804311664,5915935.587753396,0.287142856
102,102,1768251.542187887,5915886.013788844,0.845098044
103,103,1766466.563708577,5915925.683713417,0.672115573
104,104,1768231.24244881,5915811.855326346,0.544534877
105,105,1766445.502796621,5915802.012409669,0.353737051
106,106,1768260.8551635,5915576.742849514,1.002875002
107,107,1766436.407644458,5915610.531875572,0.213805313
108,108,1768292.482578231,5915556.175752241,1.062624991
109,109,1768316.301698935,5915545.733671533,1.005749993
110,110,1766450.80566549,5915562.721676986,0.204545461
111,111,1768011.306088862,5915511.883818305,0.36225001
112,112,1768369.664721977,5915520.517627728,0.70148235
113,113,1768103.171541178,5915500.097495011,0.58231249
114,114,1768426.736530606,5915502.077362819,0.852586383
115,115,1768466.908994846,5915491.464040314,1.014107154
116,116,1767719.691732942,5915502.132372307,0.883131516
117,117,1767807.541893263,5915500.851704939,0.351167316
118,118,1768078.958152212,5915490.605970087,0.508050314
119,119,1768482.734701957,5915481.255330082,1.047037042
120,120,1768500.215096812,5915470.503638342,0.978607587
121,121,1768522.648770081,5915460.342072797,0.912407415
122,122,1768546.682054335,5915451.434439995,0.917341777
123,123,1768465.443177033,5915393.221252687,0.138249998
124,124,1768425.021614846,5915374.081031854,1.319749999
125,125,1766441.436720828,5915424.17380439,0.510621469
126,126,1768288.638488152,5915510.098117352,0.63443547
127,127,1768983.652160041,5915333.355816472,2.345545801
128,128,1768423.594701696,5915327.521931599,0.989545456
129,129,1768631.973554823,5915310.155012975,0.778249979
130,130,1768940.16912227,5915303.685435197,1.955263123
131,131,1768415.634175519,5915304.473066519,1.225063283
132,132,1768652.955112596,5915302.068000672,0.745167038
133,133,1768920.821606471,5915289.76747872,1.848888863
134,134,1768899.555722643,5915274.931174528,1.597329169
135,135,1768883.34725597,5915265.282594528,0.996312499
136,136,1766431.657301129,5915338.275423581,0.304892576
137,137,1766437.560027676,5915273.637147898,0.536226415
138,138,1768719.834982955,5915364.84486795,0.840757416
139,139,1766432.142852919,5915243.555668836,1.43396693
140,140,1767545.582328713,5915161.721456757,0.358198764
141,141,1767535.848688993,5915141.285914905,0.424247313
142,142,1767520.391762485,5915116.306649087,0.30636364
143,143,1767474.30872063,5915083.777303061,0.12475
144,144,1767476.393292488,5915063.88064233,0.159999996
145,145,1767442.222384727,5915026.43321663,0.319066663
146,146,1767416.885148914,5915015.134075251,0.422624998
147,147,1767400.725619737,5915008.254527705,0.41151516
148,148,1766493.989780218,5914913.595892798,0.039475
149,149,1766466.874922948,5914741.65961366,0.605066619
150,150,1767365.290721331,5914509.062965173,0.292499997
151,151,1767350.007968704,5914487.659541698,0.233333337
152,152,1767326.542756924,5914458.082587624,0.287053571
153,153,1767315.159749563,5914441.914392471,0.244666665
154,154,1767300.575790223,5914431.098050621,0.304222224
155,155,1767276.888900244,5914419.917898012,0.236578947
156,156,1766506.874229901,5914345.02799292,0.31535
157,157,1766466.071931935,5914305.945499268,0.345693581
158,158,1766401.46678197,5914278.026401073,0.057448972
159,159,1766272.989245306,5914244.311012676,0.078125001
160,160,1766232.194816909,5914220.78900094,-0.236468379
161,161,1766183.584960537,5914191.828186716,-0.243605629
162,162,1766144.666184367,5914166.650140242,1.593093034
163,163,1766126.776696238,5914153.05756765,-9999.0
164,164,1764445.728233704,5914175.784246514,-0.038125002
165,165,1764437.531324519,5914165.972533874,-0.030246913
166,166,1764429.334433834,5914156.160813838,0.013500001
167,167,1765957.717565157,5914106.509050989,-0.371263148
168,168,1764420.944722066,5914136.38249657,0.196083332
169,169,1765941.51515497,5914096.854719636,-0.630999985
170,170,1765852.498757994,5914048.739790943,-9999.0
171,171,1767123.622552637,5914026.698069582,0.300414509
172,172,1767052.508216531,5913995.323152544,0.250999997
173,173,1767080.367141504,5913982.694872837,0.453955433
174,174,1765723.073813905,5913981.472655364,-9999.0
175,175,1765218.633938874,5913981.325357988,-0.63620001
176,176,1765714.805155724,5913968.054187233,-9999.0
177,177,1764359.745953411,5914027.629221448,0.292642004
178,178,1765178.22715645,5913962.169811166,-0.460824995
179,179,1765698.479367625,5913952.040754744,-9999.0
180,180,1765313.904913405,5913939.591057563,0.175255515
181,181,1765344.173106506,5913879.179794541,-9999.0
182,182,1765608.493978071,5913854.090718184,-9999.0
183,183,1765836.212620318,5913829.70917015,-0.180625003
184,184,1765824.125333261,5913820.231885997,1.64484211
185,185,1766119.340472528,5913820.583088953,1.115410809
186,186,1766170.835277124,5913812.797941223,0.120166666
187,187,1766055.926886241,5913805.477453126,0.492410247
188,188,1765735.582523154,5913801.761271849,0.011239987
189,189,1766672.021061498,5913783.444098825,0.31468354
190,190,1765724.651640782,5913788.680735085,-0.129245923
191,191,1766269.703813591,5913771.921242092,0.30969663
192,192,1765532.556404628,5913768.589792983,-9999.0
193,193,1765716.259111752,5913768.903478065,0.15267178
194,194,1766303.067996049,5913750.791678629,0.169600001
195,195,1766634.017817266,5913750.964850278,0.357219923
196,196,1764838.197392399,5913769.365764705,-0.206125001
197,197,1765417.123522049,5913757.711673196,-9999.0
198,198,1765518.510606084,5913756.140765519,-9999.0
199,199,1765706.597471452,5913752.47474204,0.411645687
200,200,1764369.295053375,5913850.763713554,0.425407318
201,201,1764809.991014243,5913759.942892159,0.058500003
202,202,1766326.688956686,5913730.388440336,0.279199995
203,203,1765690.241605857,5913737.912549082,0.118682653
204,204,1766358.31350507,5913709.828025774,0.297200001
205,205,1765672.601005792,5913719.902589867,-0.063742402
206,206,1766552.430343458,5913705.181795355,0.679556996
207,207,1764685.302058225,5913725.799997245,0.004615385
208,208,1764725.274051,5913724.074827109,0.095227273
209,209,1764612.935634716,5913713.911065976,0.220750001
210,210,1765429.40290374,5913703.038604698,-9999.0
211,211,1765656.205145778,5913700.281570343,-0.096679538
212,212,1764580.728120506,5913704.564429325,0.298589752
213,213,1765948.736506335,5913657.200416395,1.321353963
214,214,1766430.219658058,5913676.148662921,0.348189105
215,215,1765956.377782212,5913627.954576042,0.946325016
216,216,1766492.783726426,5913617.661537563,0.922090899
217,217,1766532.626284185,5913659.597996911,0.60163287
218,218,1765572.011598703,5913625.483079815,-9999.0
219,219,1765434.353359651,5913625.968655818,-0.325940257
220,220,1766491.644054473,5913597.541706308,0.952250012
221,221,1766508.077208496,5913597.420899956,0.991259268
222,222,1765971.606183695,5913587.775373523,0.997250021
223,223,1766051.658315974,5913586.187788015,1.249125002
224,224,1765419.447689667,5913585.353756156,-9999.0
225,225,1766579.289933755,5913545.971408467,0.896749993
226,226,1766506.123970604,5913497.754476954,0.94107144
227,227,1765404.767943615,5913521.418954112,-9999.0
228,228,1766527.806494971,5913501.210667608,1.111703037
229,229,1765948.895404293,5913578.392924231,0.990574386
230,230,1765400.707870839,5913415.472123997,-9999.0
231,231,1765181.833427814,5913323.995328099,-0.011775001
232,232,1765165.647071222,5913315.066922052,0.15182979
233,233,1765397.436829235,5913294.874744304,-9999.0
234,234,1765139.019262566,5913281.435423469,1.245064668
235,235,1765380.751147147,5913260.302538292,-0.802000066
236,236,1765092.441553907,5913255.940356974,1.050250004
237,237,1764883.59200155,5913229.813307174,4.669999964
238,238,1765703.65711445,5913229.354755151,0.578783787
239,239,1764846.051569568,5913211.276735598,1.190672256
240,240,1765698.935552844,5913184.31019433,0.362040815
241,241,1765055.097657161,5913208.442114539,-0.114465368
242,242,1765715.720158764,5913164.041941881,0.738200006
243,243,1764950.047593909,5913195.062848964,0.927100274
244,244,1765720.32940285,5913104.106044273,1.176153846
245,245,1765062.144642715,5913106.029495258,-0.061859251
246,246,1765689.57250684,5913054.877335623,0.0606
247,247,1768785.974584634,5912983.947542069,0.901000001
248,248,1765038.0429969,5913045.04208107,0.465488856
249,249,1765623.798681753,5912996.337311823,0.339125002
250,250,1764943.383617344,5912997.809721096,0.123461533
251,251,1765016.907706579,5913007.262465583,0.189635259
252,252,1769665.218323099,5912911.593108119,0.183616369
253,253,1765602.900148267,5912984.795510979,1.083367304
254,254,1764930.520377467,5912980.577131625,0.415225224
255,255,1765582.981988249,5912973.108541326,1.055079011
256,256,1765574.868419934,5912947.783273185,0.143547624
257,257,1768752.879312295,5912951.961885271,0.804877991
258,258,1769652.443437444,5912875.239930832,0.701447367
259,259,1764991.689890366,5912948.120836343,0.811137507
260,260,1765117.089649929,5912935.187729598,0.015527039
261,261,1766205.853747954,5912875.271656496,1.383625017
262,262,1768766.899166454,5912829.781848845,0.283625001
263,263,1765989.598702905,5912869.552013775,1.105139234
264,264,1766060.39051724,5912894.629480522,0.035029412
265,265,1766104.600453519,5912906.139505954,0.486135044
266,266,1766016.661280742,5912866.461511228,0.316035411
267,267,1765181.947582903,5912927.645938764,0.982085217
268,268,1765965.200665604,5912850.087596726,0.508925003
269,269,1765981.206370891,5912849.77494007,0.264524996
270,270,1766242.844471545,5912855.993648173,0.670391921
271,271,1766293.257080392,5912843.589803589,0.688461542
272,272,1766066.090489099,5912843.826939802,0.185171539
273,273,1768783.523106871,5912798.078852634,0.646688318
274,274,1768805.940751917,5912793.133332297,0.931651792
275,275,1765556.650961324,5912848.837564059,1.084354545
276,276,1766060.845302662,5912828.27741488,0.266047379
277,277,1766052.647572969,5912818.467245261,0.230320513
278,278,1768797.767127578,5912771.590709245,0.661538451
279,279,1766035.442708866,5912799.321224675,0.227072657
280,280,1769437.27113541,5912722.441897635,1.581818166
281,281,1765939.829308124,5912780.790291337,0.081825002
282,282,1765208.166361815,5912798.349283036,0.568977819
283,283,1765973.874288397,5912771.710802246,1.098807694
284,284,1766009.893185915,5912777.600986497,0.399982048
285,285,1769416.418268,5912701.605250798,0.165412849
286,286,1769436.701505939,5912701.986119225,1.124464262
287,287,1768851.032338717,5912701.309287031,0.750789478
288,288,1765178.72994997,5912749.00337099,0.022712028
289,289,1765148.660993088,5912728.034736875,0.448519581
290,290,1765862.245920452,5912702.541950549,0.325347376
