OID,FID_,X,Y,BCE_Tamaki
0,0,1767212.20090312,5920473.37741342,2.207666688
1,1,1767216.166740438,5920489.986486986,0.469375652
2,2,1767219.59914449,5920446.391355822,-0.276644718
3,3,1767225.294775224,5920343.105228551,-0.634774996
4,4,1767209.149564227,5920353.226810224,-0.043537864
5,5,1767208.908979997,5920323.517353108,0.395179486
6,6,1767233.184132051,5920284.289010207,0.478653058
7,7,1767248.969551637,5920264.664959502,0.413340905
8,8,1767342.48425613,5920162.162467511,0.159169492
9,9,1767405.015760046,5920100.538683365,0.066486483
10,10,1767413.11945233,5920090.843156601,0.323246158
11,11,1767421.27218736,5920081.381194707,0.565807693
12,12,1767460.49687483,5920079.252275286,-0.939999962
13,13,1767476.320406287,5920068.970564875,-0.980000019
14,14,1767444.135920956,5920059.694086536,1.856493504
15,15,1767451.936338463,5920049.554468704,-9999.0
16,16,1767490.905203203,5920040.987992592,-0.683892052
17,17,1767468.927386857,5920030.956997132,3.94846155
18,18,1767507.378661352,5920018.507518756,-0.58666666
19,19,1767483.778431123,5920010.017402316,3.718214329
20,20,1767499.038886686,5919998.809547634,1.518481009
21,21,1767519.09913489,5920003.320891578,-0.469314295
22,22,1767507.1599315,5919989.129229683,1.843835634
23,23,1767515.371243712,5919979.863730131,1.454259281
24,24,1767530.5794543,5919968.399106838,1.481472986
25,25,1767554.29820591,5919967.93337572,-0.404148161
26,26,1767538.755709647,5919958.855007726,1.613682539
27,27,1767551.540597709,5919948.515800589,1.427362912
28,28,1767580.879061166,5919927.486341972,0.856212448
29,29,1767609.709506116,5919907.653262719,0.359615382
30,30,1767625.623785233,5919898.047047909,0.181836373
31,31,1767665.230829027,5919896.48225644,-0.66790621
32,32,1767641.572716309,5919888.436900843,0.424274996
33,33,1767694.1236205,5919837.856039508,-0.790935541
34,34,1767680.588303605,5919815.863256808,0.426123074
35,35,1767696.002506601,5919791.565308622,-0.219650644
36,36,1767687.640281538,5919756.262322066,-0.601089269
37,37,1767694.57612758,5919745.917473691,-0.57433333
38,38,1767722.147010309,5919735.106923373,-9999.0
39,39,1767733.964421082,5919724.903516731,-9999.0
40,40,1767710.260787846,5919721.68847459,-0.246472008
41,41,1767718.042417041,5919705.794624014,-0.105661774
42,42,1767741.58113461,5919704.812441964,-0.797405381
43,43,1767733.62650077,5919681.892103577,0.639592
44,44,1767757.108941995,5919679.580349653,-0.951000035
45,45,1767741.576400056,5919665.69878144,0.81251613
46,46,1767748.977528322,5919655.265048926,0.028356166
47,47,1767757.075446367,5919645.694371223,0.145966677
48,48,1767765.254315406,5919636.462237663,0.320884821
49,49,1767780.248984142,5919624.52485822,0.3015946
50,50,1767811.637014146,5919614.030107901,-0.715125824
51,51,1767796.148356272,5919600.786388723,2.459379314
52,52,1767803.856114916,5919584.484250289,2.795375028
53,53,1767811.347799508,5919569.59454852,2.304025217
54,54,1767828.228561535,5919556.457640636,0.146873542
55,55,1767837.768171827,5919503.507905556,-0.668481016
56,56,1767826.811862752,5919494.021930794,-0.26652631
57,57,1767841.379884085,5919483.495846686,-0.163377042
58,58,1767824.666018073,5919393.596358921,3.08489128
59,59,1767846.110372055,5919400.263347205,-0.722638502
60,60,1767831.402375537,5919367.371312464,-0.762210097
61,61,1767805.197939419,5919265.037599491,-0.071194809
