OID,FID_,X,Y,BCE_Tamaki
0,0,1769440.65635376,5920471.788920516,1.42469924
1,1,1769329.689210783,5920463.918871755,-0.356398642
2,2,1769438.822626729,5920438.933554735,0.08625
3,3,1767232.340201015,5920484.578619474,-0.560252909
4,4,1769430.448545355,5920428.928401842,-0.00218182
5,5,1769302.096745993,5920421.913146659,-0.690181823
6,6,1769453.404111395,5920403.412467467,0.144074075
7,7,1769439.582292488,5920365.24737315,0.202520325
8,8,1769428.222015023,5920340.079267208,0.224999998
9,9,1769339.91197883,5920300.586501982,0.00528302
10,10,1767243.996998117,5920340.677241587,-0.801284241
11,11,1769401.714831777,5920291.679916641,0.429134949
12,12,1767321.526935582,5920282.131342785,-9999.0
13,13,1769264.143669029,5920289.094898165,-0.404281319
14,14,1769267.231930963,5920242.935379136,-0.392321432
15,15,1767316.634620432,5920226.342973291,-0.697532713
16,16,1769371.78804979,5920163.931007463,0.387478753
17,17,1767382.006323601,5920170.729354441,-9999.0
18,18,1769307.335568335,5920193.587415618,-0.167713109
19,19,1767437.056634263,5920109.623242152,-9999.0
20,20,1767496.649293608,5920101.996140886,-9999.0
21,21,1767524.809956047,5920098.127927599,-9999.0
22,22,1767525.795548869,5920028.114307945,-9999.0
23,23,1767565.521504301,5919987.047330472,-9999.0
24,24,1767610.131656345,5919946.691031709,-9999.0
25,25,1767629.763173478,5919926.363661039,-9999.0
26,26,1767665.264937755,5919917.152327372,-9999.0
27,27,1769345.529557505,5919832.553602233,0.0386
28,28,1769298.018103374,5919813.791221702,-0.480185169
29,29,1769345.177899965,5919792.702166039,0.583768114
30,30,1769279.390563142,5919792.140144178,-0.591317175
31,31,1768431.413165639,5919751.215842447,-9999.0
32,32,1767712.802700548,5919735.29039823,-0.900296275
33,33,1769273.165722435,5919709.919053959,-0.680129191
34,34,1769291.157508174,5919679.435608915,-0.415879634
35,35,1769350.542145567,5919652.656252663,0.077428573
36,36,1769270.334387981,5919649.061703053,-0.725363644
37,37,1767772.931614804,5919669.297446066,-0.982333293
38,38,1769353.300634201,5919632.82194519,0.070077519
39,39,1767820.103546374,5919623.500857765,-9999.0
40,40,1769285.362182959,5919598.910147998,-0.522000007
41,41,1769376.104883398,5919595.362305076,0.132303921
42,42,1769396.24835625,5919571.502701511,0.220980389
43,43,1767835.532472796,5919593.285460923,-9999.0
44,44,1769265.622377676,5919565.554684523,-0.776999983
45,45,1767882.75062917,5919576.833434037,-9999.0
46,46,1767826.499842926,5919543.871937299,0.16218519
47,47,1767890.71320318,5919547.329753151,-9999.0
48,48,1769330.135947506,5919414.330425514,-0.317037034
49,49,1769329.739441998,5919394.397202661,-0.369090902
50,50,1769392.294682923,5919343.59193824,0.07609375
51,51,1767815.835812606,5919367.686179877,1.06421296
52,52,1768302.117754826,5919309.320210637,-9999.0
53,53,1767821.628765763,5919294.445688105,-0.856113911
54,54,1769390.868258699,5919266.53239454,-0.08487603
55,55,1767812.312743073,5919266.172762991,-0.502555549
56,56,1769333.772911948,5919222.967496901,-0.582727262
57,57,1767839.071296423,5919230.955600738,-0.721508917
58,58,1769330.172098454,5919185.389882323,-0.589811313
59,59,1767839.19483993,5919169.468353789,-0.287552052
60,60,1767943.30247206,5919141.623214031,-9999.0
61,61,1769283.549215283,5919086.228685115,-0.885454535
62,62,1769335.956058859,5919106.514832019,-0.238718616
63,63,1767897.395557537,5919090.634009184,-0.812068177
64,64,1767949.781380523,5919069.863916203,-9999.0
65,65,1767912.52652961,5919028.435315123,-0.530719738
66,66,1767932.883904856,5919023.632651925,-0.971638288
67,67,1769354.387283515,5918984.912684584,-0.192500006
68,68,1767912.034983931,5919003.51883381,-0.589564113
69,69,1767899.727008853,5918988.805930436,-0.441624996
70,70,1767951.043912147,5918977.258266579,-9999.0
71,71,1769304.561343695,5918926.080569394,-0.408099159
72,72,1767886.927594017,5918949.176532145,-0.289243752
73,73,1767944.474431891,5918941.426046486,-0.966865679
74,74,1769095.495509431,5918914.716147574,-9999.0
75,75,1767868.262384851,5918927.37077649,0.058728447
76,76,1767922.905422182,5918916.549584603,-0.848693111
77,77,1769107.99042349,5918890.690472789,-9999.0
78,78,1768133.95557831,5918889.663820649,-9999.0
79,79,1769223.629693222,5918897.319203835,-0.669449208
80,80,1769255.086481726,5918876.218144466,-0.203788824
81,81,1768184.944985386,5918843.89953485,-9999.0
82,82,1769267.602966622,5918786.867631474,-0.715757592
83,83,1768220.277397227,5918798.223695541,-9999.0
84,84,1768203.86639056,5918778.607063173,-9999.0
85,85,1767890.158324296,5918715.007940182,-0.42692727
86,86,1767997.090177498,5918729.885543605,-0.854011129
87,87,1768259.534737698,5918727.918711123,-9999.0
88,88,1768009.407751429,5918686.962495077,-0.772477484
89,89,1767974.731820962,5918666.563558516,-0.694638288
90,90,1768009.301161983,5918662.804355896,-0.696625002
91,91,1768345.259528907,5918636.224419418,-9999.0
92,92,1768297.327453299,5918626.799474483,-9999.0
93,93,1768424.948851343,5918614.706689104,-9999.0
94,94,1767984.292341414,5918613.445623483,-0.594727279
95,95,1768424.554361439,5918594.773476614,-9999.0
96,96,1768446.142697687,5918598.114849037,-9999.0
97,97,1768456.350816958,5918574.00189428,-9999.0
98,98,1768458.43388942,5918562.192796685,-9999.0
99,99,1769364.887094132,5918538.434633959,-0.463853644
100,100,1768174.903087413,5918557.978595994,-0.978178203
101,101,1769383.66041216,5918514.918699417,-0.228928554
102,102,1768511.264703066,5918523.26336962,-9999.0
103,103,1768471.026001335,5918514.089537703,-9999.0
104,104,1769397.719066218,5918493.21456587,-0.956000006
105,105,1769411.944407856,5918470.74135751,-9999.0
106,106,1768000.55918192,5918496.271923763,-0.343278885
107,107,1767669.698120184,5918480.259311817,0.11538461
108,108,1768521.881275795,5918455.507047658,-9999.0
109,109,1769435.144639903,5918430.347489924,-9999.0
110,110,1768549.852747427,5918432.764510019,-9999.0
111,111,1769438.439953053,5918415.118382419,-9999.0
112,112,1768474.352490327,5918435.807754975,-9999.0
113,113,1768537.477457954,5918422.837861104,-9999.0
114,114,1768709.298257912,5918409.663912843,-9999.0
115,115,1769453.259142901,5918393.826284607,-9999.0
116,116,1768902.147767455,5918366.495022346,-9999.0
117,117,1769476.25967546,5918354.140652694,-0.884054058
118,118,1768660.320373992,5918355.595632336,-9999.0
119,119,1768604.132889131,5918341.95451855,-9999.0
120,120,1768723.931339581,5918339.580065466,-9999.0
121,121,1768590.840060934,5918332.046122373,-9999.0
122,122,1769444.265146359,5918305.326020597,-9999.0
123,123,1768520.013002049,5918370.80365607,-9999.0
124,124,1768537.826033295,5918302.444699914,-9999.0
125,125,1769483.908664851,5918284.595369139,-9999.0
126,126,1768501.278331274,5918299.771973319,-9999.0
127,127,1769508.711435218,5918277.203655699,-9999.0
128,128,1767957.481648207,5918295.724246481,-0.216451611
129,129,1768794.007295481,5918282.170978993,-9999.0
130,130,1769335.95394121,5918267.982740056,-9999.0
131,131,1769291.11975563,5918258.521260244,-9999.0
132,132,1768520.899259714,5918276.795563222,-9999.0
133,133,1768494.27900698,5918264.16500703,-9999.0
134,134,1768521.754731077,5918243.881095503,-9999.0
135,135,1768894.247300411,5918221.767348609,-9999.0
136,136,1768929.768030573,5918215.84978644,-9999.0
137,137,1769545.629242304,5918193.00237304,-9999.0
138,138,1769565.560507853,5918148.37500538,-9999.0
139,139,1768954.31304002,5918177.630014956,-9999.0
140,140,1769008.264421913,5918134.526644845,-9999.0
141,141,1769048.429305555,5918123.758230337,-9999.0
142,142,1769388.909812599,5918124.279039105,-9999.0
143,143,1769552.605357428,5918113.72683829,-9999.0
144,144,1769036.494241996,5918113.161439658,-9999.0
145,145,1769366.065937054,5918105.845650539,-9999.0
146,146,1769023.811604564,5918094.335604003,-9999.0
147,147,1769303.764695887,5918088.769934638,-9999.0
148,148,1769415.875266879,5918086.538511146,-9999.0
149,149,1769015.274515323,5918084.132169015,-9999.0
150,150,1769311.889505648,5918078.235236256,-9999.0
151,151,1769596.240252842,5918068.550198068,-9999.0
152,152,1768979.249110147,5918079.576764171,-9999.0
153,153,1768174.061415926,5918081.261299479,-0.224800004
154,154,1769027.215743692,5918059.598222942,-9999.0
155,155,1768162.247164697,5918061.936769743,-0.191018519
156,156,1768201.412017866,5918061.240548946,-0.25637838
157,157,1769062.335566584,5918049.027310718,-9999.0
158,158,1768189.086425132,5918046.39212202,-0.20344144
159,159,1769007.621678193,5918036.521568884,-9999.0
160,160,1768641.927257881,5918012.561064014,-0.655272744
161,161,1769349.828418083,5917988.147484113,-9999.0
162,162,1768686.042128198,5917997.691488991,-0.546245863
163,163,1769637.507607351,5917952.482506226,-0.881764701
164,164,1769337.218096705,5917928.957967542,-9999.0
165,165,1769356.645948166,5917928.188307368,-9999.0
166,166,1768448.161500267,5917936.63510704,-0.322768518
167,167,1769316.210543682,5917909.05189824,-0.932142861
168,168,1769576.854663921,5917894.273520608,-0.99486487
169,169,1768495.615736739,5917905.783914876,-0.343824076
170,170,1768907.015568397,5917898.626486741,-0.508475004
171,171,1769363.661742593,5917878.195749715,-0.946530647
172,172,1769175.201444691,5917877.070137816,-0.427499997
173,173,1769254.441761492,5917876.244356462,-0.656768771
174,174,1769363.264958336,5917858.262483116,-0.932909083
175,175,1768754.799025282,5917859.979636129,-0.491603788
176,176,1769194.055540253,5917850.761523557,-0.487916671
177,177,1769210.516374534,5917830.987497737,-0.510740729
178,178,1768451.279899147,5918261.12768751,-0.634111731
179,179,1769179.143430308,5917820.218010282,-0.482099633
180,180,1769058.216758949,5917811.468610174,-0.550805232
181,181,1769649.810251065,5917808.566136402,0.003333334
182,182,1769262.174230527,5917780.892529623,-0.872500017
183,183,1769280.351599193,5917798.746553561,-0.938625347
184,184,1769634.466122443,5917769.063822309,-0.688679252
185,185,1769341.853548293,5917759.365826673,-0.960000015
186,186,1768736.734266821,5917783.73183552,-0.100075726
187,187,1768992.734113612,5917755.953921849,-0.607142856
188,188,1769280.522304974,5917744.481510974,-0.904864868
189,189,1768620.151586785,5917743.554518235,-0.046163637
190,190,1768653.051996279,5917754.434222247,-0.081673875
191,191,1768816.329628215,5917739.31365483,-0.274774995
