OID,FID_,X,Y,BCE_Tauran
0,0,1862341.951551438,5852202.779202517,0.866699999
1,1,1861986.097052255,5852518.06268598,0.693904627
2,2,1862148.970414319,5852138.998159773,-0.514999986
3,3,1862164.194487943,5852069.005379265,0.063454546
4,4,1862170.332044555,5852058.517444929,0.04975
5,5,1862220.992358003,5851990.082859937,-0.040530365
6,6,1862186.791009757,5852001.051522836,0.09252206
7,7,1862211.731651015,5851957.552514371,0.123138887
8,8,1862248.087901025,5851920.243576565,0.069
9,9,1862261.320491554,5851915.933860598,0.061202532
10,10,1862271.369078929,5851903.324069128,0.071726191
11,11,1862300.275011369,5851755.198448732,0.017032681
12,12,1862269.218819547,5851791.306665601,0.167079538
13,13,1862311.766194281,5851746.571900032,-0.008906977
14,14,1862331.602163644,5851734.655867995,-0.00224074
15,15,1862342.488050806,5851714.497049383,0.012094339
16,16,1862451.23678467,5851630.507841174,-0.128999995
17,17,1862482.244641703,5851609.779660619,-0.338472735
18,18,1862545.411827254,5851462.878473187,-0.181160884
19,19,1862538.250030886,5851428.10626704,0.206186469
20,20,1862544.831393083,5851401.384412488,-0.080131917
21,21,1862535.890447587,5851325.165187677,-0.067676681
22,22,1862115.419918309,5851272.078954956,0.949045009
23,23,1862129.30846997,5851261.426896314,0.966699998
24,24,1862218.441589135,5851226.049261528,0.764330312
25,25,1862322.475861825,5851205.447473833,1.168541927
26,26,1862310.239206214,5851195.853450101,0.385700006
27,27,1862341.718819554,5851184.882400457,0.452824996
28,28,1862913.3754226,5851146.895767485,-0.021897435
29,29,1861991.048130428,5851165.983326603,0.106720834
30,30,1862025.230367019,5851186.333989671,0.147206761
31,31,1861839.167158925,5851230.105902037,0.391763336
32,32,1862114.525733213,5851175.89755343,0.206760246
33,33,1861596.403005202,5851161.886934263,0.290035499
34,34,1862928.485016059,5851121.469427656,-0.023166667
35,35,1862403.10732899,5851113.091966973,0.243000004
36,36,1862418.712569082,5851103.347902467,0.252735849
37,37,1862951.228387425,5851085.82347721,0.0267
38,38,1862378.644906546,5851088.992123485,0.184174599
39,39,1862528.709202135,5851059.236062402,0.289624999
40,40,1862973.81435135,5851045.192170814,-0.002224999
41,41,1862486.51814542,5851054.094959155,0.24606771
42,42,1862515.281203048,5851041.261598443,0.186157767
43,43,1862981.290177177,5851029.986799917,-0.022723268
44,44,1862307.681495008,5851080.624907338,0.191524005
45,45,1862650.215990658,5851016.162371038,-0.263770647
46,46,1862558.143028802,5850988.659604867,-0.069678572
47,47,1862615.715505519,5850999.929073849,-0.145054745
48,48,1863011.179382238,5850973.947511483,-0.037036365
49,49,1863026.774087545,5850963.891234888,0.110392854
50,50,1862451.528059415,5850971.48058694,-0.002978861
51,51,1863030.709845848,5850944.184676524,0.087971963
52,52,1863037.885042855,5850910.882177071,0.081600559
53,53,1863047.784422971,5850873.411733892,0.133833332
54,54,1863063.016878533,5850837.794188268,0.304529909
55,55,1863061.635199426,5850802.908954377,0.251652719
56,56,1863060.325245933,5850743.073445126,0.280075467
57,57,1863066.068538252,5850673.035364673,0.299215692
58,58,1862984.348960379,5850525.923695423,0.011381679
59,59,1863004.549648385,5850525.285635839,0.115629633
60,60,1862999.251537921,5850702.126666388,0.017180781
61,61,1863020.709864558,5850514.795615322,0.240599995
62,62,1863008.25692608,5850505.348066289,0.234902595
63,63,1860711.855355259,5850325.805825012,0.564726479
64,64,1863332.678737516,5849568.826912229,0.186096154
65,65,1863312.347560098,5849544.976421101,-0.196481752
66,66,1863291.824326077,5849528.227713516,-0.62919999
67,67,1863284.138431973,5849518.49627615,-0.683333322
68,68,1863326.865147844,5849287.609158621,-0.713999987
69,69,1863339.228173867,5849266.531119671,-0.713999987
70,70,1863908.856313913,5849168.650871653,-0.240872727
71,71,1860784.796802988,5849238.125457726,0.262563638
72,72,1863327.203814803,5849137.903936059,-0.713999987
73,73,1863310.680055904,5849118.467846442,-0.713999987
74,74,1863574.962023136,5849066.025647491,-0.713999987
75,75,1863531.498353795,5849000.056231214,-0.713999987
76,76,1864022.822177302,5848991.119641155,-0.713999987
77,77,1863521.626271701,5848983.762640425,-0.713999987
78,78,1860229.119400956,5848372.722112863,0.089426316
79,79,1859944.610295965,5848956.203153991,0.844666931
80,80,1860546.02121398,5847958.062817243,-0.2859
81,81,1860525.845846297,5847948.715255505,-0.21796227
82,82,1860480.542943816,5847932.994884655,-0.062058824
83,83,1860464.02304609,5847911.597797726,-0.027684212
84,84,1860456.410848218,5847901.373315969,-0.035942857
85,85,1860429.72716185,5847891.848817362,-0.326136373
86,86,1860408.29664514,5847882.748343467,-0.29663637
87,87,1860416.088988774,5847872.316992324,0.031425004
88,88,1860405.079164544,5847859.356043571,-0.064818565
89,89,1860600.516118749,5847863.619476,-0.55304158
90,90,1860393.30342794,5847843.092439479,0.003415095
91,91,1860319.186887936,5847825.453229702,0.009338344
92,92,1860575.974088266,5847825.950946565,-0.355399278
93,93,1860284.186737473,5847808.253109192,-0.045262605
94,94,1860266.219455549,5847787.245062767,-0.030734176
95,95,1859885.25413738,5847956.698387023,0.576231329
96,96,1860254.066866606,5847777.594444086,-0.057787495
97,97,1860587.759167001,5847767.147704185,-0.610000014
98,98,1860245.810200636,5847767.873392232,-0.027399998
99,99,1860237.553163214,5847758.152053961,-0.0031519
100,100,1859788.639209253,5847751.304711493,0.439222703
101,101,1860590.034322261,5847701.904056742,-0.609220675
102,102,1860100.305494718,5847692.589856716,-0.070362505
103,103,1860092.048818929,5847682.86872427,-0.069474999
104,104,1860201.271228717,5847719.847587848,0.116803367
105,105,1860080.553511124,5847671.208753053,-0.060647061
106,106,1860056.7757,5847647.827661011,0.0467
107,107,1859863.262476361,5847646.359501702,0.179413904
108,108,1859891.867777858,5847639.229004773,0.171000001
109,109,1859955.449902546,5847637.969884635,0.186500001
110,110,1860007.068842784,5847635.628878294,0.154767297
111,111,1859831.969657046,5847631.12093684,0.262093748
112,112,1859883.61140795,5847629.507680624,0.233857139
113,113,1859982.671064915,5847626.504416875,0.236156549
114,114,1860159.188702128,5847639.940231997,0.307543807
115,115,1859938.914069809,5847617.800411672,0.285637496
116,116,1859958.56993062,5847617.322188727,0.305766232
117,117,1860161.37069996,5847610.845797392,0.242897434
118,118,1860149.141581785,5847601.248961116,0.223112499
119,119,1860127.700924896,5847583.382342978,0.276107079
120,120,1860561.101570729,5847564.467289494,-0.177621276
121,121,1860571.467502848,5847500.957641263,-0.610000014
122,122,1860578.290248636,5847454.74941976,-0.610000014
123,123,1859719.503206614,5847601.164641224,0.783739756
124,124,1860574.470339,5847416.517043008,-0.610000014
125,125,1860519.268751919,5847329.117266537,-0.610000014
126,126,1860508.943804801,5847300.587424159,-0.610000014
127,127,1860493.321653243,5847291.097367585,-0.592350014
128,128,1860461.628903177,5847241.596150314,-0.555000013
129,129,1860475.871355177,5847241.747156796,-0.610000014
130,130,1860990.543927561,5847175.923757414,0.127072729
131,131,1860793.085567368,5847175.229365464,0.390722078
132,132,1860998.334912252,5847165.491968782,0.134037977
133,133,1860754.163845696,5847180.781639892,0.362814737
134,134,1860443.096281167,5847179.155206287,-0.483180676
135,135,1860425.30912214,5847150.774582566,-0.272526884
136,136,1860407.747452903,5847109.621541636,-0.17757565
137,137,1860360.149536359,5847059.549228647,-0.423670545
138,138,1860853.519110085,5847036.158832473,0.391722946
139,139,1860287.823611155,5847035.977589523,-0.176380499
