OID,FID_,X,Y,BCE_Tauran
0,0,1861672.586147913,5852932.366364148,0.915999983
1,1,1861618.151144283,5852914.723449099,0.423739664
2,2,1861735.087929097,5852900.673168028,0.224851844
3,3,1861615.524713028,5852894.44856115,0.211272729
4,4,1861771.143164526,5852888.67759135,-0.024495421
5,5,1861790.111595722,5852878.985885344,-0.303381825
6,6,1861613.18766532,5852868.621570348,1.052055574
7,7,1861840.474591119,5852853.676192352,0.44342983
8,8,1861876.176875997,5852826.904292508,1.157176449
9,9,1861903.845452701,5852805.139015454,0.960508211
10,10,1861939.126829152,5852804.239172109,0.925675012
11,11,1861954.240748012,5852784.013147124,0.914314813
12,12,1861969.827130872,5852773.543724982,0.863925921
13,13,1861985.413475628,5852763.074271473,0.945927285
14,14,1862001.181732416,5852753.118825953,0.894200016
15,15,1862087.917904829,5852480.011373729,0.894392865
16,16,1862103.362042275,5852459.774600801,1.152102582
17,17,1862113.438770282,5852442.825225606,1.169055075
18,18,1862128.710619599,5852422.385908218,1.31744166
19,19,1862143.982390736,5852401.946558275,1.309201669
20,20,1862043.32467759,5852321.951416235,-0.505387487
21,21,1862233.484582136,5852296.009104038,0.752177211
22,22,1862248.755846171,5852275.56953251,0.918562502
23,23,1861910.921902058,5852287.428805315,1.058291666
24,24,1862279.612012119,5852244.659845987,0.931794871
25,25,1862287.270433952,5852235.166961781,1.007379991
26,26,1862340.430275783,5852172.888470741,0.152538459
27,27,1862185.683956832,5852167.780726687,0.101049999
28,28,1862355.807409539,5852142.674091414,0.059163638
29,29,1862363.601818686,5852132.241266133,0.050448717
30,30,1862180.294812714,5852128.240845471,-0.132296292
31,31,1862370.657501573,5852122.039600797,0.025592592
32,32,1862148.468204299,5852119.531727104,-0.504365838
33,33,1862079.949907782,5852202.981794067,-0.231699973
34,34,1862188.248484493,5852117.59528265,-0.105924522
35,35,1862362.801697531,5852112.099666139,-0.127763631
36,36,1862394.297936532,5852101.544011861,0.063925925
37,37,1862163.786190792,5852098.822114859,-0.211285702
38,38,1862402.251323692,5852090.898228571,0.023363636
39,39,1862157.237189436,5852089.591073854,0.084054054
40,40,1862417.517688324,5852080.853691868,0.055109092
41,41,1862429.286587662,5852070.295586949,0.057779874
42,42,1862170.409414777,5852071.80275245,0.040864865
43,43,1862440.896390708,5852059.950384919,0.070775
44,44,1862448.531531848,5852049.729907272,0.033379747
45,45,1862456.166657849,5852039.50986831,-0.00555696
46,46,1862463.802082272,5852029.290374937,-0.033574999
47,47,1862471.437178379,5852019.070350379,-0.057025638
48,48,1862479.231032731,5852008.637384322,-0.070999999
49,49,1862176.848611349,5852042.901945218,0.04102963
50,50,1862494.183000241,5851988.623129709,-0.102254545
51,51,1862192.391742742,5851998.383998965,0.069447826
52,52,1862509.453017342,5851968.183007673,-0.075981812
53,53,1862204.611479322,5851974.140815743,0.093616936
54,54,1862230.445419318,5851943.066786919,0.076118547
55,55,1862254.046940131,5851917.762747571,0.082478259
56,56,1862539.364614013,5851907.363380633,-0.133927271
57,57,1862262.288068497,5851909.454002958,0.07375
58,58,1862591.865268558,5851805.913917796,-0.051963636
59,59,1862281.53994379,5851805.71169077,0.174036365
60,60,1862289.334076041,5851795.278918081,0.135225003
61,61,1862599.185680686,5851785.724185416,-0.173571425
62,62,1862232.760623496,5851768.755368516,0.196410714
63,63,1862285.5277457,5851772.667815093,0.109407564
64,64,1862267.225532118,5851760.870716261,0.177000001
65,65,1862311.925379299,5851754.649601709,0.038225
66,66,1862342.779232203,5851723.739662564,-0.007475001
67,67,1862644.05039813,5851694.494315796,-0.0542963
68,68,1862651.844143165,5851684.06055617,-0.006474998
69,69,1862379.912733232,5851683.545883114,0.02121801
70,70,1862662.806739349,5851667.017803557,0.009940218
71,71,1862388.762881354,5851663.210811647,0.058068965
72,72,1862674.274018092,5851643.643804699,-0.019854547
73,73,1862451.528046011,5851639.750422258,-0.190905649
74,74,1862463.564068802,5851627.016541168,-0.251053923
75,75,1862703.553888292,5851562.88411992,-0.070814816
76,76,1862711.347252304,5851552.4507225,-0.078230769
77,77,1862719.140631425,5851542.01800793,-0.102036363
78,78,1862734.405584308,5851531.972809108,-0.038907404
79,79,1862543.338081558,5851518.038868992,-0.466964906
80,80,1862741.725344872,5851511.782912452,-0.096258618
81,81,1862534.90294699,5851508.11737823,-0.073462499
82,82,1862748.730553585,5851481.623431309,-0.141571428
83,83,1862558.649820561,5851485.811580835,-0.575562494
84,84,1862779.267199175,5851440.74202703,-0.089321427
85,85,1862794.220831625,5851410.331698414,-0.149218184
86,86,1862540.378590601,5851415.945807589,-0.008392472
87,87,1862533.778458992,5851400.594331333,0.084947369
88,88,1862809.488938543,5851389.890914232,-0.092636365
89,89,1862553.230142215,5851424.07500512,-0.231764031
90,90,1862817.282170391,5851379.456987637,-0.063662502
91,91,1862541.746977885,5851378.075479862,-0.0221
92,92,1862554.190072248,5851368.004606456,-0.188074077
93,93,1862825.314937099,5851364.806351278,-0.026036698
94,94,1862536.567595702,5851308.476965032,-0.043103899
95,95,1862838.451737339,5851299.161348597,-0.091981814
96,96,1862051.415099215,5851314.503133701,0.722423065
97,97,1862845.770984131,5851278.971329547,-0.039599998
98,98,1862074.610420718,5851293.086260444,0.313088605
99,99,1862082.40424442,5851282.65408904,0.337490907
100,100,1862121.360056646,5851261.677015635,0.692128206
101,101,1862615.225249892,5851251.517345246,-0.218063833
102,102,1862868.357841874,5851238.340382649,0.00132727
103,103,1862139.383632974,5851244.477491422,0.448624475
104,104,1862255.856087752,5851237.48398993,1.042225563
105,105,1862875.676948058,5851218.150328871,-0.027375001
106,106,1861849.858310491,5851230.300098563,0.537475001
107,107,1862286.862879768,5851216.756528234,1.044509091
108,108,1862885.436093945,5851200.429589042,-0.009962264
109,109,1862302.604796011,5851206.073362955,0.431203392
