OID,FID_,X,Y,BCE_Tauran
0,0,1862053.838713973,5852276.712028078,-0.38618611
1,1,1862087.557563686,5852239.058130282,-0.44388635
2,2,1862049.282030499,5852233.961958539,0.034192307
3,3,1862007.732257411,5852240.127859781,-0.207586389
4,4,1862065.302572954,5852217.332151418,-0.088905025
5,5,1862109.478410966,5852208.849099281,0.126267619
6,6,1862244.404094265,5852096.802792054,0.097000001
7,7,1862283.512581754,5852073.975421146,0.029096971
8,8,1862342.11488123,5852046.144552079,-0.098241936
9,9,1862305.538999489,5852123.633753112,-0.127220828
10,10,1862399.738300422,5852016.337813555,-0.242322785
11,11,1862451.77387683,5852028.53458546,-0.121265379
12,12,1862423.15932838,5851981.984306941,-0.268407743
13,13,1862512.017579076,5851964.09682121,-0.051736389
14,14,1862534.953056258,5851913.26875593,-0.146083333
15,15,1862392.584674988,5851902.384178072,-0.249747659
16,16,1862553.913900314,5851885.893079904,0.034224567
17,17,1862468.603202105,5851853.795244897,-0.232079785
18,18,1862569.592780324,5851851.314159981,0.068822784
19,19,1862629.41315843,5851729.674542882,0.025905655
20,20,1862656.417817517,5851660.197570962,-0.110796036
21,21,1862390.568245251,5851808.078761457,-0.170461953
22,22,1862680.308897328,5851611.655422214,-0.05871561
23,23,1862515.038519353,5851571.449214259,-0.341478275
24,24,1862535.948709127,5851551.33612568,-0.662789904
25,25,1862717.505625271,5851505.377203738,-0.242799656
26,26,1862795.010342196,5851430.056297268,0.140249999
27,27,1862622.916134151,5851266.041264914,-0.347537035
28,28,1862804.913501427,5851330.514867052,-0.228083221
29,29,1862660.563072319,5851175.620468468,-0.354071424
30,30,1862792.418418414,5851101.022285465,-0.713999987
31,31,1861612.078968344,5851147.881117119,0.237598791
32,32,1862328.361473419,5851119.072240926,0.201020958
33,33,1862783.68532045,5851071.151434185,-0.713999987
34,34,1861517.626221169,5851055.54790413,0.126563639
35,35,1861629.47323979,5851047.824669688,0.133535712
36,36,1862368.025907683,5851032.70981911,0.121145454
37,37,1861589.087693893,5851039.113990135,0.164290908
38,38,1861613.738783932,5851031.387803077,0.140412542
39,39,1862538.738253416,5851003.508624318,-0.002515284
40,40,1862049.144150088,5850994.711394504,0.090892858
41,41,1862296.639170051,5850991.734860579,0.164057315
42,42,1862834.759210158,5850930.034304352,-0.318509085
43,43,1862892.960226553,5850939.917832884,-0.217552164
44,44,1862476.184681179,5850957.430086593,-0.059224265
45,45,1862603.004192917,5850897.428013181,-0.378290902
46,46,1862483.467756071,5850891.217332391,-0.189981815
47,47,1862634.482345628,5850886.455772507,-0.454444452
48,48,1862654.944116841,5850886.187219759,-0.497146798
49,49,1862495.409291821,5850875.35191795,-0.233330232
50,50,1862619.698514355,5850861.685141097,-0.435988064
51,51,1862827.330699697,5850854.354853952,-0.371774296
52,52,1861523.45086935,5850852.745553973,0.049261017
53,53,1862702.555814143,5850774.533933021,-0.713999987
54,54,1861239.29077506,5850802.93739313,0.036200001
55,55,1862415.494658471,5850824.57267351,-0.016133244
56,56,1861246.817188354,5850780.415946028,0.045872727
57,57,1861334.403883376,5850777.459614889,-0.033565959
58,58,1861413.967113328,5850912.259178645,0.066346093
59,59,1862446.333442265,5850722.736626361,0.049517857
60,60,1861410.399726598,5850737.722036261,-0.161271968
61,61,1862887.290409508,5850698.639135362,-0.380611813
62,62,1862886.7785315,5850669.301446189,-0.373082566
63,63,1861204.262690638,5850691.936758202,-0.025872728
64,64,1861236.05420715,5850690.939398604,-0.055888886
