OID,FID_,X,Y,BCE_Te_Pun
0,0,1691700.732256394,6111248.496138141,1.660246821
1,1,1691658.807371147,6111203.515561341,1.392442487
2,2,1691817.538044058,6111060.072709575,0.678339451
3,3,1691833.69942777,6111042.893693476,0.498770322
4,4,1691854.904642108,6111017.86609776,0.411127084
5,5,1691706.688511,6111075.389943314,0.722812765
6,6,1691754.052459938,6110839.238774635,-0.368228072
7,7,1691996.670213596,6110837.387919453,-0.266410255
8,8,1691734.491893831,6110804.219766263,-0.452800025
9,9,1696082.492887555,6110744.784035425,0.320629212
10,10,1693234.307889632,6110759.074265452,1.624074088
11,11,1692388.140105752,6110746.097986058,0.189837399
12,12,1692377.48599203,6110726.832540926,-0.29474249
13,13,1696122.780719636,6110684.577810572,0.286850001
14,14,1692366.44671457,6110714.38650257,-0.355192981
15,15,1692530.109374328,6110711.991180965,-0.133499999
16,16,1696130.753000078,6110664.565477746,0.290699995
17,17,1696171.353611425,6110634.243187644,0.426475008
18,18,1692685.086724637,6110660.589295009,-0.000600001
19,19,1692877.424597165,6110657.94395284,0.736955891
20,20,1696179.431425848,6110624.193592818,0.417057468
21,21,1692914.121543553,6110648.281217587,0.68842501
22,22,1692889.3033792,6110638.776066091,0.603714266
23,23,1692934.478055129,6110638.108781914,0.547999999
24,24,1696203.770476483,6110604.007547983,-0.114400006
25,25,1692741.861392258,6110610.189778877,0.362983334
26,26,1695876.090963772,6110582.244880294,1.72103155
27,27,1696326.099223439,6110562.853030548,-0.948972509
28,28,1691619.82867462,6110680.991473109,0.633768711
29,29,1691061.676086747,6110594.579502262,0.126018958
30,30,1691734.797883406,6110570.616530469,-9999.0
31,31,1691047.060777903,6110572.567360187,-0.274811995
32,32,1691726.412839024,6110550.773942265,0.243600003
33,33,1692805.516877778,6110495.726182452,1.453804788
34,34,1692883.426243867,6110498.406623696,1.999165877
35,35,1692658.601708757,6110471.548074672,-0.068951805
36,36,1693025.955883401,6110597.038861874,0.812588962
37,37,1696342.872628243,6110479.283814104,0.592402664
38,38,1691730.995071142,6110464.37491998,-0.031233371
39,39,1692669.143091007,6110455.392946042,2.438758411
40,40,1696340.348659124,6110363.423329836,0.526374986
41,41,1696364.792542862,6110353.199614206,0.564825003
42,42,1695112.651248917,6110356.45919903,1.155560698
43,43,1696381.05312892,6110343.06283584,0.606400009
44,44,1691646.958934515,6110382.193658498,-9999.0
45,45,1696405.390966892,6110322.876215694,1.377571388
46,46,1691632.339499973,6110355.459033259,0.562944309
47,47,1689907.341207083,6110329.867179736,1.646138558
48,48,1690234.460126667,6110305.963097381,-9999.0
49,49,1692726.58095273,6110270.912301725,-0.296743122
50,50,1690041.96677888,6110288.676141714,0.450375004
51,51,1692754.660598921,6110261.326094279,0.260200001
52,52,1690021.311164559,6110268.953935139,0.050999999
53,53,1692696.563827772,6110182.210062996,-0.115556814
54,54,1691587.065477679,6110227.490433536,1.662434201
55,55,1692645.982039453,6110172.970492777,0.470644262
56,56,1692589.879181457,6110153.40899724,3.04378438
57,57,1695396.65301058,6110124.305750676,0.357775003
58,58,1692573.411624111,6110143.613211279,-0.209805233
59,59,1692761.356742265,6110175.374301377,0.576259805
60,60,1695404.73118303,6110114.25684708,0.285300002
61,61,1696334.284451079,6110262.476041976,0.507402217
62,62,1689848.565749859,6110248.700824002,1.177398228
63,63,1691432.091916113,6110172.73798357,1.100654775
64,64,1689848.349057972,6110140.937464759,-0.104280701
65,65,1696104.57390308,6110496.559153004,0.452531404
66,66,1695445.121773054,6110064.012213183,0.257875002
67,67,1697008.071293937,6110047.42062681,0.354850002
68,68,1697016.147654531,6110037.370246787,0.410800006
69,69,1696892.958510115,6110104.477814502,0.364089475
70,70,1697024.223996973,6110027.319859033,0.333200003
71,71,1696388.242020981,6110037.92669734,0.823349841
72,72,1695469.123713604,6110039.712573308,0.267278355
73,73,1697005.833263561,6110025.083553409,0.325877591
74,74,1696348.459598208,6110009.10736766,1.633717254
75,75,1697040.269970521,6109997.256255763,0.406982129
76,76,1695331.773432654,6110004.777896386,-0.045542859
77,77,1696736.832291531,6109979.962425299,4.050230749
