OID,FID_,X,Y,BCE_Te_Pun
0,0,1691644.051535544,6111276.585237311,2.437209224
1,1,1691668.266070199,6111276.369112432,2.397772637
2,2,1691628.146314103,6111267.299960524,2.251952449
3,3,1691682.216575782,6111258.647093967,1.954704962
4,4,1691633.533824925,6111242.993479199,1.977847342
5,5,1691699.515838698,6111232.351234977,1.305544494
6,6,1691726.089167084,6111198.593723438,0.961007672
7,7,1691660.140831089,6111205.091330659,1.43039014
8,8,1691749.710954569,6111163.437089002,0.717114417
9,9,1691584.884039931,6111140.270081869,0.747368438
10,10,1691765.095026181,6111138.243842525,0.750675022
11,11,1691593.298819855,6111129.812678835,0.729000011
12,12,1691773.185488207,6111128.924694178,0.717764706
13,13,1691609.407467041,6111120.617068697,0.710452812
14,14,1691789.452307177,6111118.796345614,0.798078428
15,15,1691625.501401168,6111109.968530946,0.676392844
16,16,1691805.711800769,6111107.941471963,0.816900005
17,17,1691535.49383131,6111132.677083509,1.604893065
18,18,1691613.423548002,6111070.611824426,1.611821061
19,19,1691792.350088515,6111051.383221622,0.664117075
20,20,1691833.984710304,6111065.179799491,0.762934403
21,21,1691813.038200103,6111023.175422015,0.382387495
22,22,1691629.793609804,6111043.45211707,1.836407815
23,23,1691706.492839204,6110999.464542396,4.581616688
24,24,1691870.23801088,6110997.482346859,0.264763636
25,25,1691714.818045536,6110989.716768027,4.221993038
26,26,1691722.782609765,6110979.505218907,3.780714688
27,27,1691730.738095814,6110969.315805141,3.592406536
28,28,1691771.399001057,6110969.000650805,0.138499995
29,29,1691803.44549913,6110980.769896879,0.152408368
30,30,1691739.228273719,6110955.641445753,2.988236078
31,31,1691820.51576231,6110953.353445585,0.106151686
32,32,1691746.905742537,6110939.353558788,1.135311693
33,33,1691754.79405677,6110929.109362356,0.82424997
34,34,1691779.179351693,6110929.066899811,0.623103026
35,35,1696052.215816035,6110883.68135648,0.615360019
36,36,1691762.776090876,6110909.101084821,0.689400012
37,37,1696034.911070544,6110854.671861555,0.613578923
38,38,1696058.94103272,6110854.84504509,0.501464291
39,39,1696038.838141302,6110813.297178704,0.568262859
40,40,1696049.913012403,6110775.229492933,0.224982144
41,41,1692034.496910054,6110830.069155063,0.106541071
42,42,1696049.701929918,6110755.303929365,0.448285712
43,43,1696066.069149786,6110755.130527218,0.250392858
44,44,1696033.728814806,6110744.99097719,1.901879613
45,45,1693194.026197371,6110754.575225318,1.410599993
46,46,1693216.715485261,6110759.558413811,1.58188907
47,47,1693234.308253041,6110745.358801041,1.546000023
48,48,1696049.27976211,6110715.45280051,0.225000001
49,49,1691621.994942719,6110741.069687585,0.920886071
50,50,1692411.214306534,6110743.952271145,0.090637723
51,51,1693168.916440611,6110724.946959871,1.143592106
52,52,1696032.701565183,6110695.700608994,0.575839075
53,53,1696087.526271673,6110719.800567884,0.195213381
54,54,1691679.490926727,6110733.918403945,-0.262602288
55,55,1693233.492724025,6110719.163552422,4.193475405
56,56,1693127.512819803,6110706.601166076,0.923854521
57,57,1691581.26569078,6110710.797195857,0.590483871
58,58,1693103.124668815,6110695.821976235,0.782108102
59,59,1696118.364181936,6110679.004015633,0.260091999
60,60,1691572.623253885,6110701.534573054,0.605975613
61,61,1692581.015351483,6110696.90806668,0.140989822
62,62,1693094.805277461,6110685.985808878,0.72623809
63,63,1696008.373312209,6110655.27329372,0.495393934
64,64,1692611.804856354,6110681.061378311,-0.150963633
65,65,1695999.997790863,6110645.557598172,0.83184416
66,66,1696136.151749617,6110651.309269486,0.370361731
67,67,1691548.113692894,6110681.465523086,0.674857119
68,68,1691667.038348294,6110698.396931998,-0.204716837
69,69,1696163.170108531,6110634.329989794,0.40295
70,70,1696171.247931869,6110624.280402456,0.372650005
71,71,1691531.228510133,6110662.209244759,0.758888896
72,72,1691620.971100717,6110661.645725432,0.533789454
73,73,1692677.898560626,6110653.201012288,-0.079742517
74,74,1695984.220310435,6110615.181388477,0.561739976
75,75,1696183.417479661,6110614.187397903,0.389058824
76,76,1691523.369418872,6110651.957580139,0.772539219
77,77,1693215.206453696,6110661.989552769,1.355155974
78,78,1695876.777154606,6110606.433445052,2.087469209
79,79,1696195.587000253,6110604.094379984,0.070511627
80,80,1691516.482029663,6110641.759466466,0.844726179
81,81,1691650.723355705,6110648.585200143,1.85055691
82,82,1693028.485530935,6110627.18077795,0.671998547
83,83,1693233.279822695,6110645.348616402,2.426416473
84,84,1695869.760837309,6110597.618392541,4.137616658
85,85,1696207.760176201,6110594.348353026,-0.440284105
86,86,1691679.904114826,6110631.50688058,1.029793769
87,87,1691719.632622699,6110630.552523164,-9999.0
88,88,1692892.542101487,6110636.385109407,0.605088031
89,89,1692962.923252106,6110618.616098738,0.622145458
90,90,1691694.554687276,6110621.094210211,2.012728698
91,91,1691726.521827966,6110620.519118569,-9999.0
92,92,1692979.014756099,6110607.965100273,0.45710345
93,93,1696293.301279348,6110572.961013173,0.275245286
94,94,1691703.3093168,6110612.673040284,3.992528084
95,95,1692771.259753246,6110627.731660787,0.532191438
96,96,1691523.731867485,6110609.399611115,1.728282031
97,97,1695941.259015478,6110546.279354117,2.745069786
98,98,1691078.675929037,6110603.757804658,0.298180257
99,99,1695887.343030443,6110566.849331996,1.452391627
100,100,1695949.975673983,6110539.183814826,3.665201598
101,101,1695965.703816231,6110536.056737294,1.574987228
102,102,1693179.876150859,6110583.127104743,1.447677538
103,103,1692708.56740874,6110555.729463352,0.157701754
104,104,1692871.682841263,6110553.492406169,0.436351186
105,105,1692888.384714068,6110549.111337804,0.329327284
106,106,1693002.951810261,6110547.936798255,0.440465522
107,107,1695979.768504775,6110524.064366652,2.079421294
108,108,1696358.303547143,6110512.691240115,0.069025002
109,109,1693150.058591138,6110526.491912525,2.624503945
110,110,1696006.827100167,6110501.508327935,2.184080339
111,111,1696316.955698828,6110528.415720681,-0.214106189
112,112,1696030.953574579,6110487.460005541,4.111543239
113,113,1696259.785446103,6110483.846067328,0.243775093
114,114,1696276.159898575,6110484.398728082,0.274350876
115,115,1693019.975672226,6110519.325490448,1.92390431
116,116,1696047.185811319,6110482.190460226,1.30659928
117,117,1696251.496304191,6110473.970163915,-0.287266669
118,118,1696063.525262298,6110466.584007127,1.037470599
119,119,1696079.638526847,6110456.163029842,0.542853663
120,120,1692768.305461058,6110481.266879295,3.514125675
121,121,1692828.337727322,6110488.444599128,2.584626555
122,122,1693070.219465241,6110490.092412828,1.200653173
123,123,1693122.406182348,6110479.683492908,1.369006691
124,124,1696088.420203752,6110447.051844421,0.654915259
125,125,1691736.734148519,6110513.113843084,-0.091054308
126,126,1692802.109730565,6110514.353742497,0.52700848
127,127,1692735.654850911,6110471.363089315,3.601116714
128,128,1696309.729379839,6110459.048205992,0.074117516
129,129,1693103.020203138,6110463.614855501,1.75082773
130,130,1696308.250641105,6110423.54786664,0.462911396
131,131,1696316.335828024,6110414.224592302,0.58901961
132,132,1696113.754946312,6110417.175002029,0.75663937
133,133,1696127.966249227,6110395.642714043,0.569012648
134,134,1690538.535569726,6110433.18598089,-0.058666669
135,135,1692609.648951574,6110447.032411997,0.327386598
136,136,1696332.762093575,6110363.503947891,0.518274501
137,137,1690550.086117363,6110416.998420185,-0.250482024
138,138,1695104.468017212,6110356.545050838,0.726977268
139,139,1696356.030233603,6110342.416919449,0.56144383
140,140,1695030.513241871,6110328.155508564,0.339979167
141,141,1696372.386502167,6110313.467555326,0.591543851
142,142,1696390.703057547,6110325.050090248,1.123683413
143,143,1691644.262405885,6110358.307824586,-0.17451939
144,144,1694990.281050138,6110306.763590742,0.409999992
145,145,1695122.871642577,6110330.706269074,0.730047704
146,146,1695144.756801362,6110296.3390528,0.370550004
147,147,1695291.476330451,6110283.749489469,1.062739164
148,148,1694973.277824187,6110277.645600136,0.57176812
149,149,1695308.116612853,6110275.294303807,1.094103193
150,150,1689833.81413342,6110320.33008789,1.721228702
151,151,1689826.928893236,6110310.007129641,1.557419309
152,152,1689850.0634591,6110303.96249566,1.498318427
153,153,1696029.02264454,6110235.986706815,0.504919227
154,154,1696346.989765211,6110234.026163418,0.506931041
155,155,1689939.844221779,6110289.485566932,0.106964285
156,156,1689898.891073843,6110317.533958253,1.065521059
157,157,1690013.266945758,6110278.943947756,0.234209764
158,158,1690054.142365186,6110278.591557501,0.315300005
159,159,1696021.382770965,6110217.303422828,0.62623999
160,160,1690037.726910914,6110273.772590799,0.229760004
161,161,1690062.392240299,6110268.341561088,-0.132824554
162,162,1691568.105749045,6110253.290247309,1.545813289
163,163,1694971.478392329,6110218.445059904,0.420234125
164,164,1689906.698960504,6110265.10951269,0.122620834
165,165,1696890.907602062,6110188.168168309,0.575975
166,166,1696025.441884922,6110192.701898737,0.483671051
167,167,1696412.098503037,6110184.036533127,0.531882347
168,168,1696870.611965406,6110178.152698108,0.518648641
169,169,1691568.889971323,6110224.007360702,-9999.0
170,170,1692761.146236707,6110236.794446656,0.20215886
171,171,1696863.015361449,6110167.450240283,0.477020406
172,172,1696908.429287512,6110168.456960438,0.548931028
173,173,1691575.094233414,6110213.536065095,5.025750071
174,174,1692745.865862189,6110201.633360183,0.037054393
175,175,1692680.29962939,6110192.340148906,-0.287344
176,176,1696403.759812119,6110153.711253863,0.410181813
177,177,1696439.100210455,6110157.768453938,0.45759835
178,178,1696812.741409138,6110148.044910911,0.427062491
179,179,1696918.956273417,6110147.808945512,0.445714282
180,180,1692627.008109705,6110182.921034619,-0.502833384
181,181,1692720.644345002,6110184.774272847,0.012591423
182,182,1691583.571989915,6110183.559154258,0.138605621
183,183,1694947.033018749,6110148.636439809,0.408801807
184,184,1696034.092675923,6110144.934854786,0.968227553
185,185,1696123.718283478,6110172.256201565,-0.371481675
186,186,1689786.036772751,6110203.915745206,2.289210888
187,187,1692602.0608612,6110168.854010394,0.216372683
188,188,1694938.565753839,6110139.008174516,0.342
189,189,1689832.912639023,6110182.082115216,1.345565062
190,190,1689881.557114586,6110205.576666507,0.043209775
191,191,1695389.066662081,6110124.385583203,0.416241375
192,192,1696049.594117826,6110125.19829943,1.003363138
193,193,1696386.964587741,6110131.285870079,0.484659868
194,194,1689848.479511012,6110171.031602123,1.151002529
195,195,1689873.028409726,6110170.788248735,0.313500002
196,196,1692715.477894839,6110160.181196525,0.667248277
197,197,1695396.548164363,6110114.342967219,0.338184208
198,198,1696060.310182717,6110108.457374468,1.54177552
199,199,1694939.13221132,6110109.845423195,2.949279087
200,200,1696068.409619185,6110098.943495358,2.595797373
201,201,1696810.707196072,6110103.213582374,0.398455226
202,202,1696083.828617496,6110087.304875552,0.778467534
203,203,1696360.670403016,6110096.478545766,0.144506863
204,204,1694946.869338877,6110095.919280739,2.491682572
205,205,1696092.148987117,6110077.588964723,0.995128578
206,206,1696826.076578673,6110076.507819612,1.948346682
207,207,1691404.013914023,6110152.140889629,0.401037935
208,208,1694954.58324081,6110079.451898185,0.997661979
209,209,1695297.767324014,6110075.730780117,0.513655179
210,210,1694961.72976356,6110069.089116452,0.06723214
211,211,1695338.748336307,6110065.137719433,0.491524994
212,212,1695420.91035946,6110085.970230268,0.259600763
213,213,1696995.063793029,6110055.530980348,0.610750187
214,214,1695461.487718894,6110063.839871857,0.33109406
215,215,1696117.784494812,6110072.75102862,-0.035343515
216,216,1696846.467430828,6110050.102171786,3.157652322
217,217,1697007.964673999,6110037.457823204,0.399923084
218,218,1689799.256841928,6110101.150759132,4.855557974
219,219,1695485.826751255,6110043.655743567,0.360674998
220,220,1696115.914703073,6110036.996538579,-0.167100012
221,221,1697016.041025356,6110027.407442939,0.406550004
222,222,1695225.177782241,6110037.16677465,0.520146339
223,223,1694983.047824188,6110077.128256553,-0.342206014
224,224,1695182.682516845,6110027.120538455,0.629076021
225,225,1695493.405922489,6110026.96940911,0.224913389
226,226,1696365.991066248,6110043.382237653,0.091392382
227,227,1696492.653780903,6110002.795240828,0.462272735
228,228,1695340.911905556,6110011.96814914,-0.027901639
229,229,1696536.477872254,6109992.091096577,0.361745449
230,230,1697031.050870379,6109996.109335802,0.270374636
231,231,1695059.783102534,6109997.587712522,0.321422614
232,232,1696561.814641993,6109981.772965644,0.404630638
233,233,1689716.812446709,6110042.218857025,1.034062494
234,234,1696514.428157862,6109997.194703429,0.280904269
235,235,1696532.779237626,6109972.987550128,0.42859659
236,236,1696586.233225815,6109972.794366992,0.287909088
237,237,1696827.186401917,6109968.916565891,-9999.0
238,238,1696123.51654824,6109982.114463218,-0.607617219
239,239,1697064.064940718,6109966.588229252,0.109624364
240,240,1689701.190757277,6110021.73715492,1.5358261
241,241,1694912.506604001,6109969.591706364,-0.440527765
242,242,1695542.101836395,6109963.555958516,0.115368421
243,243,1696559.026788661,6109956.680425911,0.36427978
244,244,1696680.564655462,6109957.698317481,0.468984458
245,245,1696937.343942858,6109938.573849676,-0.537381578
246,246,1697096.33475596,6109947.652374714,0.032961038
247,247,1697351.065832309,6109933.325264261,0.416126185
248,248,1697386.416253619,6109939.232012445,0.360345976
249,249,1695081.009597872,6109965.899376619,0.231129594
250,250,1696474.904710595,6109933.543661536,-0.755897442
251,251,1696954.089561697,6109930.595894097,0.025805937
252,252,1689683.162854066,6109993.175355785,1.431808323
253,253,1689755.268473481,6110028.245941965,0.118047076
254,254,1696998.502434071,6109917.991654298,-9999.0
255,255,1697413.647641581,6109920.753172394,-0.422217051
256,256,1689674.818841214,6109983.37337498,1.084325002
257,257,1696859.287062569,6109909.516498367,0.206038961
258,258,1696941.168962877,6109913.623123964,-0.028662502
259,259,1689658.201919025,6109963.678002833,1.158794744
260,260,1696842.708451647,6109889.76575817,0.345524996
261,261,1697317.782649901,6109883.953783992,0.338451617
262,262,1697366.247674586,6109884.361422398,0.270630191
263,263,1689641.99392247,6109953.462978195,1.228656036
264,264,1694918.955654328,6109924.344693494,-0.346210572
265,265,1697135.407243001,6109890.489557954,0.551009368
266,266,1697309.611254345,6109874.233252488,0.32043077
267,267,1694927.886449869,6109890.298225296,-0.524068975
268,268,1697302.258626028,6109863.859229825,0.245361704
269,269,1697333.302310903,6109864.787340225,0.267571427
270,270,1697354.360093992,6109864.937431291,0.231053572
271,271,1689396.380341354,6109934.663256707,2.779666711
272,272,1694919.429361405,6109880.218581392,-0.687494259
273,273,1696671.657028272,6109862.72527068,2.921062151
274,274,1696916.883148507,6109858.220339986,0.329491541
275,275,1689388.164908752,6109926.086556976,2.97315611
276,276,1689600.955620794,6109923.810345106,2.011873008
277,277,1693160.506766648,6109894.66330733,-9999.0
278,278,1695991.89308517,6109858.275128733,0.265704919
279,279,1696060.824885591,6109858.230102085,-0.290712495
280,280,1696909.119860996,6109847.981462808,0.372653062
281,281,1697079.584302509,6109847.376040942,-0.750380919
282,282,1697166.341469666,6109851.902819671,0.340935638
283,283,1697337.780452706,6109845.187573693,-0.248593899
284,284,1693184.473090872,6109878.293327024,-9999.0
285,285,1695615.109189773,6109857.805185097,0.006571985
286,286,1696521.976308165,6109843.602270956,2.706079817
287,287,1689616.531250218,6109904.512252688,1.244696426
288,288,1693192.719131542,6109868.040397205,-9999.0
289,289,1696008.291806947,6109850.473704978,0.165906435
290,290,1696482.045726362,6109833.912109847,5.639177873
291,291,1696843.211573906,6109909.642784049,-0.054300842
292,292,1696899.49315692,6109829.242592014,0.457815805
293,293,1689575.692158111,6109895.474427218,1.666445874
294,294,1689710.4977387,6109939.1279472,0.162357368
295,295,1696046.61318262,6109835.066809047,-0.204319591
296,296,1696593.380686241,6109862.839913767,0.233442482
297,297,1696604.67046916,6109823.284860171,4.835056998
298,298,1693200.365583646,6109848.442818295,-9999.0
299,299,1694919.734040748,6109830.713395461,1.48932666
300,300,1695647.007556479,6109822.954908024,0.034137931
301,301,1696028.130582486,6109818.055973494,-0.040999993
302,302,1689608.053052237,6109874.704987979,1.279232172
303,303,1696952.655478168,6109799.49547165,0.383266187
304,304,1697034.48312791,6109798.619827721,0.41598198
305,305,1694927.390537803,6109816.754702707,2.8412832
306,306,1695999.474013825,6109814.461622794,0.266208819
307,307,1696040.33116172,6109798.663789699,-0.501418179
308,308,1696909.001654671,6109800.857714451,1.344270651
309,309,1697168.954368221,6109786.634566662,-9999.0
310,310,1689388.905030379,6109857.575881417,2.541214443
311,311,1689452.38119867,6109855.906593135,2.033469324
312,312,1689476.113174534,6109885.520388018,2.066287722
313,313,1689516.168260549,6109860.511671458,1.767744565
314,314,1694935.40879914,6109800.799476418,5.487272783
315,315,1696015.139533062,6109789.038087274,0.180772151
316,316,1696931.929224669,6109780.88622589,4.046642925
317,317,1697071.212498178,6109778.417680804,0.451681154
318,318,1689395.428242653,6109846.96449003,3.205213312
319,319,1693213.037473941,6109822.867304016,-9999.0
320,320,1694943.179715063,6109790.474596947,4.735371417
321,321,1694975.536709925,6109794.937831946,-0.868973295
322,322,1696023.263846717,6109779.045752963,0.613597403
323,323,1696436.567675208,6109787.051288314,0.090994116
324,324,1697021.228259995,6109768.535546947,0.445804881
325,325,1697247.554258096,6109800.36907225,0.04668653
326,326,1689403.54706676,6109837.028889531,4.211220641
327,327,1696031.399540525,6109769.067750605,1.717545444
328,328,1696415.82297074,6109764.785545548,-0.26662499
329,329,1696469.148523995,6109764.544164888,2.413049571
330,330,1696963.062173348,6109777.552349137,1.47716209
331,331,1697079.341244062,6109763.840922386,0.446882348
332,332,1689411.783592103,6109827.1866069,4.898668868
333,333,1694957.176265321,6109777.791424687,1.923477364
334,334,1696489.571501688,6109761.080823353,1.58108202
335,335,1689420.104090013,6109818.803455251,5.600159168
336,336,1694974.859761706,6109760.071282828,-0.594000015
337,337,1697086.71100761,6109742.822628574,0.469832296
338,338,1697225.53184255,6109736.003866642,0.188436365
339,339,1689436.587726162,6109808.057620352,3.419106998
340,340,1696393.162899936,6109745.105269636,-0.164707262
341,341,1689451.9610862,6109796.332930034,1.995550039
342,342,1694982.833442646,6109740.060110993,-0.302315792
343,343,1696366.302933843,6109725.456472002,-0.354461525
344,344,1689598.983996961,6109785.121382914,1.13815792
345,345,1693226.632004668,6109768.54496137,-9999.0
346,346,1693240.420095486,6109748.188360836,-9999.0
347,347,1695007.708015088,6109730.039862938,-0.845568961
348,348,1697241.797384672,6109711.123821527,0.494775002
349,349,1689459.408799567,6109776.396821353,2.060383065
350,350,1694990.807287482,6109720.048788462,-0.108578952
351,351,1697204.142285752,6109719.734776791,-0.87804344
352,352,1697097.81637982,6109702.283416945,3.197852522
353,353,1689566.07512973,6109798.75163152,1.487548914
354,354,1689647.949844151,6109754.541777039,0.038846153
355,355,1693248.295246659,6109718.215887798,-9999.0
356,356,1694998.781095472,6109700.037457588,-0.359785712
357,357,1696050.270985557,6109726.143621358,-0.248913152
358,358,1696965.179914289,6109700.814505074,0.821388929
359,359,1697111.011595085,6109674.477117294,3.219922779
360,360,1697311.325242921,6109664.87486367,0.247801799
361,361,1695727.256784404,6109672.649278118,0.22075
362,362,1689443.944884523,6109725.562361437,1.518423085
363,363,1697132.593168913,6109654.846980891,4.232673167
364,364,1695023.560076124,6109664.904128127,-0.861497113
365,365,1695031.585989928,6109649.874154591,-0.909499985
366,366,1695743.471819282,6109642.381948226,0.582644446
