OID,FID_,X,Y,BCE_Te_Pun
0,0,1691781.317715078,6111137.897975878,0.747529396
1,1,1692075.215991137,6110770.562999619,0.167879412
2,2,1692432.674295162,6110754.653860434,0.143999997
3,3,1692098.980023806,6110738.434362715,-0.026193861
4,4,1692147.422163743,6110725.390117828,-0.393404798
5,5,1692210.801827324,6110714.543525754,-9999.0
6,6,1692546.263979629,6110711.576851567,0.156139541
7,7,1692230.857029672,6110704.801832108,-0.461666708
8,8,1692603.774249002,6110702.509282592,0.115375
9,9,1692247.116042007,6110694.668659982,-9999.0
10,10,1692263.374990729,6110684.535441402,-0.423666716
11,11,1692317.17673688,6110682.420932064,-0.2590556
12,12,1692700.988461338,6110658.914791106,0.207873012
13,13,1691137.420505458,6110577.367514487,-0.236070192
14,14,1691153.631314368,6110576.974166418,-0.060723421
15,15,1696230.351128375,6110409.42879393,-0.560990415
16,16,1691715.03822047,6110444.883033317,-0.001102984
17,17,1696185.188843356,6110394.956787578,-0.509325017
18,18,1690522.197733188,6110433.314317755,-0.160350018
19,19,1690550.492043364,6110434.890912115,-0.022935185
20,20,1691692.638463684,6110421.161787538,-9999.0
21,21,1690570.893823484,6110422.517750381,0.217297297
22,22,1690595.093518665,6110392.386809299,-0.173027053
23,23,1692550.999033479,6110353.08136353,0.354522358
24,24,1691658.93205725,6110352.180982923,-9999.0
25,25,1692561.437553325,6110342.859910873,1.493146046
26,26,1692574.748293074,6110322.3402786,0.00726412
27,27,1691630.413852377,6110325.416567598,0.127816896
28,28,1696264.928610754,6110287.364218645,-0.093909302
29,29,1692623.750595925,6110290.32372394,-9999.0
30,30,1689926.001610733,6110285.952399394,0.081333333
31,31,1690026.816446771,6110288.045034624,0.408000002
32,32,1690293.837410985,6110288.920954078,-0.235396421
33,33,1692764.13432191,6110254.032782565,0.271153845
34,34,1690413.764952978,6110254.754109294,-0.045620733
35,35,1690339.294824785,6110243.837787238,-9999.0
36,36,1696289.291972942,6110179.632907354,-0.169575002
37,37,1692584.328646437,6110164.243688508,0.038918322
38,38,1691577.823399528,6110137.098656734,0.183903802
39,39,1692566.689813659,6110134.571939649,0.655729105
40,40,1691529.425341072,6110122.391420077,0.472317875
41,41,1691391.195758928,6110121.72498492,0.974137164
42,42,1692556.130579896,6110105.454294266,0.113889494
43,43,1691383.260158008,6110089.611065533,-0.143666709
44,44,1692554.532473919,6110063.36598084,-9999.0
45,45,1696860.458718529,6110019.106951209,-0.486691571
46,46,1697000.061753263,6110014.321005485,-0.001504847
47,47,1696852.055109636,6109998.542281806,-9999.0
48,48,1697015.668182648,6109992.537352936,-0.19949367
49,49,1691279.289137834,6110036.445071135,0.338891846
50,50,1696382.724349116,6109973.427755614,-0.450947354
51,51,1697031.604729231,6109967.661096498,-0.46883971
52,52,1696120.648766207,6109957.206837827,-0.682666639
53,53,1695519.801274563,6110000.818439312,0.196140357
54,54,1696106.781600235,6109947.417755183,-0.25102501
55,55,1696602.748211634,6109943.255460694,-0.061346899
56,56,1696749.138060522,6109940.584256929,-0.736397051
57,57,1695069.853427811,6109960.283716029,-0.084441562
58,58,1696975.06185859,6109941.108508973,-0.877499983
59,59,1695550.143446391,6109934.10128744,0.037159998
60,60,1692746.602551911,6109951.813068422,-9999.0
61,61,1697014.069220941,6109913.370349877,-9999.0
62,62,1695223.103657278,6109915.439295162,-0.410258629
63,63,1697116.836294995,6109921.977635616,0.152534668
64,64,1692871.77638273,6109931.809986752,-0.499000043
65,65,1695214.346518378,6109906.988193461,-0.452759488
66,66,1695099.62829682,6109907.024343903,-0.006090495
67,67,1696556.188843848,6109883.16419579,-9999.0
68,68,1696671.956802069,6109891.256103803,-9999.0
69,69,1692906.62099217,6109912.917720295,-9999.0
70,70,1695206.090321574,6109891.872752795,-0.544012817
71,71,1695191.129268678,6109876.174647206,-0.673145837
72,72,1696449.546589531,6109857.384945208,-9999.0
73,73,1697077.173160242,6109857.887417361,-9999.0
74,74,1695173.717860416,6109852.188233708,-0.690530818
75,75,1695614.75329199,6109861.51897771,0.014953003
76,76,1695108.863584839,6109840.023621407,-0.8065562
77,77,1695148.421688793,6109836.267895825,-0.543870278
78,78,1697144.719116282,6109816.059384381,-9999.0
79,79,1695640.051643251,6109830.499204294,0.048322783
80,80,1697157.671774762,6109807.152922506,-9999.0
81,81,1697172.624657505,6109791.006011928,-9999.0
82,82,1695662.558916264,6109784.504374833,-0.044587005
83,83,1695682.509091816,6109742.346828649,0.174520436
84,84,1695695.62145099,6109726.119265581,-0.008670761
85,85,1695716.403136823,6109705.583811995,0.12295238
86,86,1696058.924899265,6109678.899708387,-0.892222262
87,87,1696027.32048556,6109638.839875922,-0.385839988
88,88,1695997.734740719,6109608.616310549,-0.652113228
89,89,1696357.822272608,6109647.051448816,-0.295915856
90,90,1693206.357978188,6109619.00885105,-9999.0
91,91,1695469.70225463,6109547.291178502,-9999.0
92,92,1696203.242824564,6109539.956014859,2.146441769
93,93,1693131.832988101,6109550.232434936,-9999.0
94,94,1695856.591275831,6109469.580894264,-0.12685714
95,95,1692991.976814569,6109461.789797,0.068824978
96,96,1696142.200403155,6109428.918348798,1.557872746
97,97,1692983.692253667,6109451.910970597,-0.489560033
98,98,1695446.372358021,6109421.723742114,1.675551819
99,99,1692968.188633987,6109432.612321009,0.08273592
100,100,1692949.218463428,6109405.4580479,0.456012796
101,101,1695069.661072733,6109375.374092932,-0.772655187
102,102,1695437.668118554,6109386.973408313,2.803987256
103,103,1692925.700546893,6109382.759087788,-0.493000048
104,104,1696066.484789658,6109362.741897609,-9999.0
105,105,1692933.351269541,6109373.266693695,-0.282913082
106,106,1695061.206019502,6109352.938402239,-0.775500022
107,107,1692924.805054854,6109363.922198126,-9999.0
108,108,1696042.955280149,6109330.331654947,-0.639104822
