OID,FID_,X,Y,BCE_Waihi_
0,0,1906409.461151056,5815691.19513557,-0.864000022
1,1,1906399.508852386,5815665.785474389,-0.864000022
2,2,1906405.716648197,5815632.044806486,-0.864000022
3,3,1906516.831764498,5815458.135804475,0.799972958
4,4,1906455.697652256,5815290.901874399,0.036962261
5,5,1906558.565394258,5815057.416229754,-0.115999997
6,6,1906305.562939443,5815087.803552707,0.251479356
7,7,1906431.627300783,5815047.164575885,0.47005358
8,8,1906312.626526103,5815036.615679475,0.167440001
9,9,1906414.986931752,5815033.534484438,0.263481483
10,10,1906573.284464244,5815026.913178501,-0.115999997
11,11,1906574.642646319,5814956.967036523,-0.017477708
12,12,1906237.836385546,5814959.517760002,0.330455692
13,13,1906292.321478392,5814932.528499622,-0.034000002
14,14,1906108.953625528,5814904.401508126,0.168291142
15,15,1906174.932168591,5814932.666000853,0.141309738
16,16,1906050.767216186,5814912.151364041,0.509248139
17,17,1906605.437700982,5814826.014144726,0.187346152
18,18,1906587.826937049,5814776.319601056,-0.034000002
19,19,1906578.917029648,5814756.89877024,-0.027636363
20,20,1906348.785399419,5814745.704325444,0.119299998
21,21,1906328.624369776,5814736.46958962,0.468294867
22,22,1906291.889720421,5814707.881622976,0.428700003
23,23,1906275.686958269,5814698.499484186,0.429282044
24,24,1906378.593266181,5814694.669935698,0.300179485
25,25,1906251.56837574,5814689.411546215,0.384549356
26,26,1906465.296700049,5814681.457326881,0.242894513
27,27,1906500.918010466,5814680.131023617,-0.017975002
28,28,1906227.449755769,5814680.323836981,0.449579397
29,29,1906367.420242758,5814678.444072575,0.344962349
30,30,1906327.512665054,5814665.704867725,0.23077876
31,31,1906614.955222122,5814655.913912752,0.233737498
32,32,1906314.227422177,5814656.477964712,0.227657143
33,33,1906291.089527071,5814627.07287731,0.348841509
34,34,1906652.677022514,5814604.58324247,0.17466667
35,35,1906256.543364229,5814610.074657432,0.354729167
36,36,1906660.221423657,5814594.317247253,0.17645
37,37,1906675.88719078,5814573.763453479,0.171583332
38,38,1905905.992897153,5814742.0459821,0.140620525
39,39,1906179.832902971,5814572.260253113,0.259025156
40,40,1905824.214978335,5814576.025086893,0.059999999
41,41,1906147.798951317,5814563.466817688,0.225350002
42,42,1906467.772994157,5814554.654983511,0.434769695
43,43,1906333.447588689,5814546.574717171,0.373407894
44,44,1906151.592045696,5814543.355392365,0.317647058
45,45,1906201.538961515,5814481.188777216,0.30275
46,46,1906218.059681603,5814483.288461796,0.563877424
47,47,1906484.834002427,5814461.058855259,0.435562506
48,48,1906627.315779481,5814455.752180465,0.597512657
49,49,1906200.571867081,5814454.997109002,0.284421939
50,50,1906202.921844054,5814431.61120747,0.333166666
51,51,1906763.98163336,5814400.734379418,0.092874998
52,52,1906257.188883656,5814405.348436075,0.762888898
53,53,1906272.876985749,5814405.473401295,0.861416668
54,54,1906711.152869593,5814411.552621124,0.30132026
55,55,1906525.193514247,5814389.660547036,0.540469388
56,56,1906739.491591162,5814381.67693581,0.673179489
57,57,1906216.519363849,5814390.95724553,0.237666666
58,58,1906233.959206467,5814397.172498515,0.27303403
59,59,1906285.632322099,5814393.894972399,0.667198878
60,60,1906335.053905774,5814391.174885812,0.617214956
61,61,1905757.413227649,5814482.114179703,0.106155342
62,62,1906255.898798434,5814379.714620782,0.546099996
63,63,1906271.730095469,5814379.125439247,0.310274998
64,64,1906342.78444416,5814371.48915753,0.875525645
65,65,1906563.657265121,5814358.272820363,0.478000004
66,66,1905716.900410043,5814379.783117157,0.059999999
67,67,1906381.390103564,5814349.610885696,0.409691786
68,68,1906594.576630778,5814337.150987423,0.861245282
69,69,1906361.274308567,5814335.853314145,0.445251572
70,70,1906610.586344568,5814325.841454158,0.455897953
71,71,1906448.196882778,5814325.021994957,0.574693384
72,72,1906475.678143337,5814321.609079546,0.481615374
73,73,1906633.411364028,5814315.734133752,0.481254912
74,74,1906467.39134153,5814311.932596257,0.582217944
75,75,1906491.137866406,5814311.048346068,0.581875001
76,76,1906649.620721971,5814305.353177363,0.48185455
77,77,1905702.545035734,5814349.713698701,0.240874275
78,78,1906482.851053846,5814301.371877714,0.413237496
79,79,1906516.141784583,5814298.28557542,0.48528205
80,80,1906680.581416185,5814294.21451605,0.46207273
81,81,1906498.310728191,5814290.811119931,0.452588985
82,82,1906537.541573935,5814287.842604603,0.517344821
83,83,1906786.355385451,5814295.701718501,0.188495922
84,84,1906516.40108539,5814279.753414645,0.498477871
85,85,1906553.319391527,5814278.739097748,0.541363639
86,86,1906750.657685865,5814271.424865333,0.340660379
87,87,1906541.531511849,5814268.5552938,0.411336361
88,88,1905757.99511836,5814308.300242499,0.6425164
89,89,1906566.381605345,5814262.203805292,0.478143457
90,90,1906584.266829731,5814257.654511349,0.546300001
91,91,1906623.101183079,5814236.23768244,0.551012502
92,92,1906270.122346012,5814309.804046261,0.686809123
93,93,1905902.055305359,5814243.098909149,0.059999999
94,94,1906824.201622049,5814208.772951028,-0.0097375
95,95,1905976.855031026,5814174.72138929,0.531157636
96,96,1906145.083953653,5814170.824028981,0.287950843
97,97,1906825.4000231,5814139.040625831,0.171527271
98,98,1905942.624738938,5814161.711010005,0.265380643
99,99,1906802.211252358,5814147.571923665,0.469060133
100,100,1905922.465986665,5814152.475466602,0.238272724
