OID,FID_,X,Y,BCE_Waihi_
0,0,1906406.095370237,5815662.193702491,-0.864000022
1,1,1906398.199258575,5815647.510058941,-0.784679509
2,2,1906468.573913465,5815645.080182147,0.106161615
3,3,1906466.880806241,5815580.259445523,0.202145456
4,4,1906474.318743038,5815569.414718729,0.197653059
5,5,1906413.808502167,5815562.238875619,-0.864000022
6,6,1906481.60081066,5815549.756468105,0.168763637
7,7,1906418.226002568,5815542.130163971,-0.857056628
8,8,1906496.320693639,5815519.253456414,-0.132444437
9,9,1906432.245131772,5815501.66834351,-0.463999987
10,10,1906503.608860923,5815499.054401999,-0.205566033
11,11,1906510.590966966,5815478.581330193,0.369849062
12,12,1906461.780651361,5815321.215597356,-0.418831769
13,13,1906447.430583604,5815266.247021792,0.965455707
14,14,1906467.06236031,5815284.187899631,-0.099432226
15,15,1906454.790276269,5815250.995530135,0.707199996
16,16,1906462.33565508,5815240.729499333,0.634512814
17,17,1906469.88074709,5815230.463742853,0.631599998
18,18,1906704.804695376,5815208.710251759,-0.115999997
19,19,1906503.474277201,5815214.865861528,-0.115995071
20,20,1906720.98273707,5815189.239590456,-0.115999997
21,21,1906492.330700723,5815194.680394979,0.193746834
22,22,1906499.690232718,5815179.428852684,0.027417722
23,23,1906737.77044204,5815168.498004986,-0.115999997
24,24,1906507.049734008,5815164.177307788,0.275262501
25,25,1906519.717350675,5815180.038506698,-0.115999997
26,26,1906514.409205279,5815148.925748358,0.222256414
27,27,1906545.546004784,5815137.989406525,-0.115999997
28,28,1906762.964256933,5815130.480689024,-0.115999997
29,29,1906355.293209513,5815134.608311127,0.279575479
30,30,1906781.517177406,5815102.866573908,-0.115999997
31,31,1906394.1805254,5815113.461023331,0.276312504
32,32,1906323.13983842,5815106.119620483,0.256529412
33,33,1906401.725707331,5815103.195190199,0.275825006
34,34,1906409.642101643,5815088.495061938,0.263403668
35,35,1906559.038710107,5815070.126938041,-0.115999997
36,36,1906415.91607876,5815062.934936508,0.243648148
37,37,1906415.30394166,5815042.051564909,0.236372547
38,38,1906552.360583172,5815044.905946053,-0.096539531
39,39,1906575.842470016,5815043.197308724,-0.115999997
40,40,1906283.692435451,5815049.661298882,0.295333328
41,41,1906290.622957103,5815028.878026155,0.227434787
42,42,1906296.578339771,5815007.529342536,0.168791664
43,43,1906578.155535855,5815003.988269732,-0.11271816
44,44,1906587.416732513,5814976.253392164,-0.034454547
45,45,1906428.408147837,5814972.604681394,0.167482148
46,46,1906238.624675169,5814979.138225294,0.383843932
47,47,1906435.749607695,5814961.346137541,0.144086955
48,48,1906308.170818499,5815017.822811472,0.140932091
49,49,1906447.619608443,5814947.00035415,0.108000003
50,50,1906219.07125965,5814958.061116362,0.214672318
51,51,1906300.423076899,5814937.219566695,-0.034000002
52,52,1906584.691198117,5814944.002419596,-0.034060002
53,53,1906193.1848693,5814931.223955095,-0.007487502
54,54,1906236.195232331,5814919.847090413,-0.034000002
55,55,1906299.681061745,5814917.27713883,-0.034000002
56,56,1906576.166783606,5814906.985020154,0.333839995
57,57,1906166.449263902,5814911.715333278,-0.034000002
58,58,1906596.596903146,5814896.82414954,-0.012149534
59,59,1906013.960957344,5814907.933257585,1.012200005
60,60,1906101.037568807,5814904.695862577,0.19605
61,61,1906049.2587327,5814898.709616855,0.270304347
62,62,1906599.220954914,5814876.379271302,0.143214284
63,63,1906005.767219149,5814893.260365406,0.819185176
64,64,1906033.010187225,5814887.25513526,0.469138368
65,65,1906502.313654606,5814839.229238828,0.0045
66,66,1906612.776628203,5814825.740693769,-0.034000002
67,67,1905963.129150005,5814819.957878106,0.531899999
68,68,1906599.851179825,5814791.316280505,-0.000861072
69,69,1906391.090300698,5814747.575303492,0.008897848
70,70,1906395.381272707,5814724.208188259,-0.024759261
