OID,FID_,X,Y,BCE_Waihi_
0,0,1906470.624471353,5815250.404508327,-0.115688308
1,1,1906698.186150602,5815192.213035172,-0.115999997
2,2,1906521.749796672,5815148.650693282,-0.113509431
3,3,1906754.756906636,5815110.367878744,-0.115999997
4,4,1906347.984671999,5815118.885333702,0.251741291
5,5,1906710.461211131,5815106.102623521,-0.115999997
6,6,1906781.401624106,5815098.20414604,-0.115999997
7,7,1906793.879011096,5815048.648577387,-0.014
8,8,1906811.780398494,5815040.115932167,-0.014
9,9,1906854.522834331,5814986.876842855,-0.014
10,10,1906868.656359981,5814975.965970072,-0.014
11,11,1906178.19252765,5814904.951175002,-0.034000002
12,12,1906978.994445847,5814833.155969729,-0.014
13,13,1907038.745400308,5814754.873102798,-0.014
14,14,1907011.681865014,5814733.409010107,-0.014
15,15,1907087.23078411,5814719.449320887,0.0745
16,16,1905972.023124568,5814781.630082525,0.199097776
17,17,1905917.056760722,5814741.112554852,0.059999999
18,18,1907044.27248832,5814689.834719718,-0.014
19,19,1907095.539883099,5814682.929675383,-0.008196203
20,20,1905913.28895858,5814716.381143494,0.059999999
21,21,1907066.699074138,5814669.027923147,-0.014
22,22,1907055.030489831,5814659.478083922,-0.014
23,23,1907087.336786356,5814654.278866011,-0.014
24,24,1906875.808415313,5814650.611891183,-0.014
25,25,1906943.898651204,5814644.237708566,-0.014
26,26,1905949.84086398,5814675.667802562,0.062574735
27,27,1907012.10830075,5814635.531240648,-0.014
28,28,1907071.788437206,5814636.126411913,-0.014
29,29,1907136.413694595,5814653.23846781,-0.01248034
30,30,1907176.236288681,5814615.018124569,0.027625
31,31,1905869.404555658,5814692.9666225,0.062766832
32,32,1907191.222478506,5814595.077758116,0.029041666
33,33,1907123.881525093,5814600.648924024,-0.014
34,34,1907013.23976421,5814575.761085611,-0.014
35,35,1907198.929300074,5814567.918949171,-0.013915255
36,36,1906801.806720824,5814569.277282632,-0.014
37,37,1907110.308016534,5814561.985178596,-0.014
38,38,1907209.445006969,5814548.884126908,-9999.0
39,39,1907187.074478979,5814551.371743496,-0.014
40,40,1907128.221936055,5814533.4833793,-0.014
41,41,1906157.597192679,5814522.451123251,0.079477611
42,42,1907195.709430272,5814459.26795098,-0.014
43,43,1907265.441469111,5814457.522405866,-0.014
44,44,1906076.651672517,5814466.46901713,0.059999999
45,45,1907273.366521402,5814422.400457381,-0.014
46,46,1907287.687848392,5814410.944553215,-0.014
47,47,1905846.058108777,5814458.672099019,0.059999999
48,48,1907317.444738283,5814401.928929066,-0.014
49,49,1907286.256741548,5814381.458588238,-0.014
50,50,1906905.34920987,5814379.912851372,-0.014
51,51,1907285.512205065,5814361.51608969,-0.014
52,52,1907323.81245148,5814345.719431052,-0.014
53,53,1905789.350310397,5814380.893234485,0.059999999
54,54,1905926.779413984,5814376.494414669,0.059999999
55,55,1907272.741007227,5814322.429336932,-0.014
56,56,1905715.828155555,5814382.77935226,0.125075186
57,57,1905937.638326269,5814351.817413898,0.059999999
58,58,1907322.642346098,5814304.431349664,-0.014
59,59,1905763.098411212,5814343.118527665,0.062375787
60,60,1906878.842360312,5814296.807934698,-0.014
61,61,1906015.310540062,5814308.989920574,0.059999999
62,62,1906882.64775015,5814277.072884424,-0.014
63,63,1905846.670133771,5814324.878410911,0.059999999
64,64,1905999.108865383,5814299.607300875,0.059999999
65,65,1905790.60030888,5814307.604495762,0.07621072
66,66,1905824.582664569,5814295.693129295,0.059999999
67,67,1906208.207138446,5814354.330399705,0.230980504
68,68,1907424.203286681,5814231.243363123,-0.014
69,69,1905751.663064382,5814284.395355887,0.332677012
70,70,1906232.153457585,5814251.218372765,0.442258621
71,71,1905735.090918008,5814243.736622645,0.235880733
72,72,1906248.528603794,5814224.221240034,0.514207076
73,73,1907011.138659816,5814192.542990358,-0.014
74,74,1907468.133100044,5814169.266544309,-0.014
75,75,1906267.805193303,5814202.95590694,0.318044
76,76,1906140.776696575,5814198.572990688,0.253666664
77,77,1906286.321604496,5814182.751704025,0.316786835
78,78,1907324.653695577,5814155.970081571,-0.014
79,79,1907483.122387846,5814134.462262723,-0.014
80,80,1907213.626756361,5814134.541312949,-0.014
81,81,1907272.311687407,5814164.570100537,-0.014
82,82,1907332.671799636,5814129.680656937,-0.014
83,83,1906333.710302284,5814162.871244309,0.437823207
84,84,1905659.894475356,5814173.72898623,0.175970148
85,85,1906970.567388212,5814084.077050913,-0.014
86,86,1906997.679801333,5814082.688690194,-0.014
87,87,1907274.504353169,5814078.065054141,-0.014
88,88,1906347.881939256,5814086.93211126,0.220127278
89,89,1907258.140889812,5814052.998358782,-0.014
90,90,1906370.670970291,5814070.326138051,0.199072726
91,91,1906644.010564649,5814044.843084842,0.201236219
92,92,1907061.825415487,5814029.082852338,-0.014
93,93,1907554.980328121,5814005.038211379,-0.014
94,94,1906091.518291908,5814050.026986176,0.335999993
95,95,1906166.71580239,5814049.082975912,0.276433444
96,96,1906457.524956159,5814046.118976968,0.204697252
97,97,1907565.159031249,5813992.1243253,-0.014
98,98,1906464.383344688,5814022.684327057,0.077571431
99,99,1907122.119755395,5814015.734844576,-0.013963173
100,100,1907331.625973909,5814047.376886143,-0.014
101,101,1906547.341605238,5814000.001554159,0.12775926
102,102,1905681.117315894,5814022.379952219,0.059999999
103,103,1906171.531086762,5814004.893106058,0.248085111
104,104,1906527.022638807,5814014.814546535,0.099373466
105,105,1906736.686682421,5813987.369052412,0.035522293
106,106,1907116.49317698,5813958.811201184,-0.012777778
107,107,1905675.558278467,5814002.473500568,0.059999999
108,108,1907560.935428341,5814033.196515399,-0.014
109,109,1906962.263568796,5813944.738164765,-0.014
110,110,1907142.758052831,5813956.569848752,0.072557184
111,111,1907646.005619544,5813928.463201081,-0.01312766
112,112,1906396.752524386,5813968.328247437,0.193653337
113,113,1906459.604741967,5813952.859146858,0.075178864
114,114,1906517.533112003,5813955.593990862,0.128257928
115,115,1906540.935746512,5813949.937796115,0.170836365
116,116,1906747.892431193,5813931.996550693,0.094181819
117,117,1906492.859074283,5813931.550451886,0.075000003
118,118,1906554.905331463,5813930.149364446,0.192228395
119,119,1906540.555797491,5813919.788725839,0.176980395
120,120,1906745.644709937,5813910.921700525,0.030051852
121,121,1906714.966476858,5813900.783624433,0.046375
122,122,1907122.345867248,5813881.402996382,0.087151351
123,123,1907623.237533621,5813863.838454898,-0.014
124,124,1905954.464619527,5814156.548214052,0.158964817
125,125,1906586.571271762,5813910.297907172,0.189651416
126,126,1906622.035504287,5813877.398019206,0.118663551
127,127,1906712.467979797,5813873.651004982,0.035
128,128,1906798.630025141,5813882.821498775,-0.003964286
129,129,1906589.141296872,5813868.729514414,0.154740741
130,130,1907092.020941409,5813849.510925408,0.102907409
131,131,1907598.587748587,5813830.591766581,-0.014
132,132,1906707.291688956,5813854.666816713,0.035
133,133,1907067.903573141,5813840.425745054,0.112148149
134,134,1907099.878226067,5813838.816528667,0.109672728
135,135,1906660.49628146,5813846.009648117,0.035
136,136,1906917.145009058,5813836.064674107,0.16894445
137,137,1906284.402395431,5813846.811230523,0.261583339
138,138,1906861.367655848,5813828.159644279,0.100037037
139,139,1906889.661569492,5813827.481576454,0.176364483
140,140,1906980.093666329,5813823.731584067,0.151964286
141,141,1907079.623231658,5813820.395200745,0.137537735
142,142,1907597.469607924,5813800.677972968,-0.014
143,143,1907714.330383888,5813799.770641073,-0.014
144,144,1905578.681967735,5813865.607736619,0.059999999
145,145,1905697.484598041,5813861.49249956,0.255037035
146,146,1906007.334555333,5813884.634574216,0.341825706
147,147,1906343.597521646,5813846.380093939,0.406304249
148,148,1907332.6440404,5813813.828970582,-0.014
149,149,1906646.917822307,5813816.183350463,0.035
150,150,1906939.774490876,5813805.265305131,0.192185183
151,151,1905978.031884152,5813843.30808474,0.384818183
152,152,1907469.710609416,5813775.496923611,-0.014
153,153,1907529.088497777,5813778.37473594,-0.014
154,154,1907580.521351407,5813771.355878547,-0.014
155,155,1906616.753824963,5813809.897019406,0.117354224
156,156,1906996.323727934,5813787.385096262,0.146172187
157,157,1907587.675460245,5813750.70203332,-0.014
158,158,1907567.259618064,5813742.364026685,-0.014
159,159,1905666.758933609,5813813.341470512,0.265562903
160,160,1907750.538207891,5813726.512722613,-0.014
161,161,1906438.326507543,5813780.075332862,0.422340943
162,162,1906723.838286419,5813753.406124876,0.198962962
163,163,1907606.375423818,5813725.56010193,-0.014
164,164,1905662.861516486,5813782.898879947,0.287196427
165,165,1906976.745957075,5813733.990365655,0.195178574
166,166,1907307.46344384,5813726.314034402,-0.014
167,167,1906157.839295526,5813748.398215442,0.547836597
168,168,1906184.1573292,5813747.484105364,0.477464571
169,169,1906586.665343624,5813727.804164132,0.122348837
170,170,1906365.436727445,5813706.846867433,0.153563639
171,171,1907164.630576039,5813681.266050776,0.143203706
172,172,1906162.403933509,5813714.409849396,0.176627768
173,173,1906491.861232704,5813691.945956663,0.389050001
174,174,1907309.138600828,5813657.590472165,-0.014
175,175,1905778.617718321,5813698.702275784,0.329907414
176,176,1906284.726711441,5813686.435899221,0.244364238
177,177,1906965.290037216,5813665.50340877,0.059999999
178,178,1906265.17294867,5813670.430950542,0.273345909
179,179,1906896.217351563,5813662.859764789,0.125085937
180,180,1907302.457707191,5813632.344004927,-0.014
181,181,1905810.880074504,5813826.232005551,0.305928041
182,182,1907313.680751986,5813621.146615704,-0.014
183,183,1905792.882513119,5813662.159335435,0.314000006
184,184,1906164.734049171,5813663.062202312,0.28038959
185,185,1906385.266293534,5813657.701533753,0.353642624
186,186,1907143.102393567,5813616.758604676,0.12619274
187,187,1906946.338517733,5813617.76777632,0.123963731
188,188,1907039.301813819,5813601.308956296,0.178822428
189,189,1906243.222068983,5813642.549694458,0.230911737
190,190,1906893.532610658,5813619.342595886,0.144250002
191,191,1905637.318638851,5813624.231214676,0.286123895
192,192,1906255.1743475,5813605.588296718,0.23457944
193,193,1907121.826496529,5813581.909730395,0.145733334
194,194,1906322.925087065,5813601.650261228,0.354758387
195,195,1907744.202119127,5813548.419532315,-0.014
196,196,1905620.854759686,5813780.924426037,0.224120662
197,197,1907304.331621569,5813572.069637125,-0.014
198,198,1907125.458994005,5813535.08600092,0.061961039
199,199,1907309.613454323,5813516.662273698,-0.014
200,200,1907250.993825254,5813457.247876192,-0.014
201,201,1907249.398551384,5813394.304449266,-0.014
202,202,1907748.556034666,5813417.810355031,-0.014
203,203,1907534.283937969,5813373.676243004,-0.014
204,204,1907521.866606572,5813363.947126092,-0.014
205,205,1907359.086536566,5813360.252267118,-0.014
206,206,1907101.746074909,5813371.318015561,-0.014
207,207,1907454.405717326,5813361.475615758,-0.014
208,208,1907492.498984581,5813351.085903774,-0.014
209,209,1907517.176068363,5813596.144164557,-0.013595866
210,210,1907387.763460232,5813348.235046513,-0.014
211,211,1907195.734323772,5813341.493827917,-0.014
212,212,1907397.856433256,5813328.43232153,-0.014
213,213,1907241.586918486,5813330.510564202,-0.014
214,214,1907665.89356539,5813298.859599194,-0.014
215,215,1907269.791194637,5813303.676437751,-0.014
216,216,1907325.507553668,5813301.17946467,-0.014
217,217,1907749.215153537,5813286.135329108,-0.014
218,218,1907360.314607065,5813313.357635302,-0.014
219,219,1907445.214016301,5813302.085035598,-0.014
220,220,1907760.259884006,5813275.128894661,-0.014
221,221,1907297.66608439,5813312.431024363,-0.014
222,222,1907498.074450547,5813276.318513714,-0.014
223,223,1907470.52840555,5813273.53762382,-0.014
224,224,1907518.532161023,5813279.044386781,-9999.0
225,225,1907293.49716542,5813263.370474657,-0.014
226,226,1907315.788961717,5813262.017825015,-0.014
227,227,1907336.104922105,5813271.036131026,-0.014
228,228,1907650.007198583,5813239.239421799,-0.014
229,229,1907769.006890079,5813245.528487403,-0.014
230,230,1907166.832814584,5813239.454881296,-0.014
231,231,1907288.878324548,5813235.426250622,-0.014
232,232,1907425.630938811,5813227.751441368,-0.014
233,233,1907391.562836997,5813207.072615738,-0.014
234,234,1907801.747830539,5813195.425462189,-0.014
235,235,1907718.637538816,5813183.083255881,-0.014
236,236,1907291.374038657,5813183.035042073,-0.014
237,237,1907368.367741846,5813179.964656448,-0.014
238,238,1907765.836825714,5813161.408860796,-0.014
