OID,FID_,X,Y,BCE_Waikaw
0,0,1303596.330492415,4830499.548751107,0.646693003
1,1,1303567.04238666,4831607.266094583,0.105527344
2,2,1305698.752197962,4830182.279227177,0.005176469
3,3,1305672.500859155,4830164.348435184,0.753927561
4,4,1303769.141832179,4830080.642459446,0.677990179
5,5,1305612.505425281,4830115.412745195,0.408497509
6,6,1305582.889432219,4830096.444065933,-0.308473676
7,7,1303827.310832418,4830014.827276642,0.18862383
8,8,1304057.144254773,4829810.965725205,0.441341468
9,9,1303924.887079404,4829879.302869327,0.727295377
10,10,1304301.763775819,4829812.969272397,-0.012362313
11,11,1304309.620134683,4829793.345290288,0.49305926
12,12,1304121.996689082,4829758.045081443,1.190393666
13,13,1304200.784233128,4829704.077044479,0.439767407
14,14,1304270.56425472,4829721.11065355,0.224648532
15,15,1304281.549914778,4829671.537949475,0.351422134
16,16,1304263.357645007,4829643.765546988,0.430439561
17,17,1306637.500422415,4829515.590359016,0.890564618
18,18,1306795.99760929,4829504.508668105,0.455457131
19,19,1306665.621921837,4829328.234184771,0.212085715
20,20,1306648.382193483,4829308.020433373,0.199882884
21,21,1304184.179890831,4829351.144708708,0.799633688
22,22,1304235.297522332,4829044.269987419,0.638857279
23,23,1304251.215019248,4828986.587516434,0.557943393
24,24,1306234.305049296,4829084.237459913,0.918885355
25,25,1306443.01583596,4829087.29054812,0.260338236
26,26,1306506.91321726,4829084.284764376,0.764028319
27,27,1306367.444408115,4829075.024240609,0.456091312
28,28,1304287.015830693,4828937.274825176,0.543737147
29,29,1304350.783435823,4828888.575385765,0.378696694
30,30,1304372.358420409,4828865.982293247,0.513885715
31,31,1304386.59977386,4828856.676380694,0.407200002
32,32,1306128.397901831,4828958.210555458,1.03786523
33,33,1304403.278875514,4828845.423157926,0.467271653
34,34,1304425.885688386,4828828.589774053,0.615614285
35,35,1304436.692578088,4828819.121039701,0.924685709
36,36,1304524.083348108,4828771.311661475,-0.144948205
37,37,1304560.15371567,4828751.776721521,-0.192707931
38,38,1304596.003489842,4828721.913673103,-0.149130258
39,39,1304629.919378352,4828673.519195351,1.096949268
40,40,1304591.478679946,4828625.223230737,0.446309522
41,41,1306139.350223195,4828710.541980513,0.451297468
42,42,1306011.919920403,4828690.595359098,0.099369192
43,43,1306118.797533408,4828694.207758011,0.299956519
44,44,1306085.059047072,4828670.032305726,0.24175115
45,45,1304505.605328185,4828561.801505622,-0.037044445
46,46,1304479.864257688,4828544.088687832,0.289448271
47,47,1305895.368114226,4828622.658562965,0.267573781
48,48,1304441.253047483,4828528.594026437,0.227555551
49,49,1304423.906187333,4828518.302716655,0.049147061
50,50,1304400.810467182,4828506.778451297,0.177491805
51,51,1304363.009838544,4828487.714866407,1.263861653
52,52,1304102.645837934,4828462.472887204,0.471391305
53,53,1304292.848455467,4828466.032856451,1.105928165
54,54,1305636.804013949,4828559.458277853,1.025259879
55,55,1304259.542068357,4828449.844692981,1.111626558
56,56,1305726.250437128,4828522.087943995,0.288463767
57,57,1305805.359856462,4828537.112143333,0.395996462
58,58,1304229.295703892,4828438.00620553,0.17902469
59,59,1304070.180977189,4828408.933717423,0.63956914
60,60,1304050.019479673,4828377.428461925,1.624333339
61,61,1305482.900613899,4828422.071151565,0.888430878
62,62,1304011.839942368,4828137.58615771,0.373312496
63,63,1303943.380177246,4828235.09618627,1.005823591
64,64,1304043.58728166,4828130.365608682,0.390773594
65,65,1304285.762349351,4828049.761556308,0.402897972
66,66,1304536.08718641,4827950.816937432,0.366848473
67,67,1304563.631822671,4827952.428623463,-9999.0
68,68,1304560.483593335,4827935.884872059,-0.588486476
69,69,1304570.554405281,4827925.94912295,-0.715680827
70,70,1304584.598334779,4827932.641449203,-9999.0
71,71,1304571.610025001,4827899.671559884,0.230468742
72,72,1304558.824140069,4827883.09319751,2.346630444
73,73,1303977.471894519,4827810.109722788,0.819276049
74,74,1303946.616088411,4827769.054761617,0.228437087
75,75,1303923.766037594,4827750.886037474,0.951374544
76,76,1303804.221189229,4827705.138435768,0.892786143
77,77,1304017.31655312,4827679.37082308,0.25181633
78,78,1303711.435177065,4827646.464867599,0.283628865
79,79,1303863.790796108,4827657.273423445,0.062177664
80,80,1304449.382902831,4827681.98148791,0.754208235
81,81,1304661.208527594,4827620.862030837,0.245760001
82,82,1304690.304303207,4827596.473113421,0.81802864
83,83,1304712.632077549,4827579.937053381,0.437347827
84,84,1304499.315425103,4827051.345440596,-9999.0
85,85,1304609.902315434,4826959.92815879,-0.292242382
86,86,1304894.173127702,4826940.092013011,-0.107585376
87,87,1305130.407918507,4826952.498759148,-0.444181463
88,88,1304912.301947918,4826932.06596763,0.315093219
89,89,1305358.958512775,4826964.46423979,0.189057478
90,90,1304614.007848931,4826907.751813685,0.309959999
91,91,1304945.300036897,4826923.603165049,0.066648048
92,92,1305079.396623093,4826930.291452067,-0.233960449
93,93,1305039.71958811,4826926.894590357,0.049385323
94,94,1304629.859109967,4826894.695896376,-0.238360424
95,95,1304702.194857392,4826861.363232229,-0.018809648
