OID,FID_,X,Y,BCE_Waikaw
0,0,1304322.761134894,4830172.223796573,-0.498606596
1,1,1304626.782482052,4830185.164901991,-9999.0
2,2,1304212.752721487,4830148.964404761,-0.356702136
3,3,1304690.938971526,4830162.872060842,-9999.0
4,4,1304954.429686585,4830185.981813633,-9999.0
5,5,1304261.873158114,4830131.36550343,-0.444638305
6,6,1304656.754856027,4830162.497560894,-9999.0
7,7,1304681.498490648,4830152.469934682,-9999.0
8,8,1304733.447561157,4830154.871982403,-9999.0
9,9,1305022.292233991,4830169.01630376,-9999.0
10,10,1304111.063685728,4830113.958452241,-0.255755096
11,11,1304303.626355171,4830123.409500072,-0.476812496
12,12,1304142.983865266,4830105.905067621,-0.288549453
13,13,1304710.363570431,4830139.697970107,-9999.0
14,14,1304133.165349608,4830085.029237231,-0.278829794
15,15,1305497.376937585,4830152.006973786,-9999.0
16,16,1304214.440889138,4830078.812089922,-0.379170731
17,17,1304312.611022542,4830083.629464759,-0.489085718
18,18,1304328.982485717,4830096.17095631,-0.507826208
19,19,1304144.675608627,4830070.072589142,-0.294081082
20,20,1304334.186206966,4830065.408026197,-0.515478238
21,21,1304263.325142678,4830041.7783649,-0.452423906
22,22,1305164.72011207,4830075.939648187,-9999.0
23,23,1304965.771635371,4830056.198681365,-9999.0
24,24,1305003.113153992,4830057.642354661,-9999.0
25,25,1304254.144843373,4830010.727412179,-0.442691159
26,26,1304947.210463951,4830039.579564809,-9999.0
27,27,1304993.98985667,4830027.644322726,-9999.0
28,28,1305345.477748223,4830044.761715667,-9999.0
29,29,1304984.45583517,4830016.306693361,-9999.0
30,30,1305057.128177835,4830020.651918406,-9999.0
31,31,1305073.20158157,4830135.609479997,-9999.0
32,32,1305036.985428205,4830009.661450823,-9999.0
33,33,1305006.008396381,4829991.985391684,-9999.0
34,34,1305205.967459198,4829997.536340488,-9999.0
35,35,1304252.596697926,4829947.526412208,-0.422733867
36,36,1305096.42307195,4829982.172166607,-9999.0
37,37,1304237.773329448,4829920.083143272,-0.393085098
