OID,FID_,X,Y,BCE_Waimea
0,0,1613602.450712231,5425844.933234129,1.72729508
1,1,1613101.547325344,5426526.716668456,3.053125824
2,2,1612243.242460789,5428486.576187585,1.825378523
3,3,1609200.226158486,5429257.277241075,1.922936607
4,4,1611440.768504211,5429313.514936361,1.369795431
5,5,1612654.964190444,5427945.247720165,1.263782389
6,6,1613120.093860022,5427357.052049105,1.998295323
7,7,1613360.667207794,5427198.63133736,2.813225856
8,8,1608399.393787346,5432028.025374492,1.635644287
9,9,1611571.912039866,5429640.984337172,0.878396348
10,10,1613440.080522605,5426061.382426849,1.507088018
11,11,1608629.566852806,5433242.028030209,2.622037042
12,12,1613004.560648912,5429926.883233553,1.034530595
13,13,1613445.205711736,5429122.066315443,0.876968756
14,14,1611552.848661171,5429745.413341105,1.285131992
15,15,1611784.497695195,5429291.797513436,1.433154525
16,16,1611596.760631121,5428851.107698778,1.188428563
17,17,1609113.199254943,5431641.734171947,2.007934082
18,18,1615728.050580443,5424784.035721568,1.320000033
19,19,1612549.961353627,5428166.649547899,1.929687518
20,20,1614601.427327145,5425514.485171379,1.921999931
21,21,1609099.068002475,5429189.311915865,2.891251066
22,22,1613717.225450878,5425778.550108446,1.557357149
23,23,1613350.367540713,5427425.056809732,1.726000071
24,24,1608583.821925991,5433226.186015177,1.311860396
25,25,1608426.873575259,5433154.93643008,0.767941404
26,26,1608457.110040111,5433131.324049349,0.783961516
27,27,1608450.252053924,5433101.393533117,1.459218188
28,28,1606681.833167297,5433054.228225531,0.434389475
29,29,1608485.517861696,5433066.293268458,0.776343133
30,30,1606695.924697843,5433042.350430136,0.79594596
31,31,1606650.376435458,5433024.271570656,0.472031257
32,32,1606802.477962666,5432989.062986327,0.485923068
33,33,1606984.40433287,5432995.042607159,0.59276878
34,34,1607027.053600257,5432962.588893882,1.376299988
35,35,1606939.108108631,5432967.950558203,0.732634143
36,36,1606117.066563369,5433041.007836587,0.993081084
37,37,1607286.815601917,5432858.582270218,0.80400005
38,38,1608812.579519868,5432868.142839449,1.255414132
39,39,1606156.329497291,5432848.610126654,0.656027022
40,40,1608787.856829972,5432811.091715255,1.124999994
41,41,1607164.513331726,5432798.730038476,0.569333325
42,42,1606211.027810478,5432810.103719892,0.940616393
43,43,1607310.217846293,5432765.968736896,0.782999992
44,44,1606392.561927955,5432753.013004703,1.04600822
45,45,1606532.742103693,5432679.150030193,1.151098516
46,46,1608106.42437065,5432604.972695392,1.23300004
47,47,1607607.284396691,5432578.504258342,0.603968992
48,48,1608829.245784014,5432578.876956474,1.141804108
49,49,1607585.054709668,5432531.342657119,0.737387084
50,50,1608734.831847888,5432521.958855044,0.828425
51,51,1607570.284224686,5432510.989144151,0.875624982
52,52,1608727.294771785,5432511.995594745,0.864214285
53,53,1608819.289573062,5432508.807537907,1.240442451
54,54,1607542.000225475,5432469.313791629,0.191
55,55,1606622.164186473,5432565.746005492,1.221390356
56,56,1608697.134756956,5432462.17018608,1.091212505
57,57,1608792.083946071,5432460.286158084,1.370142112
58,58,1608773.587209053,5432432.353930773,2.108895836
59,59,1606579.097186992,5432458.853945165,1.051882386
60,60,1608740.971055125,5432411.253352626,1.097733347
61,61,1608900.201533068,5432372.173961475,1.277349947
62,62,1608886.673807205,5432345.6625101,1.367964527
63,63,1608723.690682092,5432313.134912656,0.189392156
64,64,1608870.016600277,5432302.404676097,1.528500006
65,65,1608862.473493052,5432287.455410268,1.453628568
66,66,1608397.798177632,5432238.806478591,0.58707144
67,67,1608364.610710257,5432218.776911513,0.574111111
68,68,1608768.214292986,5432123.026515011,1.819573332
69,69,1608756.915234141,5432113.06781475,1.139974978
70,70,1608749.378548956,5432103.104571532,1.076142865
71,71,1606059.286758625,5432085.549648664,0.590778851
72,72,1608410.721603577,5432063.614619904,1.114842841
73,73,1608726.744699906,5432053.270205298,1.475975028
74,74,1608376.982496649,5432051.32514021,0.790271827
75,75,1608334.16865944,5432030.315853796,1.013812844
76,76,1608312.838577204,5432008.879400717,1.037331252
77,77,1606278.477998187,5431995.705456214,1.126353946
78,78,1606021.258616547,5432046.461314932,1.05255926
79,79,1606312.23335625,5431982.162530343,0.824935894
80,80,1608462.833776142,5432043.641161253,0.879385807
81,81,1606886.877083041,5431955.173575493,1.241122467
82,82,1606334.150140828,5431952.179916941,0.627314285
83,83,1606432.200834883,5431956.542184854,0.832599912
84,84,1606638.549722362,5431935.807086823,1.535360017
85,85,1606819.13795056,5431935.640102433,0.811300006
86,86,1606973.238730531,5431935.698576487,0.987245284
87,87,1608102.066860421,5431934.324803632,0.926499998
88,88,1608157.317876983,5431940.02707778,1.203852144
89,89,1608801.846297284,5431933.512034681,0.921324326
90,90,1606349.450540585,5431930.223264512,0.756567069
91,91,1608094.379168738,5431924.156538834,1.302749996
92,92,1608384.575989279,5431965.536562201,1.474584191
93,93,1608071.795062472,5431914.618336512,1.162576937
94,94,1606791.889089561,5431906.391855035,0.923267863
95,95,1608081.527386583,5431904.430711827,1.204285718
96,96,1606591.738466299,5431903.855046693,0.834419944
97,97,1607015.115270494,5431881.226647858,0.966972341
98,98,1606762.567326174,5431867.50041006,0.803610719
99,99,1607033.509362679,5431855.657617316,0.872571422
100,100,1607079.773754231,5431766.499445747,0.869526155
101,101,1607160.364404185,5431731.36369777,1.234085976
102,102,1609057.34449896,5431663.946027355,1.249957136
103,103,1609123.781669833,5431672.10146048,1.373710563
104,104,1607207.973806595,5431689.99230739,0.971394984
105,105,1609038.521531882,5431653.997113848,1.143973329
106,106,1609027.222827599,5431644.038826531,1.281812541
107,107,1609019.686254709,5431634.075856121,1.371957123
108,108,1609061.346604819,5431619.558564338,1.250999928
109,109,1609030.947801819,5431614.117250898,1.298566643
110,110,1608027.70198662,5431604.415263434,1.243175342
111,111,1609256.530170647,5431629.734343938,1.351313289
112,112,1609516.21831121,5431583.581810554,1.196999999
113,113,1609083.831584135,5431562.015715082,1.534777761
114,114,1609204.544890462,5431568.04001006,1.316595943
115,115,1609577.963528275,5431578.197828036,1.134288307
116,116,1607274.146644146,5431557.464824148,1.302282074
117,117,1608025.442615856,5431536.763795864,1.347182297
118,118,1609808.50350037,5431521.833507639,1.004629248
119,119,1607198.286558256,5431505.603534085,1.088998425
120,120,1609891.855537752,5431461.229526095,-0.157301673
121,121,1609892.222421163,5431433.495509111,0.336000001
122,122,1609004.3531033,5431404.004373917,0.851416649
