OID,FID_,X,Y,BCE_Waimea
0,0,1609087.708671839,5433361.836375072,-9999.0
1,1,1609012.351998182,5433298.971872898,-0.559037053
2,2,1608543.605633627,5433262.115652146,0.75692945
3,3,1608972.75809667,5433239.674807876,-9999.0
4,4,1608931.34050079,5433219.054011316,-0.462357156
5,5,1608511.079051357,5433211.045962258,1.070781446
6,6,1608861.343167045,5433200.051863088,0.248999983
7,7,1608893.686937394,5433199.155525825,0.040120004
8,8,1609104.417012928,5433204.608328424,-0.818666697
9,9,1608833.268164905,5433179.486851059,-0.396139553
10,10,1608795.97960952,5433159.863752531,0.135916666
11,11,1608586.186589451,5433149.906444243,0.697822205
12,12,1608645.053508913,5433149.898613313,1.02728262
13,13,1608664.488543178,5433150.878679162,1.288445562
14,14,1608449.595022363,5433140.577915698,0.691399998
15,15,1609049.783504223,5433147.335759808,-9999.0
16,16,1608479.75439956,5433199.414874332,0.409185212
17,17,1608759.779231482,5433120.051282907,0.457066675
18,18,1608796.304530394,5433120.222654368,-0.878000021
19,19,1608536.492007451,5433101.168439418,0.573980184
20,20,1608776.916970489,5433099.95412642,-0.544551747
21,21,1606211.027397236,5433094.004786902,0.783953895
22,22,1608475.559913664,5433095.980810157,0.935455883
23,23,1608983.862287693,5433090.076727442,-9999.0
24,24,1609006.43940656,5433090.048829855,-0.608782615
25,25,1608732.260149215,5433081.002554246,0.208396041
26,26,1606477.036464344,5433069.579378721,0.705500002
27,27,1608551.830668435,5433078.729009841,0.370699608
28,28,1608645.030179065,5433070.746920441,-0.201433961
29,29,1608690.341887552,5433075.474601944,0.023237139
30,30,1608504.282279609,5433060.763315759,0.685461534
31,31,1606690.998249484,5433053.425726573,0.61581345
32,32,1608533.005945324,5433057.261324631,0.559180854
33,33,1608584.801172533,5433050.873611992,0.228156859
34,34,1608717.049509638,5433051.093005105,-0.592846174
35,35,1606519.140009472,5433032.867468254,0.093186669
36,36,1608697.662319464,5433030.795052771,-0.569787903
37,37,1608927.346113019,5433030.31248813,-0.620000025
38,38,1606108.984096263,5433023.250965682,0.80259999
39,39,1606494.035056345,5433022.011951183,-0.321522283
40,40,1606537.945190854,5433022.878340653,-0.201374993
41,41,1606571.413859687,5433023.469520174,-0.051849403
42,42,1608607.342793978,5433020.930114181,0.074921577
43,43,1606552.987480409,5433012.892520634,-0.540145457
44,44,1606597.989519364,5433013.056387004,-0.266849065
45,45,1606624.621406761,5433015.591424098,0.013226128
46,46,1608679.373621947,5433011.24884929,-0.576972992
47,47,1608721.753786191,5433026.028868844,-9999.0
48,48,1607008.648986933,5433001.383479338,0.511747746
49,49,1608604.093805212,5432991.393629462,-0.123859992
50,50,1608679.349841823,5432991.30428968,-9999.0
51,51,1608886.05801097,5432990.269318666,-0.457833345
52,52,1606712.543230143,5432997.895237086,0.252000004
53,53,1606791.115725893,5432981.186102467,0.227612905
54,54,1606838.249589744,5432981.159529381,0.600553184
55,55,1607034.598445719,5432982.526184333,0.83825716
56,56,1607027.063226894,5432972.561173498,0.754124993
57,57,1608655.423030217,5432975.346804257,-0.647428587
58,58,1608848.25411799,5432970.575289352,-9999.0
59,59,1606929.297100618,5432962.568993974,0.902763162
60,60,1606770.249705766,5432959.011488793,-0.604732762
61,61,1606861.320536075,5432943.006927414,-0.260431377
62,62,1606894.539214649,5432944.232641341,0.376750916
63,63,1608599.711129761,5432931.188487223,-0.554645188
64,64,1608634.945624417,5432943.217968781,-0.775166685
65,65,1606759.414614689,5432903.674069297,0.223990388
66,66,1606981.69109579,5432903.003315557,-0.012499986
67,67,1607007.862424532,5432909.223662563,0.668547622
68,68,1608829.361538697,5432905.778309651,1.095766659
69,69,1606748.390665097,5432892.842032791,0.21745098
70,70,1608615.63336247,5432903.042731472,-9999.0
71,71,1608821.805809112,5432880.856726599,1.130266675
72,72,1606787.347777053,5432873.799374407,0.505529803
73,73,1607019.558506501,5432874.968422094,0.390730339
74,74,1606831.134105105,5432853.284713225,0.476826917
75,75,1608581.380334368,5432850.561775793,-0.393111129
76,76,1606793.497506449,5432843.347646238,0.398442307
77,77,1607284.84439779,5432850.26078661,0.706846155
78,78,1606752.6473712,5432833.789921678,0.389899999
79,79,1608599.756737262,5432841.233274139,-9999.0
80,80,1608791.643627856,5432831.031735023,1.041186653
81,81,1606876.40086031,5432813.148412798,0.005521737
82,82,1606902.151005439,5432818.780274496,0.065118132
83,83,1607181.067446872,5432807.923186308,-9999.0
84,84,1606800.985684918,5432803.451491768,0.353153847
85,85,1606891.442941181,5432803.889049342,0.152708336
86,86,1607092.130255635,5432799.00237751,-0.229000002
87,87,1606865.567178734,5432797.021521308,0.090806202
88,88,1607101.808054174,5432789.97374467,-0.221625011
89,89,1607147.959208436,5432789.536869078,0.408857141
90,90,1608564.655937877,5432788.993725246,-9999.0
91,91,1606854.345166275,5432783.252348234,0.145181818
92,92,1607004.152476971,5432783.314248125,0.48743396
93,93,1607131.793677792,5432781.529886646,0.003777782
94,94,1606861.464112494,5432773.068840192,0.250921565
95,95,1608753.950475344,5432776.229530177,-0.582225825
96,96,1607159.729118513,5432766.285943108,-0.15757304
97,97,1607011.649044714,5432753.390154754,0.620784336
98,98,1607034.225110581,5432753.368372483,0.597980754
99,99,1608545.300400622,5432750.595268018,-9999.0
100,100,1607173.983450187,5432743.636232151,-0.58471567
101,101,1608739.681486849,5432751.413180423,-0.652777789
102,102,1608753.013825286,5432741.517783547,-0.226970373
103,103,1608526.650056799,5432728.593685349,-9999.0
104,104,1608560.453547256,5432738.167703257,-9999.0
105,105,1607302.980050397,5432729.772460719,1.201653854
106,106,1608750.368235622,5432721.544432058,-0.014074069
107,107,1608723.759310026,5432701.473536484,-0.653533336
108,108,1607075.668369529,5432697.792379635,0.255319149
109,109,1607165.586017316,5432693.867438633,-0.536168672
110,110,1608508.991545205,5432694.704499101,-0.896000008
111,111,1607154.561778717,5432683.03601336,0.385239999
112,112,1608697.24528057,5432681.765179864,-9999.0
113,113,1608773.032805554,5432675.214721882,-0.589499995
114,114,1606579.497341485,5432680.783576217,0.903676352
115,115,1606996.17785117,5432677.840252656,0.215844658
116,116,1607295.05690951,5432673.682886843,0.912285711
117,117,1607274.946777093,5432663.381117417,0.27692453
118,118,1608803.886882572,5432632.304596662,0.577127516
119,119,1607642.536014613,5432610.990495964,0.599147046
120,120,1608214.936209385,5432609.292598544,0.951133333
121,121,1608697.453216553,5432601.577513851,-0.266490571
122,122,1607294.825365498,5432596.343465785,0.520741938
123,123,1608235.245119887,5432588.315656119,1.05399996
124,124,1607301.657304555,5432579.041345398,0.551999986
125,125,1608680.798059718,5432624.784963678,-0.637000021
126,126,1608787.579917549,5432581.729168801,1.328071409
127,127,1607758.419620479,5432572.870258433,1.025924218
128,128,1608756.972794335,5432576.21182223,1.035673071
129,129,1608780.042707521,5432571.765963848,1.398974974
130,130,1607199.251834654,5432567.946984784,0.457757284
131,131,1607316.424996316,5432558.461909697,0.208000004
132,132,1608678.838548392,5432562.496107068,-0.535303923
133,133,1608757.443199805,5432551.848588374,1.00814286
134,134,1608900.572664761,5432551.470455128,0.215745101
135,135,1608924.192789563,5432552.379674777,-0.053860919
136,136,1607185.873300031,5432544.331181162,0.577093338
137,137,1607337.929413478,5432542.258011022,0.246791669
138,138,1607357.593616158,5432533.658199261,0.336557693
139,139,1607199.556052415,5432523.843945106,0.441274509
140,140,1607339.319825881,5432524.080907647,-0.326509797
141,141,1607390.568338051,5432529.513852152,0.498553116
142,142,1608708.891460642,5432522.571004671,0.674737871
143,143,1607409.750949897,5432512.455748092,0.37542858
144,144,1607681.153098428,5432513.37932979,0.459307691
145,145,1608488.271624177,5432527.310935243,-0.715187062
146,146,1607131.810445505,5432503.966049453,0.408326922
147,147,1607363.057292618,5432506.088821284,-0.240259916
148,148,1607610.203244482,5432503.85811819,0.421097095
149,149,1608719.757716285,5432502.032326515,0.906925005
150,150,1608945.510654548,5432501.758362068,0.734699994
151,151,1607568.245369121,5432483.580717036,0.28205882
152,152,1608242.007514898,5432496.281577747,0.95214815
153,153,1608913.155024428,5432500.103564875,0.060994158
154,154,1606610.805259273,5432475.129438061,1.114066008
155,155,1608471.228156777,5432461.2235734,-0.817682545
156,156,1608490.189883722,5432457.428383741,-9999.0
157,157,1607211.313764283,5432444.430484179,0.402411765
158,158,1607459.940475243,5432461.427706353,-0.228268356
159,159,1607805.780929823,5432433.844899464,0.013466023
160,160,1608881.064601722,5432431.450091108,-0.065215682
161,161,1607546.955906133,5432424.298154142,-0.640613329
162,162,1608791.54731253,5432422.748606698,0.537323532
163,163,1607169.347524432,5432414.178495287,0.45038462
164,164,1607467.134299779,5432414.255621062,-0.853950003
165,165,1607485.539132443,5432403.683343731,-0.949352915
166,166,1607214.477782821,5432394.189302773,0.376549026
167,167,1607500.579593339,5432394.422713457,-9999.0
168,168,1607794.053224003,5432393.387203456,-0.964700015
169,169,1608482.595096248,5432397.603425866,-9999.0
170,170,1608661.493830009,5432392.406563035,-0.717690483
171,171,1608900.074301674,5432392.323235049,0.876470611
172,172,1607768.394879719,5432394.447396323,-0.887502364
173,173,1608863.320237537,5432515.179508859,-0.115602361
174,174,1607197.376889489,5432376.614675618,0.379563321
175,175,1607481.746237995,5432374.117693046,-0.633769202
176,176,1607786.129879934,5432377.937731023,-9999.0
177,177,1607870.06698842,5432388.306017843,-0.086920001
178,178,1608012.104162843,5432373.410332679,0.527557689
179,179,1608513.063398264,5432373.218157733,-9999.0
180,180,1608802.377002218,5432372.292932908,-0.180485716
181,181,1608844.161833928,5432372.823340853,0.314417473
182,182,1607651.036591727,5432353.649754046,-0.940000037
183,183,1608824.776087305,5432352.525707727,0.015176473
