OID,FID_,X,Y,BCE_Waitem
0,0,1750458.264959727,5932984.64439267,-0.625925953
1,1,1750434.633909733,5932976.532683723,-0.615164835
2,2,1750485.570642691,5932977.422937369,0.299500007
3,3,1750398.666885296,5932965.595071455,-0.399444408
4,4,1750465.192393814,5932957.830427803,0.349702762
5,5,1750419.984783176,5932919.278971684,0.545183041
6,6,1750368.929623454,5932883.811005511,0.536940516
7,7,1750100.484326568,5932800.408115035,0.259999976
8,8,1750080.498816384,5932765.422682774,-0.629999983
9,9,1750268.797072325,5932815.514695009,0.531773663
10,10,1750220.85105323,5932752.787367044,0.433312501
11,11,1750197.82179696,5932583.716004655,0.647374994
12,12,1750205.667610025,5932573.608980464,0.41712501
13,13,1750045.796461815,5932641.763401232,0.62109801
14,14,1750143.422830351,5932633.414772689,0.563679449
15,15,1750029.386726769,5932491.922647085,-0.035073173
16,16,1750021.994826583,5932470.496363691,-0.090124482
17,17,1749998.814246881,5932442.94879629,0.108986236
18,18,1749988.046546739,5932364.754233214,0.100857152
19,19,1749971.655455939,5932345.103322433,0.259205277
20,20,1749914.244487741,5932346.494670118,-0.207771433
21,21,1749935.034606813,5932303.05926806,0.492342799
22,22,1749903.143257218,5932260.107000664,0.236909092
23,23,1749910.662411474,5932240.20591321,0.727179488
24,24,1749856.604165825,5932159.03633994,-0.204190474
25,25,1749955.91325787,5932044.779319472,0.667931042
26,26,1749939.050569042,5932020.217186514,0.206363636
27,27,1749929.41878019,5931915.953003476,0.34284314
28,28,1749921.305714352,5931880.75890257,0.501818178
29,29,1749904.172381894,5931861.322230195,0.261607142
30,30,1749912.176147644,5931851.011477752,0.663000002
31,31,1749899.971145055,5931841.256201013,0.401124989
32,32,1749876.854108953,5931788.433553191,1.347575243
33,33,1749861.897616186,5931762.170680105,-0.271132091
34,34,1749800.060214321,5931633.655457464,0.673187478
35,35,1749711.274793621,5931831.842492215,0.680103924
36,36,1749771.815497441,5931624.181275755,-0.289594592
37,37,1749971.441161282,5931570.834798933,0.272592593
38,38,1749987.306173809,5931560.587197406,0.584000002
39,39,1749979.696110566,5931550.751571285,0.408599996
40,40,1750003.171148954,5931550.339565087,0.624624995
41,41,1750023.046053313,5931540.021507523,0.648812495
42,42,1750035.154962509,5931525.270539512,1.930802466
43,43,1749892.490129937,5931599.676582951,0.729105279
44,44,1746112.663892227,5931346.08829897,2.512197207
45,45,1746057.022752375,5931349.133092967,2.29684211
46,46,1745949.974717818,5931201.824514348,4.369624908
47,47,1745986.409900044,5931252.00877763,0.561182535
48,48,1749395.624454526,5931118.296178397,0.568430376
49,49,1749426.000565548,5931116.823156707,0.078624999
50,50,1749763.198333448,5931177.576566266,0.552836101
51,51,1749730.131232481,5931076.607407447,0.573250001
52,52,1749360.294037361,5931081.307703782,0.376841692
53,53,1746031.500135086,5931081.772592049,0.952845186
54,54,1746018.708899465,5931028.274981176,0.736968086
55,55,1745998.866163678,5931011.578995235,-0.056125005
56,56,1746010.724700264,5931001.407392797,0.484177206
57,57,1749256.346054394,5930989.503616165,0.784459994
58,58,1749286.360364783,5930929.850312076,0.285217388
59,59,1745941.879723507,5930962.707617933,0.027624999
60,60,1745805.041866926,5930935.137008115,0.570499989
61,61,1749633.506700026,5930850.15351566,0.411402652
62,62,1749751.21446324,5930920.276352198,0.8121276
63,63,1742708.714946911,5930897.690794629,-0.968888875
64,64,1742680.748437002,5930865.083344943,-0.089353364
65,65,1742850.722892362,5930898.147047211,0.909903308
66,66,1745960.680166956,5930882.295067416,1.361617081
67,67,1745862.075939358,5930914.162896323,0.504285444
68,68,1749597.876156917,5930740.173201476,0.86000481
69,69,1749601.986102295,5930630.23916569,0.746375003
70,70,1742801.931613552,5930788.108003243,0.658181325
71,71,1742809.90584613,5930731.518489845,0.762203388
72,72,1749609.672651003,5930614.995502685,0.471656047
73,73,1742809.207466522,5930706.608178328,0.667500009
74,74,1749595.370380026,5930604.917189981,0.396451613
75,75,1749617.151428731,5930580.127921222,1.428499998
76,76,1746135.372370955,5930550.672518146,-0.023875001
77,77,1746032.242926511,5930543.20687175,0.453999996
78,78,1746059.455384641,5930542.585913686,0.416944441
79,79,1746078.911331096,5930541.870340734,0.21890909
80,80,1746109.50355932,5930545.864669133,-0.10232514
81,81,1746147.236212445,5930540.851062211,-0.035675677
82,82,1746199.800181305,5930535.431151874,0.16308627
