OID,FID_,X,Y,BCE_Waitem
0,0,1750375.178430673,5932950.050107486,-0.003176467
1,1,1750446.078598849,5932969.09726385,-0.098637282
2,2,1750336.089818496,5932930.15205219,-0.01042858
3,3,1750283.296228121,5932908.193027586,0.248444444
4,4,1750247.02523939,5932891.434074032,0.087012987
5,5,1750216.640841893,5932871.724399932,0.15169492
6,6,1750184.967157286,5932851.826650616,0.058854164
7,7,1750351.038410042,5932891.190068257,0.227920466
8,8,1750266.543704925,5932841.706772129,0.185679011
9,9,1750250.325942019,5932832.022726174,0.182750004
10,10,1750234.108588957,5932822.338397803,0.16325
11,11,1750121.974703565,5932812.220679148,0.145238096
12,12,1750194.657078076,5932760.2574478,0.246248859
13,13,1750127.121121366,5932669.695819429,0.290875004
14,14,1750074.191678784,5932721.342989034,-0.329086867
15,15,1750158.430164018,5932625.01160183,0.327000001
16,16,1750110.204448617,5932620.146910175,0.300062501
17,17,1750146.469136874,5932605.140543136,0.75435186
18,18,1750197.996891915,5932593.682104724,0.552124992
19,19,1750053.882640981,5932611.166609119,-0.090166668
20,20,1750189.805602047,5932583.862554948,0.63649999
21,21,1750205.842714708,5932583.575080802,0.548227844
22,22,1750092.440286116,5932555.65922876,0.352745109
23,23,1750084.82938516,5932545.823438936,-0.465333344
24,24,1750208.884124866,5932557.687839197,0.570717697
25,25,1750036.932420914,5932543.194971164,0.047254901
26,26,1750019.088236982,5932457.255122667,-0.282624989
27,27,1749989.396757547,5932444.592988424,0.380909093
28,28,1750006.707206104,5932437.533768625,-0.235283011
29,29,1749984.189362868,5932419.591394809,-0.010235607
30,30,1749952.232745245,5932394.954281063,0.179708736
31,31,1749985.606129694,5932378.089236887,-9999.0
32,32,1749925.955401288,5932358.83055604,-0.247816893
33,33,1749972.005296033,5932365.035383242,-9999.0
34,34,1749906.741207111,5932338.290647098,-0.438787891
35,35,1749952.823959581,5932338.787379148,-9999.0
36,36,1749944.628565815,5932328.962104076,-0.75000006
37,37,1749890.319960855,5932308.430529619,-0.88500002
38,38,1749920.042170974,5932299.485679764,-0.267916685
39,39,1749870.115518038,5932267.928908247,-9999.0
40,40,1749857.461624137,5932248.654771907,-9999.0
41,41,1749864.952729002,5932205.068070692,-9999.0
42,42,1749804.183323133,5932071.591469411,0.752285713
43,43,1749785.832551628,5932010.377501983,0.855792679
44,44,1749797.087582874,5931985.834274695,0.825999999
45,45,1749817.243646463,5931927.444608773,0.372484074
46,46,1749801.023691754,5931893.554344376,0.395990786
47,47,1749784.027320842,5931863.227308556,0.347874996
48,48,1749773.148817829,5931846.656884159,0.360316745
49,49,1749871.201359965,5931801.88403023,-0.712500025
50,50,1749738.86839212,5931804.203708143,0.404556453
51,51,1749726.501676826,5931785.208952903,0.302399999
52,52,1749691.285787938,5931753.517926164,0.502000001
53,53,1749664.215271842,5931709.755237318,0.477399461
54,54,1749866.483607239,5931679.159340522,0.593502519
55,55,1749878.861957701,5931654.964214183,0.693980092
56,56,1749545.324643988,5931656.487805044,4.797857148
57,57,1749807.160411362,5931648.551902495,0.445070819
58,58,1749892.465125342,5931642.004562005,0.528441582
59,59,1749563.72231627,5931644.436881289,-9999.0
60,60,1749635.824538866,5931646.501685363,0.207222219
61,61,1749774.893378875,5931634.096552327,-0.373698643
62,62,1749595.99513391,5931628.778523101,1.98562503
