OID,FID_,X,Y,BCE_Waitem
0,0,1750477.549285959,5932977.563928367,0.222405065
1,1,1750345.479307333,5932900.307211524,0.134999999
2,2,1750296.058302226,5932875.669093356,0.081271675
3,3,1750273.061639889,5932853.222212592,0.106764705
4,4,1750209.870670212,5932812.794244154,0.090541667
5,5,1750190.807655487,5932796.407298735,0.089543146
6,6,1750164.590059263,5932758.416510277,-0.014560668
7,7,1750145.010915598,5932719.912964002,0.233435893
8,8,1750100.066797739,5932599.886522347,0.196083915
9,9,1750011.242544449,5932467.361263053,0.302374997
10,10,1749929.516008618,5932305.965267422,-0.288181848
11,11,1749907.02896959,5932254.392879383,0.307102275
12,12,1749910.684406167,5932189.988158672,-0.144200002
13,13,1749952.146800089,5932088.694459407,0.54114844
14,14,1749935.900414453,5931951.409814522,0.263273274
15,15,1749808.027765618,5931892.713252413,0.111875004
16,16,1749920.896313127,5931890.734036874,0.432749997
17,17,1749794.51092298,5931872.540468318,0.209871791
18,18,1749775.483678188,5931833.468771711,-0.027820512
19,19,1749767.91426646,5931823.000714854,-0.030491806
20,20,1749895.699537097,5931826.376689875,0.413812501
21,21,1749738.904710341,5931798.79909538,0.279360462
22,22,1749707.212553216,5931761.835550481,0.290119049
23,23,1749685.341286651,5931725.387116895,0.1705
24,24,1749672.030711764,5931713.98948723,0.43823529
25,25,1749849.404268374,5931702.573478648,0.144569547
26,26,1749829.119268356,5931683.485015593,0.273023256
27,27,1749660.801929558,5931679.383687008,0.127032962
28,28,1749763.40769402,5931609.764075215,-0.170583937
29,29,1749617.079235521,5931602.899622219,0.052869567
30,30,1749755.036916691,5931594.835890625,-0.175000022
31,31,1749604.013676352,5931566.636681486,-0.070000005
32,32,1749592.215828462,5931462.834622544,-0.976249984
33,33,1749725.747893358,5931315.206589045,0.355846156
34,34,1749733.767300278,5931305.340885294,0.156142856
35,35,1749534.207235971,5931307.684798162,-0.572622946
36,36,1749522.307744608,5931230.154222838,-0.519367587
37,37,1749744.158374508,5931208.450561363,0.15584344
38,38,1749421.291973921,5931132.099369211,0.555454551
39,39,1749400.387410276,5931105.644886543,0.25944444
40,40,1749722.306749957,5931071.75907461,0.295272728
41,41,1749342.493752078,5931047.063068108,-0.088571429
42,42,1749313.090665495,5931005.81287159,0.018026316
43,43,1749439.877529518,5931002.135390372,-9999.0
44,44,1749736.196710934,5931011.923083344,0.338228915
45,45,1749567.54234802,5930984.182031533,-0.984883705
46,46,1749719.77043208,5930958.545421221,0.263999997
47,47,1749592.230438546,5930964.902218472,-0.860841488
48,48,1749687.184880582,5930938.347280274,0.124626867
49,49,1749669.19631216,5930927.494043537,-0.074939273
50,50,1749292.124460998,5930922.83226498,-0.10849858
51,51,1749649.347746689,5930899.945815495,0.115904254
52,52,1749623.578585221,5930870.744170897,-0.100609757
53,53,1749357.070253276,5930854.045918697,-9999.0
54,54,1745909.615328027,5930890.427348434,-0.178571432
55,55,1749266.528051373,5930840.268615228,-0.055816176
56,56,1745886.339093446,5930875.333367345,0.331333334
57,57,1745940.767610737,5930873.157700884,0.133369568
58,58,1742729.090304727,5930907.321530761,-0.75999999
59,59,1742772.285782352,5930906.801038319,-0.948333304
60,60,1749472.894995766,5930792.588385623,-9999.0
61,61,1749249.634076597,5930795.009829585,-0.007526005
62,62,1749586.624731241,5930821.797592883,0.158273155
63,63,1745859.270106598,5930839.409918453,0.185777778
64,64,1742818.868850993,5930884.222677056,-0.745882362
65,65,1745920.40548011,5930823.157083865,0.146915416
66,66,1745840.049924346,5930799.094377233,0.158273811
67,67,1749212.717779496,5930741.650549407,0.162477152
68,68,1742683.678554083,5930833.749763684,-0.595847457
69,69,1745937.427939378,5930773.894110098,4.526874935
70,70,1742793.390779043,5930811.084694385,0.06990196
71,71,1745929.946158259,5930733.624124635,0.218250004
72,72,1749156.185441745,5930689.68535216,0.183915397
73,73,1745794.278879737,5930720.190561715,0.085033781
74,74,1742777.340020412,5930751.434484137,0.150636363
75,75,1742785.382141429,5930731.605842933,0.288851351
76,76,1749087.904995755,5930611.195878874,0.26073945
77,77,1749224.062080414,5930587.202876744,-9999.0
78,78,1749467.675313981,5930603.446077578,-0.205948439
79,79,1749060.801271138,5930583.105628425,0.245055118
80,80,1749440.55951977,5930573.24828573,-0.017160489
81,81,1749585.527477776,5930637.715304579,0.429893519
82,82,1749159.561964043,5930568.390933639,-0.867592593
83,83,1749328.206316494,5930570.228234429,-9999.0
84,84,1745711.391992516,5930617.726858357,0.109624993
85,85,1749432.191874024,5930553.456318051,0.170769235
86,86,1745911.69484911,5930604.339583742,0.094495798
87,87,1745958.220404946,5930603.686960269,-0.193157892
88,88,1749035.164301962,5930546.289757521,0.208700002
89,89,1745876.905519897,5930591.86901814,0.095257731
90,90,1745991.54371251,5930583.037864972,-0.228888888
91,91,1749559.861887738,5930550.999927293,0.40201717
92,92,1745838.914374819,5930575.81162985,-0.152911393
93,93,1749016.601757666,5930515.503221264,0.14870297
94,94,1749417.785554311,5930516.256295548,0.363179651
95,95,1745692.864391659,5930560.995830568,0.049533682
96,96,1745821.826267783,5930557.83511877,0.008837208
97,97,1745804.28796848,5930537.475801462,0.067428575
98,98,1742759.294884281,5930582.83118363,0.098828829
99,99,1745653.355239179,5930538.39426309,-0.065765114
100,100,1745793.550012303,5930520.955295622,0.150068966
101,101,1749329.409638001,5930488.519045269,-0.878288285
102,102,1742657.250419099,5930593.776685245,-0.428710806
103,103,1742766.461037381,5930548.547542796,0.089019607
104,104,1745786.707007181,5930499.356385237,0.356666664
105,105,1748966.457216632,5930448.597356209,0.280263158
106,106,1749426.851764776,5930431.320351527,0.507642098
107,107,1745647.284668517,5930480.702005854,-0.063333334
108,108,1745765.22899634,5930482.227520717,-0.043249996
109,109,1742704.001879676,5930518.95817909,-0.773214261
110,110,1748924.399917466,5930412.77372999,0.367113921
111,111,1749466.976394774,5930404.379261112,0.552666664
112,112,1748917.855962443,5930402.330575309,0.130047621
113,113,1749365.093684993,5930395.324272091,-0.666851864
114,114,1745669.801315865,5930452.267686694,-0.284736847
115,115,1745678.942517672,5930440.500850952,-0.322499978
116,116,1749305.195431322,5930376.815942357,-0.85754545
117,117,1742795.862996846,5930500.340845454,0.399161029
118,118,1742813.070355656,5930467.492430357,0.260185186
119,119,1742883.369650651,5930479.829889111,0.10971642
120,120,1749515.222081981,5930369.09233613,0.562994922
121,121,1742888.648941862,5930435.699174186,0.172629486
122,122,1749544.49791069,5930317.684838883,0.452879584
123,123,1742848.479826752,5930416.855210087,-0.155599985
124,124,1749256.690906635,5930322.020715878,-0.825733066
125,125,1742763.365993858,5930398.340428815,0.066153847
126,126,1742898.009326513,5930407.494454759,0.295147058
127,127,1742827.774804149,5930387.496197718,-9999.0
128,128,1742851.830733371,5930387.093965594,-9999.0
129,129,1749242.721771095,5930277.833074942,-0.629607142
130,130,1742930.035934169,5930441.506853573,-0.017923063
131,131,1749362.089359886,5930271.928701774,-0.065249999
