OID,FID_,X,Y,BCE_Wellin
0,0,1755644.825523439,5434569.560354633,-9999.0
1,1,1756298.777635142,5434489.44556863,-9999.0
2,2,1756347.016689037,5434489.377352693,0.063087725
3,3,1756370.651093948,5434478.301958745,-0.078179474
4,4,1756406.168818461,5434462.050781712,-0.093191284
5,5,1756501.607662098,5434438.907049135,0.022503686
6,6,1756596.353210023,5434406.132432939,0.091825103
7,7,1756718.972231556,5434360.907184301,0.154283827
8,8,1756780.004598808,5434324.132305847,-0.108809438
9,9,1756853.039739157,5434300.7025892,-0.001640496
10,10,1756883.9698507,5434281.764282376,-0.216750001
11,11,1756917.295708762,5434277.902341221,0.032546667
12,12,1754354.907315596,5433949.087632625,-9999.0
13,13,1754332.943618025,5433927.086589672,-9999.0
14,14,1754305.687815998,5433895.832793562,-9999.0
15,15,1759182.990677897,5432130.898054069,-9999.0
16,16,1756243.591233376,5431717.161248334,-0.241508845
17,17,1756287.16709436,5431656.774048436,-9999.0
18,18,1756218.98237831,5431632.893958598,0.397706996
19,19,1759397.653228686,5431499.301773747,-0.108575164
20,20,1759434.95871468,5431483.51748597,-0.133814818
21,21,1756243.907798331,5431392.818691996,-0.318769671
22,22,1756334.307016952,5431336.566110733,-9999.0
23,23,1756187.724646396,5431275.882740107,3.937288864
24,24,1756404.694774952,5431208.499779784,-0.216666667
25,25,1759999.198095913,5431116.909953742,0.216571431
26,26,1760047.745564801,5431105.63407275,-9999.0
27,27,1756460.785418207,5431143.962645564,0.130459257
28,28,1756482.080939865,5431098.915933942,-0.252333333
29,29,1756086.113591403,5430935.43560446,1.010743241
30,30,1756456.218646137,5430945.910310445,-0.233562724
31,31,1756450.803414239,5430854.817890375,-9999.0
32,32,1755998.466130933,5430838.986321312,0.002769229
33,33,1755996.373596974,5430770.604222645,1.522719383
34,34,1756036.599880586,5430697.190322937,1.014654455
35,35,1756462.540632393,5430663.70800532,-9999.0
36,36,1759941.982073439,5430569.36951621,-0.324540531
37,37,1756446.457637065,5430624.798289022,-9999.0
38,38,1750234.773947746,5430626.872358229,-0.868639977
39,39,1756298.866063342,5430478.581607749,0.375148202
40,40,1750015.621825184,5430571.288154146,-9999.0
41,41,1749931.488506076,5430490.986440571,-9999.0
42,42,1759818.990366061,5429953.839202431,-0.369234384
43,43,1759696.465161847,5429856.644506181,-0.395048395
44,44,1759737.682359696,5429805.654807825,-0.389918604
45,45,1749729.795437838,5429652.855702531,-9999.0
46,46,1759678.936368936,5429397.934060305,-0.155686276
47,47,1759663.877486007,5429373.731165917,0.225032357
48,48,1759655.268199263,5429348.562900606,-0.26026923
49,49,1759409.026982841,5428787.130875388,-0.233175011
50,50,1759423.203706473,5428733.96428142,-0.417117643
51,51,1759453.68466168,5428044.913278058,-0.475333334
52,52,1759415.649002455,5428026.517320717,-0.35589655
53,53,1759392.642484049,5428007.065480912,-0.29907042
54,54,1759375.092230974,5427987.493947349,-0.105806816
55,55,1759349.701445672,5427943.167431612,-0.331948719
56,56,1752960.071357164,5428066.564427596,-9999.0
57,57,1752980.388730539,5428045.055859895,-0.633333306
58,58,1753016.453563767,5427944.519494092,-9999.0
59,59,1759222.616926357,5427811.436382853,-0.392392156
60,60,1753017.497383029,5427925.168210691,-9999.0
61,61,1753033.267621208,5427868.151719082,-9999.0
62,62,1759198.600453152,5427731.721433547,-0.360288889
63,63,1750938.153519617,5427898.37999008,-0.619142833
64,64,1749010.850808363,5427828.334292284,-9999.0
65,65,1753124.946506407,5427733.324608453,-9999.0
66,66,1749022.011172715,5427729.347611004,-0.825999975
67,67,1753221.12043855,5427612.833917046,-9999.0
68,68,1753533.323236275,5427465.598202484,-9999.0
69,69,1753506.671257215,5427445.115848571,-9999.0
70,70,1750419.08035931,5427437.23203565,-0.394236622
71,71,1751068.207302467,5427347.470863947,-0.25749997
72,72,1753462.714298692,5427159.373614226,-9999.0
73,73,1756697.539206378,5427027.948944477,-0.319200002
74,74,1756665.649548557,5427023.647503784,0.257898728
