OID,FID_,X,Y,BCE_Wellin
0,0,1755992.808050245,5434524.801659387,-0.071272701
1,1,1756046.576758403,5434485.667334693,-9999.0
2,2,1756402.918275803,5434438.906058175,-9999.0
3,3,1756489.402083645,5434420.582184395,-9999.0
4,4,1756195.235869151,5434392.264949958,-9999.0
5,5,1755230.057642243,5434399.008323995,-9999.0
6,6,1756721.604654657,5434341.255206785,-9999.0
7,7,1756732.684315765,5434331.038934647,-9999.0
8,8,1755159.113495939,5434338.819044182,-9999.0
9,9,1756759.467361092,5434308.748489689,-9999.0
10,10,1756800.211673505,5434300.236611228,-9999.0
11,11,1756848.16777946,5434278.871576025,-9999.0
12,12,1756984.415886636,5434246.522377907,-0.172636365
13,13,1756890.768260095,5434247.2886819,-9999.0
14,14,1756860.424123492,5434222.856225275,-9999.0
15,15,1757030.15834178,5434221.689045227,-9999.0
16,16,1754838.659412537,5434236.216745025,-9999.0
17,17,1757145.947599277,5434172.694289487,-0.229948717
18,18,1756282.169404669,5434385.1627439,-9999.0
19,19,1757210.303195885,5434152.1220689,-9999.0
20,20,1757352.498541394,5434109.139827341,-0.17954286
21,21,1757417.328190673,5434083.339828399,-0.120588234
22,22,1754526.128852506,5434125.128496273,-9999.0
23,23,1757609.311293135,5434013.655755674,-0.244000003
24,24,1756779.141730636,5434021.309573792,-9999.0
25,25,1754428.431900991,5434027.363019575,-9999.0
26,26,1757924.839664799,5433906.378710137,-0.085950001
27,27,1757970.72817023,5433875.969306296,-0.25
28,28,1758197.391193961,5433771.126625181,-0.277692308
29,29,1754296.575629578,5433834.626892497,-9999.0
30,30,1754117.983246519,5433793.16037694,-9999.0
31,31,1754005.822573873,5433727.17375414,-9999.0
32,32,1753932.039251084,5433632.761390326,-9999.0
33,33,1758459.182835608,5433476.216054205,-9999.0
34,34,1758645.601977092,5433451.681409677,-0.175714287
35,35,1758653.063200149,5433441.332963236,-0.244551725
36,36,1758666.690131387,5433430.330467172,-0.084794519
37,37,1753807.770358054,5433508.899901304,-9999.0
38,38,1753742.454042109,5433446.274588522,-9999.0
39,39,1753682.843112281,5433390.132928168,-9999.0
40,40,1758664.493584365,5433281.643475366,-9999.0
41,41,1758911.220379745,5433196.078526483,-0.362666664
42,42,1758918.418612173,5433185.806059594,-9999.0
43,43,1758711.158533207,5433151.28894328,-9999.0
44,44,1757928.823760717,5433751.894007359,-9999.0
45,45,1758796.96094819,5433139.063383893,-9999.0
46,46,1753436.819050921,5433211.598416842,-9999.0
47,47,1758819.233013625,5433108.857602818,-9999.0
48,48,1753369.110010314,5433158.049883447,-9999.0
49,49,1758704.44719997,5433041.300158277,-9999.0
50,50,1758921.281326558,5433073.371018046,-9999.0
51,51,1758763.585610386,5432990.120715416,-9999.0
52,52,1758760.648467556,5432971.68807368,-9999.0
53,53,1758967.62142265,5432988.367498617,0.712973982
54,54,1758663.369853367,5432877.350086854,-9999.0
55,55,1753001.595812938,5432870.278091326,-9999.0
56,56,1752933.779927262,5432813.218358394,-9999.0
57,57,1752874.243841497,5432767.598719317,-9999.0
58,58,1752810.438283716,5432710.777241746,-9999.0
59,59,1752742.51743206,5432655.381767548,-9999.0
60,60,1752628.837468215,5432592.074735736,-9999.0
61,61,1752554.907786338,5432542.265968706,-9999.0
62,62,1752490.057747454,5432486.77688182,-9999.0
63,63,1752428.923912297,5432437.543123708,-9999.0
64,64,1752372.104646428,5432382.616529647,-9999.0
65,65,1752310.163270658,5432314.596118358,-9999.0
66,66,1759124.26484724,5432117.512933175,-9999.0
67,67,1759232.495427349,5432037.766735366,-9999.0
68,68,1759243.187909176,5432011.21507087,-0.323962961
69,69,1759219.195978303,5431947.233207329,-9999.0
70,70,1759287.112523493,5431926.322379637,-9999.0
71,71,1752041.396093119,5432065.786134267,-9999.0
72,72,1759293.078747859,5431900.130562923,-9999.0
73,73,1759312.152627109,5431900.505625699,-9999.0
74,74,1759281.607876333,5431881.217960417,-9999.0
75,75,1751997.574940994,5432029.561752227,-9999.0
76,76,1759319.024755654,5431870.420932849,-9999.0
77,77,1751928.164856552,5431972.657377936,-9999.0
78,78,1759211.723592059,5431777.769233176,-9999.0
