OID,FID_,X,Y,BCE_Whanga
0,0,1568851.112271799,5510305.808633894,0.897352931
1,1,1564526.157459901,5505200.469961393,0.638126344
2,2,1564551.285915201,5505535.273139242,0.729872348
3,3,1567459.303554079,5506729.380554751,2.140751405
4,4,1568816.473851604,5510250.618247991,2.200570203
5,5,1564524.519814871,5505160.053542306,0.585999966
6,6,1558172.881075289,5503058.768754203,-9999.0
7,7,1563813.142943884,5508821.118200961,1.833999932
8,8,1568866.938572108,5510317.731483079,0.913774316
9,9,1568306.593863223,5510617.866576819,0.213271428
10,10,1568291.510229185,5510587.888655116,0.359185712
11,11,1568304.157573226,5510594.589915726,0.72529005
12,12,1568299.157947785,5510577.949876142,1.411387511
13,13,1568291.594983237,5510567.946459577,0.280471428
14,14,1568270.932489598,5510555.134848569,0.395123157
15,15,1568097.911381399,5510568.119685784,0.751174972
16,16,1568248.201404936,5510535.095585695,0.367595235
17,17,1568238.56990503,5510517.86451923,2.396557105
18,18,1568231.00708316,5510507.861039487,1.40687501
19,19,1568071.411576435,5510492.079981835,0.953071991
20,20,1568479.954259751,5510491.726886234,1.778967038
21,21,1568421.625711208,5510428.655451497,2.075030267
22,22,1568198.841882059,5510414.874691976,0.525940809
23,23,1567880.819265532,5510445.749058305,1.872497214
24,24,1568407.470968822,5510408.816939077,3.479512583
25,25,1567935.78325792,5510387.828154948,0.151526317
26,26,1568074.278774132,5510437.434319191,1.184062434
27,27,1567944.457088919,5510342.420463338,-0.218883713
28,28,1568693.347982208,5510329.736535788,1.257546619
29,29,1568576.342815524,5510281.280168696,0.510096151
30,30,1567960.378792695,5510279.877293976,0.285995707
31,31,1568839.625956786,5510281.001725494,1.278522775
32,32,1567978.405135823,5510217.492482251,1.512040001
33,33,1567966.503837734,5510197.241878993,0.680941253
34,34,1568323.582810948,5510199.144957289,1.130243468
35,35,1567928.737046526,5510147.150104337,0.223754103
36,36,1568301.407883222,5510155.483229764,0.868871818
37,37,1567921.683294609,5510136.72058442,0.233053575
38,38,1568511.230825359,5510119.006014015,1.300158976
39,39,1567928.768146619,5510047.888693477,0.170073913
40,40,1568382.769143203,5510128.936896903,1.517266352
41,41,1568580.026543681,5510067.31867106,1.1237353
42,42,1568600.172984064,5510030.809591306,1.578351665
43,43,1567918.82765672,5510027.026127084,1.305223926
44,44,1567977.429791549,5510006.283746739,1.470742406
45,45,1567874.137924838,5509977.497683039,1.31598847
46,46,1568599.690115595,5509961.671903128,0.427044441
47,47,1567834.292149354,5509941.110094636,1.973146135
48,48,1568614.267572082,5509939.024495895,0.45227083
49,49,1568636.156989733,5509914.746264769,0.51169691
50,50,1567772.384117413,5509910.876522481,1.488193247
51,51,1568001.597895353,5509908.017964943,1.538139288
52,52,1568407.290462404,5509835.30405492,4.058079967
53,53,1566994.395221103,5509813.744268081,0.222098039
54,54,1566899.689327573,5509734.282505833,1.546820012
55,55,1567900.269262779,5509718.209730953,0.739088271
56,56,1566880.866315033,5509694.2361194,0.069924813
57,57,1567837.190544931,5509661.124663264,1.114161304
58,58,1567052.236219445,5509657.974198197,2.953323272
59,59,1567032.748309373,5509625.691175367,1.96082353
60,60,1567763.81365483,5509587.949300606,1.43410346
61,61,1566783.015028588,5509553.864562199,0.32623809
62,62,1567733.731173598,5509557.572027304,1.290515693
63,63,1567726.006901299,5509547.875472936,0.966606637
64,64,1566775.130455509,5509534.268457075,1.080544303
65,65,1566614.441111642,5509530.165684024,0.734642107
66,66,1566987.213307033,5509557.016132479,2.029422591
67,67,1567686.050441548,5509490.958009783,0.817128715
68,68,1568592.413920878,5509495.122470154,0.934920001
69,69,1568569.529000083,5509452.994830537,0.392312499
70,70,1567650.750516623,5509437.652783847,0.549064517
71,71,1568562.207102156,5509442.729467265,0.393936505
72,72,1566874.344953964,5509430.309889849,0.12354412
73,73,1568554.823329919,5509432.515953103,0.774986667
74,74,1566866.279135021,5509416.779204238,1.447020844
75,75,1566852.533164911,5509406.540222453,2.198037731
76,76,1567625.597267096,5509391.10250255,0.756628275
77,77,1566524.922467025,5509363.671516021,0.194149996
78,78,1566333.174058734,5509354.499927812,0.668848492
79,79,1566224.755359917,5509325.703279817,0.35214793
80,80,1566821.601799625,5509323.173001016,0.196689457
81,81,1566843.256565161,5509315.364106701,0.109206896
82,82,1566749.351737282,5509309.51513143,0.921708149
83,83,1567583.443091984,5509294.33776489,0.561047025
84,84,1566110.589599924,5509247.430180306,0.307000011
85,85,1566086.963259824,5509211.623853365,0.704936678
86,86,1564472.816768838,5509178.255338758,1.243847495
87,87,1564522.514211744,5509199.288234267,0.931978867
88,88,1566149.333453115,5509182.492319904,0.494930551
89,89,1564822.496161863,5509156.425953425,0.907171425
90,90,1566206.453311621,5509162.808720564,0.495028577
91,91,1566225.50824946,5509152.923712857,0.594240022
92,92,1564815.031341694,5509136.430995664,0.533624991
93,93,1566240.761190847,5509143.021447459,0.679173339
94,94,1566278.698577978,5509130.865715831,0.600267367
95,95,1568417.821093653,5509123.258808668,0.292852635
96,96,1568403.866117506,5509114.664910969,-0.154839999
97,97,1565672.009018371,5509086.5943839,0.766565219
98,98,1564777.962646882,5509075.861575306,0.176900001
99,99,1566295.931052534,5509087.320765462,0.555497873
100,100,1565639.080448809,5509056.943136756,0.49957143
101,101,1563895.959498646,5509041.51995698,0.627120736
102,102,1564503.544764118,5509016.552581998,1.076789464
103,103,1564465.637429576,5508984.312757008,0.869200009
104,104,1566273.678997347,5508966.438964029,0.331165049
105,105,1568789.639453399,5508996.705970549,1.422345958
106,106,1564682.819589103,5508941.41845689,-9999.0
107,107,1565216.707545318,5508914.796324451,0.604999989
108,108,1565559.620724465,5508925.555286563,0.20522124
109,109,1568761.796203647,5508941.809649182,0.736846174
110,110,1565181.412967487,5508878.680722135,0.668567563
111,111,1568746.955011398,5508900.609199112,2.938853665
112,112,1566156.717890677,5508853.471881353,0.08483721
113,113,1563820.44749968,5508846.338645075,1.356677269
114,114,1565144.926968282,5508827.010211524,-0.28429033
115,115,1563813.34757926,5508812.150232608,1.458338322
116,116,1565263.985488414,5508790.461069542,0.286092589
117,117,1566139.648080368,5508803.537726765,0.059220096
118,118,1565249.787188443,5508769.99714012,0.87629169
119,119,1565478.301120411,5508765.605528605,0.263264904
120,120,1565024.304269812,5508745.564084829,0.257285712
121,121,1566085.307220211,5508733.230954225,-0.077256409
122,122,1563799.158062914,5508723.266303323,1.917324555
123,123,1568661.040025493,5508620.12052338,0.873756211
124,124,1568611.681257166,5508604.956002516,0.521014085
125,125,1568702.921194346,5508605.339538586,0.87650001
126,126,1568718.169683684,5508595.432225075,1.127750009
127,127,1568741.021439974,5508585.556752658,0.593945196
128,128,1568866.768371678,5508564.193698148,1.197630267
129,129,1568935.11349977,5508536.511437586,1.552262066
130,130,1568950.361536418,5508526.60365265,1.170999982
131,131,1568642.513923131,5508505.372679224,0.377626087
132,132,1568672.400976389,5508507.182879399,0.581208342
133,133,1568569.710600038,5508497.37363936,1.029703786
134,134,1568969.494147472,5508496.769401209,0.576685719
135,135,1563845.281944062,5508578.083879959,1.434585077
136,136,1568545.866530003,5508482.270478513,0.554554474
137,137,1568536.237064822,5508465.03972985,0.530524999
138,138,1569004.834030878,5508459.335559316,0.299961905
139,139,1568473.824453005,5508389.226062857,0.679333339
140,140,1569080.384382127,5508377.665232272,0.522885924
141,141,1568414.977177362,5508369.827950894,0.710175002
142,142,1569091.68297076,5508367.650022929,0.570802813
143,143,1569099.327472947,5508357.71053021,0.740314306
144,144,1563755.920103117,5508354.066164328,1.409269022
145,145,1569110.924610117,5508347.88023618,0.656503395
146,146,1568403.777215084,5508339.694444009,-9999.0
147,147,1569123.024799094,5508329.431272325,0.608734686
148,148,1569145.587253993,5508308.740244953,0.64570774
149,149,1569163.608254297,5508298.127096622,0.682893624
150,150,1563717.971247666,5508249.395447953,1.510911987
151,151,1563616.971861647,5508149.852525581,0.560667971
152,152,1563596.010174796,5508064.371303932,0.488230777
153,153,1566910.836722678,5508079.092666687,0.065069564
154,154,1563626.769077712,5507993.264342581,3.492857092
155,155,1568392.625207416,5507929.34074723,0.91029166
156,156,1568313.155655306,5507896.089589571,0.017561291
157,157,1563605.515957537,5507765.252202915,0.508358212
158,158,1563637.798561159,5507745.685916957,0.163491229
159,159,1563663.655961175,5507729.203363523,0.300725422
160,160,1563666.484433802,5507669.776549641,-0.012249999
161,161,1568817.006742877,5507688.457112127,2.306391601
162,162,1563658.857411944,5507655.08734768,0.201999999
163,163,1568798.084239634,5507668.435297598,1.542550067
164,164,1563734.394144391,5507638.274571753,-0.24791891
165,165,1563666.58103842,5507624.517140047,0.374117646
166,166,1568775.360662471,5507648.397508619,0.56801428
167,167,1563681.770177883,5507618.053346934,0.263282609
168,168,1568734.296384656,5507622.264484825,0.387999992
169,169,1563811.963468625,5507525.443162378,0.858448266
170,170,1563785.643014187,5507505.725751153,2.279840021
171,171,1563690.502748947,5507455.167801291,0.545681819
172,172,1563667.424566301,5507437.732416039,0.357119661
173,173,1563622.512707169,5507414.784955024,0.696644087
174,174,1563592.006446884,5507375.325124193,0.089756758
175,175,1563574.662220549,5507338.366122594,0.063137252
176,176,1563143.131997059,5507327.422723612,0.877658204
177,177,1563061.015350969,5507320.962529113,1.866554309
178,178,1563035.150688648,5507285.866042848,1.220707996
179,179,1563022.170726222,5507272.996027534,1.023051289
180,180,1563551.800499458,5507282.879443091,0.340823169
181,181,1563005.252335222,5507249.912962942,1.074129674
182,182,1562977.278112287,5507231.908739598,3.796636397
183,183,1563359.755879344,5507249.567980027,0.842088916
184,184,1562969.349368414,5507222.654366561,2.151232577
185,185,1568504.885272451,5507256.313172374,1.255261556
186,186,1562946.597772705,5507202.628310237,4.32776475
187,187,1568734.179193049,5507207.426759931,0.252784386
