OID,FID_,X,Y,BCE_Whanga
0,0,1568142.121120112,5510653.304685038,0.18933333
1,1,1568117.474443271,5510615.173373513,0.461694441
2,2,1568216.07674128,5510614.04069654,-0.020727273
3,3,1568308.405693459,5510609.580600118,0.282569103
4,4,1568299.115580963,5510587.920973819,1.057012502
5,5,1568280.661080337,5510572.498331654,0.155460433
6,6,1568261.25849301,5510547.874910818,0.254300005
7,7,1568101.568271385,5510542.208228475,0.424971434
8,8,1568562.87948573,5510550.618705645,1.153168651
9,9,1568683.043389819,5510533.372316569,0.827289378
10,10,1568596.039070647,5510514.39211982,0.153331816
11,11,1568230.486642226,5510521.544794899,0.156208566
12,12,1568212.078875462,5510487.837852172,-0.044174997
13,13,1568497.952415792,5510497.233400983,-0.318576433
14,14,1568079.057939332,5510487.859766196,0.453521832
15,15,1568473.032946499,5510475.259551353,0.586370455
16,16,1567911.8001387,5510456.638542457,0.539074998
17,17,1568692.748106573,5510472.174484342,0.345498279
18,18,1567962.368541151,5510443.342016713,0.181506669
19,19,1568437.82604191,5510432.264903781,0.07723158
20,20,1568474.186637429,5510433.538557453,0.14401905
21,21,1568683.548341897,5510425.327046348,0.179897561
22,22,1568716.183014345,5510430.051182039,0.451531853
23,23,1568478.995779168,5510409.781946322,0.214911763
24,24,1568695.503781374,5510409.907060903,-0.008673083
25,25,1568655.214999411,5510422.863249128,0.65120225
26,26,1568176.618615984,5510401.759171288,0.581142856
27,27,1568653.602323239,5510389.99326037,0.611386683
28,28,1568734.942797132,5510399.578352273,0.40183582
29,29,1567995.679300337,5510377.107812002,1.427368476
30,30,1568463.911888601,5510379.804364993,-0.009732676
31,31,1568642.081408046,5510379.768877509,0.557730772
32,32,1568686.530491458,5510377.840173752,0.839753798
33,33,1567944.705610058,5510403.469932601,0.077791903
34,34,1568642.320334506,5510360.032021969,0.680633805
35,35,1568768.252970159,5510360.190821953,0.542683548
36,36,1568334.607923693,5510348.583089213,0.777152775
37,37,1568386.576387119,5510375.644015043,0.61889317
38,38,1568741.804349877,5510366.178132447,0.544941739
39,39,1568011.140356489,5510337.354328553,0.848800009
40,40,1568076.056434708,5510385.109015273,0.308215773
41,41,1568162.912159724,5510353.036029951,0.057973911
42,42,1567995.856792666,5510327.577589911,-0.131629623
43,43,1568042.234300633,5510327.134614236,0.126577115
44,44,1568625.293733385,5510337.577862374,0.665820316
45,45,1568817.404742391,5510320.880794891,1.103371466
46,46,1568195.094894842,5510307.374560883,-0.309152871
47,47,1568233.779873002,5510310.161249051,0.422510939
48,48,1567961.897791689,5510302.298923189,-0.318639919
49,49,1567999.595000682,5510302.769275366,0.025039408
50,50,1568585.542633497,5510290.017051204,0.677973336
51,51,1568549.889761352,5510276.197797551,0.433917554
52,52,1568508.564915862,5510256.70701031,0.358137933
53,53,1568003.982230021,5510242.651814059,-0.225809101
54,54,1567984.149714672,5510224.912748462,0.261468965
55,55,1567977.517203076,5510207.637043435,0.67541999
56,56,1568302.098754334,5510263.74423886,0.520865318
57,57,1568528.874534893,5510209.985127447,0.244225
58,58,1567989.121605126,5510197.512579441,-0.138471701
59,59,1568277.486532662,5510204.456497332,0.281048075
60,60,1568316.020205243,5510189.141561414,1.169175091
61,61,1568342.616356188,5510194.24011599,0.882113373
62,62,1568007.713198889,5510183.148650673,-0.173907317
63,63,1568304.297909403,5510174.623654145,0.724243815
64,64,1568399.801314796,5510159.583080472,0.937625033
65,65,1568407.605283923,5510149.440158141,0.767226443
66,66,1568494.779310071,5510135.571611133,0.30151185
67,67,1567912.952112508,5510119.588846949,0.228349591
68,68,1568449.414619471,5510114.934197439,0.445986667
69,69,1568548.223255675,5510130.296493332,0.262512765
70,70,1567894.000738662,5510093.211107019,0.071999997
71,71,1568069.639675439,5510098.93128553,-0.941687562
72,72,1568409.316687452,5510096.198708141,0.570907178
73,73,1568559.798690617,5510090.460150344,0.574499995
74,74,1568284.428689458,5510120.717117338,0.6660381
75,75,1568422.99592899,5510069.939747466,0.557312486
76,76,1568080.707379579,5510048.745082423,-0.97450003
77,77,1568438.289950858,5510050.06190414,0.610897455
78,78,1567904.44993794,5510043.795590218,0.200843245
79,79,1567961.382060667,5510045.521334337,0.182018312
80,80,1568091.917998866,5510038.035239208,-0.822150972
81,81,1568278.928000664,5510047.287854367,0.545175935
82,82,1567985.911154698,5510023.205933438,0.335429933
83,83,1567887.389023057,5510020.934392978,0.525059785
84,84,1567872.032739851,5509977.845511423,0.221162499
85,85,1568107.715492075,5509993.813832934,-0.873176674
86,86,1568650.463656594,5509976.454862485,0.5068169
87,87,1567849.283007349,5509962.790556061,0.45646
88,88,1567822.731015405,5509947.719125604,0.391337495
89,89,1568225.623375026,5509949.650887164,-0.203576925
90,90,1568605.569172387,5510012.74488893,0.558725152
91,91,1567770.665389676,5509944.198062224,0.37776309
92,92,1568291.138400014,5509967.160162251,0.188236822
93,93,1567805.839583757,5509921.403296473,0.921902769
94,94,1568009.784032255,5509961.8244492,0.438585116
95,95,1568334.136254965,5509912.292900939,0.311054852
96,96,1568365.37736615,5509878.687360493,0.523250652
97,97,1568392.712860524,5509843.384977134,0.620641192
98,98,1568008.45950051,5509837.0760422,0.330180827
99,99,1567975.551442988,5509798.695596544,0.40563768
100,100,1568386.112836214,5509800.5587882,-0.217824992
101,101,1567967.933680481,5509788.766253333,0.603734183
102,102,1566994.502300414,5509789.545181948,0.094860926
103,103,1567960.345190495,5509778.79761909,0.7304
104,104,1567949.113777614,5509768.691760802,0.497153841
105,105,1568427.415605814,5509769.936522027,0.191253971
106,106,1566975.645450848,5509754.562123869,0.077346662
107,107,1567017.335010399,5509744.971300558,0.318647058
108,108,1567922.512525354,5509748.63783572,0.487376805
109,109,1566895.952982096,5509719.309273228,0.58931136
110,110,1567890.449517027,5509698.063123974,1.073881441
111,111,1567859.82507154,5509681.254809755,1.035351814
112,112,1568500.549115193,5509671.170980587,-0.016760001
113,113,1566875.479760523,5509658.116563602,-0.218401094
114,114,1568475.286373077,5509685.179093443,-0.06854276
115,115,1568516.021493284,5509651.538927512,0.135418604
116,116,1566850.702816501,5509634.352157238,0.220934213
117,117,1567032.42429289,5509658.509314036,0.954787586
118,118,1567821.953432705,5509641.358073657,0.665788937
119,119,1568440.237725438,5509652.005446666,-0.236118694
120,120,1566841.075723467,5509617.119236249,0.120830917
121,121,1566945.823954239,5509619.81731315,0.257280434
122,122,1567799.277260913,5509621.230744212,0.991000047
123,123,1568536.963940182,5509624.004820648,0.323175873
124,124,1566820.462689942,5509594.332443072,0.101000001
125,125,1566978.022912493,5509602.250506603,0.247802953
126,126,1567019.795293037,5509601.674517683,0.549292685
127,127,1566914.539303771,5509599.227021288,0.429842623
128,128,1568556.367380796,5509594.609429188,0.318189319
129,129,1566995.428871262,5509580.151765052,0.243299999
130,130,1567768.959701764,5509583.06741793,0.833429433
131,131,1568574.599841208,5509574.075626438,0.492269096
132,132,1568174.051518664,5509560.141244042,-0.503037788
133,133,1568592.283862877,5509561.891541453,0.962805979
134,134,1567738.255179045,5509551.826079268,0.713615714
135,135,1566782.685194922,5509539.322066445,0.162142856
136,136,1567017.891522972,5509541.474585701,0.316610439
137,137,1567720.131909615,5509532.192215701,0.616168133
138,138,1568102.489671489,5509530.708159271,-0.491846167
139,139,1566648.454871756,5509512.263602646,0.252781249
140,140,1568597.953305064,5509533.744443377,0.762706789
141,141,1566904.363467288,5509515.30360849,0.411416919
142,142,1567698.868308018,5509508.028140261,0.606895833
143,143,1566894.164539879,5509484.748203714,0.182826922
144,144,1567684.074529051,5509478.468630516,0.526615381
145,145,1566639.747487807,5509484.336094588,0.217195564
146,146,1567672.726100132,5509468.429244189,0.562582273
147,147,1568580.128726193,5509491.154754209,0.267940187
148,148,1568034.350344852,5509460.617345241,-0.498392154
149,149,1568572.808470317,5509462.715277567,0.424953489
150,150,1567663.089449558,5509451.207956725,0.53014977
151,151,1566881.083381036,5509447.469669898,0.346408284
152,152,1566604.497778145,5509423.856180131,0.092813337
153,153,1567650.071769182,5509428.464703849,0.430150003
154,154,1566857.725280086,5509421.017260694,0.540518926
155,155,1567965.816277314,5509389.942372012,-0.461693332
156,156,1566839.963302832,5509400.713882496,0.499245364
157,157,1567954.297858234,5509379.716896655,-0.460018865
158,158,1566291.416404136,5509358.759970086,0.357142853
159,159,1567621.6703583,5509372.834521515,0.611796708
160,160,1567665.382665813,5509368.90796239,0.050134615
161,161,1567794.695639363,5509359.496184127,-0.434490199
162,162,1568538.072454013,5509425.42123864,-0.397096925
163,163,1566228.536761164,5509339.736861032,0.364399987
164,164,1566325.863769268,5509362.967723764,0.535790972
165,165,1566524.989600202,5509348.714838618,0.128350003
166,166,1567606.771330762,5509352.68158293,0.521716671
167,167,1566798.44355396,5509339.79189435,-0.097871531
168,168,1567834.166237663,5509340.254000704,-0.5192252
169,169,1568516.247660788,5509342.868568614,-0.488808527
170,170,1567597.310296346,5509333.355960834,0.450691278
171,171,1567796.491357267,5509334.366123877,-0.528623357
172,172,1566745.664085486,5509314.802455612,0.649399999
173,173,1566226.890170159,5509305.677713814,0.156271276
174,174,1566301.990957507,5509310.383643388,0.065837838
175,175,1564117.938094757,5509277.598926226,0.480469316
176,176,1564107.09033672,5509262.480226024,0.520037037
177,177,1566736.948682953,5509274.03049529,0.813563767
178,178,1568514.750100373,5509260.91346203,0.146187051
179,179,1566102.399121839,5509237.071708245,0.34380153
180,180,1564138.37296585,5509212.059784852,0.423911398
181,181,1566721.452850925,5509230.602992325,0.346145887
182,182,1564027.617582152,5509192.915951628,0.711272732
183,183,1564172.025890059,5509193.131029126,0.371821433
184,184,1566127.288537826,5509199.565069055,0.378769232
185,185,1566685.366092131,5509194.877489064,0.10383478
186,186,1568486.851607512,5509214.394588737,-0.309459774
187,187,1564229.093581328,5509173.23862543,0.266212772
188,188,1564489.361864491,5509180.041342023,0.425588788
189,189,1564470.630433661,5509158.618581642,0.439690984
190,190,1566198.849399925,5509162.774259632,0.863524996
191,191,1566213.796847907,5509167.265214064,0.241262712
192,192,1564822.466142245,5509146.454818584,0.592699997
193,193,1568471.96265544,5509163.290235803,-0.160360656
194,194,1564346.621714452,5509132.211312816,0.219913976
195,195,1564452.78904071,5509131.671368143,0.397400007
196,196,1566255.701407424,5509146.709379626,0.217908551
197,197,1568459.5234421,5509153.983216984,-0.189785049
198,198,1564445.940755893,5509120.394169678,0.367999986
199,199,1564811.276444756,5509126.441927043,0.348366672
200,200,1566676.454767698,5509123.98232361,0.179575004
201,201,1568429.931061866,5509138.978195504,-0.237316938
202,202,1568404.194488738,5509122.587421668,-0.312499994
203,203,1564028.61635475,5509093.375512893,0.437539209
204,204,1563949.751803493,5509084.687793163,0.57745456
205,205,1564790.343067056,5509089.210229154,0.088254902
206,206,1564527.154948478,5509076.179858308,0.457006845
207,207,1566633.742312903,5509111.781975675,0.018517857
208,208,1566882.184916517,5509084.640978152,-0.400425005
209,209,1563915.327184045,5509061.881031564,0.658725178
210,210,1564777.341544557,5509066.453620966,0.046657143
211,211,1566746.73117192,5509075.495516076,-0.121810815
212,212,1566978.625577092,5509081.511595587,-0.215630631
213,213,1566692.127567261,5509067.375651315,-0.135961117
214,214,1566769.140809001,5509076.418697289,-0.102609095
215,215,1567073.617289133,5509083.465891102,-0.165734034
216,216,1565883.860008924,5509038.326502556,-0.319999997
217,217,1568591.241584188,5509053.161055417,0.22217557
218,218,1563895.456115409,5509029.582064631,0.603333354
219,219,1564503.797238034,5509024.542456761,0.492057687
220,220,1565903.7296632,5509029.920539801,-0.141483873
221,221,1564488.045124618,5509018.66973052,0.505844877
222,222,1565634.208047686,5509038.974557535,0.363950747
223,223,1566503.476035045,5509024.754892506,-0.024905663
224,224,1563870.674257544,5509005.02705382,0.575153513
225,225,1568662.618665324,5509028.381083796,-0.009537735
226,226,1564468.000519719,5509001.280217704,0.45421491
227,227,1564740.23099254,5508994.668618192,-0.203545445
228,228,1566293.345474588,5509038.768497463,0.207303807
229,229,1566541.260226775,5509011.596746045,-0.081455517
230,230,1568774.126410666,5509021.141996659,0.605312356
231,231,1564047.287588544,5509029.638639703,0.336531026
232,232,1565599.424819443,5508983.542321489,0.041524999
233,233,1565653.401385106,5508981.532750948,-0.152788078
234,234,1566282.749485734,5508983.670138402,0.355860011
235,235,1568455.126621893,5508992.865580314,-0.171014338
236,236,1568488.363601667,5508998.302318363,-0.177860868
237,237,1564716.377503379,5508966.642562415,-0.217017862
238,238,1564736.387797015,5508967.128367273,-0.380323537
239,239,1566896.016281628,5508993.60916895,-0.227398769
240,240,1564533.57201965,5508948.6552624,-0.598166669
241,241,1565944.705737651,5508969.189560214,-0.092283524
242,242,1564448.179971115,5508965.577638271,0.307035713
243,243,1566895.932745056,5508957.085299971,-0.211730772
244,244,1564006.64824077,5508954.719023457,0.249324577
245,245,1564055.760066851,5508933.17807138,0.019490565
246,246,1564077.885538991,5508937.905613648,0.100485719
247,247,1566273.330979444,5508947.066001893,0.206691664
248,248,1566533.878726596,5508949.332301429,-0.223254715
249,249,1568714.75585015,5509004.611916234,0.102803142
250,250,1568768.870021137,5508971.465164428,0.708297669
251,251,1565573.159875054,5508931.778282102,-0.113959658
252,252,1565990.482353325,5508927.809134411,0.404911329
253,253,1566260.763426393,5508923.742708808,-0.219562501
254,254,1566448.25702687,5508938.530330563,-0.469659939
255,255,1566730.317737156,5508932.529461669,-0.23300433
256,256,1565968.463565041,5508913.024937403,-0.045543689
257,257,1566810.707419884,5508930.279989547,-0.091585585
258,258,1565559.680494487,5508905.768396911,-0.155028037
259,259,1566006.650600961,5508910.578729438,0.296050006
260,260,1566785.348439412,5508906.359811135,-0.127634614
261,261,1563833.73510743,5508889.035171758,0.613864767
262,262,1565212.765994131,5508897.24589377,0.400015544
263,263,1565236.373036964,5508899.902776068,0.56985296
264,264,1566177.228582868,5508890.897966729,0.247583333
265,265,1566177.192354903,5508873.71214351,-0.057096156
266,266,1566830.192508552,5508890.344252769,-0.147628289
267,267,1565157.475405405,5508840.528793802,-0.19240288
268,268,1563835.555484572,5508837.590087768,0.623159571
269,269,1566838.514168197,5508841.008683753,-0.314409537
270,270,1566139.557523367,5508823.479977451,0.247705883
271,271,1563820.177705652,5508809.26126046,0.883981987
272,272,1565122.88166997,5508805.362950159,-0.365692288
273,273,1565264.715989759,5508803.686530016,-0.099894742
274,274,1565501.210591275,5508801.984015392,-0.228877538
275,275,1566630.472644959,5508806.332201023,0.171801982
276,276,1565097.616253047,5508785.89249325,-0.425500017
277,277,1566025.160205825,5508794.912131914,-0.21866
278,278,1563837.076584313,5508773.518334014,0.574071422
279,279,1563921.356127024,5508799.668292704,0.29751465
280,280,1565253.565991478,5508784.928899648,0.129109544
281,281,1565628.92179036,5508785.428598141,-9999.0
282,282,1565660.188774908,5508785.818629877,-9999.0
283,283,1566135.99878469,5508778.643952846,0.288685535
284,284,1565032.317659069,5508754.170641747,0.486000001
285,285,1565653.047968003,5508761.631526082,-9999.0
286,286,1565675.992410355,5508766.518154187,-9999.0
287,287,1565698.669004644,5508761.84152999,-9999.0
288,288,1568726.135459649,5508864.488014686,0.264885789
289,289,1564823.754555663,5508886.943769097,-0.11655042
290,290,1567850.503696672,5508761.458513788,-9999.0
291,291,1565228.684796474,5508755.340899059,0.160877761
292,292,1565493.669644561,5508730.776951473,-0.976999998
293,293,1565797.319448078,5508860.115280161,-0.818452978
294,294,1566021.715336354,5508732.620065028,-9999.0
295,295,1568743.632042026,5508744.647403549,-0.091629627
296,296,1565245.342421574,5508720.854019417,0.260071428
297,297,1565463.284302243,5508725.636464092,0.028987001
298,298,1565881.489179323,5508723.318938288,-9999.0
299,299,1566056.183328524,5508735.108548615,-0.866959993
300,300,1568769.989382259,5508734.843051777,-0.049495287
301,301,1568825.457249135,5508738.289074534,0.131193046
302,302,1564830.324808435,5508707.238398871,0.251049999
303,303,1564988.134716633,5508703.516929478,-0.963999987
304,304,1563942.548053472,5508693.728064341,0.013849056
305,305,1564836.243301246,5508693.091913993,0.140000001
306,306,1565475.980648638,5508708.692383623,-0.825133326
307,307,1568874.74741416,5508717.803068584,0.025166051
308,308,1563833.624569687,5508713.912268594,0.520985666
309,309,1565463.437103654,5508691.480295625,-9999.0
310,310,1566054.708520686,5508699.117235885,-9999.0
311,311,1566128.438714013,5508689.142182358,-9999.0
312,312,1568900.006222701,5508705.577339252,-0.008216225
313,313,1565229.044529987,5508678.783057149,-9999.0
314,314,1566848.091078831,5508705.221652414,-0.613440369
315,315,1565185.533064554,5508677.452064653,-9999.0
316,316,1566073.910811831,5508680.182111642,-0.746999999
317,317,1565158.423575989,5508713.507339204,-0.723944783
318,318,1567613.687353255,5508671.359474763,-9999.0
319,319,1564771.559373828,5508647.834106314,-9999.0
320,320,1566642.038958885,5508646.465552727,-0.425943398
321,321,1566664.849106145,5508646.567566251,-0.281509427
322,322,1566704.026536189,5508648.857413881,0.159274999
323,323,1567558.79922302,5508650.887736871,-9999.0
324,324,1568660.872388688,5508660.00507846,-0.085376667
325,325,1563836.522683955,5508638.167366513,0.449519565
