OID,FID_,X,Y,BCE_Whanga
0,0,1834064.073790494,5933003.591907446,-0.093396756
1,1,1834097.660721768,5933001.522259565,-0.150291664
2,2,1834041.897218391,5932993.490781064,-0.147955967
3,3,1833958.672605754,5932912.992989914,-0.15112916
4,4,1833942.740540784,5932891.463220484,-0.107495293
5,5,1833792.535533018,5932830.706953356,-0.150530859
6,6,1833784.806337565,5932820.96773791,-0.150639992
7,7,1833759.169092156,5932791.944194867,-0.150703696
8,8,1833735.771405508,5932748.535540375,-0.150000006
9,9,1834175.228995398,5932730.483409173,0.155531648
10,10,1834663.199172435,5932657.012019136,-0.153350651
11,11,1834641.025106876,5932651.208396269,-0.133438358
12,12,1834477.802293182,5932642.591112934,1.290803558
13,13,1833623.027963316,5932576.883960504,-0.163796038
14,14,1834026.396313221,5932647.736302909,0.329645163
15,15,1833569.336050469,5932490.171985799,-0.170000002
16,16,1833551.775716003,5932431.016094695,-0.131345681
17,17,1833938.839848974,5932372.290953781,0.430681416
18,18,1833541.747828485,5932409.339371275,-0.025392407
19,19,1833865.067886069,5932359.910143665,0.316458012
20,20,1833964.844146542,5932357.180723556,0.448897949
21,21,1833530.741813052,5932358.994991592,0.156999996
22,22,1833883.202761375,5932329.488355956,0.497354422
23,23,1833931.34566796,5932328.171351124,0.996549983
24,24,1833858.994829796,5932325.163281731,0.4141118
25,25,1833904.449327298,5932348.971494623,0.519085811
26,26,1833842.285055355,5932301.408996047,0.094618181
27,27,1833953.891638017,5932277.879346864,0.573785711
28,28,1833914.042887148,5932251.425198595,0.83638599
29,29,1833515.442149596,5932224.138438043,-0.150796083
30,30,1833492.329102833,5932142.54910481,-0.170000002
31,31,1835165.997625111,5931965.115084602,1.198875024
32,32,1835246.253365588,5931963.634549202,1.471833357
33,33,1835346.528069891,5931960.147436144,1.71580744
34,34,1835125.742694286,5931961.234557777,1.531813684
35,35,1835202.717791096,5931963.024172049,1.184013667
36,36,1835092.434977077,5931917.988552535,2.473686286
37,37,1835116.485566541,5931916.599799887,1.842812471
38,38,1835128.256352465,5931906.651369994,0.78744036
39,39,1835629.664000759,5931873.419991655,0.758769226
40,40,1833380.215455671,5931900.187556083,0.033483318
41,41,1833760.365463881,5931650.230834281,-0.081004205
42,42,1836026.545624336,5931510.424620747,1.395230777
43,43,1835760.35576428,5931774.557409999,0.551661686
44,44,1836022.376001704,5931475.993341057,0.396666667
45,45,1833619.171475279,5931489.009308757,0.3091091
46,46,1836014.656345833,5931423.588143923,0.102063064
47,47,1836084.778350399,5931361.214428943,0.190124482
48,48,1833767.81372596,5931398.798303513,0.243539683
49,49,1836342.453981454,5931062.976203209,0.149168833
50,50,1836373.63508425,5931049.310198776,0.059999999
51,51,1833191.80069654,5931121.417832023,-0.057525002
52,52,1833199.864445734,5931101.247318812,0.363666667
53,53,1836503.532611414,5930977.955329604,0.339486484
54,54,1836486.391358786,5930977.300718961,0.166241378
55,55,1836559.253932,5930957.875651177,0.837843752
56,56,1833057.148386634,5930982.602631359,0.477473706
57,57,1833194.116087975,5930704.395193746,0.933260889
58,58,1833187.844331274,5930692.785130169,0.806333336
59,59,1833549.662585241,5931104.015602103,0.53275702
60,60,1833278.40834574,5930652.649615639,0.750854783
61,61,1836081.862091836,5930383.694665147,0.275773587
62,62,1836113.675189171,5930372.840159692,0.325525002
63,63,1836145.488213633,5930361.985533633,0.277259261
64,64,1836125.157487448,5930352.571830035,0.449860752
65,65,1836188.763194893,5930330.135530665,0.400274514
66,66,1836212.849544503,5930330.197118658,0.319500002
67,67,1836259.143044004,5930320.940473752,0.338953311
68,68,1833459.755644498,5930420.173813937,0.42845001
69,69,1835562.075114029,5930318.436840815,0.162388887
70,70,1835585.591614427,5930297.837561253,0.228636367
71,71,1833302.00627011,5930213.299471281,0.392431944
72,72,1838040.608694738,5929945.28981596,1.106422348
73,73,1837771.818559991,5929916.653615391,0.792365821
74,74,1833247.816704025,5930009.33489996,0.321823768
75,75,1832673.383904563,5929653.332720621,1.364000022
76,76,1832711.867511101,5929611.319998283,0.847716411
77,77,1837405.339578624,5929329.511138229,1.036341769
78,78,1832946.25647595,5929854.090053559,0.52740411
79,79,1837452.358450715,5929288.301604853,0.914400008
80,80,1837460.102519427,5929278.110667565,0.109875006
81,81,1834203.253233601,5929358.050279109,0.242837504
82,82,1834170.622588349,5929338.993783678,0.17839506
83,83,1834338.416984061,5929304.667801393,-0.174254541
84,84,1833992.520806508,5929284.022537881,0.330246909
85,85,1832901.5303153,5929308.85088438,1.257130438
86,86,1833928.079895226,5929275.81184651,0.337375003
87,87,1833197.89827455,5929285.80222475,0.646475001
88,88,1833895.722995339,5929266.72255687,0.345299994
89,89,1832980.961100825,5929271.972698671,0.198928572
90,90,1833076.223845506,5929239.246628076,1.40257501
91,91,1833844.103403188,5929242.766839602,0.873121726
92,92,1834303.804859572,5929245.544511631,0.07798837
93,93,1833059.910286563,5929229.716602061,0.403374997
94,94,1833225.744383015,5929235.918571741,1.109764535
95,95,1837463.412770742,5929108.432301639,0.710499999
96,96,1837511.538759455,5929107.094226472,0.735580232
97,97,1837443.589830552,5929102.879849326,0.306580652
98,98,1833685.08764589,5929204.724841328,0.586264254
99,99,1837431.359484289,5929089.37201386,0.832592604
100,100,1837671.421169014,5930310.408802328,0.421900035
101,101,1833209.515305668,5929213.555954685,0.988395354
102,102,1833512.30570531,5929192.47937415,0.602665926
103,103,1837366.883805404,5929101.139697609,1.144144263
104,104,1837438.518509199,5929079.197344488,0.117802472
105,105,1833434.753365327,5929187.488187482,0.597654435
106,106,1837426.209979151,5929069.563820763,-0.101144651
107,107,1837478.092842745,5929071.031057887,0.851546883
108,108,1833130.807986516,5929178.088822751,1.125999976
109,109,1834282.436981739,5929149.843547797,0.497258504
110,110,1834531.019455692,5929165.914579342,0.086031053
111,111,1837364.913913415,5929051.31611315,1.161058841
112,112,1837406.414393361,5929055.01299524,-0.164473681
113,113,1837528.65076678,5929053.126654772,0.820977343
114,114,1837385.080797902,5929029.965992107,-0.212843966
115,115,1837573.687444719,5929019.452785313,0.90974637
116,116,1837601.912318916,5928981.27026487,0.8747694
117,117,1833110.834771333,5929086.152675607,1.298430872
118,118,1834428.569978807,5929056.599862499,0.021087866
119,119,1833028.445123233,5929044.402230229,0.702710347
120,120,1834469.734065229,5928928.447817147,0.149780993
121,121,1833012.049930816,5928958.780539482,0.218571429
122,122,1835669.277425352,5928799.587948542,-0.098816519
123,123,1832990.062337451,5928904.017891834,0.244085819
124,124,1834365.975086004,5928937.738292363,0.518772485
125,125,1832968.825548812,5928833.190593901,-0.228
126,126,1833253.961343933,5929084.388208907,0.629613426
127,127,1832870.608346578,5929127.277710715,0.449859708
128,128,1835423.804934881,5928660.63684403,0.067974909
129,129,1836195.899497348,5928265.726553177,0.846849996
130,130,1836265.437088337,5928174.223990403,0.931854563
131,131,1836289.067938204,5928153.373299227,0.773126588
132,132,1836094.406943062,5928107.434773899,0.750538458
133,133,1836078.952555211,5928100.103378708,-0.092791673
134,134,1836327.492517178,5928092.566756527,0.917050636
135,135,1836110.185505148,5928068.585715089,-0.241049992
136,136,1836125.949768388,5928058.174221969,-0.270700001
137,137,1835740.821105479,5928049.13662995,0.300536233
138,138,1834860.890739083,5928023.235956293,1.13723751
139,139,1836130.930452993,5928002.334047416,1.35285185
140,140,1836066.892724814,5927960.25287683,0.715418198
141,141,1836082.798242109,5927948.908830108,0.697020382
142,142,1836117.248584849,5927951.551916365,0.846283449
143,143,1836163.221054757,5927874.707551776,0.039057971
144,144,1836197.054186521,5927823.862992187,0.585272721
145,145,1836299.097558128,5927644.385235072,-0.373487504
146,146,1835310.254126426,5928701.240037333,0.562816922
147,147,1836241.215767564,5927586.256994908,0.850910254
