OID,FID_,X,Y,BCE_Whanga
0,0,1834083.082306655,5933004.162712853,-0.142078943
1,1,1834053.933856825,5932993.161435992,-0.150974993
2,2,1833915.02325795,5932886.259369489,-0.150166662
3,3,1834259.682025346,5932876.2797409,-0.152690906
4,4,1834291.883432265,5932876.266119739,-0.150652166
5,5,1833903.11717046,5932876.824715727,-0.151862898
6,6,1834121.788149789,5932831.699683863,0.043623431
7,7,1833813.877272849,5932834.225987165,-0.151301032
8,8,1834161.22751403,5932805.681623639,0.171795032
9,9,1834159.449769999,5932763.50112288,0.311959997
10,10,1833742.192324076,5932752.305544605,-0.150000006
11,11,1834175.63842802,5932745.435165306,0.253528298
12,12,1834159.180503907,5932730.922860184,0.474500007
13,13,1834166.931803046,5932720.735302993,0.378674997
14,14,1834182.395175514,5932720.311857838,0.114452828
15,15,1834174.683083035,5932710.54773773,0.353455698
16,16,1834558.515397554,5932655.261532011,1.079971835
17,17,1834598.465273075,5932647.371920681,-0.029150939
18,18,1834646.745499807,5932647.730704599,-0.170250002
19,19,1833645.216913537,5932611.047675152,-0.149999991
20,20,1834147.062305697,5932581.624933503,0.496787489
21,21,1833617.09469185,5932575.962339551,-0.167571425
22,22,1833608.964621982,5932566.01465915,-0.169972604
23,23,1834145.151713921,5932511.850175777,0.315737495
24,24,1833559.437407936,5932477.569470437,-0.170000002
25,25,1833557.000183728,5932457.893673345,-0.170000002
26,26,1833940.985672578,5932387.032037592,0.132615382
27,27,1833948.171671996,5932377.587498864,0.316779996
28,28,1833868.245085455,5932369.798650534,0.124474999
29,29,1833922.316769278,5932368.03595651,0.413246057
30,30,1833971.697882321,5932356.993186108,0.368207537
31,31,1833883.748061981,5932349.42386124,0.484075004
32,32,1833931.618117343,5932338.139214084,1.283888893
33,33,1833535.413114403,5932365.371566815,-0.07182836
34,34,1833920.630314006,5932328.061238493,0.674309725
35,35,1833894.191818427,5932323.708680517,0.537376011
36,36,1833842.612678973,5932313.388565612,0.088913042
37,37,1833853.652025657,5932259.807170977,0.358199997
38,38,1833940.129522601,5932257.700710905,0.71063866
39,39,1833519.447529478,5932219.727238073,-0.170000002
40,40,1833501.181329788,5932160.374437571,-0.170000002
41,41,1833403.92565499,5932020.364857287,0.089999997
42,42,1835559.249468642,5931956.741098662,0.789999962
43,43,1835182.044772118,5931964.673677723,1.239749985
44,44,1835309.986002852,5931951.379191305,1.363581822
45,45,1835326.214763686,5931951.458556066,1.423218162
46,46,1835627.512638087,5931943.017095276,0.617607476
47,47,1835352.032252789,5931948.557023179,1.442034473
48,48,1835374.75775799,5931944.972189087,1.46083639
49,49,1835033.228096996,5931938.177421631,0.238706418
50,50,1835125.05736124,5931936.314881161,1.65258748
51,51,1835145.836138407,5931955.481938346,0.951457951
52,52,1835185.667908284,5931935.232262362,0.857240745
53,53,1835420.509307312,5931930.380799417,1.068595041
54,54,1835639.468313214,5931922.15532613,0.496724477
55,55,1833377.508301186,5931973.192240041,0.288976189
56,56,1835558.054358923,5931914.420273909,0.828278502
57,57,1835608.578741072,5931919.139302928,0.470999986
58,58,1833400.039948843,5931963.631153955,-0.100000001
59,59,1835605.646230746,5931893.157958457,0.807000009
60,60,1835614.132063469,5931884.740702633,0.818617007
61,61,1835629.442083679,5931882.526696853,0.800480998
62,62,1835682.160083049,5931888.939427962,0.485132859
63,63,1835755.543229829,5931894.639498031,0.667849503
64,64,1835641.202618965,5931872.227096438,0.811337494
65,65,1835773.610571386,5931869.303933589,0.634226427
66,66,1835104.518364982,5931899.75723996,1.823832729
67,67,1835789.087718544,5931848.198771713,0.620500005
