OID,FID_,X,Y,BCE_Whanga
0,0,1834047.341624664,5933002.283576898,-0.052315794
1,1,1833998.435827463,5932972.319946365,-0.150214289
2,2,1833958.444785935,5932922.153520923,-0.150999993
3,3,1833979.669292475,5932920.378136047,-0.153697915
4,4,1833931.002516902,5932896.533836336,0.159573335
5,5,1834183.609617773,5932889.857641055,-0.164543206
6,6,1833866.12868033,5932867.75459748,-0.108365072
7,7,1833848.433191717,5932857.554407522,-0.150317065
8,8,1833824.631379696,5932846.571781716,-0.150606053
9,9,1833953.550972888,5932846.277844881,-0.162851854
10,10,1834350.521743965,5932835.27687525,0.580954247
11,11,1833763.163471529,5932807.786031585,-0.150499992
12,12,1834349.663615291,5932795.531025333,-0.151874209
13,13,1833799.564234605,5932800.813973538,-0.155054547
14,14,1833753.694342203,5932789.422771182,-0.150937494
15,15,1833886.195786991,5932738.593401246,-0.169928573
16,16,1834368.480596965,5932734.42942149,-0.151896221
17,17,1833877.626328309,5932718.877202469,-0.138092593
18,18,1833852.625002819,5932679.458475383,-0.169113924
19,19,1834365.587963299,5932665.415377477,-0.151769225
20,20,1834654.770211436,5932647.510070633,-0.170848105
21,21,1834670.803604511,5932651.197339795,-0.170500003
22,22,1833753.380358377,5932680.733795841,-0.150730314
23,23,1834606.06476054,5932630.834479154,-0.152932796
24,24,1833675.161868266,5932631.461466428,-0.150000006
25,25,1833802.532166406,5932630.951794473,-0.162903848
26,26,1834573.273356073,5932610.045519655,-0.152545451
27,27,1833727.400804533,5932640.097193243,-0.149213951
28,28,1833649.622196296,5932613.686100165,-0.150000003
29,29,1833706.629230893,5932568.156075973,-0.158675321
30,30,1833603.204196532,5932554.935063408,-0.170000002
31,31,1834398.617406554,5932515.464595289,-0.152935182
32,32,1834418.081959585,5932514.547852694,-0.152796293
33,33,1833619.702200016,5932479.84480076,-0.170000002
34,34,1833801.193756392,5932473.845246829,-0.166279564
35,35,1833555.797430529,5932434.890558613,-0.159235296
36,36,1834575.443342127,5932390.326979977,-0.178195022
37,37,1833771.14203071,5932342.52689915,-0.170000002
38,38,1833592.194704678,5932342.408082185,-0.170000002
39,39,1833532.842822864,5932294.986986469,-0.148252527
40,40,1833613.080054732,5932147.542785087,-0.170000002
41,41,1833487.4767852,5932135.046538899,-0.170000002
42,42,1833579.907546406,5932122.744600547,-0.170000002
43,43,1833797.065760189,5932108.175240061,-0.170000002
44,44,1833481.506514307,5932100.820357669,-0.100818184
45,45,1833541.082216719,5932095.386082463,-0.119501861
46,46,1833518.665204295,5932074.677556179,-0.106279072
47,47,1833818.994962053,5932036.972190019,-0.167656253
48,48,1833686.358676458,5932016.244812886,-0.135877355
49,49,1833826.473315331,5932016.81708401,-0.164031055
50,50,1833834.087940769,5932001.645884454,-0.164974999
51,51,1835647.412893851,5931951.859111197,0.940414632
52,52,1833420.787156442,5932001.828920347,-0.100000001
53,53,1835636.557738929,5931908.033776283,0.470999986
54,54,1834650.140194648,5931899.686000641,-0.238553566
55,55,1833398.747280117,5931919.519464205,-0.098361292
56,56,1835030.321564653,5931849.139919034,-0.395937505
57,57,1835055.186422374,5931828.908767438,-0.400000006
58,58,1835591.425824926,5931812.566304753,0.055685714
59,59,1833797.743251477,5931853.211808785,-0.170000002
60,60,1835089.40109381,5931807.613903536,-0.400425002
61,61,1835637.570757639,5931772.314980155,0.08527835
62,62,1835672.541479621,5931751.12180455,0.097921569
63,63,1833390.799157175,5931817.975786827,-0.096440516
64,64,1833856.60563464,5931782.15795109,-0.170000002
65,65,1835693.962463947,5931730.452601324,0.08800909
66,66,1833627.072586522,5931778.075281844,-0.119857144
67,67,1835430.324341724,5931720.282560854,-0.377004896
68,68,1835435.400439939,5931688.362498421,-0.400000006
69,69,1833373.410596982,5931744.901497016,-0.100000001
70,70,1835301.207777436,5931632.405898011,-0.400000006
71,71,1835824.852171715,5931661.890694839,0.161648409
72,72,1835447.434836463,5931654.507425829,-0.400000006
73,73,1835318.172491736,5931612.527092682,-0.400000006
74,74,1835481.777751893,5931607.86605989,-0.400000006
75,75,1833348.567920193,5931665.546994587,-0.100000001
76,76,1834871.463297236,5931604.705438391,-0.354056077
77,77,1835010.373869459,5931592.451496017,-0.400440533
78,78,1835360.331221431,5931571.308868753,-0.400000006
79,79,1835359.782337932,5931551.373107986,-0.400000006
80,80,1835381.367516666,5931534.52323427,-0.400000006
81,81,1833324.695448626,5931592.829671376,-0.100000001
82,82,1835226.315536228,5931524.737319092,-0.400000006
83,83,1834094.432962344,5931545.430679145,-0.170000002
84,84,1835394.193204117,5931510.140686852,-0.400000006
85,85,1833342.042585225,5931561.666311481,-0.100000001
86,86,1835282.044322256,5931498.562379911,-0.400000006
87,87,1835418.047943019,5931489.532878635,-0.400000006
88,88,1835406.007474538,5931479.0252616,-0.400000006
89,89,1835377.803491236,5931474.950582285,-0.400000006
90,90,1835433.21085327,5931469.16438914,-0.400000006
91,91,1833360.789949026,5931528.49721791,-0.100000001
92,92,1835456.731086236,5931448.565668826,-0.400000006
93,93,1833377.202118804,5931499.826289789,-0.100000001
94,94,1835363.685869236,5931444.606092527,-0.400000006
95,95,1835472.228122377,5931428.187892677,-0.400000006
96,96,1833419.518789461,5931475.050704068,-0.063397517
97,97,1835111.21406796,5931432.936054249,-0.414624996
98,98,1835471.678952153,5931408.252122624,-0.400000006
99,99,1835495.748146991,5931407.589053717,-0.400000006
100,100,1833374.234432868,5931462.571160241,0.001446214
101,101,1833637.017063231,5931451.853380688,0.325542551
102,102,1834211.811798014,5931427.700445848,-0.170000002
103,103,1833398.304834507,5931427.754900844,-0.099339695
104,104,1833537.061337593,5931416.235842941,0.305412132
105,105,1835357.434867137,5931341.570367708,-0.400000006
106,106,1833375.432063456,5931379.065129043,-0.089912282
107,107,1835014.77112817,5931355.902906259,-0.409833202
108,108,1835380.065349813,5931309.169983796,-0.400000006
109,109,1835408.807296767,5931290.661652932,-0.400000006
110,110,1834250.424666059,5931324.567635528,-0.170000002
111,111,1835427.720030305,5931269.806697324,-0.400000006
112,112,1835467.834695606,5931268.701718935,-0.400000006
113,113,1833389.748457406,5931336.665251578,-0.071776843
114,114,1835025.684560623,5931269.044234819,-0.428431132
115,115,1835394.819373062,5931254.983311379,-0.400000006
116,116,1833369.324538372,5931301.113759633,-0.035981426
117,117,1834937.499519089,5931253.368626968,-0.395563626
118,118,1835274.461230783,5931244.100248982,-0.156145448
119,119,1833348.969751171,5931281.57240205,0.018367303
120,120,1835298.449415312,5931228.359868254,-0.218297296
121,121,1833991.447309783,5931249.932460338,0.083950311
122,122,1835270.222219844,5931214.673794174,-0.190009085
123,123,1833367.164656329,5931259.158697052,-0.088081969
124,124,1834206.324310797,5931233.533038653,-0.170000002
125,125,1835321.500930035,5931202.903573833,-0.224672736
126,126,1835414.359433199,5931200.729719063,-0.385598133
127,127,1835521.959539698,5931187.205543066,-0.394875001
128,128,1833355.923399179,5931241.673824252,-0.074431036
129,129,1834045.037669863,5931207.622258198,0.149142858
130,130,1835332.674565761,5931177.767742199,-0.226939252
131,131,1833312.551014862,5931231.175226672,-0.024070541
132,132,1834084.616765281,5931186.990400119,0.03675
133,133,1834999.216189102,5931161.893365789,-0.352796301
134,134,1835644.549342046,5931104.607454168,-0.397000015
135,135,1834997.493757894,5931123.961421009,-0.318190273
136,136,1836338.298480079,5931059.726679205,0.092237289
137,137,1835641.042322394,5931075.689630033,-0.39558621
138,138,1835678.956905964,5931063.373705192,-0.395000011
139,139,1835711.04790924,5931062.4887554,-0.395290916
140,140,1835909.869272489,5931290.191419997,-0.220898382
141,141,1833839.095984725,5931507.569479211,-0.055639246
142,142,1834692.101869169,5931060.922026235,-0.170000002
143,143,1835854.632260075,5931028.601289124,-0.394436373
144,144,1836107.943780012,5931021.990512865,-0.38248148
145,145,1836172.125638343,5931020.217254234,-0.363550461
146,146,1836276.158430255,5931031.432623978,-0.338562497
147,147,1835773.474335564,5931019.436799808,-0.393769363
148,148,1835918.263789467,5931006.894133216,-0.393345457
149,149,1836046.98132483,5931004.061010112,-0.393381663
150,150,1835819.693845831,5931003.375980346,-0.393197786
151,151,1836335.468623325,5930990.178798002,-0.316049687
152,152,1836374.787575172,5930989.483593414,-0.255397503
153,153,1835845.23424141,5930978.98317561,-0.391874991
154,154,1835901.747161492,5930978.144357247,-0.391940543
155,155,1836026.34012148,5930974.366885166,-0.393999994
156,156,1836355.279381597,5930967.835414526,-0.302857864
157,157,1834975.09601626,5930993.357680551,-0.228179249
158,158,1835991.912046235,5930970.868858227,-0.393373136
159,159,1836807.748969934,5930936.873953838,0.039
160,160,1837073.575359814,5930931.485853095,-0.049674419
161,161,1834567.040720295,5930994.006611475,-0.183010986
162,162,1835865.336323475,5930958.860629646,-0.390201826
163,163,1836022.649578976,5930954.673651936,-0.39301864
164,164,1836285.930684608,5930946.859907061,-0.334874995
165,165,1836301.9760237,5930946.416296356,-0.326107145
166,166,1836412.688414753,5930976.731099949,-0.171051425
167,167,1834576.408925413,5930983.774122335,-0.180867921
168,168,1836405.880882291,5930923.390463957,-0.287050001
169,169,1836434.098044313,5930927.597685182,-0.247273587
170,170,1836333.574079257,5930915.616001761,-0.30643635
171,171,1836413.627806945,5930913.200633385,-0.287308638
172,172,1836300.873637152,5930906.544647214,-0.321703702
173,173,1836324.930409165,5930905.476821434,-0.309018178
174,174,1835911.821433153,5930897.724665915,-0.388909091
175,175,1836111.442845509,5930902.367773757,-0.365493778
176,176,1836209.998649546,5930920.039626682,-0.347552541
177,177,1834422.215213215,5930908.403181297,-0.229654544
178,178,1836375.441870622,5930881.861874663,-0.294053106
179,179,1836488.188013934,5930851.284539623,-0.254931028
180,180,1836966.837739875,5930838.766835541,-0.353913038
181,181,1834758.888513437,5930889.18658115,-0.190821427
182,182,1836339.321795521,5930845.225650108,-0.30287037
183,183,1836427.915550964,5930843.177917464,-0.280178571
184,184,1834798.727387502,5930878.116780027,-0.201999995
185,185,1835031.369924315,5930871.31953241,-0.267240739
186,186,1836419.271825875,5930833.038829508,-0.281796295
187,187,1836510.518810027,5930891.776968612,-0.224563165
188,188,1836338.781624308,5930825.692172037,-0.299192976
189,189,1836451.097453393,5930822.58548923,-0.270107139
190,190,1836597.885103908,5930823.426424771,-0.342635085
191,191,1834396.630696923,5930869.002122181,-0.239538455
192,192,1834790.157171713,5930858.401431131,-0.20461818
193,193,1836513.062611606,5930824.424700946,-0.26738948
194,194,1836563.298971535,5930809.303598944,-0.329552297
195,195,1836358.882239205,5930805.568386724,-0.294821422
196,196,1836542.976398464,5930800.241256897,-0.30535652
197,197,1835467.624843372,5930819.412601189,-0.433395935
198,198,1836395.690907008,5930780.623070078,-0.283334656
199,199,1835756.545028348,5930789.503251553,-0.348219468
200,200,1836345.150219742,5930765.662824751,-0.29619643
201,201,1836545.453518823,5930764.342523832,-0.316090092
202,202,1835491.83779306,5930778.316893358,-0.43300558
203,203,1836444.952331694,5930758.468894476,-0.261973304
204,204,1836504.886965731,5930763.591856639,-0.276283485
205,205,1834693.415655901,5930790.587916141,-0.203312923
206,206,1836685.598032882,5930716.721861841,-0.331
207,207,1834546.795781079,5930754.951866688,-0.207818186
208,208,1834603.058595302,5930881.103035667,-0.195619084
209,209,1836727.548581206,5930693.660422099,-0.332907129
210,210,1836792.658966148,5930683.972258701,-0.340686269
211,211,1834648.394476211,5930723.314799829,-0.211548384
212,212,1836457.048291459,5930692.051473377,-0.271443207
213,213,1834782.633791518,5930709.360301601,-0.241366972
214,214,1834585.216530608,5930704.423072904,-0.212963636
215,215,1836565.19694108,5930650.518866508,-0.321263888
