OID,FID_,X,Y,BCE_Whanga
0,0,1723399.084326252,6045160.006522442,-0.094700001
1,1,1723528.450788312,6045137.770049548,1.333785706
2,2,1723431.028064734,6045119.698076229,1.192999997
3,3,1723463.248849901,6045099.317682468,-0.331574998
4,4,1723470.518833682,6045049.590786566,0.738785718
5,5,1720747.604812426,6044972.028713755,1.235803737
6,6,1720754.430158702,6044937.195713487,0.889472232
7,7,1720738.533313251,6044927.739692332,-0.276607145
8,8,1723435.825082784,6044880.446874254,0.983226896
9,9,1721692.25323457,6044894.189751349,0.526609921
10,10,1721704.800616462,6044884.068195092,0.294621626
11,11,1721715.078478291,6044874.00553206,0.107184615
12,12,1721734.190762531,6044860.06337681,0.181333326
13,13,1723004.684089169,6044846.571584745,0.846824992
14,14,1721744.126383776,6044851.163798967,0.150533335
15,15,1721579.408223249,6044916.79408547,-0.202425458
16,16,1721646.702353778,6044775.604781615,-0.725795095
17,17,1721662.540815384,6044745.489617503,-0.737440505
18,18,1721612.57391405,6044656.47167498,-0.673780491
19,19,1721596.181776467,6044646.740080264,-0.600750038
20,20,1721587.921175814,6044636.887335672,-0.670149991
21,21,1720824.310830118,6044607.458367098,0.044351859
22,22,1721465.115294185,6044569.535063281,-0.665509431
23,23,1720619.940998425,6044560.410467738,-0.751400006
24,24,1721432.488761304,6044549.104746273,-0.509552635
25,25,1721408.448403371,6044533.368757663,-0.540856395
26,26,1721384.079913586,6044517.636344275,-0.613628583
27,27,1722633.30597534,6044433.141984906,-0.274800003
28,28,1721690.50154781,6044426.40028772,-0.13866072
29,29,1721723.792689905,6044433.377302106,-0.096663892
30,30,1721662.392227495,6044407.230333364,0.11134862
31,31,1722315.924868147,6044397.660878948,0.047725009
32,32,1720552.933208559,6044412.126826631,-9999.0
33,33,1721690.252568835,6044396.301473141,0.469208331
34,34,1720572.339312361,6044481.699483642,0.031967748
35,35,1721669.806315723,6044386.616036817,0.431295593
36,36,1722364.392986134,6044377.060365166,0.112512197
37,37,1720554.479987738,6044392.606889657,-9999.0
38,38,1720999.456036278,6044385.820570111,-0.094390805
39,39,1721641.236300685,6044377.041968761,0.380816661
40,40,1721824.212531526,6044425.680620247,0.17914692
41,41,1721616.728249634,6044367.412116917,0.404096642
42,42,1720568.623746703,6044371.756160427,-0.009587511
43,43,1721257.298078195,6044425.113592307,-0.529471764
44,44,1721120.904620107,6044354.265287139,-0.18415
45,45,1721589.443946245,6044351.88041889,0.685693177
46,46,1721892.825624631,6044348.331762793,0.207737826
47,47,1721104.521017342,6044344.523090594,-0.415116278
48,48,1721550.040786093,6044328.491271985,0.500076924
49,49,1722867.173071273,6044305.330475168,1.056225014
50,50,1721519.038290696,6044303.83508464,0.472604095
51,51,1721497.841200995,6044289.314006058,0.2117625
52,52,1721480.047780154,6044271.684661954,0.438560559
53,53,1720559.145571153,6044272.225872716,-0.787
54,54,1723020.841418342,6044693.385609592,0.663679518
55,55,1720697.113293798,6044260.239193616,0.002708335
56,56,1720587.102100467,6044270.000351978,-0.231796293
57,57,1722876.539586602,6044234.641347945,1.093500048
58,58,1721892.173247051,6044246.420077737,-0.401537336
59,59,1720469.274928636,6044223.822130396,-0.199589276
60,60,1720562.525324442,6044222.003306064,0.727152542
61,61,1720318.690438953,6044216.043179533,-0.915076911
62,62,1720538.023832791,6044212.717495807,0.401199997
63,63,1720290.118045148,6044206.117358753,-0.429423074
64,64,1720505.393832804,6044203.195067746,0.615139398
65,65,1720281.859320832,6044196.263670889,-0.369057137
66,66,1720476.825767047,6044193.61748399,0.586890297
67,67,1720907.377276047,6044187.758175544,-0.890999993
68,68,1722905.735721968,6044160.217436632,1.037088605
69,69,1720452.319603825,6044183.984464877,0.576724996
70,70,1722921.858905844,6044150.047411151,1.064734163
71,71,1720264.069602882,6044178.528327907,-0.310447243
72,72,1720435.937088794,6044174.241058631,0.662775002
73,73,1721882.006508274,6044159.468267899,-0.400538471
74,74,1720240.669088459,6044166.720391208,0.378981819
75,75,1720386.757311156,6044208.119784721,0.289183806
76,76,1720422.794366169,6044165.37821288,0.725709676
77,77,1720394.228572143,6044155.182821076,0.719249998
78,78,1721117.454819543,6044145.027881757,-9999.0
79,79,1721207.406467813,6044143.798887717,-0.956250034
80,80,1720212.758005824,6044154.539382232,0.392818598
81,81,1720370.512980633,6044145.243504906,0.695365469
82,82,1721166.642435303,6044133.663458331,-9999.0
83,83,1720341.97497951,6044135.652892558,0.743849998
84,84,1721141.975726572,6044127.050855551,-0.411565229
85,85,1720316.528944152,6044123.264062355,0.747805554
86,86,1720294.693890041,6044107.014320323,0.556384873
87,87,1720286.264251669,6044086.579344618,0.449673914
88,88,1720274.596590061,6044060.161820812,0.23474479
89,89,1720264.177417231,6044047.015335975,-0.198357118
90,90,1720271.435683267,6044032.14304957,0.922724544
91,91,1720260.476595742,6044017.571075684,0.451834956
92,92,1719831.420143211,6043932.807838237,-9999.0
93,93,1720089.452951463,6044006.221068127,0.616574666
94,94,1720222.609571648,6043940.303826159,0.444524076
95,95,1720041.392587075,6043850.920518016,-0.924943362
96,96,1720082.170361631,6043850.163881016,-9999.0
97,97,1720046.247073864,6043827.960340119,0.527257085
98,98,1720136.612910224,6043843.959340642,0.333292699
99,99,1721891.840475833,6043735.779735683,-0.287545463
100,100,1721887.754999186,6043690.988909767,-0.220716509
101,101,1721828.35855586,6043622.329297479,-0.664588245
102,102,1722838.686551795,6043433.903637609,0.69367858
103,103,1722756.767056628,6043385.208134135,-0.665684215
104,104,1722612.412052327,6043830.651521874,0.785861583
105,105,1722705.401386521,6043339.583376687,0.036539245
106,106,1722640.556168498,6043314.811852255,0.286966313
107,107,1722581.045439391,6043297.740869102,0.205159378
108,108,1722542.97817622,6043286.640092126,0.6212423
109,109,1721894.323216277,6043282.293884285,-0.5757702
110,110,1719362.66311969,6043279.090084746,1.007916992
111,111,1722417.487983915,6043220.27269767,1.181470564
112,112,1722380.991211817,6043195.779382681,1.190927168
113,113,1719358.267162381,6043187.241869007,-0.603430475
114,114,1719252.941678968,6043150.366207911,-0.209181806
115,115,1719090.845042847,6043141.536244866,-0.566714291
116,116,1719233.65601297,6043134.21053198,-0.575573168
117,117,1719123.503671231,6043133.441244693,0.275312467
118,118,1719595.336127618,6043634.227373571,0.649330353
119,119,1722635.783682188,6042858.338612273,1.118573351
120,120,1722643.748625229,6042838.437138324,1.107174989
121,121,1722667.564505585,6042798.243401893,1.172094128
122,122,1722715.333334376,6042727.820062289,1.507337485
123,123,1722795.176012616,6042627.054312102,0.939175008
124,124,1722859.463474846,6042576.333208691,0.92386046
125,125,1722911.215915075,6042555.157726635,0.962140747
126,126,1722931.945332238,6042545.081872921,0.973500016
127,127,1722948.247530995,6042535.229343935,0.982650009
128,128,1722964.360631676,6042525.048612114,0.95254999
