OID,FID_,X,Y,BCE_Whanga
0,0,1723382.835191529,6045160.232525611,0.390400001
1,1,1723390.821171913,6045150.155440921,1.287687485
2,2,1723409.965374559,6045130.92897032,1.216871738
3,3,1723539.156722412,6045106.636721815,1.303098701
4,4,1723373.61003672,6045068.028048058,1.272100008
5,5,1723511.418628508,6045068.95348747,0.919999995
6,6,1723300.168129997,6045050.51615045,0.926133337
7,7,1723316.405511395,6045052.12615627,1.143854156
8,8,1723551.624746788,6045038.495551717,1.915072725
9,9,1723543.083994422,6045008.716426984,0.695350888
10,10,1723267.186341083,6045007.068777575,0.727473692
11,11,1720634.433566841,6045028.610506018,-0.658317647
12,12,1720561.771141788,6045019.632424213,-0.053960782
13,13,1723469.127133999,6045029.377833945,0.789478986
14,14,1720591.815296349,6045010.806605711,-0.680994029
15,15,1720731.451503733,6044992.410034697,-0.379499993
16,16,1723242.960952609,6044951.273782975,-0.267955536
17,17,1720617.371930648,6044969.047155065,-0.928655193
18,18,1721577.828121579,6044962.867565243,-0.503386616
19,19,1721590.732575948,6044972.070077969,1.401142853
20,20,1721559.934550612,6044966.228202848,-0.272595886
21,21,1720738.804546469,6044947.667792009,-0.247431056
22,22,1723200.655928437,6044913.586994612,-0.550265815
23,23,1723167.991366708,6044893.945184023,-0.652999992
24,24,1721553.727206859,6044916.896416615,0.431107149
25,25,1723443.265718738,6044895.629895685,0.643406825
26,26,1723476.446646153,6044879.881494153,0.719709513
27,27,1721560.751525291,6044896.990218569,0.456476187
28,28,1723517.037876107,6044876.379377318,-0.037616
29,29,1720631.899455208,6044915.072870473,-0.761465474
30,30,1721575.351386858,6044872.605438797,0.456738805
31,31,1722932.738841609,6044846.321212066,1.177280015
32,32,1723085.926824819,6044845.444654905,0.797151901
33,33,1721583.124421187,6044856.53720515,0.511067566
34,34,1721736.860060471,6044853.626809268,0.125416667
35,35,1722924.77281835,6044836.208091983,0.972222209
36,36,1722972.922107269,6044846.975576092,0.871988366
37,37,1723115.133582538,6044846.300219888,0.128496671
38,38,1721590.793008302,6044846.137422237,0.316025004
39,39,1721608.280795989,6044870.344050482,-0.718371178
40,40,1723023.825733125,6044830.66126763,0.843493091
41,41,1723296.719686341,6044822.78972812,0.961333337
42,42,1721599.034467169,6044826.484534592,-0.362657558
43,43,1721735.380976199,6044857.63069562,0.474010101
44,44,1721622.061057003,6044823.907233467,-0.708898634
45,45,1721607.117656276,6044812.693713233,-0.607335858
46,46,1722890.368187227,6044788.007610931,0.279837837
47,47,1721615.206600173,6044796.78427645,-0.590181825
48,48,1721801.335279658,6044793.414461377,-0.270824996
49,49,1723105.077386674,6044800.741100137,-0.222908308
50,50,1723290.68223585,6044795.981022825,1.006
51,51,1721640.47086338,6044794.894822857,-0.714409727
52,52,1721817.446828871,6044783.227272862,-0.223776462
53,53,1723239.013617578,6044763.386788671,0.910473682
54,54,1722857.248836116,6044758.863933912,-0.04286076
55,55,1722905.789092454,6044758.452889807,-0.400054548
56,56,1723100.769620031,6044755.749135482,-0.723052615
57,57,1721631.183750233,6044775.313555435,-0.714423523
