OID,FID_,X,Y,BCE_Whanga
0,0,1720734.668220317,6045041.769267771,-0.149362267
1,1,1720679.118364463,6045028.002033094,-9999.0
2,2,1720690.898255815,6044997.944086823,-9999.0
3,3,1721598.433962726,6044966.441975962,1.1181356
4,4,1720711.542095055,6045004.059832296,-0.872445926
5,5,1720722.44647289,6044927.753544817,-0.930818162
6,6,1720738.593895758,6044948.635502194,-0.137045063
7,7,1723143.212057213,6044874.547261808,-0.630897458
8,8,1722960.484157471,6044866.978394451,1.161115401
9,9,1721688.294152813,6044880.79381909,-0.088023764
10,10,1720730.0283221,6044887.786768821,-0.898133332
11,11,1721621.751937368,6044875.43626632,-0.720433712
12,12,1722949.37028997,6044861.881226244,1.150666634
13,13,1723100.715982558,6044857.744861399,0.788816992
14,14,1721720.419214648,6044858.867478966,-0.086252724
15,15,1720737.527907355,6044862.769940495,-0.807466675
16,16,1723012.821445777,6044837.062650165,0.851791201
17,17,1721736.988438349,6044841.389183222,-0.132936839
18,18,1721624.982610892,6044837.888657403,-0.71360713
19,19,1721632.539483216,6044815.608489121,-0.704857122
20,20,1721756.288470126,6044820.262032329,-0.281201173
21,21,1720737.338851097,6044827.891875391,-0.95155553
22,22,1720745.191787604,6044807.853177615,-0.853374992
23,23,1721793.218443823,6044798.077055383,-0.222578951
24,24,1720665.035737905,6044931.787815449,-0.827553197
25,25,1720761.793285177,6044822.660641991,-0.089839756
26,26,1721833.475588491,6044773.660063931,-0.18900001
27,27,1720748.914787149,6044782.887745388,-0.829808809
28,28,1721662.814399786,6044765.417472964,-0.738050013
29,29,1721683.452027775,6044743.881754397,-0.728757888
30,30,1720752.434298701,6044742.976235466,-9999.0
31,31,1721682.275513639,6044709.927088255,-0.531465246
32,32,1720793.940065699,6044707.871017272,-0.047237705
33,33,1721807.793918598,6044683.904250994,-0.69055356
34,34,1721651.932501348,6044681.563243058,-0.664243905
35,35,1721621.969500563,6044666.503098535,-0.672282604
36,36,1721860.924290086,6044663.618896237,-0.777918927
37,37,1720815.98301764,6044657.113105878,-0.087947369
38,38,1721601.331969729,6044653.950193925,-0.549052643
