OID,FID_,X,Y,BCE_Whanga
0,0,1666494.243478368,6126562.146536724,-0.373300003
1,1,1666514.196929573,6126569.965764303,-0.413402933
2,2,1666498.051425162,6126522.267614824,-0.415450738
3,3,1666527.938631495,6126498.803007588,-0.529000044
4,4,1666538.85734768,6126482.317559827,0.245181779
5,5,1666593.886082388,6126468.670129656,-9999.0
6,6,1666624.454638428,6126431.679396736,-9999.0
7,7,1666644.807411268,6126412.333082116,-9999.0
8,8,1666463.591136297,6126293.374871801,-0.15532558
9,9,1666439.278900123,6126258.665627342,0.384225393
10,10,1666446.761075888,6126233.720861757,-0.056662499
11,11,1666479.186002694,6126183.67044012,-9999.0
12,12,1666487.310348216,6126173.648380477,-9999.0
13,13,1666499.533180231,6126163.596406271,-9999.0
14,14,1666617.807211531,6126083.030230812,-0.182608723
15,15,1666781.672978504,6126071.868065588,-9999.0
16,16,1668487.863024774,6126066.319760137,-9999.0
17,17,1668473.05943162,6126039.390565854,-9999.0
18,18,1666314.08027271,6126024.740545569,-0.329509125
19,19,1666904.261331049,6126021.154782055,-9999.0
20,20,1666912.390318279,6126011.86045896,-9999.0
21,21,1666928.553981564,6125980.397117115,-9999.0
22,22,1665920.166926674,6125963.568583809,-0.074912497
23,23,1665936.357842064,6125958.674457408,-0.420019268
24,24,1668862.7205548,6125926.845972151,-0.465000048
25,25,1668870.838035994,6125916.838789859,-9999.0
26,26,1665915.005302781,6125933.717668197,-0.332392085
27,27,1665934.377765222,6125886.843653325,-0.387329925
28,28,1665968.101905394,6125861.569464811,-0.323931713
29,29,1665991.392470117,6125829.136377065,-9999.0
30,30,1666013.383835687,6125818.433502073,-9999.0
31,31,1666029.705029822,6125808.352461838,-9999.0
32,32,1666188.88907172,6125717.532462372,-9999.0
33,33,1666221.608480229,6125708.059934363,-9999.0
34,34,1666564.793586113,6125589.546367872,-9999.0
35,35,1669114.097892444,6125566.296821338,-0.477941217
36,36,1666482.876515382,6125565.950189165,-9999.0
37,37,1666581.234235845,6125565.231923659,-9999.0
38,38,1666294.212886381,6125547.399202111,-9999.0
39,39,1666460.314923402,6125548.751743282,-0.370304358
40,40,1666892.421295344,6125543.917755982,-9999.0
41,41,1666954.027265243,6125542.574540361,-9999.0
42,42,1666417.086832535,6125536.541643938,-0.049972995
43,43,1667219.740959002,6125530.655297657,-9999.0
44,44,1667269.517313622,6125530.287932266,-9999.0
45,45,1666408.817802356,6125526.639088259,0.220966089
46,46,1667158.791817297,6125521.141935424,-9999.0
47,47,1666277.602464601,6125517.631669184,-9999.0
48,48,1666396.450552441,6125516.766418768,0.10726664
49,49,1667089.048843815,6125511.692839272,-9999.0
50,50,1666606.713618711,6125526.617801465,-9999.0
51,51,1667039.796904172,6125502.092539064,-9999.0
52,52,1669006.939572207,6125487.406149904,-9999.0
