OID,FID_,X,Y,BCE_Whanga
0,0,1666501.614811237,6126532.639754757,-0.270169225
1,1,1666489.836459578,6126502.578884641,-0.006776309
2,2,1666569.357043397,6126491.858683827,-9999.0
3,3,1666513.527061929,6126491.207627935,-0.215162895
4,4,1666555.672260163,6126474.22139332,-0.166272769
5,5,1666604.252827819,6126471.678196828,-9999.0
6,6,1666579.813352186,6126462.254498424,-0.425500043
7,7,1666588.783275435,6126453.122809639,0.161333295
8,8,1666615.06113339,6126454.994490981,-9999.0
9,9,1666596.745193404,6126442.815585472,0.210916633
10,10,1666628.626203499,6126441.611678626,-9999.0
11,11,1666604.639855048,6126432.572300445,0.272949973
12,12,1666636.750555659,6126431.589386959,-9999.0
13,13,1666612.569190938,6126422.34915116,0.223285671
14,14,1666644.875004553,6126421.567257414,-9999.0
15,15,1666648.96987219,6126403.519706217,-0.045342338
16,16,1667831.688003125,6126238.935784429,-9999.0
17,17,1666430.402231729,6126229.065672915,0.71802547
18,18,1666439.004116187,6126214.878885233,-0.02298485
19,19,1666447.644161567,6126206.28198972,-0.343474995
20,20,1666462.300756334,6126249.521123658,-0.216710803
21,21,1666495.507366059,6126173.588574102,-9999.0
22,22,1666472.183301652,6126173.340101579,-0.332047659
23,23,1666480.917012347,6126155.093801477,0.4072714
24,24,1666515.854643168,6126153.514370576,-9999.0
25,25,1666495.493635436,6126149.297612399,0.064885681
26,26,1666504.244328419,6126135.814235578,-0.052571466
27,27,1666520.01961112,6126129.855828995,-0.455000043
28,28,1666536.356576089,6126113.967555088,-0.480000045
29,29,1666544.948086354,6126105.444012393,-0.377775033
30,30,1666560.410774261,6126098.364861732,0.091051923
31,31,1666576.88998439,6126092.563970794,-0.29241671
32,32,1666736.735764553,6126092.122718149,-9999.0
33,33,1666593.377943469,6126084.901180013,-0.414666711
34,34,1666769.450652926,6126081.920332381,-9999.0
35,35,1666657.164491863,6126082.329017875,-0.116844511
36,36,1666740.746425488,6126071.518571101,0.315428525
37,37,1666787.08492748,6126063.834116789,0.481855121
38,38,1666863.817875341,6126033.388236061,-9999.0
39,39,1666305.738417258,6126004.87561292,-9999.0
40,40,1666321.539738958,6126005.488796333,-0.163176487
41,41,1666897.162308752,6126002.948024284,-0.31116671
42,42,1668483.289989439,6126024.840933117,-9999.0
43,43,1668936.638607453,6125946.229808331,-9999.0
44,44,1668883.246266078,6125931.689167788,-0.392777817
45,45,1666936.353716967,6125926.272514142,-9999.0
46,46,1665905.428929097,6125919.078586719,-0.018500002
47,47,1665931.301397084,6125942.413140364,-0.313492809
48,48,1665944.216616879,6125888.673727749,-9999.0
49,49,1665956.439645193,6125878.622555488,-9999.0
50,50,1665928.300794554,6125881.119476985,-0.310695668
51,51,1665976.859552447,6125868.511821955,-9999.0
52,52,1666951.756853137,6125865.813391582,-9999.0
53,53,1665998.052619606,6125840.812380045,-9999.0
54,54,1666029.777219678,6125818.314724135,-9999.0
55,55,1669301.524288563,6125789.919667842,-9999.0
56,56,1666046.09838732,6125808.233550602,-9999.0
57,57,1666009.945878615,6125811.225045417,-9999.0
58,58,1666066.517888732,6125798.122676202,-9999.0
59,59,1669287.815408184,6125774.197587119,-9999.0
60,60,1666082.839119547,6125788.04153753,-9999.0
61,61,1669279.542955254,6125764.297632012,-9999.0
62,62,1666044.168597618,6125792.273509521,-0.248607188
63,63,1669271.270435488,6125754.39774988,-9999.0
64,64,1666074.675594109,6125774.290736728,-0.102461566
65,65,1666099.354073583,6125760.402585222,-0.470999986
66,66,1669254.725817101,6125734.597650943,-9999.0
67,67,1666123.971712386,6125748.939181689,-9999.0
68,68,1669238.25673036,6125724.759967539,-9999.0
69,69,1666140.157027383,6125738.238216169,-9999.0
70,70,1669222.385307958,6125714.917790763,-9999.0
71,71,1666148.699521729,6125729.127314184,0.444999954
72,72,1666184.863198652,6125727.524405801,-9999.0
73,73,1666164.478639506,6125717.9490631,-0.266384658
74,74,1666201.183977118,6125717.443141689,-9999.0
75,75,1666173.009890196,6125708.649360705,-0.147145498
76,76,1666188.928622951,6125704.677131449,-0.34726671
77,77,1666213.787290266,6125689.771606209,-9999.0
78,78,1666230.282030487,6125679.517810689,-9999.0
79,79,1666246.535844691,6125669.181942248,-9999.0
80,80,1666262.904303942,6125658.372127879,-9999.0
81,81,1669155.382880308,6125605.83494501,-9999.0
82,82,1666540.610407201,6125614.614551712,-9999.0
83,83,1666552.837752095,6125605.290499096,-9999.0
84,84,1666532.484600684,6125595.768944515,1.839838661
85,85,1669122.235307591,6125580.971814044,-9999.0
86,86,1669089.508455244,6125566.483201185,-9999.0
87,87,1666556.869316118,6125575.537613447,-0.491000056
88,88,1666573.110546272,6125575.254121328,-9999.0
89,89,1669077.138122014,6125556.614202519,-9999.0
90,90,1666464.461722123,6125569.820560606,-9999.0
91,91,1666835.351236353,6125566.976601947,-9999.0
92,92,1666884.503637736,6125563.010779682,-9999.0
