OID,FID_,X,Y,BCE_Whanga
0,0,1666999.031521408,6126648.103378653,-0.335957762
1,1,1666693.913065681,6126401.282658893,-9999.0
2,2,1666702.821179954,6126379.669566076,-0.022200043
3,3,1666471.976954835,6126313.177733514,0.092374995
4,4,1667439.129018748,6126296.898825062,0.017634601
5,5,1667928.561428702,6126275.360411651,-0.121192347
6,6,1667819.694570204,6126218.721034458,-9999.0
7,7,1667540.489359212,6126205.119338949,0.074056888
8,8,1667594.204311789,6126205.356551468,-0.411000043
9,9,1667816.26315809,6126203.178800977,-9999.0
10,10,1667569.539264222,6126195.576642551,-0.382382384
11,11,1667612.297818026,6126194.387106608,-9999.0
12,12,1668512.023528127,6126163.606676859,-9999.0
13,13,1666650.593954797,6126095.879868365,-9999.0
14,14,1668503.461976836,6126087.47659126,-9999.0
15,15,1666830.781976772,6126061.544904065,-9999.0
16,16,1666883.842614625,6126031.267213023,-9999.0
17,17,1666330.385452325,6126006.975794256,0.140904763
18,18,1668470.466600039,6125980.663884113,-9999.0
19,19,1666936.683324481,6125971.102453689,-9999.0
20,20,1668887.275804219,6125955.149221946,-0.322200047
21,21,1665976.897980378,6125966.333763922,-0.3346058
22,22,1665925.234800859,6125982.86592724,-0.040965924
23,23,1666158.347927122,6125954.751074447,-0.184612947
24,24,1666149.863047094,6125946.588338521,-0.357680894
25,25,1666174.16030379,6125946.783230869,-9999.0
26,26,1668858.279706043,6125928.202622884,0.866530571
27,27,1666005.816977281,6125936.156546737,-9999.0
28,28,1667964.084549098,6125910.916134874,-9999.0
29,29,1667992.011055292,6125915.799755916,-9999.0
30,30,1667987.711303734,6125894.83202339,-9999.0
31,31,1666608.351593243,6125878.264545727,-9999.0
32,32,1665997.351691018,6125868.363205215,-9999.0
33,33,1666599.874724496,6125863.902574809,-9999.0
34,34,1665986.374590298,6125861.810647799,-9999.0
35,35,1668206.299711653,6125842.133982097,-9999.0
36,36,1668214.148802926,6125827.257750557,-9999.0
37,37,1666944.831113157,6125865.968939738,-9999.0
38,38,1666050.124763114,6125798.24154967,-9999.0
39,39,1666070.544172582,6125788.13068721,-9999.0
40,40,1666099.232777493,6125787.922454663,-9999.0
41,41,1666910.973221375,6125771.450127386,-9999.0
42,42,1669270.742449678,6125735.002730339,-9999.0
43,43,1669254.650338613,6125724.635192513,-9999.0
44,44,1669246.349522826,6125714.771141188,-9999.0
45,45,1666172.568456138,6125727.613510248,-9999.0
46,46,1669221.485392366,6125675.072816844,-9999.0
47,47,1666262.296647575,6125667.184683548,-9999.0
48,48,1669212.433347382,6125651.542049248,-9999.0
49,49,1669193.910403245,6125605.900609591,-9999.0
50,50,1666526.046858194,6125607.921015314,0.471117583
51,51,1666390.937356079,6125646.259723022,-9999.0
52,52,1666566.450135333,6125598.529541294,-9999.0
53,53,1668999.105181393,6125557.409488623,-9999.0
54,54,1669101.71861486,6125561.483612852,-0.333181865
55,55,1669077.467676376,6125546.823540231,-9999.0
56,56,1666794.306385331,6125558.690730824,-0.070333378
57,57,1669052.443371333,6125541.837885465,-9999.0
58,58,1666375.286014606,6125555.520845836,-9999.0
59,59,1666434.441101253,6125545.852093365,-0.284777818
60,60,1666600.282771054,6125556.790144658,-9999.0
61,61,1666339.654909802,6125537.685886961,-9999.0
62,62,1667141.924291207,6125529.925080322,-9999.0
63,63,1667078.990362703,6125511.842105276,-0.009000044
64,64,1667316.209230199,6125529.260203066,1.849837165
65,65,1669040.285603847,6125496.521892736,-9999.0
66,66,1668884.096080869,6125483.221206241,0.500999928
67,67,1666340.704725211,6125487.283769587,-9999.0
68,68,1666367.541912118,6125487.093079443,0.653588213
69,69,1667352.907119315,6125469.200179422,-9999.0
70,70,1666759.8456372,6125464.589081409,-9999.0
71,71,1667369.437699419,6125451.507272002,-9999.0
72,72,1667406.28106123,6125405.411929131,-9999.0
73,73,1667970.647263824,6125395.045520828,-0.057233377
74,74,1667930.519446452,6125355.555302581,-0.229021541
75,75,1667964.988971833,6125355.702232642,-9999.0
76,76,1667888.391929991,6125348.026809303,-9999.0
77,77,1667973.074695901,6125345.734998273,-9999.0
78,78,1667526.302937503,6125339.094429548,-9999.0
79,79,1667873.30360676,6125339.817541917,-9999.0
80,80,1667898.842375113,6125336.816945365,-9999.0
81,81,1667948.369038184,6125336.219525507,-9999.0
82,82,1667538.523539681,6125329.041063072,-9999.0
83,83,1666360.853909414,6125327.300456242,-0.371000051
84,84,1668105.682682296,6125342.466953072,0.218472333
85,85,1668069.892112977,6125301.656613365,0.073458302
86,86,1667579.20931571,6125288.888041751,-9999.0
87,87,1667810.305072189,6125287.608966415,-9999.0
88,88,1668037.766118552,6125288.519409422,-9999.0
89,89,1668167.484951622,6125287.826074411,-9999.0
90,90,1666345.603912064,6125287.992079504,-9999.0
91,91,1667796.335602269,6125277.311941267,-9999.0
92,92,1669037.830546099,6125260.122969189,-9999.0
93,93,1666269.385261029,6125281.96971052,-9999.0
94,94,1666357.753117741,6125267.977997558,-9999.0
95,95,1669027.517562623,6125251.932614924,-9999.0
96,96,1666369.977384247,6125258.27478086,-9999.0
97,97,1666249.928076812,6125254.530188959,-9999.0
98,98,1666443.363850672,6125247.490178775,0.278331065
99,99,1668934.222253926,6125229.50676905,0.71293099
100,100,1668918.444744065,6125207.947137065,-9999.0
101,101,1666142.824326384,6125249.035074454,-0.279292748
102,102,1668908.61596855,6125179.381948274,-9999.0
103,103,1666233.620560493,6125190.846095139,0.057317046
104,104,1668397.973138383,6125168.205133954,-9999.0
105,105,1668785.394818139,6125172.026302607,0.026616721
106,106,1668410.155187631,6125153.16933579,-9999.0
107,107,1668846.739630763,6125141.665779502,-9999.0
108,108,1668897.997331469,6125134.548608837,-9999.0
109,109,1668832.06765733,6125125.084122745,0.32347757
110,110,1668432.601491317,6125114.654284024,-9999.0
111,111,1668912.926020614,6125113.07485094,2.860288873
112,112,1668432.609435853,6125073.857031499,-9999.0
113,113,1668929.898020165,6125055.13647991,-0.337538506
114,114,1668244.66039469,6124974.74514919,-9999.0
115,115,1668232.408902922,6124950.26384111,-0.291400042
116,116,1668225.107442062,6124925.061258398,-0.284806472
117,117,1668223.8771321,6124905.494962242,-9999.0
118,118,1669473.95876214,6124866.738648861,-9999.0
119,119,1668696.724895098,6124783.807334537,-9999.0
120,120,1668671.476023825,6124779.700792925,-9999.0
121,121,1668222.422091042,6124711.230207533,-9999.0
122,122,1669795.956351485,6124691.104177123,-0.114250008
123,123,1668634.877837682,6124699.829237665,-0.289200045
124,124,1670071.530907497,6124667.943505786,-0.162999988
125,125,1670108.948053022,6124651.182615278,-9999.0
126,126,1668193.327007593,6124656.652305807,-9999.0
127,127,1670028.20057535,6124639.911064236,-0.512750007
128,128,1670311.763700649,6124638.37950635,0.320046453
129,129,1668609.177175486,6124653.326387803,0.28251675
130,130,1668603.035045621,6124600.403940523,0.27459585
131,131,1670525.786079638,6124517.378021541,-0.320413361
132,132,1670515.01176423,6124459.073753846,-0.324000038
133,133,1670523.539324256,6124450.341412379,-9999.0
134,134,1670564.216151777,6124437.524120734,0.237825366
135,135,1667859.620695526,6124420.036232011,-9999.0
136,136,1670582.234258635,6124407.484687945,-0.133595166
137,137,1667782.342195689,6124394.392873324,-9999.0
138,138,1667834.886012466,6124400.294788955,-9999.0
139,139,1667924.006724728,6124409.928612296,-9999.0
140,140,1669002.711721726,6124391.498829894,-9999.0
141,141,1670579.930327294,6124329.679079114,-0.434681866
142,142,1670542.146707808,6124290.129505711,0.252610275
143,143,1670547.900399005,6124263.055926825,-0.198311866
144,144,1670563.128999889,6124233.83382558,-0.487342905
145,145,1668054.74840913,6124209.360353883,-9999.0
146,146,1668175.874488172,6124186.536067722,-9999.0
147,147,1670488.47721959,6124155.978726706,0.305872699
148,148,1668162.141386851,6124146.915256622,-9999.0
149,149,1669278.216838649,6124149.407261265,-0.342000046
150,150,1669365.309838627,6124109.806682954,-9999.0
151,151,1669764.883121419,6124114.226785619,-9999.0
152,152,1670487.89869446,6124081.261202995,0.40144998
153,153,1670496.015019377,6124071.23337864,3.875454534
154,154,1669381.320797063,6124059.87022843,-9999.0
155,155,1670502.850771642,6124041.988428412,3.409660002
156,156,1669028.910236552,6124060.057613349,-9999.0
157,157,1669479.434651104,6124029.233519963,-9999.0
158,158,1669504.019979743,6124029.045940661,-9999.0
159,159,1668119.266840817,6124039.509235008,-9999.0
160,160,1670493.788665154,6124021.631312662,-0.481000036
161,161,1669003.826405382,6124032.571136409,0.137976843
162,162,1669522.191181173,6124011.315844441,-9999.0
163,163,1668995.103639849,6123999.367611261,0.185925204
164,164,1669077.608774308,6123997.420312594,-9999.0
165,165,1669724.210675519,6123977.897171508,-0.050530346
166,166,1669526.957097027,6123978.040282245,-0.132808266
167,167,1668130.594468733,6123983.918819375,-9999.0
168,168,1670027.480950613,6123945.974475044,0.291369231
169,169,1669503.335729552,6123939.385049335,-0.234333379
170,170,1670019.574491698,6123935.485120617,-0.347900021
171,171,1670077.027575354,6123939.969849833,-9999.0
172,172,1669701.522141136,6123934.333488365,-0.324609122
173,173,1669283.473575389,6123937.05647779,0.559284052
174,174,1668175.514712499,6123919.533983124,-9999.0
175,175,1669043.655111252,6123902.737310774,5.50920905
176,176,1668167.170634764,6123899.670680651,0.174882306
