OID,FID_,X,Y,BCE_Whanga
0,0,1760220.89400252,5980682.088639016,1.85649998
1,1,1760361.759843138,5980626.623223983,1.587660165
2,2,1760318.868407473,5980589.144977422,1.270583332
3,3,1760366.336845725,5980588.513013658,1.417225236
4,4,1760015.336213554,5980497.620800585,-0.204545459
5,5,1759754.825641414,5980363.052240117,0.444458333
6,6,1759770.185898881,5980352.800699574,0.192708335
7,7,1760025.325148544,5980325.396086501,-0.352821572
8,8,1760031.60070243,5980485.050182702,0.34429517
9,9,1760012.013975037,5980308.472595622,-0.442025307
10,10,1759637.800234377,5980274.559509968,0.191875008
11,11,1759620.164262806,5980255.438391614,0.189610391
12,12,1760019.38280308,5980238.553716606,-0.271153838
13,13,1759610.242191481,5980225.563047454,0.123333336
14,14,1760026.468194698,5980208.315230415,-0.025263156
15,15,1757783.705027933,5980239.385778641,1.262807014
16,16,1759614.776034204,5980206.124281432,0.0305
17,17,1759985.797083146,5980199.296830416,-0.327999983
18,18,1759973.514982699,5980189.554114273,-0.494181807
19,19,1759613.821569384,5980186.203905303,-0.024909092
20,20,1759953.167250909,5980179.959954663,-0.753500003
21,21,1759928.773432207,5980169.713275005,-0.768727255
22,22,1757662.885869726,5980204.631917217,0.986127947
23,23,1759912.28861773,5980150.805736058,-0.779625001
24,24,1759605.794653094,5980156.444196955,-0.100801687
25,25,1757661.786709599,5980172.22060153,1.047272719
26,26,1757649.340988922,5980162.276517471,1.075375003
27,27,1759403.648201396,5980130.941363514,0.011
28,28,1757669.164840784,5980152.148955194,1.505454564
29,29,1759862.977418073,5980101.868825242,-0.869000029
30,30,1759575.735866967,5980117.723096357,-0.111446541
31,31,1759862.610568762,5980081.937547376,-0.321111107
32,32,1759281.674178281,5980079.907735411,0.0275
33,33,1759265.223919202,5980063.734969628,-0.100925925
34,34,1759281.182556611,5980062.916550728,-0.156851853
35,35,1757917.725352024,5980057.711282664,0.737500006
36,36,1759843.762024299,5980028.773716887,-0.026191711
37,37,1759815.491079274,5979994.3479162,0.150955555
38,38,1759778.52616794,5979970.171229649,-0.098283584
39,39,1759747.976366345,5979944.16861019,-0.380197173
40,40,1759711.211136823,5979905.282210888,-0.663846142
41,41,1759705.698907271,5979885.445606072,-0.752531633
42,42,1757802.510171288,5980039.093914878,0.600448664
43,43,1760075.442279859,5979818.621314657,-0.325946692
44,44,1759038.38871992,5979920.035177913,0.299917596
45,45,1759032.5051113,5979752.797953996,-0.382602799
46,46,1757625.469843079,5979760.16812048,-0.076692664
47,47,1758167.292786648,5979739.533476587,0.38166667
48,48,1758780.707305337,5979720.001003173,-0.175035091
49,49,1760226.454498457,5979686.440820363,-0.038585364
50,50,1757692.212565674,5979733.945263576,-0.546231582
51,51,1758742.289344122,5979704.460413822,-0.144836359
52,52,1757717.818285663,5979712.434711099,-0.741886081
53,53,1758710.337005709,5979692.317785766,-0.072625
54,54,1758725.976609592,5979694.789955495,-0.132811323
55,55,1758698.97284673,5979683.880449628,-0.076227644
56,56,1758411.215804971,5979683.637739845,0.753601452
57,57,1760209.40464277,5979636.91042363,-0.342731711
58,58,1758348.5111987,5979667.187031728,0.170461168
59,59,1758393.140571124,5979673.746464932,0.214170211
60,60,1758674.235772846,5979664.806786688,-0.136986897
61,61,1758644.775061829,5979644.205546543,-0.175568627
62,62,1758386.135587522,5979640.455734522,0.46215385
63,63,1758369.810339699,5979630.057737722,0.303039212
64,64,1758334.771928273,5979634.986590636,-0.029485562
65,65,1758359.360928201,5979621.006335955,0.269121214
66,66,1758613.32043762,5979622.327315206,-0.19139281
67,67,1757961.097083036,5979773.97944574,0.062089647
68,68,1758308.790183655,5979601.990579291,-0.410443751
69,69,1758296.524325484,5979592.972162152,-0.362200011
70,70,1757544.606911532,5979536.140274871,-0.444854553
71,71,1758531.154627626,5979408.523939499,0.68068339
72,72,1758534.8232694,5979388.51927116,0.556268906
73,73,1758681.313240323,5979378.1105429,0.370882359
74,74,1757503.803810027,5979468.987940616,-0.284057244
75,75,1758746.01678918,5979274.980355213,0.195599995
76,76,1757436.846937977,5979336.450704896,-0.17031985
77,77,1758744.954744862,5979243.16920675,0.165000001
78,78,1758741.760948767,5979225.436497604,0.201017547
79,79,1758735.647419809,5979214.511543978,0.196142858
80,80,1758729.039088635,5979200.554550493,-9999.0
81,81,1757648.281298762,5979215.255004247,-0.573662495
82,82,1757789.413385183,5979212.690902705,0.030075304
83,83,1757014.662777258,5979196.831902453,0.588879653
84,84,1757034.644137969,5979186.501656029,0.560949362
85,85,1758718.103416864,5979153.945280302,0.328185176
86,86,1757046.560817561,5979176.317260464,0.51011904
87,87,1758723.916237644,5979140.825754204,0.293487502
88,88,1758583.47876714,5979269.471529586,0.521244216
89,89,1758634.931887538,5979127.4987165,0.450897433
90,90,1758651.061142083,5979127.203952255,0.442925001
91,91,1758690.019971212,5979125.384201569,0.446445363
92,92,1759707.3465762,5979097.866243907,0.104187501
93,93,1759691.438677202,5979078.22093469,0.231277772
94,94,1757868.578990681,5979108.567531754,0.147166669
95,95,1757900.955573596,5979051.766640009,0.190863643
96,96,1757912.222133215,5979031.226879013,0.149426469
97,97,1757092.063109147,5979015.992736141,0.128824998
98,98,1757108.19208355,5979015.700833192,0.159500001
99,99,1757180.592016278,5979004.420906375,-0.041679013
100,100,1757958.452059703,5978970.363560422,0.251475609
101,101,1757981.059709163,5978956.660351625,0.247219007
102,102,1757526.27963331,5978938.341822038,-0.738300013
103,103,1758010.054849884,5978924.5645433,0.317253171
104,104,1758017.665738441,5978899.503782086,0.354461547
105,105,1757199.577358193,5979050.941384112,0.266394081
106,106,1757509.246939295,5978888.806427783,-0.406724991
107,107,1758025.172635165,5978868.73356559,0.384907412
108,108,1757492.846801154,5978874.150719384,-0.429475001
109,109,1758033.068807182,5978859.347821048,0.360824996
110,110,1758032.11790556,5978839.427359429,0.397120005
111,111,1757475.90451973,5978829.598183885,-0.15862501
112,112,1757443.69271795,5978800.276151677,-0.226979596
113,113,1758030.450453365,5978815.5285619,0.834431832
114,114,1759458.228791335,5978743.562694515,-0.727541657
115,115,1757095.798910582,5978776.673205809,-9999.0
116,116,1757431.514036076,5978776.271183425,-0.138894976
117,117,1758075.809696657,5978769.35877808,0.810382175
118,118,1758086.953449921,5978802.679372435,0.393257737
119,119,1758082.804654025,5978750.625022802,0.42624999
120,120,1759450.38614045,5978723.769080136,-0.419000002
121,121,1757412.00522317,5978753.498849824,-0.099574999
122,122,1757393.453947533,5978731.405448392,-0.103571431
123,123,1757377.732807261,5978721.721662925,-0.129843142
124,124,1759422.650977788,5978677.756676819,-0.150058093
125,125,1757365.970903856,5978698.674273137,-0.022643443
126,126,1759408.783498587,5978654.750441913,0.059775002
127,127,1757005.469749669,5978688.587981188,-0.73540964
128,128,1757343.984618195,5978672.489273168,-0.093037976
129,129,1759397.954658925,5978625.042400144,0.21617582
130,130,1759383.675814449,5978605.366682419,0.130600002
131,131,1757123.102729383,5978700.738469797,0.038370438
132,132,1757325.549462345,5978637.976192596,0.03578261
133,133,1757310.824932078,5978623.246015542,0.144550003
134,134,1757286.438852085,5978612.992087526,-0.035224494
135,135,1759366.998503297,5978575.766009316,0.160987498
136,136,1759358.751376889,5978565.948466985,0.109987505
137,137,1756986.823062219,5978643.788978782,-0.662503215
138,138,1757269.962627155,5978594.079856689,0.028324995
139,139,1759365.023084146,5978556.997415479,0.244179481
140,140,1759350.321300289,5978546.165306745,0.074775002
141,141,1759342.074219272,5978536.347749737,0.016974995
142,142,1757240.867653944,5978572.130584236,-0.030888392
143,143,1756962.625895263,5978549.798895762,-0.617557379
144,144,1757117.174735079,5978555.496711127,-0.164474733
145,145,1757232.619119671,5978504.823926285,0.436354835
146,146,1756774.812234933,5978423.599425496,0.3705
147,147,1756855.452037191,5978422.141739537,-0.555238087
148,148,1756863.494620532,5978411.826758686,-0.712222231
149,149,1757155.296987857,5978451.171176728,0.226175791
150,150,1757112.505006626,5978362.664120638,-0.100429453
151,151,1757096.016461142,5978343.024925378,-0.507562506
152,152,1757110.203105362,5978268.001805283,-0.315000007
153,153,1759230.673753366,5978189.873832936,0.187734142
154,154,1759213.942765297,5978179.816449492,-0.074215688
155,155,1757093.581125061,5978208.489666012,-0.354000004
156,156,1758256.546143154,5978260.509141434,0.713315832
157,157,1757077.092892395,5978188.850441557,-0.304625003
