OID,FID_,X,Y,BCE_Whanga
0,0,1760213.881208085,5980680.351705918,1.006499979
1,1,1760220.460798144,5980673.482012244,1.069012332
2,2,1760171.334936165,5980659.419928908,0.726666669
3,3,1760188.057001964,5980662.900413163,0.771666644
4,4,1760203.801824013,5980654.052531273,0.778596482
5,5,1760125.749414895,5980641.203591106,0.385714301
6,6,1760217.279517106,5980640.445673787,0.80437499
7,7,1760308.479080005,5980632.69380518,1.064313697
8,8,1760241.057725736,5980623.660539562,0.865726486
9,9,1760283.911160051,5980622.667528501,1.002499993
10,10,1760106.447265039,5980615.752125449,0.361219517
11,11,1760251.781123171,5980612.889041062,0.90035716
12,12,1760343.051832993,5980612.619514175,1.458459481
13,13,1760344.609941486,5980584.374083908,1.328157902
14,14,1760073.25014436,5980566.537624266,-0.074487182
15,15,1760282.423583836,5980566.122828411,1.126413048
16,16,1760395.674427988,5980567.65464753,1.287304321
17,17,1760258.584784495,5980553.150743211,0.892154462
18,18,1760242.102381828,5980543.284685905,0.841296295
19,19,1760000.972618663,5980525.547001461,0.06617647
20,20,1760248.80464674,5980526.73176062,1.315789423
21,21,1759983.787826504,5980514.783570118,0.051666666
22,22,1760201.706347856,5980528.322699521,0.779758682
23,23,1760176.839151451,5980504.612634267,0.744912281
24,24,1760012.6080502,5980495.843280138,-0.247775833
25,25,1759894.020478467,5980468.974516151,0.28095238
26,26,1760014.792782266,5980468.126271195,-0.11964912
27,27,1759837.186217037,5980453.669805063,-0.049999997
28,28,1759877.808361225,5980460.275670387,-0.123636367
29,29,1760126.731027019,5980455.721157314,0.736767826
30,30,1760069.943914259,5980387.156885541,0.119124999
31,31,1759755.009019497,5980373.018023768,0.512458332
32,32,1759697.303714844,5980369.237125192,0.472987549
33,33,1759940.339644981,5980359.637818673,-0.174750003
34,34,1760053.261209512,5980357.55741235,0.034177216
35,35,1759634.243320441,5980355.300825536,-0.265454543
36,36,1759649.796488219,5980350.443432819,0.141298712
37,37,1759782.34757502,5980348.291209125,-0.043605352
38,38,1759883.328456285,5980330.780685579,-0.670999994
39,39,1759769.857286035,5980302.962113488,0.109624999
40,40,1759622.632929397,5980255.261419739,0.18322581
41,41,1760002.687436617,5980249.03174613,-0.618928567
42,42,1757798.084042715,5980249.490906058,0.14769231
43,43,1759615.057823593,5980226.216796446,0.10781893
44,44,1760001.91505002,5980198.272965902,0.030188679
45,45,1757719.165309647,5980230.790539298,-0.108375013
46,46,1759608.317352652,5980200.401541194,0.036494845
47,47,1757662.524934341,5980221.850218622,0.909999992
48,48,1757766.987021429,5980235.280169467,1.144186407
49,49,1759928.603355999,5980160.474252,-0.546202524
50,50,1757774.264124756,5980184.36519195,1.316146786
51,51,1759405.616129974,5980135.95755757,0.065555556
52,52,1757828.179248436,5980155.850514627,0.85660634
53,53,1759966.856049487,5980293.867073158,-0.357959077
54,54,1757678.394869233,5980185.778484123,0.964626523
55,55,1757838.429061996,5980133.919539603,0.849634133
56,56,1759842.721644602,5980097.257330664,-0.77490683
57,57,1759862.793962156,5980091.903235552,-0.651750003
58,58,1757693.105911161,5980121.763528343,1.348205146
59,59,1757855.068973517,5980100.121791312,0.841693728
60,60,1757703.37961389,5980090.240413203,0.600624992
61,61,1757872.262500216,5980071.8300203,0.7847934
62,62,1757901.917313333,5980053.708787327,0.73342419
63,63,1757945.406090884,5980030.671497328,0.673621534
64,64,1757965.211757621,5980007.003377424,0.657000017
65,65,1759055.761566829,5979986.85779886,0.419744902
66,66,1759674.720147388,5979955.798161634,-0.922875026
67,67,1759016.581358188,5979947.338142013,0.461999992
68,68,1759028.77855696,5979937.946643824,0.393571437
69,69,1759658.616267455,5979933.976489114,-0.96298703
70,70,1757842.984202446,5979949.61409945,0.448928568
