OID,FID_,X,Y,BCE_Whanga
0,0,1760016.733330648,5980536.840715094,0.001166666
1,1,1760003.344811412,5980410.952920312,-0.239050376
2,2,1759929.572929952,5980341.764512199,-0.227109377
3,3,1760027.901981354,5980309.508297512,-0.309902914
4,4,1759725.556184095,5980297.25970203,0.167500002
5,5,1759836.399569496,5980303.747389287,0.141556419
6,6,1760026.216762729,5980213.848912466,-0.134973819
7,7,1759417.245580324,5980136.591652155,0.073157895
8,8,1759449.778978752,5980128.031347971,0.016714804
9,9,1759468.039277615,5980124.08303306,-0.053624998
10,10,1759556.679380258,5980117.350220051,0.219999998
11,11,1759491.732696654,5980096.233267273,-0.325365473
12,12,1759543.256411293,5980095.677957755,-0.195524298
13,13,1759523.674587664,5980078.200857816,-0.58024896
14,14,1759145.796244344,5980068.67686216,0.153313434
15,15,1759241.014887867,5980063.451041911,0.140379746
16,16,1759193.872583797,5980052.578851496,0.004014925
17,17,1757868.272466619,5980100.234750818,0.893423429
18,18,1757925.609774862,5980047.598712367,0.705374997
19,19,1757968.729359428,5980016.827543489,0.848226956
20,20,1759705.058201805,5979850.565039953,-0.453291137
21,21,1759792.768305927,5979794.121902949,-0.971578398
22,22,1759889.551853971,5979792.340284491,-9999.0
23,23,1760003.346576513,5979811.332785488,-0.473979113
24,24,1759849.13363943,5979788.099986556,-0.955857132
25,25,1759873.071287674,5979782.47357938,-0.930868453
26,26,1759922.217585541,5979781.769720062,-9999.0
27,27,1759959.728496287,5979776.795279954,-0.98281159
28,28,1759721.026563902,5979790.305761191,-0.863255592
29,29,1757703.303220924,5979792.649478644,-0.322122794
30,30,1760168.293416921,5979751.444669067,-0.579638751
31,31,1757691.405319026,5979779.484636222,-0.481240873
32,32,1757709.816806912,5979796.3036656,-0.150914124
33,33,1759992.927845153,5979736.132322054,-9999.0
34,34,1760101.831188115,5979754.266639883,-0.839451581
35,35,1759034.064431263,5979740.647300445,-0.535818202
36,36,1760144.13889628,5979717.86545961,-9999.0
37,37,1758867.909159252,5979728.8516286,-0.258175002
38,38,1760162.301376926,5979707.561450728,-0.981666644
39,39,1757758.913013245,5979748.533266149,-0.240218002
40,40,1759022.473856539,5979704.647942193,-0.636263305
41,41,1759742.346342196,5979684.664145511,-9999.0
42,42,1757737.969667841,5979726.931454021,-9999.0
43,43,1759000.013541634,5979688.846798203,-0.629818182
44,44,1758946.453624014,5979688.425858343,-0.345631116
45,45,1760000.092031603,5979661.434075798,-9999.0
46,46,1760173.663825998,5979667.475858542,-9999.0
47,47,1757741.471153474,5979682.098065439,-0.555857146
48,48,1757749.325210966,5979663.995131701,-0.698446163
49,49,1757740.928204673,5979652.200856168,-0.568562478
50,50,1760212.879021666,5979637.53883008,-0.254936948
51,51,1757861.451710999,5979625.088180687,-0.767622215
52,52,1757926.727828231,5979622.135756211,-0.672267703
53,53,1757985.976358197,5979710.206500465,-0.19476718
54,54,1758393.848789184,5979605.422874624,0.801491386
55,55,1757948.419700683,5979597.844433764,-0.702246127
56,56,1757713.764034366,5979609.141168593,-0.683089537
57,57,1757776.570480011,5979592.324189657,-9999.0
58,58,1758276.329840763,5979602.107155177,-0.265711506
59,59,1760203.16890146,5979561.260040966,-0.525615757
60,60,1757594.67419973,5979584.776004929,-0.367126575
61,61,1757625.101155872,5979582.528704388,-0.69927273
62,62,1757683.115082387,5979578.484617324,-9999.0
63,63,1757997.220131395,5979558.022095595,-0.715047618
64,64,1759957.023240287,5979522.136081719,-9999.0
65,65,1760259.705041838,5979516.219981407,-0.880585126
66,66,1757534.190883375,5979546.363813335,-0.269842702
67,67,1757625.63773274,5979556.18978286,-9999.0
68,68,1758480.757666796,5979529.271353231,-0.418089285
69,69,1757564.851280331,5979549.191042931,-0.551101346
70,70,1757701.860878414,5979557.581876639,-9999.0
71,71,1759663.573510066,5979500.707065921,-9999.0
72,72,1759953.03503759,5979492.685508203,-9999.0
73,73,1757602.194609364,5979537.434178668,-0.780888889
74,74,1759674.626890905,5979482.837414108,-9999.0
75,75,1758003.900915906,5979502.305871784,-9999.0
76,76,1757621.525412682,5979495.451852242,-9999.0
77,77,1759761.99504857,5979445.975245103,-9999.0
78,78,1759778.124990268,5979445.678407494,-9999.0
79,79,1760161.554149308,5979448.38118568,-9999.0
80,80,1757657.391879741,5979521.979003975,-9999.0
81,81,1759898.916023656,5979433.485561348,-9999.0
82,82,1760234.177226849,5979488.93939364,-0.559461906
83,83,1757640.709032443,5979464.612880356,-9999.0
84,84,1759680.555724896,5979435.65481863,-9999.0
85,85,1759727.06598983,5979439.422470869,-9999.0
86,86,1757648.004926713,5979454.511546123,-9999.0
87,87,1759898.548933613,5979413.55434489,-9999.0
88,88,1760013.422392295,5979418.018950585,-9999.0
89,89,1757596.204374238,5979457.866340755,-0.772769229
90,90,1759720.936831665,5979406.854787857,-9999.0
91,91,1758091.813620024,5979427.230426443,-9999.0
92,92,1758433.014329852,5979424.560648715,0.139900122
93,93,1760038.192929869,5979392.101180324,-9999.0
94,94,1760190.077335832,5979373.043680631,-0.978449004
95,95,1759615.359822409,5979368.920606817,-9999.0
96,96,1757470.525998924,5979401.992063332,-0.269811597
97,97,1759849.058320051,5979354.65179786,-9999.0
98,98,1759865.901792278,5979358.599238816,-9999.0
99,99,1759772.853587817,5979346.468524276,-9999.0
100,100,1759857.09877147,5979344.333565551,-9999.0
101,101,1760156.087451387,5979338.822975534,-9999.0
102,102,1757598.108230975,5979394.929369837,-0.770426754
103,103,1757647.781583417,5979380.313835992,-9999.0
104,104,1759784.239734,5979330.721379738,-9999.0
105,105,1759727.351587757,5979317.015955331,-9999.0
106,106,1759827.252236157,5979331.071408175,-9999.0
107,107,1760100.367964248,5979316.840623861,-9999.0
108,108,1757431.55783807,5979345.634293064,-0.050909092
109,109,1759735.551205873,5979306.493714189,-9999.0
110,110,1757625.647871769,5979389.985283135,-9999.0
111,111,1759836.019174386,5979294.876754688,-9999.0
112,112,1760090.153349378,5979295.178566368,-9999.0
113,113,1760152.050329823,5979307.001210364,-0.991457763
114,114,1759715.299391154,5979287.713673833,-9999.0
115,115,1759793.238880327,5979293.670490892,-9999.0
116,116,1759850.148654796,5979284.647609008,-9999.0
117,117,1759871.968336983,5979284.447014304,-9999.0
118,118,1759949.179284584,5979283.407705361,-9999.0
119,119,1757613.641264297,5979315.772725265,-9999.0
120,120,1757621.843335781,5979305.252566335,-9999.0
121,121,1758323.319885099,5979292.689120692,-9999.0
122,122,1758476.925034725,5979294.87099087,0.400537813
123,123,1759691.281255814,5979276.906546076,-9999.0
124,124,1759973.006482763,5979263.030677112,-9999.0
125,125,1757418.863833045,5979314.882161997,0.052619834
126,126,1758331.362011082,5979282.372357452,-9999.0
127,127,1760126.852968636,5979268.526164447,-0.916053696
128,128,1759991.783340547,5979250.483014016,-9999.0
129,129,1760012.963148025,5979242.356292129,-9999.0
130,130,1757390.732197603,5979284.191814194,0.530522391
131,131,1759746.114050557,5979231.733186392,-9999.0
132,132,1758387.019963201,5979246.66711704,-0.431271008
133,133,1758491.861571933,5979244.753615586,0.334000003
134,134,1759512.213971936,5979211.69582427,-9999.0
135,135,1759690.260255171,5979223.8963342,-9999.0
136,136,1757374.503142762,5979267.509334776,1.129999995
137,137,1758348.515355561,5979226.198652166,-9999.0
138,138,1758398.42417383,5979225.030846341,-0.423571842
139,139,1758386.201766296,5979201.821983837,-0.786506833
140,140,1758485.289051582,5979203.890459715,0.091545455
141,141,1759652.202106326,5979178.832612528,-9999.0
142,142,1759683.703255261,5979172.279991989,-9999.0
143,143,1760101.586119389,5979160.386173841,-0.968090922
144,144,1758503.841487511,5979185.608373936,0.124974844
145,145,1760117.131866059,5979155.126678173,-0.510361722
146,146,1757609.45093253,5979229.13178633,-0.750039997
147,147,1759483.479026565,5979163.788615687,-9999.0
148,148,1759627.162965737,5979153.604782305,-9999.0
149,149,1758422.285652008,5979180.36716768,-0.51128214
150,150,1759586.951543708,5979140.156489377,-9999.0
151,151,1757820.767010448,5979162.275770322,0.653574997
152,152,1758312.804787329,5979153.615715238,-9999.0
153,153,1758562.806039638,5979153.738102463,0.140538325
154,154,1760097.027272292,5979132.511957281,-0.858875003
155,155,1758328.658314265,5979143.058289473,-9999.0
156,156,1759659.167101372,5979118.890644265,-9999.0
157,157,1758594.609562812,5979128.234678626,0.189901238
158,158,1758638.782311319,5979117.458997668,0.29305329
159,159,1757522.946519127,5979128.549371353,-0.712353454
160,160,1757584.32859957,5979152.902956209,-0.769581811
161,161,1759591.587964267,5979101.381319255,-9999.0
162,162,1758368.265116435,5979087.506857069,-9999.0
163,163,1758451.904994542,5979091.649318914,-0.716329159
164,164,1757577.380635608,5979086.946146539,-9999.0
165,165,1759431.780032218,5979057.505666839,-9999.0
166,166,1757391.663292684,5979080.88578144,0.100833333
167,167,1759444.148270277,5979042.889695043,-9999.0
168,168,1759536.548799781,5979031.424233274,-9999.0
169,169,1757546.07168476,5979074.371171305,-9999.0
170,170,1758400.917608787,5979028.486220469,-9999.0
171,171,1759503.558020048,5978992.154605526,-9999.0
172,172,1759560.009808841,5978991.117122834,-9999.0
173,173,1757407.778343734,5979022.643632153,-0.169366047
174,174,1757516.681867615,5979007.3364085,-9999.0
175,175,1757543.335464292,5978998.045592423,-9999.0
176,176,1757502.824923388,5978988.40949017,-9999.0
177,177,1759592.553523267,5979023.178170052,-9999.0
178,178,1758412.105504729,5978966.963234898,-9999.0
179,179,1759510.516401024,5978931.810512131,-9999.0
180,180,1757457.705312808,5978974.072570458,-0.919
181,181,1757498.852511494,5978959.360312942,-9999.0
182,182,1757551.423581629,5978957.822177983,-0.582709087
183,183,1758454.145350694,5978946.374936679,-9999.0
184,184,1757355.090841942,5978961.896845955,-0.23311127
185,185,1757485.799254959,5978939.27652507,-9999.0
186,186,1758469.637508794,5978911.200938647,-9999.0
187,187,1757392.605531694,5978926.12388909,-0.714702321
188,188,1757455.021944118,5978928.243469041,-9999.0
189,189,1758239.878566382,5979280.65547252,-0.641495002
190,190,1759533.601764809,5978944.553335445,-9999.0
191,191,1757290.601734739,5978926.412910543,-0.303751718
192,192,1758477.171620854,5978890.924369153,-9999.0
193,193,1759356.359932576,5978875.029350602,-9999.0
194,194,1759458.403700263,5978870.700126362,-9999.0
195,195,1759511.576506401,5978859.457558605,-9999.0
196,196,1757396.00632972,5978881.092079998,-9999.0
197,197,1757416.762227391,5978881.098605476,-9999.0
198,198,1757489.154152373,5978860.33418162,-0.334997308
199,199,1759373.240375574,5978829.28144501,-9999.0
200,200,1757334.695977826,5978852.757862032,-9999.0
201,201,1757363.206840194,5978851.780229336,-9999.0
202,202,1758666.451797926,5978830.630290112,-0.817243092
203,203,1759486.65082237,5978820.039680472,-9999.0
204,204,1757259.06951972,5978846.874863228,-0.606243484
205,205,1757322.697213086,5978842.143314216,-9999.0
206,206,1759397.372728214,5978808.010872434,-9999.0
207,207,1757467.643362397,5978822.307157149,-0.165006252
208,208,1758709.595907529,5978805.534228293,-0.744133708
209,209,1758731.361345542,5978786.791719024,-0.833879995
210,210,1759466.363363,5978790.451077596,-9999.0
211,211,1757211.360578488,5978807.14196905,-9999.0
212,212,1758669.062333801,5978787.930778628,-9999.0
213,213,1759354.188332102,5978765.611790036,-9999.0
214,214,1758592.217945231,5978851.743040295,-0.834097896
215,215,1758612.06574085,5978759.065727667,-9999.0
216,216,1759273.17934699,5978747.160741792,-9999.0
217,217,1759289.012587824,5978751.088825411,-9999.0
218,218,1757208.865898756,5978774.82624785,-0.496072726
219,219,1759346.891493792,5978739.434812363,-9999.0
220,220,1759389.382528612,5978753.131101453,-9999.0
221,221,1759272.81361034,5978727.229528514,-9999.0
