OID,FID_,X,Y,BCE_Whitfo
0,0,1776981.565155035,5915973.413771322,0.412
1,1,1777051.516260181,5915817.208468203,0.458333338
2,2,1777022.050759959,5915769.98438791,0.903873869
3,3,1777156.75674046,5915311.639808398,0.469999999
4,4,1777175.917975142,5915309.211653207,0.542972976
5,5,1777139.27147749,5915296.290211833,0.334171123
6,6,1777144.815606721,5914908.363438074,0.534629623
7,7,1777118.468756222,5914798.655345419,0.290259737
8,8,1777108.990410637,5914769.339751256,0.318000013
9,9,1777083.093509632,5914700.16967098,0.315192309
10,10,1773834.351578145,5914761.65993913,-0.403374991
11,11,1773818.165579876,5914557.587221638,0.244686193
12,12,1774127.001266681,5914192.31104003,0.008249999
13,13,1774108.410920448,5914144.83161802,0.211725001
14,14,1774093.553892393,5914123.19988181,0.364320991
15,15,1777369.982826473,5913990.633012376,1.10625785
16,16,1777455.758764218,5913989.453712282,1.044776527
17,17,1777437.082977282,5913944.36187264,1.094624975
18,18,1774122.26503703,5913953.306312238,0.286111109
19,19,1777451.426429232,5913864.292891917,0.963750008
20,20,1777497.6527346,5913844.278819587,1.124666667
21,21,1774142.460199471,5913788.170660859,0.292264154
22,22,1777358.699584574,5913733.270263414,0.705243026
23,23,1777576.398757144,5913585.812447585,1.081350218
24,24,1777715.948119325,5913529.284087352,1.160000006
25,25,1774178.164798251,5913563.092082921,0.582124976
26,26,1775940.675124299,5913538.668689872,0.600646552
27,27,1775866.556566143,5913508.369730693,0.418641964
28,28,1777583.057455859,5913510.700595277,0.850587514
29,29,1777747.288612978,5913469.030898554,1.004999996
30,30,1775766.096477975,5913490.506546204,0.502893077
31,31,1776042.293177771,5913524.658942227,0.746066917
32,32,1775745.880848424,5913480.953657429,0.581749999
33,33,1776082.0395745,5913473.993536664,0.583875002
34,34,1775729.667263689,5913471.317796619,0.598624997
35,35,1776089.630218845,5913453.894022753,0.667124996
36,36,1775697.033751824,5913442.079411367,0.612249997
37,37,1774150.938619862,5913489.623009399,0.621036449
38,38,1775681.295821515,5913427.18972037,0.680918372
39,39,1776109.25068109,5913410.514080961,0.870796037
40,40,1774136.073576153,5913434.332276694,0.542692291
41,41,1774062.863965773,5913406.021569102,0.194318181
42,42,1776131.559969412,5913373.003000835,1.081940295
43,43,1773973.375528959,5913337.95579592,0.122125
44,44,1777599.010181871,5913262.937467362,0.535250002
45,45,1773957.16443391,5913328.316594346,0.153749998
46,46,1773944.954872462,5913318.595815918,0.136792453
47,47,1777568.324662203,5913341.528328796,0.817157319
48,48,1773907.772020224,5913292.882025235,0.354108786
49,49,1773868.943577727,5913252.601288552,0.615604708
50,50,1777333.010314704,5913168.113679121,0.962388035
51,51,1775457.48679795,5913200.712573675,2.011675691
52,52,1777354.127422912,5913165.588673536,1.003879993
53,53,1777302.896936599,5913154.640614058,0.920433926
54,54,1777384.416455073,5913147.766666724,1.096335397
55,55,1777455.524196843,5913126.551951402,1.124399999
56,56,1773738.214497722,5913193.203690354,0.297125003
57,57,1777250.503935944,5913138.937961342,0.928812775
58,58,1777310.585585149,5913122.281772577,1.165862059
59,59,1773714.720448541,5913170.003236373,0.291564946
