OID,FID_,X,Y,BCE_Whitfo
0,0,1776978.316465857,5915962.624842219,0.389135288
1,1,1777005.543465168,5915937.617826315,0.521730762
2,2,1777059.133287474,5915797.187795751,0.455098041
3,3,1777023.890490763,5915783.953185582,0.493530514
4,4,1776946.827626139,5915589.850744761,0.941499986
5,5,1776942.394749238,5915569.27369993,1.940740749
6,6,1776958.214147469,5915559.700157729,0.182624983
7,7,1776987.643739618,5915434.448850256,0.749299357
8,8,1777004.754755741,5915425.145277015,-0.803930755
9,9,1777169.634317012,5915315.580088804,0.351805557
10,10,1777144.490327827,5915291.574845938,0.367070845
11,11,1777191.582533841,5915235.96470579,0.544363612
12,12,1777165.744446067,5915111.898868198,0.38296297
13,13,1777145.248272703,5914927.352316627,0.539022986
14,14,1777119.797006641,5914819.104525115,0.283503182
15,15,1777110.238894338,5914783.779228689,0.277125
16,16,1777101.551841908,5914758.823488954,0.270185185
17,17,1777085.402308302,5914720.329379203,0.324023813
18,18,1777076.242906732,5914689.761582573,0.31987501
19,19,1777067.870682582,5914679.75604796,0.300535715
20,20,1773817.832167819,5914737.070448512,0.355875002
21,21,1773841.846981952,5914736.579485378,-0.409746828
22,22,1777059.57435418,5914650.417925509,0.241636367
23,23,1773841.235153339,5914706.679317013,-0.053499997
24,24,1777051.030318696,5914640.222282652,0.237454546
25,25,1777034.198478166,5914601.090793976,0.25464286
26,26,1773822.167933561,5914557.505358319,0.208860758
27,27,1773811.745082574,5914467.980153318,0.114528306
28,28,1777053.852846433,5914391.287315692,0.618363631
29,29,1773798.30768856,5914449.873681496,0.206666673
30,30,1777061.807242527,5914380.949211779,0.641624996
31,31,1777069.761618508,5914370.611097504,0.625454533
32,32,1773821.118298953,5914420.294017452,0.400399991
33,33,1773835.255974115,5914407.841884016,0.755844151
34,34,1773866.730054912,5914387.088010529,1.025625009
35,35,1777099.635332525,5914319.920967138,0.793076925
36,36,1773898.340443359,5914366.49939436,1.176582273
37,37,1773914.145581283,5914356.205039897,1.255500001
38,38,1773929.985363221,5914345.955737282,1.302025298
39,39,1773953.760381918,5914335.452284204,0.905189867
40,40,1777115.397721958,5914270.351104835,0.889464286
41,41,1773969.565280567,5914325.157938845,1.042999996
42,42,1773993.374760719,5914314.699564868,0.844621856
43,43,1777122.98683731,5914250.250628247,0.975357151
44,44,1774009.17969282,5914304.405030975,1.183500009
45,45,1774048.983209958,5914292.891883078,0.511458332
46,46,1774056.798400789,5914283.487758841,1.008717941
47,47,1777132.248960492,5914194.433262366,0.830213889
48,48,1777141.826456442,5914175.476336523,0.74000001
49,49,1774135.734377192,5914227.566009693,-0.17
50,50,1777159.510940874,5914146.979069056,0.716521745
51,51,1777218.707877523,5914087.849079388,1.106915527
52,52,1774109.577431816,5914123.59865047,0.178518524
53,53,1774093.247617168,5914108.249727805,0.6538125
54,54,1777366.291381652,5914003.891259518,1.138958325
55,55,1777457.451729303,5913998.923978408,-9999.0
56,56,1774108.43942519,5914068.054665257,0.585187503
57,57,1777446.229985944,5913993.147422281,1.044090891
58,58,1777421.573995122,5913967.48646282,1.047229584
59,59,1777342.845394765,5913906.656103456,1.400435863
60,60,1777413.092500763,5913869.255576312,0.952494402
61,61,1777381.910915941,5913816.550553622,1.035454549
62,62,1777328.466645334,5913727.990373792,0.5248
63,63,1777347.77871307,5913781.296019007,0.809470474
64,64,1777391.963790955,5913701.009956116,0.678861788
65,65,1774157.877206804,5913753.157547611,0.209107141
66,66,1777407.659729568,5913685.725481467,0.683624975
67,67,1777482.95551182,5913774.359066495,1.503756026
68,68,1777627.311075571,5913627.397098713,1.124999985
69,69,1774164.225004148,5913678.043958776,0.423805306
70,70,1777645.29251895,5913595.826058074,1.023333311
71,71,1777581.873591878,5913592.345487703,0.994875
72,72,1774180.003558746,5913652.792971116,0.357249992
73,73,1777653.421443689,5913580.639616221,1.03159997
74,74,1777541.280004375,5913573.452659857,1.00345453
75,75,1777661.653576466,5913570.534039825,1.020892837
76,76,1777572.715827384,5913549.978098248,0.971296699
77,77,1774185.584746548,5913562.939968687,0.559230759
78,78,1777621.571143022,5913492.33962955,0.879297294
79,79,1776032.919633274,5913522.411291429,2.265479469
80,80,1777635.609100364,5913481.538958032,0.891139236
81,81,1777707.294139832,5913518.340618386,1.064473862
82,82,1776043.269022304,5913505.302510614,-9999.0
83,83,1777647.406362163,5913471.320982348,0.865937497
84,84,1777742.59078778,5913472.249845363,1.005661894
85,85,1775786.10620508,5913489.763990564,0.516041658
86,86,1776056.137693301,5913490.594850102,2.825673069
87,87,1777770.944510271,5913443.809185447,0.951499998
88,88,1776066.040448687,5913464.588005469,0.862894745
89,89,1777789.168181546,5913421.823563029,0.962194093
90,90,1776074.527768161,5913445.100713676,1.009795901
91,91,1774152.314514977,5913473.883264592,0.536249984
92,92,1776081.559074938,5913434.478731969,1.397887309
93,93,1777802.021148404,5913398.28842499,0.845625007
94,94,1774166.977999855,5913489.370077469,0.480284354
95,95,1776089.464606819,5913420.679125441,1.242945751
96,96,1777597.716832222,5913392.590182488,0.339314515
97,97,1775672.404437921,5913412.675717287,0.768499985
98,98,1775664.194735489,5913402.874286013,0.762375006
99,99,1775655.984817466,5913393.072759107,0.785625017
100,100,1774091.409502361,5913400.733594089,0.420000002
101,101,1776120.753531407,5913364.689694804,4.011538418
102,102,1774102.837917329,5913394.899782735,0.775454557
103,103,1774143.520046921,5913417.427507812,0.444582042
104,104,1776128.558537662,5913354.566547998,1.502884597
105,105,1776136.363701699,5913344.443370987,1.467659544
106,106,1775606.932559383,5913344.231738633,0.831374991
107,107,1776702.76159745,5913330.163775471,0.6060188
108,108,1776808.770162709,5913327.069533916,0.61248183
109,109,1777040.039535484,5913315.261447508,0.893235303
110,110,1777180.233725833,5913318.285237987,0.772406402
111,111,1777199.502587552,5913311.365751166,0.805925913
112,112,1775598.722915196,5913334.430357522,0.851265801
113,113,1776271.194260964,5913320.70582413,0.887142866
114,114,1777055.861056194,5913305.285288269,1.010350854
115,115,1775590.513289494,5913324.628969033,0.853374999
116,116,1776166.978894102,5913317.971075773,1.229426748
117,117,1776262.652425137,5913310.509453045,0.927818168
118,118,1776886.271614849,5913316.089063901,0.740229992
119,119,1776438.499173817,5913324.896382672,0.824840738
120,120,1776490.714688249,5913296.004514965,0.949811711
121,121,1776774.532909051,5913292.23664377,0.99034482
122,122,1777609.627819953,5913326.142911297,0.545681813
123,123,1776331.115549701,5913290.490280593,1.09798583
124,124,1776526.524195217,5913285.289318053,1.14499999
125,125,1776558.381065945,5913284.829030237,0.874999985
126,126,1776574.711369241,5913284.489638453,0.999821434
127,127,1776657.090671385,5913297.518919256,0.77086306
128,128,1777109.91500193,5913280.624362229,1.077424073
129,129,1777158.79509617,5913271.401699594,1.030181803
130,130,1776261.457754019,5913287.711473684,1.016762574
131,131,1776302.651449923,5913284.641345371,1.094390229
132,132,1776386.246414296,5913277.88167426,1.378965481
133,133,1776542.324322173,5913274.989872612,1.13549998
134,134,1776566.334896742,5913274.49135719,1.056410256
135,135,1777470.743674015,5913255.646866917,0.557874996
136,136,1777588.304920392,5913256.368452949,0.730691249
137,137,1776165.266530804,5913359.181589836,0.898761026
138,138,1777198.413165998,5913251.360457707,1.569629646
139,139,1777242.425182808,5913250.091528387,1.484736835
140,140,1777297.498303133,5913284.215991401,0.962166238
141,141,1777391.907125899,5913295.270594625,0.723987846
142,142,1777478.539086265,5913245.512825128,0.59974357
143,143,1775541.461969272,5913275.787042434,0.966666665
144,144,1776261.799292542,5913261.599888438,1.645384578
145,145,1777299.419028997,5913243.405536763,1.077527923
146,146,1777582.377758533,5913233.371744835,0.492875008
147,147,1777342.06179803,5913228.419971624,1.407468337
