OID,FID_,X,Y,BCE_Whitfo
0,0,1776508.441438846,5916233.670778642,-0.953394165
1,1,1776305.881240923,5916143.512748662,-9999.0
2,2,1776657.013906936,5916104.603295613,-0.610909084
3,3,1776276.510788378,5916106.884286562,-9999.0
4,4,1776313.775262323,5916092.323600124,-9999.0
5,5,1776455.088799258,5916079.590110221,-9999.0
6,6,1776363.929508788,5916041.272382761,-9999.0
7,7,1776423.384358317,5916039.65605661,-9999.0
8,8,1776407.931722878,5916146.182168435,-9999.0
9,9,1776791.462956955,5916022.040309102,-0.378545456
10,10,1776895.218143443,5916009.19538195,0.169705881
11,11,1776402.4650202,5916005.301636183,-9999.0
12,12,1776467.328237627,5916006.500493418,-9999.0
13,13,1776327.721036996,5915992.323715908,-9999.0
14,14,1776909.336262735,5915988.818912768,0.131703469
15,15,1776374.106718043,5915980.851843213,-9999.0
16,16,1776687.367130561,5916007.806115299,-0.767477793
17,17,1776739.88225049,5915979.755144695,-0.751436788
18,18,1776333.869267784,5915971.715279848,-9999.0
19,19,1776697.684087829,5915954.154137393,-0.843287803
20,20,1776735.20686831,5915943.979724335,-0.799875815
21,21,1776741.146920081,5915913.40415905,-0.826909121
22,22,1776965.37152577,5915903.553754554,0.208744771
23,23,1776525.148810622,5915903.221162095,-9999.0
24,24,1776997.579249734,5915793.985872379,0.404626863
25,25,1776974.78760152,5915778.718786591,1.274702193
26,26,1776944.632862038,5915773.922243119,0.735765766
27,27,1776810.419691882,5915742.253924368,1.189272705
28,28,1776835.298607842,5915740.760217604,0.440444446
29,29,1776923.390104345,5915727.723238577,-0.89856425
30,30,1777003.299151763,5915769.495724576,1.246785732
31,31,1776901.074821156,5915700.4838105,0.96880503
32,32,1776912.408354937,5915683.267061258,1.785714307
33,33,1776992.369010523,5915684.813175005,-0.92571428
34,34,1777162.532271787,5915673.66324348,-0.921666698
35,35,1777032.549746139,5915667.833964627,-0.901452295
36,36,1777079.937849435,5915661.296810614,-0.914594616
37,37,1776931.684621158,5915649.470935996,2.303529417
38,38,1776615.043128962,5915626.460111481,-9999.0
39,39,1776593.500202401,5915620.724724961,-9999.0
40,40,1777264.784994439,5915603.396845176,-0.895454526
41,41,1776574.600007891,5915607.3579382,-9999.0
42,42,1776948.688436641,5915604.912128751,0.084688875
43,43,1776626.823727322,5915587.116472202,-9999.0
44,44,1776533.958483559,5915578.691087896,-9999.0
45,45,1776570.369212661,5915568.346900548,-9999.0
46,46,1776624.708590064,5915563.362202449,-9999.0
47,47,1776645.202748072,5915536.093652079,-9999.0
48,48,1776550.583012494,5915537.818832385,-9999.0
49,49,1776672.139824433,5915620.982602544,-9999.0
50,50,1776516.96621598,5915524.001636944,-9999.0
51,51,1776564.313343243,5915518.032943858,-9999.0
52,52,1777292.922734504,5915506.901294874,-0.94261685
53,53,1776553.121239934,5915507.632127461,-9999.0
54,54,1776619.966187247,5915505.257023749,-9999.0
55,55,1776780.162777089,5915448.209501987,-0.930733954
56,56,1776707.185501654,5915435.49702985,-9999.0
57,57,1776771.388107175,5915433.961106148,-0.960126589
58,58,1776753.39300208,5915407.993342666,-0.966313862
59,59,1776581.779212605,5915383.371963776,-9999.0
60,60,1776776.674322623,5915328.589732587,-0.898125013
61,61,1776719.064460242,5915322.067666642,-9999.0
62,62,1776629.707214962,5915368.801111851,-9999.0
63,63,1776556.567835981,5915289.44278592,-9999.0
64,64,1776600.006447392,5915288.157533458,-9999.0
65,65,1776579.195884519,5915264.019091885,-9999.0
66,66,1776550.938457513,5915239.321194976,-9999.0
67,67,1776571.543794171,5915239.276243872,-9999.0
68,68,1776583.068056948,5915228.280290441,-9999.0
69,69,1776660.589932566,5915274.155690782,-9999.0
70,70,1776863.051593363,5915212.488827209,-0.613818191
71,71,1777117.889261105,5915185.793271302,0.196766468
72,72,1776669.156204393,5915147.125266219,-9999.0
73,73,1776694.926570593,5915163.436505743,-9999.0
74,74,1776677.12693002,5915137.514322365,-9999.0
75,75,1776713.1612846,5915115.433897714,-9999.0
76,76,1776610.127994741,5915117.874615397,-9999.0
77,77,1776684.055972362,5915111.150702394,-9999.0
78,78,1776687.662267973,5915090.522677107,-9999.0
79,79,1776708.323608686,5915066.441576734,-9999.0
80,80,1777108.404827227,5915018.870403238,0.198937503
81,81,1776684.325546671,5914999.937219533,-9999.0
82,82,1776409.46793164,5914983.009639946,-9999.0
83,83,1776663.276586856,5914973.950324302,-9999.0
84,84,1777109.64075555,5914963.574927819,0.168738319
85,85,1776369.028271218,5914963.906600523,-9999.0
86,86,1776697.241387521,5914957.090393189,-9999.0
87,87,1776773.602899134,5915128.379848049,-0.800631322
88,88,1776789.685587376,5914945.580139196,-0.750818197
89,89,1776815.532535041,5914944.640059084,-0.680283697
90,90,1776720.635364451,5914926.690721901,-9999.0
91,91,1777088.873435485,5914919.02710651,0.158035716
92,92,1776560.606890897,5914913.293808682,-9999.0
93,93,1776820.877051302,5914905.046870683,-0.65614679
94,94,1777080.506548563,5914894.072314061,0.221975051
95,95,1773878.429157249,5914953.880285144,-0.829371435
96,96,1776487.657659692,5914891.646705298,-9999.0
97,97,1776535.688450981,5914890.649318351,-9999.0
