OID,FID_,X,Y,BCE_Whitia
0,0,1841930.626230944,5920177.827843799,-0.026881647
1,1,1841505.031150431,5920176.226996901,-0.758000016
2,2,1841879.544984379,5920161.232891535,-0.445298065
3,3,1841504.183013603,5920146.322584512,-0.761299992
4,4,1841482.754693879,5920050.493732383,-0.415766664
5,5,1841337.451354893,5919922.324102819,-0.755999977
6,6,1841904.905996523,5919855.615092134,-0.682337505
7,7,1841290.453845484,5919860.851229239,-0.759111113
8,8,1841287.735731833,5919837.866416462,-0.756969241
9,9,1841146.42166945,5919547.91364376,-0.164608692
10,10,1841911.294879059,5919516.727085481,-0.030365857
11,11,1841115.416411462,5919522.742771685,-0.163864755
12,12,1838056.523976829,5919574.052776154,0.239114757
13,13,1841082.543019889,5919493.901884905,-0.138469367
14,14,1841048.429639766,5919470.667325565,-0.008133333
15,15,1841034.798865898,5919455.10324854,0.034722826
16,16,1841874.98581221,5919366.902037126,0.017183676
17,17,1841864.906188566,5919352.995184003,0.043407582
18,18,1841858.132938833,5919338.179341014,0.080500001
19,19,1841849.837750576,5919328.438716319,0.024962025
20,20,1841841.542489329,5919318.698061462,-0.019395061
21,21,1840999.840201228,5919332.789353731,0.065500001
22,22,1841833.247298145,5919308.957705504,0.021575
23,23,1841825.53640037,5919299.200471613,0.045396227
24,24,1839020.283053527,5919375.015104772,-0.191455657
25,25,1838099.572226399,5919399.017805122,0.85939021
26,26,1840967.708378808,5919299.882725288,-0.030821549
27,27,1840930.816254473,5919263.652398653,-0.128636769
28,28,1840909.33150193,5919245.363757339,-0.122599998
29,29,1839685.311997312,5919280.411552212,0.085673184
30,30,1839698.83818875,5919244.612381717,0.316690269
31,31,1840875.835068481,5919215.388698284,-0.17796042
32,32,1840827.520745593,5919187.821502315,-0.136974998
33,33,1841741.343522423,5919218.205482263,0.130530337
34,34,1840787.257949424,5919153.984449611,-0.232173015
35,35,1840050.255769707,5918921.192729297,-0.033599999
36,36,1840099.901191956,5918914.512383898,-0.011974857
37,37,1840161.903127687,5918905.005963132,0.13377778
38,38,1840582.186275342,5919006.529520489,-0.092995909
39,39,1840377.582618805,5918871.324834897,-0.320716054
40,40,1840399.291412404,5918883.20288873,-0.200083079
41,41,1838752.814973322,5918824.960907958,-0.094731608
42,42,1839439.626373664,5918718.184396167,-0.305049582
43,43,1839414.882167827,5918708.90846122,-0.255499998
44,44,1838106.818064521,5918735.601550131,-0.234999999
45,45,1839394.573576605,5918699.50381886,-0.21638334
46,46,1838079.859885188,5918726.399065442,-0.23270588
47,47,1839570.516107599,5918685.600088892,0.021156248
48,48,1838077.238129033,5918611.749114305,-0.111925002
49,49,1841253.792760431,5918480.735061099,-0.273600012
50,50,1841238.942884291,5918465.270903265,-0.281228065
51,51,1841223.28683487,5918448.647194047,-0.105276313
52,52,1841207.211040428,5918438.834637136,-0.163625001
53,53,1840261.356282543,5918425.680940976,-0.091499998
54,54,1841100.242526587,5918342.103519907,-0.003224997
55,55,1841083.797094014,5918327.605057803,0.008410659
56,56,1841067.351394334,5918313.106560193,-0.018250001
57,57,1841055.052565862,5918303.478691344,0.005371069
58,58,1838061.249472873,5918501.357867558,0.754151515
59,59,1840999.2528363,5918287.728398095,0.048565833
60,60,1838923.294943328,5918333.660047124,0.313652036
61,61,1838960.862856706,5918339.252650336,0.209547917
62,62,1839143.970279,5918530.428113411,0.126278288
63,63,1840925.262310067,5918286.608881413,0.113902299
64,64,1838061.398754433,5918338.056218239,0.814872712
65,65,1838895.278162129,5918314.491070531,-0.08687037
66,66,1838060.841153553,5918318.119987183,0.914754369
67,67,1838068.435344165,5918297.027004084,0.671679997
68,68,1838168.960802151,5918282.050665677,0.818619129
69,69,1838843.508684259,5918206.261523411,2.248283959
70,70,1838835.261286662,5918196.463393978,1.058799998
71,71,1838827.554955133,5918186.703684137,1.311703702
72,72,1838197.679277351,5918212.075391033,0.772524081
73,73,1838238.939165093,5918167.317357874,0.75666361
74,74,1838272.831191807,5918152.371850174,0.833799988
75,75,1838768.917122137,5918117.789731435,0.058826922
76,76,1839916.932852029,5918208.019173207,0.190541692
77,77,1838146.29771889,5918116.906608258,0.159010333
78,78,1838534.243228035,5919064.88680612,0.480187917
79,79,1838169.4105966,5918055.72042385,1.048892552
80,80,1840859.59077619,5917750.346333853,-0.146599998
81,81,1838414.21922248,5917930.995025492,0.452761989
82,82,1840866.754828858,5917720.215025809,-0.128439999
83,83,1840852.882884478,5917702.545305372,-0.248540738
84,84,1839625.389481066,5918378.627717662,0.29914533
85,85,1840961.83839247,5917418.237477863,1.399900015
86,86,1840785.388606474,5917273.589678913,0.948509423
87,87,1840765.081488938,5917264.188137881,0.985266671
88,88,1839374.363040883,5917463.69043395,-0.028929699
89,89,1840929.019942842,5917306.010762651,2.255841137
90,90,1839356.04122676,5917044.564475428,-0.083493673
91,91,1839299.435239374,5917006.252937252,-0.246796293
92,92,1839267.848849608,5916994.945517763,-0.240894746
93,93,1839251.005143387,5916984.472881079,-0.236466661
94,94,1839230.080935891,5916968.88321193,-0.229925929
95,95,1840683.48114259,5917287.361010122,0.495573052
96,96,1839018.819867249,5916739.80039361,-0.198445479
97,97,1839030.462445914,5916821.533211453,0.058714568
98,98,1839014.299710464,5916574.659902149,-0.166046505
99,99,1838991.101830112,5916551.496787778,-0.1705
100,100,1838980.868875064,5916536.156681624,-0.172603766
101,101,1838960.891797506,5916517.551702187,-0.174163632
102,102,1838897.049953521,5916473.007821945,-0.145579463
103,103,1838693.459610914,5916459.754600356,0.028165423
104,104,1838468.932266798,5916370.653309265,-0.298686832
105,105,1838417.817474162,5916334.081190593,-0.309232898
106,106,1840979.211372773,5916296.444036254,0.140357307
107,107,1837567.90517026,5916306.586472985,0.4156625
108,108,1841059.390264727,5916212.262489656,0.143691235
109,109,1842319.962932433,5915724.300541895,0.066881989
110,110,1840058.051768112,5915787.74608745,0.500975
111,111,1840057.035122964,5915757.645012196,0.496857146
112,112,1840607.224952213,5916006.750886933,0.223020079
113,113,1840108.872758015,5916146.915546191,0.484425282
114,114,1839283.134931538,5915450.445747989,-0.098724138
115,115,1839311.163746265,5915449.657002483,-0.010900001
116,116,1839338.820892232,5915456.004250892,-0.125062724
117,117,1839004.595029132,5915459.089196634,0.247618297
118,118,1841813.675212092,5915085.52686271,1.009534814
119,119,1838778.898481129,5915157.506981025,-0.165727269
120,120,1838760.413776468,5915115.057616007,-0.204141764
121,121,1837979.327244063,5915073.85418465,-0.497909074
122,122,1838090.478376083,5915074.907576869,-0.439308631
123,123,1838138.525319447,5915073.561985755,-0.429825436
124,124,1837881.6552669,5915048.439431855,-0.494128207
