OID,FID_,X,Y,BCE_Whitia
0,0,1841934.291734787,5920184.347242087,0.124389379
1,1,1841881.349167715,5920155.571579319,-0.53698733
2,2,1841468.740813405,5920027.613125954,0.455873417
3,3,1841486.570586896,5920032.052003761,-0.330350954
4,4,1841492.051825687,5920007.201169502,-0.133571428
5,5,1841371.523480128,5919969.626120534,-0.337766689
6,6,1841394.487535824,5919960.086233049,-0.761436364
7,7,1841422.410209092,5919949.117174396,-0.760999978
8,8,1838464.130582414,5919967.768958095,-9999.0
9,9,1841905.189052054,5919865.583418357,-0.709212504
10,10,1838341.602975591,5919943.41725732,0.601266666
11,11,1838490.04700525,5919940.734616203,0.026700001
12,12,1838498.401476415,5919930.817130818,0.105342104
13,13,1841288.808283866,5919852.77055569,-0.759000003
14,14,1838514.350374527,5919917.096965588,0.543000001
15,15,1841294.967279601,5919838.002984134,-0.757800019
16,16,1838344.718808883,5919880.617288408,0.837535706
17,17,1838296.505913182,5919857.59143313,0.771312504
18,18,1838287.935419124,5919837.879830552,0.782050014
19,19,1838311.811081088,5919837.413043555,0.961236356
20,20,1841293.376942111,5919766.199155731,-0.506034332
21,21,1838270.795143047,5919798.455808578,0.694848115
22,22,1838294.670691718,5919797.989064124,0.73614286
23,23,1838310.359087504,5919805.674949295,0.855574854
24,24,1838253.933903008,5919768.999860168,0.794624998
25,25,1838245.642766273,5919759.25592629,0.915725005
26,26,1838237.351647909,5919749.511985147,0.831987342
27,27,1838229.060547918,5919739.76803675,0.711837497
28,28,1838220.769466298,5919730.024081092,0.997387508
29,29,1838188.334629159,5919700.404876929,1.010764713
30,30,1838165.688628485,5919678.499525646,0.970909064
31,31,1838157.271000381,5919668.914556767,1.322062522
32,32,1838148.853382351,5919659.329589897,1.291363635
33,33,1841158.318955774,5919543.30119948,-0.241064401
34,34,1838182.800833895,5919623.317452846,0.927336203
35,35,1838241.18052604,5919599.766275657,0.2138375
36,36,1841133.556540068,5919518.349459745,-0.237098773
37,37,1838059.88342374,5919580.14233264,-0.281999975
38,38,1838259.008583042,5919582.816288865,0.307759562
39,39,1841108.955565578,5919499.093752918,-0.196900006
40,40,1838050.656473042,5919572.440882004,-0.302545446
41,41,1841084.354702991,5919479.837980146,-0.133000004
42,42,1841047.73581138,5919460.922372073,-0.015437501
43,43,1841033.939257688,5919440.335696801,0.041323231
44,44,1838062.300176808,5919505.211653722,0.930444452
45,45,1839127.46092985,5919475.517409869,0.204833334
46,46,1838054.421163832,5919495.254707391,0.913500004
47,47,1838061.570246703,5919485.078940624,0.963938262
48,48,1838034.855780472,5919488.308125432,1.481304354
49,49,1841022.707235253,5919395.459455069,0.039022368
50,50,1838052.722211725,5919455.398645805,1.372694547
51,51,1841565.411542638,5919336.513162902,-0.751823912
52,52,1839025.045775614,5919387.90404373,-0.271094822
53,53,1841608.911810919,5919315.326407349,-0.231599991
54,54,1839028.502207446,5919368.205685667,-0.210637504
55,55,1838088.820972221,5919391.780173818,1.204037214
56,56,1841792.034718809,5919269.495753033,-0.028345457
57,57,1841808.058403695,5919269.040448534,0.1305
58,58,1839331.895082199,5919322.138670199,-9999.0
59,59,1839347.277377554,5919316.567611868,0.178499999
60,60,1839367.317728826,5919307.961196718,0.217875003
61,61,1841715.092717947,5919242.479124957,-0.077641508
62,62,1841682.04790632,5919237.238323306,-0.066500002
63,63,1841730.843324514,5919232.406520065,0.046018017
64,64,1839627.9774063,5919281.463447917,0.012840003
65,65,1839699.518225374,5919278.782192796,-0.111461536
66,66,1841689.385407295,5919226.508924191,0.193500003
67,67,1838127.461536358,5919325.372564102,0.938659639
68,68,1839543.193464748,5919273.817832804,0.306063832
69,69,1838114.56502887,5919399.109236894,0.88208142
70,70,1838873.174833756,5919282.781374304,-0.287999988
71,71,1839658.509837101,5919271.329047268,0.168990615
72,72,1841696.722896159,5919215.779531159,0.234866665
73,73,1838136.392913045,5919293.44454043,1.096860771
74,74,1839550.205369686,5919252.581341939,-0.138691045
75,75,1841711.305049095,5919194.98569807,0.307588237
76,76,1841732.852314129,5919173.190177756,0.352178072
77,77,1840847.550312155,5919187.254920061,-0.336633547
78,78,1838881.807842725,5919242.175979093,-0.207467893
79,79,1838170.92771336,5919223.231732742,0.917706426
80,80,1838334.128870909,5919261.525162498,0.948011295
81,81,1838847.486215538,5919203.693963123,-0.204913582
82,82,1840762.803767608,5919148.213870142,-0.155420001
83,83,1838134.162493176,5919213.699694239,1.030275024
84,84,1838225.632327272,5919217.452255894,0.884487165
85,85,1838857.383872818,5919189.93997464,-0.150757894
86,86,1840765.740707669,5919129.711910049,-0.278433967
87,87,1838846.647249079,5919173.789928663,-0.152462501
88,88,1838141.616586809,5919193.539399509,0.927180673
89,89,1838169.182591192,5919188.092094524,0.894088779
90,90,1840733.129959377,5919110.681729143,-0.218421383
91,91,1840715.224561892,5919091.639046917,-0.197681413
92,92,1840661.20561496,5919055.612177676,-0.138943399
93,93,1840500.309075825,5918957.617546986,0.24958228
94,94,1840467.966148701,5918938.114673977,0.26355072
95,95,1840515.749601855,5918937.255298101,-0.202719668
96,96,1841364.694932325,5918903.252127632,-0.742500023
97,97,1840435.590653035,5918917.99271427,0.114019999
98,98,1840481.041885473,5918919.885704208,-0.18602611
99,99,1838142.909832555,5918974.033254052,0.135943398
100,100,1840082.301924787,5918920.289056115,-0.001207546
101,101,1840149.481871912,5918906.398487071,0.12985965
102,102,1840446.525172323,5918899.306045562,-0.227831776
103,103,1838142.65748856,5918944.112585428,0.558662505
104,104,1840193.163576602,5918890.78543645,-0.101211012
105,105,1840233.495583009,5918885.569511704,-0.111054551
106,106,1840377.86408072,5918881.293002551,-0.120325001
107,107,1840418.062618477,5918885.145739026,-0.273575004
108,108,1838150.390109477,5918933.920365455,0.719737511
109,109,1839007.337834203,5918899.92835137,-0.239099994
110,110,1840372.606836634,5918865.479656092,-0.405193469
111,111,1838165.855293661,5918913.535901259,0.665341781
112,112,1838173.448417083,5918898.35960432,0.707223615
113,113,1838181.041511288,5918883.183293197,0.825850004
114,114,1839054.14683285,5918853.72213973,-0.125225
115,115,1838196.367066644,5918857.814710421,0.76214284
116,116,1838765.036605419,5918836.895963978,-0.222074987
117,117,1838203.961852276,5918842.640483087,0.727125015
118,118,1838212.119594539,5918833.172279041,0.903030313
119,119,1838227.551357292,5918822.163884085,0.887000004
120,120,1838242.964259462,5918801.718868143,0.73665825
121,121,1838251.258611491,5918782.253321584,0.788345451
122,122,1838257.50757158,5918771.314967762,0.909777772
123,123,1839490.989673787,5918706.767490024,-0.037475002
124,124,1839506.992117241,5918705.589943495,-0.216327264
125,125,1839314.460649762,5918701.75610912,-0.302962507
126,126,1839522.754437838,5918695.897734042,-0.230475004
127,127,1839538.75652694,5918694.720422112,-0.309075474
128,128,1839562.649645072,5918694.976812105,-0.328535718
129,129,1839622.895711701,5918693.079699012,-0.193074993
130,130,1839286.140858925,5918692.576491741,-0.253415104
131,131,1839374.995113403,5918707.079898541,-0.329251297
132,132,1838262.450925094,5918716.488550205,0.890666703
133,133,1838087.92109564,5918718.53974347,-0.211806167
134,134,1839241.518450543,5918673.878560803,-0.248567891
135,135,1839605.918140589,5918668.279498429,0.091000006
136,136,1839613.367425045,5918657.718422768,0.151999995
137,137,1839192.890776121,5918655.293133792,-0.177374993
138,138,1838086.782515062,5918666.350006048,-0.28748333
139,139,1839619.61727876,5918612.811967144,0.370909103
140,140,1838083.037465452,5918604.105036474,-0.249870665
141,141,1839919.526912319,5918550.047752638,-0.168987497
142,142,1838073.386315532,5918566.553461965,0.147610613
143,143,1839869.63385286,5918486.609280787,0.007139242
144,144,1841211.498946596,5918448.689499607,-0.279674998
145,145,1838249.79493187,5918567.798468138,0.778391166
146,146,1839011.045397158,5918460.880996123,-0.089050001
